LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA25900,14,33,4,2536,102,19,4,101,9,64,6,19,5,48,471,855,6,0,3,14,0,7,4,0,3,5,13,71,1622,295,59,2209,355,1458,78,310,67,430,500,7379
LGA25990,0,0,0,19,14,3,0,15,0,11,3,7,3,9,39,100,0,0,0,0,0,0,3,0,0,0,4,8,120,20,8,192,17,121,17,24,10,74,42,653
LGA26080,0,0,0,23,3,0,0,9,0,3,0,3,0,3,23,48,0,0,0,0,0,0,0,0,0,0,0,0,39,22,3,71,4,26,4,6,3,7,25,219
LGA26170,0,5,0,138,67,11,3,80,10,29,3,14,3,19,125,362,6,3,6,11,0,7,3,0,0,0,10,42,549,165,43,971,89,476,50,160,37,189,143,2878
LGA26260,0,0,0,77,47,6,0,54,5,14,0,7,4,11,97,244,0,0,0,3,3,0,0,0,0,0,3,15,306,83,23,610,58,242,18,83,15,101,97,1633
LGA26350,22,86,9,3660,161,31,8,179,9,163,16,49,6,68,592,1289,20,4,0,22,0,10,3,3,3,12,19,97,1925,296,52,2830,323,2047,69,424,86,594,627,9276
LGA26430,0,0,0,47,29,3,0,22,7,14,3,6,0,7,57,143,3,0,0,3,0,3,0,0,0,0,0,14,187,41,7,294,33,122,15,38,8,71,59,873
LGA26490,3,3,0,430,77,22,5,107,4,40,6,18,4,27,216,524,8,0,0,9,0,0,3,0,0,0,4,32,636,197,35,1478,125,601,49,163,42,139,230,3685
LGA26610,0,3,0,90,34,6,4,54,3,37,4,9,6,22,90,270,4,0,5,6,0,0,0,0,0,5,4,27,424,69,33,645,78,358,14,88,35,175,113,2031
LGA26670,0,0,0,16,16,0,0,17,0,7,0,0,3,4,33,82,0,0,0,3,0,0,0,0,0,0,0,8,125,16,7,174,27,84,6,27,12,40,32,547
LGA26700,0,0,0,138,57,19,0,81,11,21,5,17,3,21,142,377,3,0,0,7,0,0,0,0,0,6,19,37,603,133,33,1057,106,401,33,144,24,188,164,2893
LGA26730,0,0,0,218,71,7,4,88,3,31,3,17,3,18,158,394,4,0,3,6,0,3,0,0,4,4,4,31,596,159,44,1366,124,505,50,159,45,207,173,3425
LGA26810,0,4,0,324,104,17,8,102,13,58,3,22,5,26,326,683,11,3,8,3,0,4,0,0,3,3,21,51,761,145,53,1370,158,776,73,210,74,314,360,4293
LGA26890,0,0,0,7,21,0,0,14,0,0,5,0,5,0,23,65,0,0,0,0,0,0,0,0,0,0,3,9,89,16,6,151,15,45,5,16,4,21,27,390
LGA26980,12,58,0,3768,263,50,24,338,32,209,10,72,16,167,1063,2253,25,3,10,51,3,17,4,3,0,18,34,168,4138,890,117,6735,607,4165,189,1118,161,1707,1132,20963
LGA27070,11,44,3,1490,356,74,35,391,48,349,15,122,44,341,1040,2816,37,6,26,52,9,30,9,14,17,49,99,350,5087,1053,266,7650,967,6317,273,1704,428,3531,1225,28515
LGA27170,4,3,3,226,78,20,4,85,11,35,3,13,9,22,217,494,3,0,5,10,3,5,0,0,4,9,3,37,906,168,47,1413,174,730,51,151,56,254,237,4188
LGA27260,16,36,4,2230,400,72,29,367,51,335,17,109,51,210,1291,2930,42,3,25,42,8,26,3,4,12,44,105,315,7172,1056,257,7850,1044,8461,272,1875,467,2542,1497,32496
LGA27350,8,29,0,1860,82,12,3,82,13,58,8,26,3,52,296,640,3,0,7,11,3,0,0,3,3,4,16,53,1308,271,57,1765,297,937,50,288,70,570,334,5931
LGA27450,10,30,0,1666,363,74,24,584,42,220,30,85,27,123,808,2366,42,8,36,64,4,31,5,8,9,15,50,272,3546,834,217,7247,704,3593,236,868,216,1134,898,19503
LGA27630,0,0,0,21,14,3,0,16,3,7,0,0,0,7,16,71,5,0,0,0,0,3,0,0,0,0,0,11,115,19,4,213,21,84,8,23,12,57,28,578
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,5,0,5,0,0,3,27
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
