LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA20110,5074,5307,10384,1917,1091,3005,711,1384,2088,192,199,400,136,82,216,2956,2752,5705,1697,2113,3807,4.6,3,3.8,58.3,51.9,54.9,55.6,50.4,52.9,100,123,220,85,179,265,421,700,1114,381,603,984,1418,569,1991,48,85,130,73,133,211,1538,791,2329,4811,4902,9717,669,748,1418,3524,3565,7094,1755,1892,3650
LGA20260,5232,4572,9798,1779,943,2726,573,1101,1676,149,168,316,151,107,257,2660,2313,4972,2238,1924,4158,5.7,4.6,5.2,50.8,50.6,50.7,47.8,48.4,48.2,40,57,96,44,118,157,259,492,749,300,470,769,1093,524,1620,45,61,106,65,96,164,1204,684,1893,4294,4283,8578,652,667,1315,3206,3186,6390,1498,1574,3076
LGA20570,38889,43329,82219,16596,8873,25472,5039,11636,16673,1059,1511,2571,1843,1573,3415,24534,23596,48127,11923,17047,28977,7.5,6.7,7.1,63.1,54.5,58.5,58.4,50.8,54.4,1324,1418,2747,784,1492,2275,4259,6296,10556,2856,4114,6969,9482,5170,14646,331,719,1048,509,760,1270,10321,6645,16964,36798,39648,76451,7459,8277,15741,23352,25192,48543,18867,20849,39718
LGA20660,47926,51928,99850,22786,12770,35554,6450,14064,20514,1170,1670,2846,1797,1635,3429,32204,30140,62344,13408,19217,32622,5.6,5.4,5.5,67.2,58,62.4,63.4,54.9,59,3765,3704,7472,1319,2443,3767,9239,11312,20555,4330,5358,9683,9128,3730,12859,258,449,709,650,1038,1693,10042,5218,15261,47308,50237,97542,7211,7450,14661,33801,36277,70078,18626,19400,38022
LGA20740,13158,14301,27459,4231,2061,6292,1794,3468,5259,457,532,988,477,377,857,6959,6440,13400,5194,6789,11979,6.9,5.9,6.4,52.9,45,48.8,49.3,42.4,45.7,239,299,532,188,389,583,976,1556,2531,920,1547,2466,3840,1581,5421,100,217,319,227,365,589,4162,2170,6327,12003,12725,24722,2358,2600,4954,7902,8258,16160,5786,6516,12304
LGA20830,18841,20347,39188,8399,3969,12364,2211,5337,7548,610,734,1346,620,624,1235,11835,10661,22495,5709,8250,13956,5.2,5.9,5.5,62.8,52.4,57.4,59.6,49.3,54.2,357,445,808,282,601,881,1379,2385,3771,1293,2208,3502,5731,2676,8404,135,350,480,238,489,733,6107,3507,9616,18196,19048,37245,3082,3494,6575,12099,12552,24653,8258,9110,17368
LGA20910,36928,41741,78669,17691,9871,27559,5171,11274,16443,847,1134,1989,1093,1121,2215,24797,23406,48202,10105,16071,26182,4.4,4.8,4.6,67.1,56.1,61.3,64.2,53.4,58.5,3682,3328,7010,1097,1972,3068,9809,10859,20665,3586,4800,8392,4225,2023,6248,157,306,463,488,876,1367,4870,3207,8073,36152,39775,75929,6283,6860,13149,24631,27454,52089,16567,18101,34667
LGA21010,5579,6113,11686,2144,1101,3240,605,1411,2012,183,219,402,175,140,319,3105,2872,5974,2024,2762,4784,5.6,4.9,5.3,55.7,47,51.1,52.6,44.7,48.4,68,115,182,74,148,224,341,601,939,419,631,1053,1529,717,2249,46,125,174,94,130,221,1674,969,2641,5231,5532,10766,784,894,1678,3798,3949,7745,2002,2275,4276
LGA21110,65383,73046,138430,30428,19343,49766,10059,18926,28984,1468,2038,3507,2575,2263,4837,44526,42572,87099,17555,26943,44498,5.8,5.3,5.6,68.1,58.3,62.9,64.2,55.2,59.4,9063,7955,17023,2241,3826,6066,19780,22114,41894,5087,7083,12170,5110,2678,7790,225,406,626,594,1200,1788,5925,4280,10211,61207,66820,128024,12686,13854,26540,40573,44686,85258,31659,34438,66101
LGA21180,78919,79538,158457,31470,16975,48442,10830,16058,26894,2444,2254,4696,4815,4443,9257,49554,39737,89293,24237,34781,59015,9.7,11.2,10.4,62.8,50,56.4,56.7,44.4,50.5,2239,2156,4398,599,1125,1716,8730,10460,19191,5949,6727,12681,13354,6423,19776,591,876,1465,1065,1475,2543,15008,8772,23781,77031,78075,155106,11351,10669,22014,54843,56629,111473,29254,27982,57237
LGA21270,2619,2588,5206,1059,396,1453,238,638,871,76,82,158,74,39,113,1438,1155,2597,907,1165,2077,5.1,3.4,4.4,54.9,44.6,49.9,52.4,43.1,47.7,18,27,44,22,63,83,114,270,386,117,209,324,635,266,900,24,52,71,25,41,63,679,354,1033,2516,2452,4968,266,284,541,2002,1942,3941,697,686,1392
LGA21370,14913,15512,30424,6221,3091,9309,1647,3881,5530,543,571,1109,444,376,824,8847,7918,16769,4900,6352,11261,5,4.7,4.9,59.3,51,55.1,56.4,48.6,52.4,107,186,291,129,311,448,762,1477,2239,768,1432,2201,4182,1904,6092,108,254,367,222,295,524,4518,2463,6977,14578,14854,29429,1934,2072,4004,10495,10468,20963,5287,5677,10963
LGA21450,35199,37205,72402,18913,9124,28036,4000,10520,14521,1086,1316,2400,1220,1384,2601,25220,22331,47551,7865,12672,20541,4.8,6.2,5.5,71.6,60,65.7,68.2,56.3,62.1,766,857,1625,377,871,1250,2679,4438,7110,2780,4464,7247,10757,5330,16083,262,632,896,486,882,1365,11505,6845,18346,35490,36373,71866,6725,7238,13961,21365,21342,42703,18237,19867,38105
LGA21610,114195,117254,231449,58115,29541,87660,14177,29097,43279,3309,3677,6982,5350,5313,10663,80952,67631,148579,27277,43644,70923,6.6,7.9,7.2,70.9,57.7,64.2,66.2,53.1,59.6,4021,3939,7967,1132,2145,3275,11616,15460,27078,10301,13396,23695,26780,13479,40256,909,1605,2516,1654,2573,4228,29339,17662,47003,116694,117916,234614,20002,20359,40366,74724,75524,150252,54451,55423,109877
LGA21670,5369,5614,10982,1563,754,2319,588,1166,1757,133,144,280,253,170,423,2539,2238,4776,2452,2977,5434,10,7.6,8.9,47.3,39.9,43.5,42.5,36.8,39.7,53,47,103,40,69,112,193,411,604,226,428,650,1518,677,2190,61,90,149,83,126,201,1658,889,2541,5114,5236,10352,723,760,1479,3744,3736,7487,1861,2034,3902
