LGA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
LGA20110,..,4,15,0,8,0,4,3,0,0,37,..,0,5,0,3,0,0,3,0,0,7,..,0,0,0,0,0,4,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,3,0,4,3,4,0,16,..,0,0,0,0,0,0,0,0,0,0,..,4,17,0,4,4,8,7,4,0,57,4,13,3,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,6,0,21,0,0,0,0,0,0,0,0,0,0,0,4,14,7,0,3,0,0,9,6,3,44,14,8,8,3,0,0,5,0,0,0,41,8,3,15,3,3,11,13,8,3,4,64,0,0,0,0,0,0,3,5,11,0,18,0,0,0,0,0,0,0,0,0,0,0,8,3
LGA20260,..,4,22,0,0,3,0,0,3,0,38,..,0,6,7,0,0,0,0,0,3,23,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,6,7,0,0,0,0,4,3,20,..,0,0,0,0,0,0,0,0,0,0,..,4,33,3,7,3,0,3,6,4,66,0,3,8,3,0,0,3,0,0,0,23,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,3,3,29,0,0,0,0,0,0,0,0,0,4,4,0,9,8,8,3,0,12,8,5,7,59,10,11,10,0,3,0,0,0,0,0,41,6,6,28,10,3,4,4,10,3,3,66,0,0,0,0,0,0,3,9,6,4,29,0,0,0,0,0,0,0,0,0,0,0,6,5
LGA20570,..,35,116,40,35,28,28,18,8,20,336,..,19,115,18,28,15,22,24,19,11,278,..,0,5,0,4,0,4,15,9,3,39,..,0,0,0,0,0,0,0,0,0,0,..,19,120,18,35,23,29,37,27,19,314,..,0,0,3,0,0,0,0,0,0,4,..,57,236,56,69,43,60,58,36,42,655,71,97,77,11,20,5,11,12,7,14,325,13,63,102,21,30,48,50,70,83,30,505,0,0,0,0,3,0,8,20,24,11,62,0,3,3,0,0,0,0,0,0,0,8,13,62,103,25,32,51,58,82,108,45,575,0,0,0,0,0,0,0,0,0,0,0,81,159,178,35,51,52,68,97,117,63,902,137,44,84,23,42,33,14,34,16,15,442,52,83,400,59,88,64,47,71,37,13,923,0,3,14,3,12,8,10,9,3,0,64,0,0,3,0,3,0,0,0,0,0,4,52,90
LGA20660,..,63,185,66,81,41,42,44,26,28,586,..,38,188,66,77,88,80,80,27,36,686,..,0,0,11,4,3,22,50,35,17,148,..,0,0,0,0,0,0,0,0,0,4,..,38,185,79,80,92,108,130,66,53,831,..,0,0,0,0,0,0,0,0,0,0,..,101,372,151,160,135,149,176,91,78,1414,150,191,106,15,17,18,28,44,23,17,596,125,185,274,71,89,111,200,178,143,38,1407,0,7,7,7,7,15,47,39,26,13,172,0,0,0,0,0,0,0,0,0,0,8,127,191,278,72,98,130,250,214,170,52,1584,0,0,0,0,0,0,0,0,0,4,4,268,382,382,89,114,146,274,258,198,68,2189,424,128,259,84,76,82,62,43,16,29,1192,426,414,1055,217,221,263,241,259,119,51,3278,8,20,82,15,28,51,23,29,17,14,288,3,0,0,0,0,0,3,0,0,0,17,437,433
LGA20740,..,16,35,9,11,5,14,12,3,9,112,..,0,13,3,8,4,3,3,0,0,34,..,0,0,0,3,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,13,3,9,4,6,6,0,3,42,..,0,0,0,0,0,0,0,0,0,0,..,16,46,18,16,11,16,14,5,11,151,8,38,18,3,5,3,8,3,0,0,86,0,8,19,5,7,3,0,0,0,0,40,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,19,5,7,3,3,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,8,43,41,4,8,3,8,10,3,0,129,53,19,36,5,9,9,7,4,3,6,151,17,16,93,9,17,10,9,12,4,3,176,0,0,8,0,0,3,0,0,3,3,23,0,0,0,0,0,0,0,0,0,3,0,16,16
LGA20830,..,14,47,7,17,11,5,5,8,16,131,..,0,16,5,3,5,6,8,0,4,47,..,0,0,0,0,0,0,4,0,3,11,..,0,0,0,0,0,0,0,0,0,0,..,0,16,5,4,5,9,6,0,3,56,..,0,0,0,0,0,0,0,0,0,0,..,14,65,18,20,15,10,17,9,20,190,22,41,36,7,3,9,10,0,3,0,134,9,14,17,3,7,3,3,13,0,7,80,0,0,0,0,0,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,9,14,20,3,7,4,3,11,8,9,90,0,0,0,0,0,0,0,0,0,0,0,32,55,52,13,16,14,15,11,8,13,230,68,33,48,7,15,10,8,0,0,8,198,27,17,94,13,10,9,16,15,0,3,210,0,0,5,0,0,0,7,7,5,8,35,0,0,0,0,0,0,0,0,0,0,0,27,17
LGA20910,..,152,492,143,142,154,138,186,132,53,1592,..,31,139,43,68,73,76,89,39,20,579,..,0,0,0,3,7,16,36,29,16,116,..,0,0,0,0,0,0,3,0,0,3,..,30,138,48,71,84,97,121,72,46,697,..,0,0,0,0,0,0,0,0,0,3,..,189,630,188,209,234,235,313,198,96,2289,239,372,227,30,39,29,32,34,27,40,1070,54,119,152,35,48,48,93,89,45,22,706,0,0,3,0,0,0,8,18,7,6,41,0,0,0,0,0,0,0,0,0,0,3,57,123,158,39,48,48,98,104,57,22,750,0,0,0,0,0,0,0,0,0,0,0,296,495,381,67,87,79,130,136,77,67,1820,297,120,235,88,87,51,48,58,27,16,1025,203,169,335,74,71,79,85,54,41,15,1126,0,6,7,5,6,6,9,5,8,6,64,3,0,5,0,0,0,0,0,0,0,8,201,176
LGA21010,..,0,7,0,0,3,0,0,0,3,18,..,3,7,0,3,0,3,3,0,0,17,..,0,0,0,0,0,0,0,0,3,3,..,0,0,0,0,0,0,0,0,0,0,..,3,4,0,3,0,3,6,0,3,27,..,0,0,0,0,0,0,0,0,0,0,..,3,15,0,3,6,3,6,0,4,38,0,7,0,0,0,0,0,0,0,0,10,0,6,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,3,0,3,0,3,32,8,3,7,3,0,0,0,3,0,3,33,3,0,19,3,6,0,8,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LGA21110,..,179,525,140,111,96,131,170,57,58,1460,..,86,417,152,197,219,289,284,126,82,1853,..,0,10,5,20,28,78,154,109,76,477,..,0,0,0,3,3,3,3,3,3,20,..,91,428,162,219,250,367,441,236,159,2353,..,0,0,0,0,0,3,3,0,0,3,..,267,945,300,329,348,496,611,297,222,3822,371,552,234,49,54,53,76,106,103,61,1656,179,376,765,244,301,410,592,676,455,162,4152,0,13,19,11,15,33,45,83,101,57,386,0,5,3,0,0,0,0,3,0,0,17,187,390,786,252,319,446,641,764,560,218,4554,0,0,0,0,0,0,0,0,0,0,0,554,942,1022,301,371,495,711,869,667,285,6212,730,243,472,159,191,168,133,150,68,56,2378,796,959,1885,314,421,528,550,546,301,145,6439,3,33,69,17,29,58,57,97,64,45,473,7,4,5,0,0,0,0,3,0,4,24,805,991
LGA21180,..,72,349,114,106,105,115,88,50,74,1076,..,185,893,244,356,453,294,273,113,139,2949,..,4,15,14,37,84,93,179,152,77,657,..,0,12,0,6,9,6,7,0,7,48,..,191,924,259,402,537,391,461,269,227,3650,..,0,6,0,0,0,3,3,3,13,28,..,263,1277,372,509,644,505,544,326,315,4757,187,323,288,42,62,56,58,72,31,34,1157,477,960,1298,301,443,651,873,708,455,251,6419,8,17,57,44,96,166,156,158,105,61,868,3,5,3,3,12,3,8,0,3,9,50,483,989,1361,343,554,821,1032,871,567,320,7344,0,0,3,0,0,0,3,3,0,20,39,675,1310,1648,391,619,875,1099,953,595,383,8538,664,227,336,74,82,95,81,65,40,61,1720,2529,1416,4275,548,877,972,830,708,347,293,12799,60,184,761,179,289,391,170,231,117,96,2468,30,6,43,10,10,15,5,8,3,7,138,2619,1609
