LGA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,1368,968,435,180,6264
LGA20260,1043,763,355,117,5524
LGA20570,7204,5044,2571,982,47868
LGA20660,9740,6606,3172,1459,64676
LGA20740,3139,2905,1378,564,15998
LGA20830,4043,3059,1325,422,22849
LGA20910,9658,6470,3135,1815,53935
LGA21010,1350,1039,509,211,6592
LGA21110,15114,10016,4879,2627,97790
LGA21180,9495,5703,2367,937,77721
LGA21270,565,345,219,138,2643
LGA21370,2850,2027,1149,499,16148
LGA21450,5534,3417,1410,491,42368
LGA21610,15951,8238,3784,1332,129054
LGA21670,1022,965,454,174,5423
LGA21750,1797,1262,565,223,9382
LGA21830,1231,853,456,179,6718
LGA21890,7913,3943,2303,1318,77555
LGA22110,4325,4085,1886,750,21745
LGA22170,9406,6000,3010,1288,64144
LGA22250,823,640,349,100,4314
LGA22310,10926,6500,3144,1770,79099
LGA22410,1682,1146,515,206,8605
LGA22490,1744,1054,323,81,10027
LGA22620,8453,5746,2860,1301,51904
LGA22670,6604,4531,2462,1001,60571
LGA22750,17689,12520,6333,2861,114020
LGA22830,4200,2760,1331,558,26983
LGA22910,1863,1358,548,211,8220
LGA22980,467,274,157,84,2304
LGA23110,5924,3159,1578,738,43370
LGA23190,1508,929,460,246,8676
LGA23270,9319,4946,2087,607,78335
LGA23350,1767,1195,471,181,8283
LGA23430,10584,6684,3764,1825,76491
LGA23670,11739,6883,3462,1468,75640
LGA23810,5766,3801,1957,738,33720
LGA23940,722,504,238,88,3304
LGA24130,4275,3057,1103,384,23544
LGA24210,9419,6951,4210,1644,60419
LGA24250,899,762,279,88,4367
LGA24330,3938,1668,802,482,44164
LGA24410,7851,5267,2811,1234,55473
LGA24600,5836,3800,1474,782,90605
LGA24650,6198,3222,1064,281,56997
LGA24780,3676,2378,1224,526,22696
LGA24850,2837,1788,759,264,18349
LGA24900,2226,1752,988,363,12418
LGA24970,12009,8032,5187,2369,96233
LGA25060,8124,4641,2406,1062,60956
LGA25150,2407,1625,552,220,14473
LGA25250,8085,3976,2458,1368,86119
LGA25340,13444,11926,6526,2483,77580
LGA25430,2252,1682,759,287,10540
LGA25490,1421,894,354,155,7583
LGA25620,1477,1202,429,134,6949
LGA25710,6140,3471,1123,312,32028
LGA25810,965,761,350,126,4963
LGA25900,7609,4712,1766,712,67794
LGA25990,763,599,196,85,3436
LGA26080,390,453,239,85,1759
LGA26170,2693,2101,865,296,13415
LGA26260,1411,960,453,242,7296
LGA26350,7665,5702,3030,1274,67371
LGA26430,1079,854,410,169,4952
LGA26490,2873,2066,808,268,15810
LGA26610,1444,937,470,217,8690
LGA26670,622,475,190,63,2920
LGA26700,2469,1693,850,475,13482
LGA26730,2474,1670,884,402,15618
LGA26810,3740,2492,1165,412,20366
LGA26890,298,217,101,55,1593
LGA26980,11531,7815,4890,2326,86615
LGA27070,9135,4987,2101,625,83939
LGA27170,2771,1710,712,283,18217
LGA27260,9530,4788,1731,577,99216
LGA27350,5554,3608,1256,426,57818
LGA27450,12338,8121,3121,1127,73041
LGA27630,568,399,207,150,2854
LGA29399,59,43,15,0,545
LGA29499,526,263,61,19,4580
LGA29799,10,0,0,0,25
