LGA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
LGA20110,3508,92,67,30,53,3744,829,54,30,10,12,930,137,9,6,0,0,154,4476,155,100,32,71,4832
LGA20260,2955,52,61,23,14,3106,913,61,46,19,8,1042,130,4,10,0,3,147,3995,121,113,43,25,4298
LGA20570,26109,3860,795,103,109,30971,4706,1332,332,34,33,6443,766,172,54,3,28,1032,31586,5362,1185,146,167,38449
LGA20660,30148,5673,2279,47,85,38233,3672,1097,390,5,25,5177,722,191,86,0,21,1022,34541,6962,2749,50,130,44431
LGA20740,9520,426,125,85,55,10209,2162,255,58,78,3,2569,335,36,9,10,9,397,12019,714,192,176,69,13175
LGA20830,13284,381,455,73,61,14252,2271,244,289,72,11,2880,394,26,33,11,12,474,15945,655,776,155,80,17605
LGA20910,20087,7251,3495,177,130,31142,1576,910,671,8,12,3181,383,176,134,3,10,711,22051,8336,4296,193,154,35037
LGA21010,3873,38,198,21,30,4160,1072,21,157,11,4,1259,133,5,24,3,0,171,5082,61,379,33,34,5594
LGA21110,30749,11009,12051,168,167,54151,2253,1063,1159,11,16,4503,567,197,412,5,13,1201,33568,12272,13622,181,204,59849
LGA21180,40260,6394,1838,86,74,48653,8468,1353,775,30,32,10654,1758,311,141,33,22,2260,50486,8056,2753,151,122,61562
LGA21270,1626,13,21,16,6,1688,625,15,28,10,0,677,76,6,10,0,3,95,2324,35,56,30,12,2455
LGA21370,9599,430,206,63,36,10337,2463,302,217,54,7,3048,376,52,21,7,7,469,12443,786,446,124,52,13855
LGA21450,24908,1767,68,69,63,26881,2820,470,52,56,11,3405,600,96,18,7,8,726,28330,2330,137,128,80,31009
LGA21610,73264,6544,584,150,84,80628,7135,1485,318,98,15,9053,2061,280,57,19,26,2449,82465,8309,961,263,133,92127
LGA21670,3456,162,30,55,11,3711,1297,146,37,40,12,1529,174,18,11,6,0,208,4932,317,76,101,25,5445
LGA21750,5509,287,34,48,33,5908,1544,247,25,16,16,1847,208,31,3,11,3,254,7262,561,59,76,46,8005
LGA21830,4251,44,56,21,48,4421,1275,53,57,8,9,1401,172,9,20,0,7,207,5697,105,135,24,67,6022
LGA21890,25305,11776,6400,259,141,43886,5953,2040,1168,40,22,9227,941,397,247,12,25,1620,32209,14221,7808,307,189,54736
LGA22110,12327,362,173,155,108,13128,3285,251,117,119,32,3813,483,36,14,18,72,627,16102,649,305,297,213,17564
LGA22170,34321,6350,866,241,49,41823,4034,1885,397,172,5,6497,942,317,76,19,11,1364,39300,8550,1343,436,67,49687
LGA22250,2875,3,32,20,8,2942,1039,4,70,14,0,1131,135,0,11,5,0,147,4048,10,111,42,13,4219
LGA22310,23292,11144,11000,152,130,45721,2647,1233,1507,19,14,5423,519,289,317,4,21,1154,26458,12661,12825,181,171,52296
LGA22410,5336,112,131,39,33,5643,1517,82,122,24,6,1742,221,13,15,3,7,255,7067,203,266,66,46,7644
LGA22490,6086,14,16,24,14,6153,866,6,7,4,7,884,142,0,0,0,3,148,7093,17,24,31,19,7184
LGA22620,30503,2042,360,139,116,33165,5729,1004,160,79,47,7022,939,163,41,19,16,1178,37175,3211,561,241,179,41361
LGA22670,28299,6123,3759,226,76,38497,5224,1569,1192,133,24,8137,1214,396,255,27,30,1928,34738,8098,5209,392,130,48563
LGA22750,61454,6718,1665,380,211,70421,10975,2443,669,154,37,14278,1783,331,125,23,31,2299,74212,9490,2457,559,276,86995
LGA22830,15910,1321,82,138,33,17485,3395,712,66,135,10,4321,595,123,21,25,7,777,19902,2156,166,303,53,22583
LGA22910,4287,48,23,266,65,4691,974,39,24,69,26,1133,150,30,3,13,15,214,5413,125,52,345,97,6029
LGA22980,1508,69,30,10,21,1635,527,32,43,0,4,607,60,6,5,0,3,68,2092,111,72,11,27,2320
LGA23110,17513,7221,1605,92,91,26528,3426,1116,539,36,10,5130,526,197,108,5,11,854,21470,8540,2264,128,107,32508
LGA23190,5335,223,221,10,20,5810,1308,208,164,10,4,1694,178,19,19,0,0,221,6819,446,399,24,30,7721
LGA23270,44388,4537,1553,179,88,50735,5950,1003,474,130,22,7583,1434,219,89,28,41,1809,51768,5756,2113,330,148,60129
LGA23350,4516,49,122,42,34,4763,835,50,83,23,7,994,119,0,16,3,0,140,5472,98,218,59,40,5897
LGA23430,28952,12134,6013,215,135,47453,3882,1916,1267,101,38,7206,701,343,289,12,32,1375,33536,14392,7565,333,212,56036
LGA23670,40850,5134,907,188,76,47156,3743,1159,342,65,15,5327,856,217,76,14,15,1174,45452,6516,1322,269,104,53657
LGA23810,19921,933,814,74,51,21795,4225,680,553,34,12,5507,682,92,95,8,37,915,24827,1710,1458,112,105,28211
LGA23940,1935,4,14,32,36,2027,752,6,25,24,4,817,103,0,7,7,5,118,2792,11,50,67,47,2964
LGA24130,12976,475,106,53,42,13657,1458,190,51,17,8,1723,299,26,3,7,14,346,14735,694,154,79,67,15728
LGA24210,27128,5456,2203,36,57,34872,3144,708,382,4,11,4254,605,183,81,0,78,949,30872,6348,2668,35,150,40074
LGA24250,2428,33,5,20,15,2501,528,21,12,9,9,577,118,0,4,4,3,128,3077,48,17,37,25,3207
LGA24330,13018,6291,5919,145,76,25446,2138,912,1054,25,28,4156,419,221,212,8,24,886,15576,7422,7182,174,131,30481
LGA24410,31486,2655,781,20,63,35005,3345,604,128,3,15,4097,695,116,27,0,23,857,35525,3373,942,29,100,39962
LGA24600,1457,6612,42564,91,325,51048,146,462,3612,17,21,4254,54,177,1375,49,45,1708,1657,7253,47554,156,394,57012
LGA24650,32063,3605,238,64,73,36043,3470,879,95,55,9,4511,971,156,15,5,3,1153,36502,4643,347,125,85,41704
LGA24780,12907,1019,545,112,78,14659,3191,608,514,102,21,4430,531,85,90,8,17,733,16631,1709,1146,224,106,19817
LGA24850,10727,313,180,52,43,11323,1714,126,160,27,8,2037,315,22,23,5,4,369,12761,454,364,87,51,13725
LGA24900,7453,175,200,64,67,7962,2084,137,261,34,33,2545,320,22,37,3,8,389,9853,329,496,105,108,10899
LGA24970,38606,8256,6735,38,161,53796,4998,1047,870,4,16,6937,989,303,161,3,32,1492,44601,9602,7768,41,206,62221
LGA25060,20759,7758,7142,159,110,35928,3645,1059,1657,22,14,6393,586,213,371,3,23,1196,24992,9028,9160,188,151,43513
LGA25150,8556,520,57,52,24,9207,1369,182,66,13,6,1641,227,36,12,6,17,294,10156,735,131,77,52,11145
LGA25250,27106,13864,8732,233,175,50099,6424,1781,1179,31,38,9454,917,437,277,13,19,1661,34444,16083,10188,275,231,61218
LGA25340,41636,4225,1910,253,113,48135,5797,1333,671,186,38,8015,1243,225,126,32,15,1637,48672,5776,2706,472,167,57791
LGA25430,5580,143,28,23,51,5832,1203,104,26,17,9,1350,164,16,3,0,3,189,6949,266,57,43,58,7374
LGA25490,4461,54,20,37,39,4608,1063,31,6,12,3,1118,161,3,3,0,3,167,5687,85,26,46,46,5897
LGA25620,3874,62,21,71,40,4071,843,42,29,35,8,960,156,21,4,41,3,230,4870,134,54,152,48,5263
LGA25710,17201,552,409,10,47,18221,1006,104,87,3,3,1213,289,20,14,0,7,324,18502,682,506,15,56,19759
LGA25810,3193,31,78,27,36,3376,1023,44,73,24,9,1171,117,6,8,3,3,142,4333,87,163,56,52,4695
LGA25900,3550,9585,25762,437,136,39472,343,939,3139,31,14,4467,82,237,810,13,33,1172,3974,10764,29702,484,183,45110
LGA25990,1901,0,4,11,14,1932,678,0,13,12,6,713,71,0,3,3,3,75,2653,0,21,27,18,2723
LGA26080,887,64,19,13,10,986,134,11,12,0,0,164,28,4,0,0,0,29,1048,80,32,13,11,1181
LGA26170,8096,143,132,47,37,8449,1782,92,115,31,11,2034,282,11,7,6,3,314,10155,249,254,80,49,10796
LGA26260,4528,99,53,28,51,4764,1252,61,46,3,14,1385,156,9,7,0,3,176,5936,177,106,38,71,6326
LGA26350,10791,8199,19464,223,125,38805,879,670,2288,18,13,3874,223,192,593,10,14,1044,11898,9065,22347,257,159,43724
LGA26430,2929,48,47,34,21,3079,805,64,43,33,0,945,129,12,8,3,4,151,3866,120,94,61,24,4174
LGA26490,8282,487,86,25,37,8923,889,82,42,10,7,1025,186,15,3,5,0,213,9358,583,129,43,46,10163
LGA26610,4615,156,219,60,73,5123,1459,105,164,46,17,1791,216,12,30,9,8,286,6294,276,412,113,103,7198
LGA26670,1691,10,3,11,9,1726,497,6,7,9,4,518,69,4,4,3,0,81,2259,24,12,24,15,2333
LGA26700,7594,595,41,39,31,8298,1842,412,37,28,3,2314,290,58,4,4,3,360,9726,1066,78,71,35,10980
LGA26730,8454,990,324,49,44,9866,1630,494,242,27,8,2402,235,55,76,0,8,375,10316,1537,645,79,60,12637
LGA26810,11824,293,242,88,61,12501,2696,221,144,59,15,3127,394,36,17,6,5,456,14918,541,399,152,77,16082
LGA26890,1103,6,3,9,0,1130,380,12,11,3,3,410,41,6,0,0,0,43,1524,23,15,19,4,1586
LGA26980,34771,11771,3721,47,109,50416,4050,1811,708,3,9,6586,792,320,164,0,27,1307,39612,13902,4594,48,148,58308
LGA27070,44947,6793,1570,20,77,53414,7091,1117,417,0,10,8642,1335,195,70,3,16,1622,53377,8110,2062,25,108,63678
LGA27170,10373,957,189,26,66,11606,1681,463,122,14,8,2287,271,74,18,3,4,367,12316,1492,333,46,78,14260
LGA27260,50033,7939,1127,70,52,59222,4585,1127,307,55,14,6083,1338,233,56,4,17,1642,55956,9298,1486,123,82,66946
LGA27350,4431,12798,14116,195,150,31702,524,957,2018,11,19,3530,123,335,536,14,20,1022,5083,14091,16670,223,189,36254
LGA27450,42820,1863,194,143,155,45173,4764,684,38,110,24,5619,970,101,6,15,19,1115,48543,2647,243,265,205,51905
LGA27630,1846,3,15,22,21,1902,632,6,37,6,3,682,77,4,0,3,0,92,2555,15,50,29,32,2679
LGA29399,40,3,66,3,3,117,11,0,7,3,0,22,0,0,10,3,0,14,46,6,86,8,5,151
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
