LGA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA20110,9,16,12,20,19,34,17,30,4,156,13,26,12,14,35,17,11,29,47,208,268,736,628,723,864,764,445,929,130,5488
LGA20260,6,23,14,23,32,28,12,18,3,167,11,22,15,13,21,23,4,24,39,175,224,605,467,602,770,838,352,757,88,4708
LGA20570,53,244,153,204,303,229,157,188,17,1543,71,187,94,111,222,217,73,155,339,1472,1778,6245,4841,5595,8169,7420,4216,5663,796,44716
LGA20660,53,271,231,243,340,349,175,276,11,1949,76,246,144,194,319,426,131,256,440,2231,1954,7370,6437,6710,9966,11764,5688,8134,888,58915
LGA20740,26,74,61,54,68,92,34,50,0,459,34,84,49,30,62,68,28,63,125,539,727,1942,1569,1748,1803,1957,950,1582,260,12537
LGA20830,24,131,95,115,193,173,94,154,11,991,48,97,67,55,103,148,58,115,190,878,904,2807,2284,2454,3404,3458,1993,3512,442,21255
LGA20910,35,239,151,146,167,183,102,198,13,1226,50,302,172,211,186,376,133,417,298,2160,1332,6425,5050,4969,5118,8552,4400,9489,652,45993
LGA21010,10,37,19,21,39,38,19,26,3,207,15,30,18,24,42,35,13,24,49,247,287,692,597,725,997,940,512,793,121,5659
LGA21110,57,368,256,219,327,306,195,289,22,2036,107,420,325,265,322,546,174,513,556,3231,2331,11663,8914,8406,10831,15585,7977,15371,1180,82260
LGA21180,82,434,437,363,785,635,237,297,52,3319,151,557,490,446,1303,931,240,311,1357,5788,2220,9235,8827,8827,19331,16028,5856,7224,2475,80034
LGA21270,0,10,7,7,13,17,4,10,0,81,6,7,3,3,11,21,5,12,28,93,103,315,271,286,299,398,197,566,51,2486
LGA21370,23,71,53,70,136,129,66,89,5,642,44,61,35,44,95,95,34,80,174,664,737,1931,1587,2005,2547,2469,1487,2811,372,15950
LGA21450,51,215,169,162,398,391,202,314,27,1924,76,223,142,179,438,441,185,296,405,2379,1493,5089,4453,4982,8601,8647,4373,6414,908,44955
LGA21610,121,691,513,598,1277,1186,577,644,63,5674,216,663,518,649,1880,1595,490,715,1508,8241,4026,15059,12700,15519,32316,27863,12230,15248,2959,137913
LGA21670,7,27,18,17,40,20,13,19,5,161,13,22,18,19,25,35,16,20,38,219,177,620,552,581,795,661,333,519,103,4352
LGA21750,8,53,29,35,60,36,21,40,3,285,19,54,44,30,54,55,20,47,98,423,440,1341,1048,1237,1649,1285,767,1572,213,9545
LGA21830,6,40,21,9,29,42,15,36,0,198,23,35,17,24,28,39,18,41,91,312,331,940,666,781,742,1014,668,1838,180,7164
