LGA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA20110,0,5,0,0,0,5,3,3,12,93,135,21,249,10,5,16,264,148,8,423
LGA20260,0,4,0,0,0,3,5,4,13,112,91,16,219,11,10,23,244,180,5,432
LGA20570,8,32,4,4,8,39,59,26,120,1190,1204,122,2510,143,206,344,2859,1907,51,4817
LGA20660,8,22,0,4,5,26,42,23,97,1571,1149,128,2855,81,112,189,3043,1851,40,4932
LGA20740,0,5,3,0,3,11,22,3,36,247,393,46,691,44,53,95,789,607,17,1411
LGA20830,0,12,0,0,0,12,21,3,33,496,486,72,1051,45,48,93,1153,772,16,1939
LGA20910,3,26,0,0,0,25,19,9,51,1065,770,80,1916,54,55,115,2036,1098,17,3151
LGA21010,0,0,0,0,0,4,19,3,23,128,148,18,297,17,15,34,327,275,3,610
LGA21110,11,23,7,4,5,32,29,20,80,1713,1174,122,3008,92,100,197,3201,1849,36,5083
LGA21180,14,64,6,9,17,78,128,78,285,2325,1745,252,4318,410,419,831,5155,4866,149,10164
LGA21270,0,0,0,0,0,0,5,3,7,21,54,10,85,8,3,8,94,88,3,185
LGA21370,0,4,0,3,4,7,24,9,44,359,363,32,752,42,45,92,846,591,26,1463
LGA21450,5,37,0,4,3,35,31,19,88,1219,1082,113,2419,89,120,204,2623,1327,43,3998
LGA21610,28,75,12,10,19,90,98,78,261,3778,2605,334,6710,349,338,694,7407,4633,134,12171
LGA21670,0,3,0,0,0,3,17,9,27,92,134,15,235,18,30,48,287,377,11,673
LGA21750,3,3,0,0,0,3,12,10,24,173,238,25,437,19,17,34,469,339,21,830
LGA21830,3,3,0,0,0,3,15,9,26,135,142,15,299,13,13,26,325,234,13,574
LGA21890,12,34,3,3,5,41,64,35,141,1338,1180,102,2621,130,106,239,2859,2602,67,5521
LGA22110,3,14,0,3,4,15,17,19,54,358,476,62,891,41,43,82,971,717,33,1721
