SED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED20106,700,162,884,8286,3421,254,11964,47873,8425,68259
SED20207,763,129,905,19748,4023,483,24255,41727,4486,70471
SED20302,1324,343,1699,12617,4397,560,17576,34941,5044,57563
SED20401,1109,354,1474,10657,4005,477,15141,32407,3425,50973
SED20508,1443,277,1731,9450,4480,471,14405,30453,3630,48485
SED20604,1126,211,1369,10183,4188,476,14851,32501,4490,51834
SED20704,1189,355,1570,10557,4489,518,15566,31404,4377,51349
SED20804,1211,368,1609,9051,4111,468,13633,30641,5323,49596
SED20906,1624,221,1873,11802,3041,343,15186,30699,2903,48784
SED21001,2067,416,2527,11733,3664,348,15744,38854,3247,57846
SED21106,1623,294,1952,10774,3704,392,14868,32724,3840,51431
SED21203,1089,133,1242,10474,2669,226,13370,37641,5427,56445
SED21303,1131,324,1473,9188,2950,382,12525,44879,4613,62016
SED21401,1844,294,2171,9527,4204,231,13965,35450,2983,52398
SED21503,937,246,1204,9725,3506,298,13519,34567,3408,51496
SED21608,832,182,1043,9440,4041,470,13956,29613,4206,47771
SED21706,1722,253,2020,11232,3315,399,14948,36766,3349,55066
SED21805,926,356,1300,11931,4039,459,16430,33853,4634,54917
SED21906,1688,254,1968,10274,3702,342,14316,36237,3808,54354
SED22005,1741,343,2116,11268,3332,261,14851,43053,4178,62092
SED22105,715,199,920,20704,4520,679,25908,41267,5246,72425
SED22201,1289,245,1545,10045,4053,441,14537,30826,2816,48174
SED22305,1115,232,1363,11152,3116,231,14498,40647,5621,60771
SED22404,938,168,1127,8807,3904,429,13140,29922,4658,47717
SED22501,789,145,949,10629,4526,439,15597,30026,2182,47805
SED22607,1210,218,1457,10382,3250,279,13918,37498,4421,55839
SED22704,1340,340,1706,8833,3967,339,13144,34333,5931,53409
SED22802,681,166,851,10085,4059,478,14632,28903,2762,46292
SED22901,1350,215,1579,9272,3894,317,13478,32108,2330,47914
SED23007,1104,216,1342,11685,3199,329,15214,47333,6131,68684
SED23101,1549,301,1865,10240,3869,287,14397,32694,2343,49431
SED23205,1397,276,1696,9504,4027,459,13983,32020,4575,50587
SED23308,1625,322,1966,9645,4162,419,14230,34139,4119,52486
SED23402,919,166,1104,12890,4169,508,17571,32791,3538,53900
SED23502,1243,432,1701,7890,3604,339,11833,32119,5449,49403
SED23602,1224,276,1529,8150,3661,414,12223,29172,5560,46948
SED23702,726,169,911,11638,4800,544,16986,34434,4017,55432
SED23806,1217,185,1424,10175,3675,324,14172,37352,3383,54912
SED23901,1577,406,2014,10811,3619,361,14794,34153,3703,52645
SED24006,1775,217,2018,10598,3578,285,14462,34604,3161,52229
SED24105,1062,191,1267,11418,3509,256,15182,38243,3534,56953
SED24207,444,83,539,15616,3938,328,19886,38454,5986,64320
SED24308,1134,395,1545,9905,4199,413,14520,33059,5708,53287
SED24408,1631,407,2067,8120,3337,373,11823,30593,4271,46690
SED24504,840,244,1118,9840,3602,501,13941,28405,4127,46479
SED24606,1449,229,1697,9107,3453,277,12839,33392,3263,49492
SED24703,660,129,807,8211,3225,190,11625,83390,12207,107222
SED24808,717,122,849,14244,4705,539,19490,36161,4858,60511
SED24904,1333,396,1752,8967,3738,391,13093,32255,6049,51397
SED25003,801,72,892,12693,3468,292,16451,34906,3165,54525
SED25102,759,109,880,10099,3977,521,14593,28859,2651,46096
SED25205,1300,311,1644,11559,3529,477,15570,32015,3329,50918
SED25302,1722,233,1979,10792,4503,478,15770,30737,3258,49765
SED25402,1210,321,1546,9651,4371,497,14524,32760,5250,52532
SED25501,1559,231,1814,10380,3592,244,14214,34815,2600,51632
SED25605,1456,215,1692,9674,3699,212,13585,35316,3272,52178
SED25704,1564,430,2019,8823,3893,375,13089,32253,5848,51193
SED25802,1143,307,1472,10217,4597,527,15343,33683,5087,54113
SED25905,937,99,1046,10952,3648,310,14914,35533,3081,53525
SED26005,387,47,450,16733,3910,485,21132,37203,3782,62117
SED26102,1897,572,2493,8019,4468,345,12829,32610,4886,50326
SED26207,1463,265,1746,9688,3849,220,13753,32361,3414,49537
SED26303,1073,215,1328,10310,2931,463,13708,36454,4228,54386
SED26406,1372,260,1649,10908,2869,310,14089,43368,3768,61228
SED26504,1398,532,1957,7988,3537,357,11884,29964,5180,47024
SED26603,2107,274,2413,12108,3109,335,15547,41335,4654,61545
SED26708,1249,288,1570,9277,4058,382,13715,30311,4636,48665
SED26806,1135,259,1420,6453,3011,165,9635,50183,7547,67365
SED26903,1685,396,2111,10350,2973,307,13624,38121,5238,56979
SED27003,671,153,842,7670,3037,267,10974,46752,6850,64577
SED27101,1228,182,1428,11487,3640,438,15563,32222,2730,50512
SED27208,1516,387,1929,8462,3854,390,12711,33275,6222,52214
SED27305,468,56,532,9965,3185,321,13463,29427,2068,44961
SED27406,1802,330,2162,10245,3704,378,14329,30577,3132,48037
SED27504,1341,340,1702,10621,3979,460,15064,34731,5685,55486
SED27608,1385,233,1635,12855,4745,529,18129,33749,3471,55353
SED27708,1325,319,1661,9645,4041,449,14135,32159,4974,51264
SED27807,1162,225,1401,10422,3617,234,14272,42359,5820,62454
SED27907,821,145,980,10215,4064,393,14676,31110,3579,49360
SED28007,482,158,654,14550,3448,328,18319,36689,3660,58667
SED28107,316,61,390,20948,4237,473,25660,40534,5863,72051
SED28203,876,137,1032,11235,3514,217,14963,36083,4112,55153
SED28301,1290,206,1523,10433,4064,322,14820,32330,2437,49588
SED28408,1306,228,1546,9057,4004,433,13495,29566,3683,46743
SED28507,698,221,922,12745,3872,372,16986,34004,4306,55292
SED28607,1339,291,1659,13001,3174,537,16710,36641,4106,57456
SED28704,472,67,558,17255,4598,647,22502,33853,3969,60320
SED28803,368,62,439,17214,3660,431,21307,41851,4050,67211
SED29494,25,13,38,649,290,14,960,3900,1969,6825
SED29797,0,0,0,5,0,0,5,18,3,25
