SED_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SED24703,335,427,209,245,245,163,23,89,27,1776,400,488,478,564,328,245,46,205,41,2796,328,250,866,495,359,288,91,196,55,2922,25,19,23,64,56,42,8,35,0,267,81,85,56,104,85,56,11,54,6,538,72,160,36,58,43,39,14,32,11,471,86,141,60,90,66,47,15,77,72,646,5870,20068,2946,3956,4536,2622,446,1751,618,42826
SED24808,219,231,134,226,231,95,71,72,6,1276,301,319,251,639,471,144,124,117,34,2393,688,311,3181,1176,970,491,959,791,144,8718,34,17,36,71,101,83,57,62,5,463,69,45,62,202,131,69,112,84,13,792,15,24,29,25,36,14,31,19,8,205,67,60,102,108,87,63,112,106,78,781,2047,3767,4035,2938,2671,1212,1613,1382,355,20006
SED24904,173,275,62,191,88,48,18,54,10,922,271,264,130,439,256,85,29,92,28,1589,1046,279,2054,805,607,461,479,663,105,6491,47,13,18,71,78,96,42,56,6,429,94,24,37,128,88,75,43,79,5,572,20,25,14,11,12,9,10,26,5,141,122,83,92,89,71,94,88,142,85,861,2382,3685,2511,2030,1460,934,741,1226,265,15240
SED25003,215,287,209,227,240,150,84,95,17,1533,280,303,280,569,446,207,129,137,31,2377,521,269,2524,858,684,453,555,541,90,6490,23,22,16,58,111,51,38,45,3,376,57,47,59,133,165,70,83,65,4,685,30,45,44,38,44,37,26,25,5,291,51,68,90,110,96,83,78,97,79,763,2144,4823,3595,2647,2818,1545,1230,1300,315,20410
SED25102,252,441,167,238,261,73,32,58,20,1555,363,413,295,483,366,153,48,87,26,2230,893,378,2991,786,653,388,346,502,107,7041,34,18,19,49,64,27,13,44,0,265,72,56,49,106,124,52,29,40,5,531,35,49,18,32,32,3,11,8,3,185,52,57,77,73,54,36,42,47,48,485,3006,5982,3907,2321,2231,991,585,953,288,20268
SED25205,307,454,183,225,345,141,41,42,17,1762,432,469,268,448,447,209,49,83,25,2428,730,318,2343,629,577,335,265,344,80,5625,29,24,26,32,74,47,15,35,0,287,71,56,53,103,153,76,32,32,5,583,29,69,24,31,45,31,14,20,16,276,46,73,52,61,88,53,21,44,57,492,3585,7359,3315,2189,2861,1373,535,746,289,22255
SED25302,336,463,161,251,277,117,24,52,15,1690,399,396,199,404,337,209,31,69,16,2051,839,272,2302,629,536,385,206,393,84,5632,34,19,26,54,65,47,6,31,0,281,83,45,54,138,120,67,17,50,3,571,36,45,16,26,44,26,7,8,7,215,63,92,75,86,73,42,32,58,34,556,3337,5955,3051,2054,2084,1232,350,747,241,19054
SED25402,135,245,133,142,136,47,27,42,8,916,218,322,200,485,332,122,40,47,32,1801,650,247,3111,905,818,417,757,761,117,7783,36,16,29,66,82,66,27,63,13,395,43,22,59,128,105,52,42,59,12,520,11,28,17,20,16,12,10,24,3,144,66,72,81,118,69,56,65,122,62,714,1740,3842,3797,2217,1938,887,1002,1200,277,16895
SED25501,242,323,180,182,225,112,35,102,17,1413,236,244,205,291,299,141,39,85,12,1554,265,138,814,302,239,143,134,210,31,2280,17,12,17,23,42,32,4,22,3,170,43,36,30,63,82,41,17,23,14,344,55,107,25,15,36,29,7,15,4,294,56,84,30,32,53,31,27,37,52,393,3250,8339,1922,1576,2689,1291,410,830,340,20660
SED25605,193,275,195,152,241,105,89,115,28,1399,270,243,277,395,336,179,104,147,30,1963,334,187,1330,478,401,242,312,340,56,3682,21,8,16,39,41,32,11,47,3,219,54,20,34,99,104,53,33,54,7,460,38,65,35,26,43,28,16,27,9,289,42,78,72,51,67,32,45,64,78,520,2390,5764,2460,1861,2540,1258,874,1196,349,18689
SED25704,263,263,78,155,107,42,30,45,12,990,301,257,118,406,219,86,26,90,14,1515,1323,231,2326,829,526,451,542,885,90,7202,49,20,38,73,77,60,22,87,3,428,75,29,49,114,71,70,33,78,13,524,21,18,21,13,14,10,4,26,3,132,178,84,79,105,61,78,78,164,67,905,2861,3328,2825,1962,1335,902,759,1458,221,15653
SED25802,230,315,110,197,162,43,23,67,13,1159,294,333,168,488,339,116,41,110,32,1905,1072,273,3178,937,731,431,712,900,96,8342,43,16,42,81,88,57,27,75,12,439,68,17,68,141,80,71,48,58,12,562,19,33,17,17,25,13,13,17,4,161,115,67,111,93,86,71,66,113,70,795,2589,4130,3846,2334,1897,918,949,1475,282,18427
SED25905,218,280,242,177,278,118,90,103,8,1514,296,300,298,485,432,210,128,150,28,2337,571,260,2668,778,666,428,581,614,118,6697,20,17,23,51,88,51,36,39,3,321,63,35,55,120,133,67,59,62,6,612,39,47,34,26,54,28,22,29,4,276,37,79,88,73,97,61,82,95,72,682,2065,4365,3785,2300,2671,1358,1191,1341,346,19429
SED26005,275,349,250,253,316,134,138,132,20,1869,382,417,364,724,516,217,157,171,31,2989,688,323,2990,1035,845,492,781,764,108,8013,46,32,46,69,99,60,48,62,3,452,83,30,71,151,142,85,82,87,12,746,40,54,40,35,48,33,44,35,9,339,60,78,111,93,114,64,88,114,73,795,2650,5201,4353,3051,3243,1560,1585,1674,356,23666
SED26102,248,319,152,177,181,109,20,65,19,1290,244,254,186,377,243,140,31,100,19,1587,733,226,2617,683,416,414,285,518,69,5949,22,15,33,43,62,61,10,50,3,312,64,48,61,126,91,76,28,51,9,550,22,33,22,17,30,17,3,16,5,161,60,76,103,105,64,94,31,82,55,671,2299,3827,3381,1913,1462,1120,441,1011,226,15668
SED26207,217,338,155,179,234,102,44,43,23,1340,362,322,216,297,422,172,61,89,36,1968,549,195,1974,445,513,304,302,346,65,4684,32,13,18,37,69,35,12,24,7,252,63,51,39,100,138,83,24,29,11,528,29,51,20,23,39,13,12,16,8,206,55,100,65,49,81,57,41,44,56,547,2866,5909,2796,1616,2583,1233,591,739,322,18646
SED26303,236,448,189,182,212,128,30,63,24,1515,302,395,290,357,320,165,32,72,24,1948,364,266,1197,417,382,242,133,226,37,3273,20,21,26,47,42,23,8,18,4,204,54,54,33,81,81,52,19,25,8,399,30,79,26,22,22,18,3,13,7,227,47,76,49,36,35,34,14,29,65,389,4386,12749,2429,2352,2951,1446,390,754,372,27833
SED26406,226,365,189,169,224,128,58,71,12,1456,314,346,339,348,354,194,54,122,28,2098,387,222,1380,459,363,262,166,277,58,3564,23,19,24,49,38,34,10,30,3,229,50,43,34,67,115,55,29,34,4,442,41,88,49,23,40,33,16,29,10,329,36,75,52,49,47,51,21,40,58,421,3619,9854,2777,2143,3163,1733,567,1090,355,25306
SED26504,242,260,86,192,130,56,27,52,10,1043,277,275,143,425,253,135,45,102,21,1671,907,211,2190,776,517,382,524,725,82,6303,49,12,23,70,83,45,26,70,0,382,85,27,45,131,88,66,40,69,7,562,28,30,18,14,16,10,8,33,0,164,98,57,74,88,48,58,58,123,55,662,2439,3508,2723,2031,1432,856,760,1314,212,15269
SED26603,232,369,229,211,260,133,77,74,16,1601,338,420,417,474,457,199,83,157,32,2573,438,261,2024,635,525,288,299,415,73,4953,32,24,21,39,65,31,19,31,0,255,54,48,48,93,127,58,34,37,11,506,29,81,37,39,29,25,27,19,7,284,46,83,79,86,84,60,47,75,92,651,3090,8674,3517,2559,3131,1450,879,1392,393,25091
SED26708,395,278,112,228,153,70,28,81,19,1367,330,224,131,373,221,98,34,119,31,1561,1293,214,2402,860,486,347,552,945,95,7208,50,8,35,46,63,48,24,91,6,377,115,33,45,128,81,60,51,97,10,612,28,28,15,11,12,9,12,17,3,140,222,68,111,110,60,69,63,166,74,927,3370,3506,3036,2101,1420,851,806,1682,280,17047
SED26806,408,536,176,208,270,189,19,36,20,1861,468,595,262,420,402,267,23,49,37,2529,505,332,1213,473,437,300,72,183,55,3557,34,35,16,36,48,27,3,15,5,214,89,82,42,92,107,69,11,29,3,531,72,139,24,25,38,24,0,19,9,348,84,130,48,54,49,57,9,33,77,534,6469,16238,2532,2520,3882,2349,257,754,544,35543
SED26903,193,290,230,181,234,139,72,92,30,1455,281,333,363,471,359,184,95,177,20,2277,349,213,1643,600,431,315,283,407,50,4285,14,8,21,47,60,31,14,48,7,246,40,35,44,103,117,44,32,58,4,481,26,61,34,17,28,16,14,36,9,240,40,62,86,85,61,61,54,89,81,626,2268,6700,2998,2404,2680,1393,842,1483,329,21093
SED27003,329,508,147,188,205,147,13,50,21,1617,381,504,254,352,341,221,42,88,23,2209,430,286,1177,468,374,243,89,193,48,3293,24,21,6,42,43,31,13,21,0,203,61,79,48,80,78,64,16,23,6,459,41,116,24,23,29,19,0,15,6,269,57,94,43,63,43,30,18,40,63,449,6093,16870,2417,2538,3358,1892,311,727,516,34731
SED27101,232,434,159,220,251,126,40,70,16,1550,307,435,299,412,377,188,66,102,21,2202,530,261,1811,641,520,318,223,374,51,4730,17,12,19,36,58,26,18,28,3,223,49,52,48,105,109,66,21,46,3,496,27,49,28,25,36,14,5,11,3,198,33,78,43,63,41,41,17,38,52,415,3091,8090,2966,2274,2831,1325,521,917,278,22302
SED27208,264,262,66,222,124,56,32,38,13,1084,224,210,136,407,219,88,36,83,22,1413,1097,226,2043,955,487,359,505,805,83,6566,55,16,29,70,73,51,32,74,4,401,88,34,41,159,79,42,30,73,0,542,30,15,8,19,16,11,4,31,3,150,127,70,107,115,57,75,65,172,62,840,2498,3047,2562,2257,1335,767,743,1398,229,14833
SED27305,269,378,130,162,273,135,45,48,25,1464,344,333,202,395,428,207,66,71,20,2071,637,274,2337,573,593,369,333,396,85,5596,25,11,15,33,63,34,18,31,0,234,65,58,31,88,140,72,40,36,4,529,35,62,22,21,44,27,7,16,7,243,41,66,58,67,69,44,31,47,47,467,2770,5385,3174,1840,2631,1349,646,818,257,18862
SED27406,360,512,144,162,272,148,24,55,19,1695,400,378,183,283,367,181,36,49,24,1883,532,212,1217,377,389,276,103,203,50,3358,28,14,11,30,55,32,4,13,0,187,76,61,39,78,131,68,23,22,11,498,52,82,20,10,28,27,3,10,11,242,59,80,32,47,80,46,12,10,39,401,4716,8253,2022,1619,2578,1345,264,476,281,21549
SED27504,226,316,73,183,142,48,26,73,13,1084,321,345,172,529,352,116,47,119,18,2015,932,289,2417,898,607,469,508,859,91,7083,37,15,25,57,68,67,21,73,0,359,66,35,44,125,86,49,38,66,13,519,25,41,14,21,25,11,5,38,9,191,108,67,95,78,59,86,82,161,79,828,2464,4456,2987,2252,1696,959,777,1544,252,17393
SED27608,291,514,175,285,263,123,28,61,17,1773,364,445,305,524,394,197,60,121,26,2431,800,326,2873,962,661,541,359,548,88,7157,29,24,19,63,81,54,14,48,3,333,60,48,54,89,115,73,34,53,9,553,21,55,20,27,32,22,3,10,4,200,41,108,51,88,61,49,24,54,50,525,3164,7783,3845,2852,2493,1489,605,1122,290,23651
SED27708,247,311,91,180,130,54,31,51,14,1106,284,272,144,467,285,119,41,95,11,1728,933,265,2610,910,609,430,636,803,95,7287,46,21,40,88,85,54,27,76,0,428,65,27,41,137,71,73,49,82,4,551,28,31,19,14,13,11,8,17,3,143,105,85,93,99,59,59,92,135,65,784,2458,4513,3205,2263,1637,944,917,1411,232,17581
SED27807,138,148,204,172,198,87,124,116,19,1204,167,198,346,447,285,162,186,218,27,2042,256,149,1600,652,361,265,554,612,75,4520,16,14,19,53,55,36,35,53,8,295,35,20,45,120,67,39,72,87,19,503,19,34,39,34,32,18,47,41,5,273,39,58,113,92,62,48,101,173,105,786,1279,3397,2846,2206,1943,1101,1469,1843,359,16438
SED27907,186,305,139,205,270,97,53,51,18,1333,300,308,206,510,443,196,82,67,15,2132,671,289,2839,859,796,418,624,581,92,7173,28,24,37,52,98,52,28,54,6,367,64,41,44,152,152,88,39,44,8,643,25,30,19,26,39,18,17,14,3,185,65,62,67,96,105,63,57,74,46,632,2125,4162,3577,2375,2545,1179,1011,1015,241,18237
