SED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED20106,23223,23833,47059,1386,1429,2815,383,364,747,4340,4494,8833,294,317,611,99,82,179,181,173,355,51,52,104,32,27,59,45,46,91,0,0,0,5430,5556,10979,1959,2095,4054,83,74,151,8848,9153,18000,5058,5006,10068,37133,37996,75129
SED20207,34616,35113,69732,1169,1252,2428,305,286,584,4013,3998,8011,183,181,363,77,82,165,105,117,221,22,26,48,17,28,44,35,39,74,0,0,0,4750,4757,9506,1044,1191,2240,42,47,89,7016,7242,14260,3165,3060,6225,44797,45412,90213
SED20302,26434,27872,54306,1641,1827,3465,107,126,227,3320,3594,6907,102,100,204,29,20,47,38,38,74,16,11,29,23,26,48,7,4,6,0,0,0,3642,3922,7559,264,297,565,61,60,123,5605,6107,11710,2781,2928,5708,34825,36905,71725
SED20401,24306,25376,49676,385,400,788,52,48,101,2610,2832,5443,51,55,111,15,14,36,18,18,36,9,13,22,0,7,5,7,5,9,0,0,0,2766,2992,5759,253,314,568,48,58,107,3446,3776,7225,2158,2263,4424,29908,31408,61319
SED20508,22261,23817,46076,1330,1486,2815,70,74,142,2012,2270,4281,90,75,166,22,16,43,46,46,90,14,16,32,14,21,33,5,16,26,0,0,0,2279,2535,4808,119,143,264,39,45,83,3767,4206,7977,2232,2346,4581,28258,30372,58634
SED20604,24066,24966,49038,1349,1444,2789,767,810,1576,1752,1807,3558,274,221,498,54,49,107,71,81,148,25,30,59,33,32,61,46,42,85,0,0,0,3022,3071,6095,117,161,273,48,52,98,4536,4723,9259,2680,2505,5186,31283,32196,63481
SED20704,23904,25113,49019,803,993,1800,126,128,257,3011,3392,6399,95,94,191,45,56,95,38,42,85,24,28,50,27,26,55,12,13,25,0,0,0,3376,3772,7152,131,180,314,52,30,88,4366,4981,9345,2487,2652,5136,30748,32752,63498
SED20804,22208,23557,45761,905,943,1850,99,107,210,2134,2478,4609,68,67,136,45,40,85,35,34,74,21,23,46,22,18,44,6,3,8,0,0,0,2435,2770,5206,154,182,339,50,54,106,3549,3949,7501,3349,2817,6168,29106,30322,59432
SED20906,23221,24867,48088,604,588,1193,81,78,157,2717,2810,5534,59,56,109,35,34,69,42,37,71,3,9,15,8,7,13,4,9,17,0,0,0,2939,3050,5991,527,594,1120,44,45,88,4119,4270,8390,1899,1962,3862,29239,31102,60340
SED21001,25426,27663,53094,736,834,1570,97,108,203,3201,3326,6532,82,81,164,51,40,89,46,48,100,17,21,33,7,4,18,19,19,36,0,0,0,3516,3662,7175,1211,1341,2554,50,41,91,5515,5880,11391,2036,2195,4235,32977,35735,68711
