SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED20106,5,10,67,47,99,177,416,434,216,1468,6,16,46,27,44,33,53,93,31,355,255,851,2577,1440,1082,966,737,402,172,8482,1347,6515,20428,12797,9619,7672,5448,2378,885,67088
SED20207,31,34,115,140,257,496,891,681,269,2911,11,17,66,70,99,135,138,116,49,707,220,303,882,858,682,539,498,356,189,4525,1926,5119,15484,16496,11901,8098,5033,2450,905,67419
SED20302,59,57,137,138,233,397,887,769,488,3158,4,6,32,46,48,37,42,34,16,269,238,215,540,628,717,794,915,743,407,5201,1749,3463,9160,9202,8984,8716,8110,4102,1699,55175
SED20401,23,30,94,113,177,249,529,509,333,2047,7,9,38,40,55,58,59,43,15,335,139,159,469,488,426,422,490,455,423,3471,1373,3710,9253,8845,8280,7227,5702,3054,1478,48910
SED20508,26,26,43,54,106,228,645,672,484,2280,7,8,14,15,8,13,24,31,12,130,140,133,281,362,416,637,833,590,327,3727,1260,2489,5462,6947,7501,8637,8214,4195,1729,46431
SED20604,26,42,91,107,159,360,733,680,396,2586,0,10,24,35,43,34,36,15,11,207,246,310,569,610,685,754,674,561,265,4670,1664,3574,7311,7693,8802,8914,6792,3250,1363,49368
SED20704,25,55,128,106,212,301,621,658,458,2563,3,12,40,35,55,39,27,12,5,226,272,281,507,497,647,651,611,594,416,4475,1916,4579,7670,7600,8270,8023,5931,3258,1570,48824
SED20804,36,52,127,138,190,393,770,751,461,2916,7,14,50,51,47,44,37,16,7,269,219,287,852,743,746,794,806,672,430,5546,1416,3539,7351,7188,7865,8245,6679,3709,1608,47593
SED20906,20,21,26,53,70,186,483,671,502,2026,0,15,15,30,42,50,66,76,46,331,136,177,358,452,420,333,367,366,218,2823,1344,3417,6689,9026,9434,6785,4511,3144,1874,46224
SED21001,15,25,53,63,101,190,338,526,439,1745,5,23,72,73,71,76,72,81,50,531,160,225,443,380,415,348,362,478,574,3384,1713,5476,9813,8965,9519,7577,5399,3892,2524,54883
SED21106,8,7,29,36,43,78,184,321,301,1006,3,3,25,21,25,29,23,36,21,188,164,201,632,629,635,501,437,367,342,3910,1174,3221,7557,8780,10019,7659,5522,3054,1946,48935
