SED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED26005,45,54,556,9621,10057,1325,174,452,22285,0,7,170,380,207,21,4,24,814,0,0,62,252,78,12,0,3,406,0,7,229,638,282,32,4,24,1218,0,5,24,25,3,0,0,3,56,0,17,0,0,0,0,0,0,20,0,0,3,3,0,0,0,0,10,0,0,0,3,0,0,0,0,4,0,21,32,31,3,0,0,3,91,0,0,14,11,0,0,0,0,26,0,4,3,4,3,0,0,5,25,42,83,832,10304,10348,1359,179,489,23643
SED26102,27,226,3046,10861,4870,921,179,602,20732,0,101,821,411,37,4,0,75,1445,0,0,136,289,81,9,0,13,523,0,106,954,700,115,18,3,83,1973,0,43,154,76,11,0,0,30,319,0,0,11,7,0,0,0,0,13,0,0,3,9,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,50,168,83,14,3,3,31,356,17,98,98,21,3,0,0,20,267,3,7,34,32,12,0,0,4,89,45,483,4302,11689,5016,941,184,749,23407
SED26207,15,67,1109,8940,4636,832,97,333,16025,3,61,829,984,81,10,5,61,2035,3,14,413,1337,460,55,4,45,2335,3,76,1241,2320,537,66,10,112,4367,11,65,349,293,14,0,0,16,742,0,21,11,0,3,0,0,0,35,0,33,14,6,0,0,0,0,49,0,5,3,4,0,0,0,0,8,11,123,372,299,13,0,0,16,838,3,3,27,59,27,3,3,4,127,0,3,8,25,9,0,0,9,57,35,269,2763,11640,5224,902,114,475,21415
SED26303,12,119,2633,6623,2483,448,88,279,12680,3,226,1656,1011,134,18,6,64,3118,18,487,1169,1114,189,19,6,46,3043,21,710,2820,2129,326,32,9,115,6160,17,1672,1681,184,14,4,5,103,3683,6,237,369,85,4,0,0,14,702,22,511,858,71,4,0,0,43,1504,0,0,0,0,0,0,0,0,3,48,2412,2901,338,19,4,5,167,5895,0,28,85,38,6,4,0,4,167,0,16,39,21,12,4,0,7,101,81,3286,8475,9156,2847,490,98,573,25011
SED26406,14,107,1678,6737,3321,749,205,262,13077,20,257,2391,1188,139,22,9,99,4119,3,46,407,1221,370,58,29,52,2190,26,299,2802,2418,510,77,31,147,6313,34,1791,2037,377,56,11,10,118,4425,13,199,501,21,0,0,0,12,757,22,512,704,20,0,0,3,22,1287,0,0,0,0,0,0,0,0,0,67,2503,3244,421,58,7,15,149,6463,0,3,15,11,3,0,0,0,35,0,18,26,32,9,3,3,20,109,106,2930,7769,9615,3901,842,253,578,25994
SED26504,34,219,2256,10378,5133,658,126,533,19347,8,220,848,160,17,3,3,73,1341,0,22,30,30,6,0,0,0,93,8,243,881,195,26,5,3,78,1434,3,117,275,51,9,0,5,43,500,7,3,6,0,0,0,0,0,15,0,6,8,6,4,0,0,0,28,0,0,3,0,0,0,0,0,3,8,128,288,56,12,0,4,43,545,16,44,40,21,16,0,3,5,139,6,19,43,44,28,7,0,12,164,75,666,3506,10689,5207,675,138,674,21630
SED26603,15,113,2771,9576,3353,509,107,387,16822,11,237,2304,817,47,9,14,132,3570,14,116,2111,1895,274,17,5,103,4553,26,349,4421,2717,327,28,21,232,8120,30,243,813,176,3,0,0,43,1314,0,48,172,13,0,0,0,5,239,6,158,225,10,4,0,0,8,407,0,0,7,5,0,0,0,3,23,33,451,1219,206,9,0,0,57,1976,0,9,34,24,6,0,0,7,79,4,10,29,42,14,3,4,5,103,75,925,8471,12562,3706,543,130,687,27103
SED26708,35,318,2397,10817,5631,779,192,492,20669,4,158,359,103,6,3,0,37,685,0,4,18,21,3,0,0,0,53,4,162,380,130,13,4,3,40,735,0,72,118,46,8,4,3,19,265,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,126,49,8,4,3,19,275,7,45,32,33,10,3,0,13,147,3,8,28,65,29,3,8,16,158,48,614,2963,11092,5690,794,211,581,21983
SED26806,3,76,719,1257,673,189,48,67,3028,3,108,1530,1172,156,21,4,71,3075,4,64,719,1218,278,40,0,45,2363,6,179,2252,2390,432,59,9,117,5437,54,1002,2133,456,50,9,6,94,3796,143,3595,4670,652,22,0,11,227,9322,240,4573,5649,1462,54,9,9,300,12299,3,12,14,0,0,0,0,3,34,437,9179,12465,2571,124,25,26,622,25448,3,43,43,18,4,0,0,6,118,4,23,38,16,7,3,3,21,117,455,9503,15511,6256,1245,275,80,829,34152
SED26903,34,249,3441,8867,2543,439,117,479,16175,11,731,3086,990,68,10,7,179,5081,11,152,1172,896,76,7,3,72,2385,24,883,4261,1885,145,16,8,250,7469,10,303,600,88,12,4,0,44,1060,43,173,134,16,0,0,0,11,371,9,65,216,11,0,0,0,5,303,0,0,0,0,0,0,0,0,0,62,542,950,113,8,4,0,58,1734,0,15,72,33,8,0,0,3,132,0,11,28,21,8,0,0,7,76,118,1696,8746,10913,2716,466,127,801,25582
SED27003,4,231,1303,1718,606,103,31,95,4101,10,320,3291,1947,426,40,12,128,6171,10,188,1631,2361,564,102,24,135,5012,16,503,4921,4312,987,145,32,261,11185,86,1039,1283,321,38,3,6,102,2882,56,1542,1469,388,18,3,0,92,3568,128,2535,4537,1013,31,0,4,239,8497,0,3,3,3,0,0,0,0,4,268,5122,7296,1730,86,7,13,440,14952,3,27,60,61,11,4,3,8,174,5,39,51,34,8,0,3,18,166,297,5931,13634,7849,1700,266,86,824,30580
SED27101,21,178,3287,8860,4429,799,146,320,18032,16,326,1754,938,65,6,10,105,3219,0,53,290,607,79,3,0,14,1049,21,375,2045,1542,148,13,11,122,4264,0,32,195,47,4,3,0,9,290,0,34,194,4,0,0,0,8,236,3,141,171,17,0,0,0,6,330,0,0,8,3,0,0,0,0,10,3,209,561,69,5,3,0,21,865,0,4,10,7,4,0,0,0,20,0,3,28,22,5,0,0,7,68,42,761,5929,10500,4589,812,154,474,23257
SED27208,62,459,3444,11909,5044,697,185,599,22404,10,170,316,74,12,6,4,66,660,0,0,0,3,0,0,0,0,9,10,170,320,81,12,6,4,66,670,15,124,223,41,5,0,0,40,448,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,15,124,224,41,5,4,0,45,457,54,154,100,212,82,15,5,28,640,6,9,30,85,13,8,5,12,170,147,920,4112,12320,5160,725,205,749,24335
