SED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED27305,15,51,384,7221,7049,1380,197,236,16534,3,12,331,153,14,3,0,26,539,0,3,82,215,29,4,0,10,338,3,19,415,372,42,5,0,27,880,0,11,154,65,0,0,0,7,232,0,13,32,0,0,0,0,0,45,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24,182,62,0,0,0,11,279,0,0,7,53,42,8,0,6,119,0,0,0,4,5,0,0,0,15,19,88,994,7707,7134,1393,200,286,17824
SED27406,5,51,1390,5496,4256,1004,111,202,12524,6,309,2378,1122,81,4,3,90,4003,3,47,394,1403,445,38,3,47,2378,6,356,2776,2528,525,44,10,136,6378,8,355,871,212,17,3,0,40,1503,4,154,374,65,3,0,0,17,617,11,296,543,38,0,0,0,13,906,0,3,0,0,0,0,0,0,3,26,807,1792,313,20,3,0,65,3028,0,20,96,29,6,0,0,3,149,0,11,26,28,20,3,0,8,97,44,1240,6074,8391,4825,1057,125,419,22169
SED27504,39,226,2374,11947,5849,717,115,576,21833,10,339,1330,302,56,7,0,124,2167,0,6,45,28,9,3,0,7,96,10,348,1371,329,63,5,4,129,2259,3,71,188,25,0,0,0,24,322,0,10,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,198,28,0,0,0,26,348,36,150,77,32,9,5,0,36,345,0,5,12,21,14,3,0,7,63,88,815,4034,12359,5932,727,117,770,24856
SED27608,18,128,1580,9906,7927,1147,253,324,21292,8,196,1024,366,89,10,6,45,1733,0,46,102,273,53,3,0,10,483,8,236,1125,638,137,11,6,48,2215,7,63,36,16,0,0,0,14,147,0,14,7,4,0,0,0,0,27,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,78,50,22,0,0,0,15,180,0,3,9,32,48,10,7,5,119,0,0,11,23,11,0,0,3,55,33,452,2776,10623,8134,1172,265,398,23854
SED27708,28,213,2372,11116,5243,802,181,459,20407,9,199,963,192,27,5,3,64,1456,0,16,152,153,19,3,0,9,352,9,215,1116,344,41,7,3,70,1813,3,139,513,80,5,0,3,79,829,0,51,8,12,3,0,0,5,82,0,0,8,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,198,531,91,9,0,3,86,924,16,36,66,40,13,0,4,7,175,0,8,35,39,17,4,7,11,118,65,659,4113,11629,5323,817,196,645,23443
SED27807,55,135,1572,11870,3770,631,128,655,18812,11,127,836,1024,128,17,0,100,2244,3,18,354,547,165,48,3,56,1190,13,140,1194,1566,298,61,3,158,3436,13,360,964,422,28,5,0,84,1874,0,25,37,3,0,0,0,3,67,3,29,59,5,0,0,0,3,102,0,11,12,8,0,0,0,0,28,16,424,1074,439,28,5,3,89,2072,0,3,11,22,14,0,3,23,81,0,3,23,27,5,0,0,15,71,87,702,3872,13926,4108,699,141,934,24472
SED27907,15,58,692,9881,6358,945,159,314,18422,5,86,861,464,21,0,0,44,1480,0,4,98,289,16,0,3,16,427,5,84,954,757,40,0,3,62,1907,8,77,497,342,15,0,0,27,954,0,8,29,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,86,523,342,15,0,0,31,997,0,0,0,5,3,0,0,0,10,0,3,5,14,8,0,0,4,28,28,237,2182,10998,6413,942,163,409,21372
SED28007,34,24,375,7640,8994,1172,169,360,18765,3,13,525,1156,305,16,3,47,2065,3,7,97,896,177,32,0,30,1242,7,15,626,2047,484,44,3,76,3306,7,123,52,104,3,0,0,12,304,0,13,45,8,0,0,0,3,71,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,137,96,116,3,0,0,21,380,0,0,0,3,3,0,0,0,5,0,0,6,16,8,4,0,0,40,47,170,1105,9823,9497,1224,168,456,22492
SED28107,40,48,383,9728,10964,1050,107,500,22824,5,16,626,1903,1136,67,13,77,3852,0,3,141,363,183,33,6,17,754,5,22,770,2274,1324,98,18,94,4605,0,36,415,294,11,6,0,28,790,0,6,13,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,431,294,10,6,0,32,818,3,20,10,3,0,0,0,3,40,0,4,5,12,5,0,0,8,32,54,132,1601,12303,12309,1152,128,638,28323
SED28203,48,121,869,11387,5616,656,123,520,19338,4,82,594,430,42,5,0,42,1200,7,12,251,521,41,4,0,11,849,11,94,842,948,85,13,0,54,2048,3,79,495,252,8,0,0,24,864,0,29,10,0,0,0,0,0,41,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,111,503,253,7,3,0,20,912,0,0,0,14,0,0,0,0,16,0,0,14,18,9,4,0,9,55,62,331,2232,12620,5717,669,123,613,22368
SED28301,13,88,645,5780,7225,1800,363,241,16158,0,69,449,564,63,4,0,41,1199,0,5,119,753,371,39,0,21,1312,3,72,570,1319,433,47,3,63,2509,0,93,244,311,22,0,0,23,698,0,35,134,12,3,0,0,6,187,0,19,72,3,4,0,0,3,107,0,0,0,0,0,0,0,0,0,0,145,455,330,20,0,0,33,986,3,9,4,3,0,0,0,0,25,0,0,3,15,16,3,3,47,86,17,319,1678,7446,7699,1847,366,391,19760
SED28408,13,145,2206,9862,4798,617,88,381,18111,4,463,1062,746,163,12,9,86,2546,0,19,115,169,86,9,4,6,414,11,480,1176,914,247,25,6,94,2957,8,256,414,96,9,3,3,33,815,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,269,445,114,7,3,3,34,885,0,3,8,10,11,0,0,3,34,0,20,17,26,11,3,0,12,89,31,919,3857,10925,5078,643,104,523,22074
SED28507,30,101,1147,11706,6266,683,111,447,20499,9,127,1050,856,125,12,3,65,2242,0,4,82,297,45,6,0,8,449,9,125,1135,1159,173,18,3,76,2699,0,14,181,109,5,0,0,7,317,0,0,12,0,0,0,0,0,14,0,10,40,5,0,0,0,4,59,0,0,0,0,0,0,0,0,0,0,25,234,119,5,0,0,9,386,11,33,17,10,0,0,0,4,77,0,0,5,7,11,0,0,3,32,51,290,2548,12997,6452,703,115,544,23697
SED28607,15,161,3221,9699,2988,525,80,314,16989,6,281,1203,882,89,13,3,64,2535,4,69,938,2121,549,51,8,55,3804,11,352,2139,3006,633,65,11,125,6334,12,562,1159,186,8,3,3,74,2011,0,158,275,21,0,0,0,5,458,22,107,105,30,0,0,0,14,274,0,0,3,0,0,0,0,0,5,35,821,1538,230,15,3,3,98,2746,8,41,69,48,16,4,3,9,191,3,24,27,38,13,0,3,11,114,68,1396,6997,13014,3665,591,95,547,26380
SED28704,13,103,825,8791,11530,1358,250,368,23237,8,47,259,465,301,13,3,28,1126,0,10,130,396,96,7,0,8,652,12,58,395,868,395,24,4,33,1782,0,8,68,77,0,0,0,5,158,0,0,37,3,0,0,0,0,47,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,103,80,7,0,0,9,205,0,8,4,0,7,0,0,0,21,0,3,14,23,14,3,0,4,58,26,176,1339,9762,11955,1383,254,409,25299
SED28803,46,70,599,9878,10070,1287,225,450,22619,5,16,362,685,211,9,0,30,1312,0,23,318,572,88,4,0,21,1034,6,37,677,1255,300,18,3,53,2354,0,0,119,88,8,0,0,5,221,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,115,90,6,0,0,5,221,0,32,36,10,3,0,0,8,91,0,0,3,16,13,0,0,3,35,50,134,1438,11242,10397,1308,233,518,25324
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
