SED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SED20106,0,5,7,50,72,106,261,327,94,933,11,19,71,258,32,27,19,4,3,446,54,45,107,1252,89,57,37,6,3,1649,0,9,286,437,33,25,14,3,0,807,3,4,14,217,15,13,10,0,0,273,0,0,0,24,4,3,0,6,0,34,3,9,40,536,47,33,28,13,3,716,4,11,48,357,51,69,119,69,25,765,12,3,51,221,57,40,9,0,3,393,9,8,119,473,28,5,3,0,0,641,0,0,4,24,14,6,8,0,0,59,7,14,243,719,84,103,45,12,3,1239,0,0,0,4,3,13,35,15,6,81,0,0,11,72,13,15,8,3,0,115,0,0,0,12,3,3,0,0,0,17,0,0,4,43,0,0,0,0,0,50,5,18,6,75,39,18,50,12,7,217,19,47,230,1240,334,232,95,27,3,2231,0,0,5,57,23,10,6,3,0,104,0,0,11,55,0,3,0,0,0,71
SED20207,0,18,3,41,76,107,123,80,20,458,13,21,25,185,43,52,10,0,0,347,166,446,470,4757,340,241,127,41,7,6586,7,36,52,624,61,36,30,6,0,857,4,33,15,176,36,15,3,0,0,279,0,0,11,43,19,9,0,4,0,89,3,39,17,167,46,37,21,24,5,363,0,16,10,79,86,179,168,136,65,736,6,13,8,83,26,3,3,5,0,153,16,71,44,308,58,21,5,3,3,529,5,11,30,171,91,48,35,9,0,393,20,101,114,602,149,125,55,12,3,1178,0,4,5,37,77,241,361,213,39,979,3,16,24,171,31,31,17,3,6,299,0,9,29,113,59,36,16,10,9,277,0,3,24,82,4,7,0,0,0,122,3,11,8,36,17,21,36,17,7,156,108,505,447,1181,388,231,75,13,4,2963,3,3,10,22,19,23,13,13,7,104,12,53,68,322,30,12,3,0,0,510
SED20302,0,0,3,6,11,12,29,26,6,102,0,0,4,19,3,12,4,0,0,52,35,74,76,899,95,82,53,12,7,1337,0,4,4,53,5,7,11,0,3,92,0,4,0,16,3,3,0,0,0,29,0,0,0,7,0,0,0,0,0,10,3,12,3,39,23,26,34,35,6,178,0,0,3,11,28,72,140,100,48,407,0,6,0,19,13,7,3,0,0,45,0,0,10,20,0,0,0,0,0,33,0,3,3,11,4,4,0,0,0,32,0,20,15,57,32,11,11,0,0,154,0,0,0,0,3,25,65,16,7,113,0,6,26,103,50,42,20,6,3,263,0,3,7,27,3,0,3,0,0,48,0,0,9,31,3,0,0,0,0,42,0,0,3,25,21,84,223,125,35,519,27,127,142,421,218,199,133,51,11,1328,0,0,0,12,16,24,23,13,4,95,0,17,17,40,3,0,0,0,0,77
SED20401,0,4,0,3,24,22,34,22,10,120,14,22,36,185,62,60,24,7,0,397,13,81,127,830,135,102,60,21,19,1385,0,3,10,97,32,9,6,6,0,173,4,12,9,122,31,25,15,3,0,221,0,0,0,3,3,0,0,0,0,8,0,14,3,41,18,23,41,15,14,165,0,3,0,21,25,54,84,51,29,265,0,7,7,29,9,3,4,3,0,61,0,8,17,98,23,14,7,0,0,178,0,3,0,4,11,12,3,6,0,36,3,51,37,263,79,71,48,27,4,586,0,0,0,0,3,6,23,3,0,41,0,4,3,23,17,19,13,0,3,79,0,13,27,68,19,3,4,0,0,140,0,3,7,42,7,0,0,0,0,56,3,5,3,13,27,70,132,90,32,378,10,62,68,268,150,100,78,20,6,751,0,0,3,5,13,17,24,14,5,79,0,3,10,43,15,5,3,0,0,76
SED20508,0,3,0,0,14,32,52,44,6,147,0,3,9,5,0,3,0,3,0,25,0,13,7,72,15,24,18,6,3,163,0,3,0,16,7,0,7,5,0,33,0,0,0,3,3,0,3,0,0,13,0,0,0,0,3,0,0,0,0,3,0,12,3,39,23,28,22,19,9,161,0,0,0,16,26,60,92,79,32,306,0,3,0,11,6,3,4,0,0,36,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,23,15,12,3,3,0,57,0,0,0,3,6,45,87,34,0,180,0,0,4,0,14,3,3,0,0,25,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,7,13,21,57,157,84,26,368,5,41,34,177,127,106,105,36,10,630,0,0,3,3,15,22,25,19,3,95,0,3,4,4,0,0,0,0,0,16
SED20604,0,0,0,0,3,5,3,3,0,18,0,0,0,6,0,4,4,0,0,17,9,30,5,226,22,13,19,4,0,331,0,0,0,7,5,6,0,0,0,24,0,0,0,13,0,3,0,0,0,25,0,0,0,3,0,0,0,0,0,3,0,0,0,17,11,16,14,5,0,67,0,0,6,8,5,19,48,32,15,142,0,3,0,10,4,4,0,0,0,20,0,4,0,10,0,0,0,0,0,17,0,0,0,3,3,3,0,0,0,15,0,6,3,17,7,15,5,0,0,59,0,0,0,0,0,3,6,3,0,21,0,3,0,15,7,0,0,0,0,27,0,0,3,4,0,0,0,0,0,14,3,26,32,19,0,0,0,0,0,79,0,3,3,10,18,66,104,46,11,263,0,29,42,154,110,107,64,30,3,537,0,0,0,8,3,4,4,0,0,33,0,8,0,25,0,0,0,0,0,35
SED20704,0,0,0,0,3,0,3,5,3,15,0,0,5,6,9,0,4,0,0,27,14,34,38,221,30,13,15,12,0,373,0,0,7,15,15,5,7,0,0,48,0,3,0,4,4,0,0,0,0,18,0,0,6,5,0,3,3,0,0,16,0,8,3,20,10,7,11,6,4,71,0,0,0,6,4,20,32,24,10,99,0,0,5,3,3,0,0,0,0,21,0,5,6,19,3,0,0,0,0,36,0,0,0,0,4,3,0,0,0,11,0,5,16,30,15,12,9,0,0,90,0,0,0,0,0,8,7,8,0,26,0,0,0,12,3,0,4,0,0,18,0,10,27,105,39,16,4,3,0,198,3,3,0,13,3,0,0,0,0,17,0,0,3,8,3,25,36,23,11,114,3,14,41,153,73,70,44,10,0,410,0,0,0,6,5,5,14,3,0,35,0,3,7,37,0,0,0,0,0,48
SED20804,0,0,0,3,11,4,14,9,0,42,0,3,14,16,6,0,3,0,0,45,13,18,23,275,18,15,9,3,0,375,0,0,0,11,7,4,4,0,3,32,4,15,5,8,0,0,0,0,0,40,0,0,6,4,0,0,0,0,0,11,0,4,4,23,11,12,18,8,7,78,0,0,0,3,10,7,28,9,7,68,0,4,6,12,4,4,0,0,0,33,0,0,0,15,0,3,0,0,0,14,0,0,0,11,8,4,0,0,0,26,0,0,5,24,25,19,9,3,0,93,0,0,0,3,0,13,10,8,0,32,0,0,0,7,10,0,0,0,0,18,0,8,45,119,30,27,14,6,0,251,0,0,0,22,0,0,0,0,0,20,0,3,3,11,12,45,79,31,7,192,3,23,31,135,102,112,54,24,8,483,0,0,0,3,8,3,6,6,0,26,0,0,0,4,0,0,0,0,0,10
SED20906,0,3,11,34,106,168,320,353,85,1088,6,22,25,55,32,31,21,12,0,208,21,108,163,885,209,124,88,65,31,1697,0,6,11,79,21,5,3,3,0,134,0,0,6,47,12,7,3,3,0,88,0,0,0,8,0,3,0,3,0,15,0,7,15,107,51,27,20,19,14,258,0,15,9,40,51,94,164,204,86,657,8,51,24,140,36,17,17,4,0,291,6,54,56,141,62,14,4,0,0,329,0,0,0,19,24,33,21,20,9,123,3,26,35,161,78,72,30,20,3,422,0,0,0,4,4,10,19,16,5,46,0,3,5,31,24,8,11,16,3,100,0,0,0,6,4,3,4,0,0,13,0,0,5,32,0,0,0,0,0,46,3,3,10,32,18,14,20,5,4,109,13,87,91,346,216,127,52,22,8,958,0,3,0,7,13,5,7,11,6,59,0,0,3,14,3,3,0,0,0,30
SED21001,0,8,4,13,38,51,135,153,36,429,13,37,173,489,128,161,75,32,4,1125,61,148,209,1214,154,99,84,33,15,2011,3,3,53,192,49,17,24,8,4,357,3,29,31,217,35,27,12,7,3,379,0,0,3,9,10,0,0,0,0,29,0,8,4,40,27,22,20,16,13,142,0,3,4,22,43,66,155,154,88,537,3,17,22,90,27,7,8,0,0,189,9,31,111,300,74,31,6,3,0,566,0,0,0,3,10,5,12,0,4,36,14,71,243,897,253,263,166,70,21,1998,0,0,0,3,7,12,10,9,7,46,0,3,11,38,13,14,0,6,3,84,0,4,3,23,4,9,0,6,3,54,0,3,9,35,0,0,0,0,0,50,0,9,5,13,9,28,43,36,19,161,12,90,124,224,170,136,60,44,11,862,0,0,4,3,7,9,14,3,5,43,4,3,21,92,11,3,0,3,0,135
