SED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SED21106,0,0,3,12,38,67,92,124,35,373,3,35,20,38,23,22,12,16,0,168,12,30,30,217,82,63,44,31,12,518,0,3,6,41,11,13,10,0,0,85,0,0,0,38,8,4,5,0,0,64,0,0,0,0,8,0,0,0,0,17,3,33,15,255,57,37,32,16,13,458,3,8,17,84,40,63,97,121,70,499,3,38,20,82,38,10,7,3,0,213,0,12,16,32,10,4,0,0,0,74,0,3,0,20,9,10,3,0,4,57,0,4,19,87,63,61,32,17,4,284,0,0,0,0,3,9,17,10,3,45,0,0,0,22,16,9,5,5,0,57,0,0,0,3,0,0,0,0,0,11,0,0,0,20,4,0,0,0,0,22,0,24,5,38,25,22,34,15,8,179,7,82,125,496,257,177,87,30,25,1287,0,0,0,35,21,9,22,9,0,99,0,0,7,13,3,6,0,0,0,28
SED21203,0,12,19,30,55,98,204,210,107,741,0,0,8,20,10,3,0,0,0,39,46,107,226,1087,118,72,50,28,11,1750,4,6,15,57,24,6,4,0,0,113,12,63,93,334,38,15,3,0,0,558,34,412,580,1857,889,485,217,101,33,4599,0,0,0,18,14,9,3,10,12,66,3,8,13,59,134,335,618,822,311,2301,0,3,4,12,8,0,0,0,0,28,0,3,6,24,3,0,3,0,0,39,37,60,185,1225,629,409,218,69,22,2850,5,6,18,61,24,16,5,0,0,144,0,0,3,9,25,92,203,173,50,547,0,4,0,20,8,7,12,0,0,56,0,7,5,34,17,11,6,6,3,82,6,67,142,316,14,0,0,3,0,558,0,3,0,5,0,16,19,10,3,56,36,184,172,241,85,58,12,3,0,783,0,0,0,3,0,3,8,4,3,28,107,243,495,1653,150,36,17,7,0,2703
SED21303,0,5,13,52,97,202,512,635,162,1682,0,4,36,106,22,20,12,5,0,199,27,28,104,621,47,36,23,9,6,904,45,44,36,311,8,10,8,0,0,467,0,3,11,185,13,5,3,0,0,222,0,0,4,17,9,11,7,6,0,55,8,9,8,227,25,18,8,10,4,317,3,13,37,266,166,337,637,981,493,2933,0,7,12,142,22,11,8,0,0,209,0,3,23,103,10,3,4,0,0,146,0,0,23,109,161,205,172,53,13,738,3,3,120,305,52,62,37,14,3,604,0,0,0,5,14,21,43,52,13,156,0,0,5,53,12,10,3,3,0,88,0,3,3,0,4,3,8,0,0,17,5,14,212,497,4,14,5,0,0,745,3,6,5,53,25,13,7,3,0,109,11,17,197,1186,165,101,29,14,0,1717,0,0,0,15,7,7,3,0,0,29,16,25,35,205,8,5,0,0,0,293
SED21401,8,25,23,53,151,319,652,630,185,2040,9,41,122,461,207,361,159,53,3,1426,7,39,67,447,132,118,96,41,12,959,0,0,17,100,37,33,25,11,7,241,5,81,102,574,171,120,65,19,3,1135,0,0,4,26,18,18,0,0,0,72,0,0,0,17,11,15,9,10,11,77,3,8,17,51,98,286,757,764,296,2269,0,10,18,38,21,11,17,0,7,114,3,35,73,186,96,50,23,12,3,477,0,0,8,33,63,105,50,23,5,282,7,83,208,637,295,345,255,82,15,1937,0,0,3,0,0,11,34,35,13,97,0,0,0,21,11,7,8,5,0,49,0,0,0,3,0,8,4,4,0,16,0,0,0,14,3,0,0,0,0,17,3,3,3,5,11,9,24,28,17,99,9,46,109,152,95,85,49,30,11,572,0,0,0,4,7,3,0,5,7,35,5,24,23,97,12,8,10,0,0,185
SED21503,0,14,18,45,95,196,313,241,54,974,3,3,71,114,22,46,23,3,0,285,27,73,326,909,158,102,52,26,10,1681,0,7,37,82,19,11,7,7,3,169,4,22,31,279,30,12,11,0,0,393,8,7,10,63,24,7,3,7,0,131,3,12,6,55,32,18,11,17,10,167,4,3,9,42,112,264,386,320,109,1238,0,3,18,38,10,0,0,3,0,71,0,4,15,56,11,6,0,0,0,94,0,0,7,70,52,49,40,13,3,244,11,21,166,231,61,123,53,3,3,665,0,4,0,6,10,32,58,37,4,149,0,0,21,34,10,21,9,5,6,105,0,0,3,10,6,0,0,0,0,26,0,4,8,66,0,5,0,0,0,80,0,4,3,7,3,15,23,23,8,92,12,42,84,201,92,71,28,11,3,532,0,3,0,10,3,12,9,4,3,43,0,13,40,98,8,5,3,0,0,168
SED21608,0,0,0,3,4,4,12,4,0,24,0,0,0,3,3,0,3,0,0,9,5,17,29,183,18,18,10,5,4,287,0,0,3,5,3,0,0,0,0,22,0,3,4,23,3,3,3,0,0,42,0,0,0,4,3,0,0,0,0,3,0,3,5,23,17,19,25,10,0,109,0,0,0,3,24,20,35,22,10,123,0,3,0,15,5,4,0,0,0,27,0,3,5,8,0,0,0,0,0,17,0,0,0,3,7,0,0,0,0,9,0,7,9,19,13,16,3,7,0,70,0,3,0,7,16,33,53,8,0,123,0,0,0,3,3,9,0,0,0,12,0,0,3,3,0,0,0,3,0,10,0,0,0,10,0,0,0,0,0,17,0,0,6,6,21,68,160,80,13,355,4,29,35,128,114,108,52,24,4,497,0,0,3,0,14,14,12,3,4,57,0,3,3,24,0,0,0,0,0,33
SED21706,0,7,13,23,61,115,214,293,64,786,17,25,114,267,74,89,47,16,0,661,17,56,378,940,164,106,83,36,22,1796,0,3,126,182,35,35,19,6,0,407,0,18,20,113,19,15,12,7,3,199,3,6,9,9,0,9,0,0,0,36,0,12,3,49,28,23,15,27,11,171,0,0,14,29,34,57,113,151,64,454,0,7,23,58,24,16,8,6,0,142,3,25,68,157,79,25,7,5,0,374,0,3,0,15,13,16,11,3,0,65,6,49,238,536,188,206,125,41,13,1396,0,0,0,3,4,6,15,11,9,43,0,0,27,46,16,21,12,7,6,140,0,0,6,17,11,5,3,7,3,52,0,0,28,28,0,0,3,3,0,62,3,9,6,18,13,11,37,25,12,136,16,82,102,285,178,152,58,27,12,897,0,0,0,12,3,12,10,6,3,45,3,5,44,90,9,7,4,0,0,169
SED21805,0,8,3,10,44,46,66,38,9,230,0,9,3,29,11,24,9,0,0,88,12,57,72,577,147,132,74,30,13,1117,0,6,13,31,12,9,6,3,3,88,0,0,0,22,3,0,0,0,0,30,0,0,0,4,0,3,4,0,0,12,3,11,6,80,37,30,36,25,3,223,0,3,7,34,35,70,86,67,23,316,0,3,3,21,10,4,4,0,0,43,0,3,0,15,7,3,0,0,0,23,0,0,0,31,16,10,4,0,0,64,0,11,16,52,30,37,14,8,4,177,0,0,0,3,11,18,16,23,5,77,0,13,8,101,31,67,39,13,7,277,0,0,0,12,0,6,7,0,0,33,0,0,0,16,0,0,0,0,0,12,0,3,0,18,12,59,87,93,64,333,25,148,193,656,337,241,106,39,14,1757,0,0,3,21,18,22,9,17,4,100,3,0,7,25,12,7,3,0,0,54
SED21906,0,0,3,16,35,84,157,213,55,569,0,15,38,79,26,25,16,5,0,209,94,159,295,1844,105,66,55,34,4,2653,0,7,44,115,17,10,9,8,0,210,3,0,3,65,6,3,0,0,0,85,0,0,0,7,4,0,12,4,3,27,0,14,27,363,36,20,10,5,7,480,3,9,17,104,30,47,75,60,59,399,16,39,28,169,49,8,13,3,0,330,0,11,19,91,13,3,0,4,0,143,0,0,0,10,5,14,10,4,0,41,0,0,84,193,64,50,25,10,4,433,0,0,0,3,9,5,14,3,5,36,0,0,7,50,15,7,11,11,8,104,0,0,3,6,7,4,3,3,0,24,0,0,45,110,3,0,0,0,0,164,0,12,5,34,11,20,26,9,8,119,8,38,108,591,184,155,69,21,15,1183,0,0,0,37,12,5,19,0,0,71,0,4,10,63,3,3,0,3,0,90
SED22005,10,90,102,168,247,382,836,786,164,2770,0,10,72,197,31,48,19,6,0,376,140,307,907,3658,503,354,218,132,45,6270,19,45,87,335,47,34,12,8,3,586,3,3,13,71,13,7,0,0,3,112,0,6,8,34,14,9,3,4,0,88,7,18,7,50,11,23,16,16,7,155,3,6,13,48,44,133,345,429,177,1195,3,33,23,106,29,6,4,0,6,213,4,26,84,334,52,28,11,0,0,543,0,3,7,35,33,37,33,15,4,166,23,42,180,411,75,106,59,25,4,912,0,0,0,7,0,11,34,45,14,111,0,6,32,130,73,75,94,47,19,471,7,22,111,293,74,32,13,14,7,566,0,9,30,93,4,3,0,0,0,140,0,3,9,9,14,12,27,14,7,92,15,71,128,289,139,92,29,12,5,798,0,0,0,3,3,5,10,6,3,34,13,32,72,236,28,19,14,3,0,404
SED22105,0,4,5,27,34,49,40,29,3,190,0,0,6,61,14,7,3,0,0,87,107,712,684,5576,808,459,188,79,18,8623,0,13,13,114,31,10,11,0,3,188,0,23,44,58,3,7,3,0,0,144,0,5,7,35,10,12,4,3,0,77,5,24,7,47,25,25,29,19,5,189,0,7,4,28,44,64,94,70,17,329,0,3,3,24,3,0,0,0,0,29,3,14,10,47,16,0,0,0,0,80,0,9,6,53,35,19,4,4,0,130,10,27,35,165,54,49,13,5,4,367,0,0,0,6,10,33,36,9,0,105,0,52,58,430,160,170,74,34,6,986,0,0,3,16,19,5,3,3,3,53,4,23,35,126,15,3,3,0,0,201,0,4,0,20,28,59,128,77,35,352,84,476,548,1046,357,199,82,32,14,2834,0,7,3,17,23,12,23,13,4,107,14,136,120,317,55,26,6,3,0,676
SED22201,0,0,3,10,11,17,24,8,3,78,0,3,20,75,23,37,6,3,0,169,28,61,42,465,78,46,50,25,9,786,0,3,3,41,6,10,7,11,3,88,0,10,19,113,26,13,8,0,0,191,0,0,0,5,0,3,0,0,0,15,0,3,0,24,17,26,29,17,5,125,0,7,0,16,21,59,79,67,26,283,0,9,0,18,3,3,5,5,0,49,3,7,7,44,8,0,9,0,0,81,0,0,0,13,7,11,5,0,0,49,38,81,43,130,74,55,18,16,3,458,0,0,3,3,3,15,31,21,5,76,0,3,5,19,11,11,3,3,0,58,3,138,285,603,113,39,19,0,0,1202,0,0,0,14,4,0,0,0,0,20,0,0,0,15,16,67,138,100,36,368,11,29,47,227,133,114,60,33,7,665,0,0,3,13,14,18,29,16,4,102,0,0,3,21,3,5,0,0,0,45
SED22305,0,10,15,38,60,128,218,182,42,692,0,0,13,57,20,28,6,0,0,136,111,444,677,3372,474,317,187,96,32,5722,12,13,18,112,36,31,21,3,3,256,16,225,234,340,61,20,7,0,0,904,0,29,30,115,63,32,13,4,3,300,3,11,0,20,11,20,25,11,3,98,0,4,10,24,51,136,261,309,115,910,0,0,6,20,4,0,0,0,3,35,0,4,7,30,14,4,0,0,0,71,3,9,36,123,114,85,73,23,6,479,16,55,47,170,66,78,39,9,3,488,0,0,0,4,8,10,31,23,7,85,0,16,16,163,74,149,132,96,44,704,0,14,43,102,36,15,12,7,0,229,0,3,3,44,0,3,0,0,0,57,0,7,4,10,10,31,99,91,52,294,36,211,259,431,143,120,60,19,4,1280,0,0,0,3,9,17,17,14,6,64,50,292,304,833,87,52,16,0,0,1633
