SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED20106,7,20,0,1806,79,15,0,72,7,47,3,12,5,34,359,634,11,0,3,10,0,7,4,0,4,8,8,47,1171,181,48,1367,247,1085,50,204,41,371,372,5140
SED20207,0,12,0,1418,165,26,14,139,17,134,12,43,14,96,624,1286,22,0,13,18,3,17,0,0,3,16,25,125,3118,474,106,3526,444,3415,107,663,151,1080,682,13772
SED20302,3,5,0,373,137,25,10,190,13,86,6,32,12,59,354,924,18,3,4,14,3,7,0,0,8,12,25,91,1518,361,85,2686,297,1650,93,433,126,560,412,8212
SED20401,4,5,3,570,117,25,7,156,10,86,12,25,6,47,257,742,9,0,7,24,3,0,3,0,3,10,6,72,1389,310,52,2674,322,1580,95,414,85,564,284,7765
SED20508,3,3,0,532,108,30,6,180,9,63,9,29,8,56,317,821,13,0,7,17,0,10,0,0,4,0,12,63,1077,360,71,2486,247,1125,89,312,64,418,345,6583
SED20604,0,5,0,349,136,25,7,161,14,55,3,26,16,34,369,837,11,0,5,17,3,4,0,0,3,9,13,72,1487,303,72,2296,275,1072,97,248,95,400,404,6751
SED20704,5,5,0,480,118,24,12,176,20,60,11,23,4,48,300,794,8,0,0,7,6,9,4,6,0,8,9,58,1316,314,65,2533,274,1108,123,336,65,487,323,6938
SED20804,0,5,0,268,100,29,7,115,13,60,11,26,3,44,258,665,7,3,9,7,6,9,0,0,3,11,15,57,988,344,47,1923,205,1112,91,339,64,457,287,5863
SED20906,4,24,0,1968,149,29,6,193,7,76,9,20,3,60,440,996,13,0,3,19,3,13,0,5,0,11,16,77,1993,318,68,2970,275,1557,80,384,59,570,469,8744
SED21001,5,32,3,2176,139,14,15,163,7,94,4,39,3,45,479,1005,9,0,6,23,3,6,0,0,0,3,16,71,1793,359,56,2899,245,1757,84,489,79,649,507,8911
SED21106,19,53,3,3190,125,24,10,192,15,110,3,29,7,38,542,1092,15,3,8,22,0,14,0,3,4,8,22,96,1642,275,47,2684,230,1588,60,322,67,373,571,7857
SED21203,3,19,0,229,55,18,7,65,12,112,9,81,25,224,394,1000,8,0,3,6,0,12,0,4,8,45,79,159,892,276,49,1148,130,2136,54,1006,202,2726,539,9161
SED21303,3,22,0,1273,67,20,3,109,16,53,3,28,5,65,317,681,6,0,0,4,0,6,0,0,3,6,11,40,1120,310,35,2086,267,1089,70,351,54,643,342,6377
SED21401,6,52,3,1491,126,29,10,150,14,109,7,40,7,119,452,1058,3,0,9,16,7,5,0,0,3,12,25,88,1582,391,62,2286,196,1694,75,502,89,1010,492,8377
SED21503,4,14,0,785,114,27,4,147,10,91,3,24,10,81,313,836,10,5,8,14,4,5,0,0,8,12,12,74,1384,313,61,2495,286,1467,74,411,104,771,339,7702
SED21608,3,4,0,394,125,26,6,175,18,82,7,23,7,59,281,810,8,0,3,9,3,10,0,3,0,12,10,70,1142,290,87,2272,226,1171,74,300,87,520,312,6479
SED21706,10,36,4,2511,112,33,13,152,15,100,7,45,10,55,482,1018,14,0,4,13,3,4,7,0,3,8,13,71,1829,339,56,2778,270,1588,72,380,58,613,509,8503
SED21805,3,11,0,588,141,21,15,131,16,93,7,31,18,53,358,869,8,0,3,15,0,9,0,4,3,7,18,77,1643,296,78,2727,303,1703,87,374,99,503,393,8203
SED21906,11,31,3,2198,116,25,3,164,13,95,6,32,6,42,350,855,13,3,5,34,0,12,3,9,5,3,25,104,1481,338,53,2524,253,1358,70,385,74,391,380,7315
SED22005,3,27,0,706,101,12,13,84,12,108,4,39,14,139,406,933,15,3,7,12,0,8,0,3,3,12,28,85,1798,385,69,2130,222,1896,64,632,120,1384,459,9169
SED22105,0,11,0,524,201,23,14,175,24,191,17,35,19,77,488,1263,10,5,10,15,5,9,0,0,9,13,54,130,3222,496,110,3997,523,3512,154,753,183,900,573,14423
SED22201,3,4,0,786,107,20,8,160,10,82,10,31,9,54,296,778,11,0,0,8,3,4,0,0,3,9,18,49,1382,264,46,2686,290,1402,79,359,65,526,319,7429
SED22305,0,18,0,226,78,19,9,96,10,117,5,57,22,160,368,933,7,3,10,12,0,6,0,3,3,22,53,120,1252,331,68,1463,170,2291,71,816,174,1759,456,8846
SED22404,3,8,0,408,123,49,11,219,12,80,13,39,15,51,323,935,18,0,8,18,0,7,0,0,4,9,17,90,1081,352,89,2197,218,1062,102,321,92,448,361,6324
SED22501,8,14,0,1705,147,40,6,236,21,101,9,32,15,52,389,1039,15,6,7,23,0,3,3,3,0,3,13,74,1697,370,80,3570,332,1478,105,361,70,413,411,8878
SED22607,9,25,0,2098,120,35,6,137,14,79,3,26,7,61,358,852,8,0,4,14,4,7,0,0,7,8,20,74,1675,295,60,2610,300,1377,58,345,76,575,397,7779
SED22704,4,3,0,327,164,30,6,162,17,91,13,26,3,64,284,865,14,0,5,17,0,4,3,3,9,12,20,94,1267,270,66,1907,227,1209,94,299,93,535,321,6282
SED22802,8,11,0,619,142,31,16,223,15,80,4,34,5,49,288,881,12,3,17,30,0,14,0,0,0,3,25,116,1439,279,93,2959,271,1490,80,315,63,421,337,7754
SED22901,5,21,0,826,107,21,3,152,13,90,4,45,7,71,352,857,8,4,4,15,4,3,3,4,0,8,21,65,1546,301,42,2430,272,1577,71,480,82,642,385,7827
SED23007,4,25,0,682,75,12,7,59,11,86,4,39,20,129,330,780,4,3,8,7,3,7,0,3,5,22,39,101,1426,375,64,1842,274,1856,75,670,129,1301,403,8414
SED23101,4,23,0,1200,101,32,4,130,19,92,5,26,12,86,448,951,15,0,0,15,0,9,3,0,0,7,17,78,1690,377,42,2479,213,1716,79,440,62,751,483,8325
SED23205,0,14,0,517,93,24,3,118,14,65,7,36,13,64,286,723,9,0,5,9,0,5,0,0,3,15,22,83,1074,235,51,2028,229,1246,77,334,79,573,326,6249
SED23308,5,7,0,719,110,21,3,134,10,58,7,22,8,41,284,701,5,0,3,19,0,5,0,0,6,15,21,77,1022,262,61,2302,269,1101,71,317,64,475,322,6267
SED23402,8,17,0,992,181,25,13,217,21,109,7,24,12,48,351,1025,12,3,6,26,5,7,0,3,0,4,18,91,2013,334,81,3303,309,1878,100,397,89,479,396,9393
SED23502,3,3,4,223,132,24,11,127,12,70,6,32,7,36,369,822,10,0,4,6,0,4,0,0,4,19,20,61,895,277,63,1714,192,841,101,334,73,472,407,5363
SED23602,0,9,0,369,130,24,7,142,13,57,7,30,7,45,321,786,11,3,12,17,0,5,3,0,3,0,20,79,1030,252,78,1829,185,974,91,291,87,405,375,5595
SED23702,4,5,0,609,161,29,6,257,15,117,7,33,17,52,357,1059,12,3,7,23,8,14,3,3,0,10,27,117,1623,326,92,3170,298,1537,89,395,87,501,398,8522
SED23806,14,65,3,3228,114,27,4,171,11,105,9,28,4,37,488,994,13,0,10,25,9,13,0,5,3,0,11,90,1631,288,51,2457,258,1554,58,328,41,453,511,7642
SED23901,13,18,0,1794,99,20,8,147,14,93,5,34,3,74,384,879,13,3,10,19,3,8,0,3,6,11,20,92,1553,312,59,2761,290,1585,86,407,69,644,418,8176
SED24006,15,67,3,2989,146,46,9,209,9,121,11,50,13,72,653,1325,13,3,8,19,0,4,0,0,0,4,20,82,1880,347,57,2686,192,1683,76,459,84,641,688,8788
SED24105,3,17,0,644,127,20,8,119,12,113,7,45,14,129,365,962,10,0,12,12,4,13,0,3,3,13,34,111,2224,364,79,2041,217,2105,58,663,122,1422,422,9713
SED24207,7,19,0,614,131,32,21,132,25,145,8,74,12,163,457,1198,18,0,16,12,3,10,0,7,8,29,55,148,2488,434,138,2655,339,2770,111,832,192,1500,553,12007
SED24308,4,6,0,417,99,22,5,153,15,80,11,36,6,102,294,815,12,0,7,11,4,12,3,4,4,23,27,95,1092,249,62,2037,219,1375,93,444,105,850,339,6881
