SED_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED20106,895,412,158,94,134,80,56,1823,309,211,101,66,78,42,24,828,379,220,110,52,69,31,23,876,1165,913,494,286,356,207,110,3527,10,6,6,0,0,3,0,27,2755,1755,869,498,632,362,206,7076,75,115,54,41,90,74,44,497,28,47,33,32,34,21,8,206,29,40,31,14,28,18,11,170,85,135,98,86,117,60,41,622,9,19,5,4,3,0,0,49,232,361,223,177,269,171,107,1535,2986,2116,1092,669,905,538,315,8610
SED20207,3890,2981,1262,672,920,533,275,10531,540,530,293,149,191,99,43,1849,595,473,223,119,146,67,39,1656,2091,2081,1015,590,736,369,194,7070,27,29,9,3,10,0,0,85,7144,6092,2801,1526,2008,1067,552,21189,214,309,174,108,185,111,60,1154,94,117,73,51,82,32,18,468,65,79,54,29,40,27,8,298,278,402,265,181,257,84,63,1520,44,17,10,11,6,0,5,95,687,924,579,372,565,249,160,3542,7836,7014,3382,1901,2577,1312,712,24732
SED20302,809,760,391,245,301,143,57,2705,320,323,153,95,122,36,9,1062,280,243,114,78,97,24,8,848,2732,2509,1387,804,1018,290,72,8823,18,18,11,4,8,4,0,65,4163,3854,2067,1222,1549,495,158,13504,74,92,68,48,68,35,31,411,69,105,48,30,46,19,0,311,35,78,40,38,34,17,3,237,578,724,464,303,371,117,31,2580,33,26,15,14,10,3,0,112,793,1028,633,425,522,187,58,3650,4954,4878,2695,1649,2071,681,218,17154
SED20401,851,663,303,184,254,185,122,2556,259,246,128,78,109,54,36,906,312,268,98,66,93,35,30,908,2091,1724,947,622,802,382,176,6750,12,6,8,3,5,0,0,41,3524,2912,1485,954,1264,655,364,11164,42,50,50,32,66,46,39,332,28,56,36,33,52,23,12,234,35,51,31,24,44,21,12,213,310,401,280,222,284,128,57,1681,12,13,6,5,9,3,3,49,423,566,410,320,455,215,117,2504,3949,3477,1892,1270,1718,877,483,13666
SED20508,120,156,96,54,68,31,20,550,203,214,123,99,114,41,18,813,205,214,84,68,71,30,12,687,2180,2354,1293,769,1047,428,155,8222,11,7,3,10,3,3,0,36,2718,2957,1604,1001,1303,530,204,10307,17,22,10,10,21,4,5,89,57,60,48,25,45,23,5,265,13,35,17,22,31,11,3,127,305,490,328,244,307,120,42,1842,20,17,16,10,5,0,0,66,407,625,423,315,418,159,60,2397,3121,3581,2022,1312,1720,687,263,12704
SED20604,187,156,102,52,92,28,6,632,134,160,79,51,81,15,5,523,164,169,68,38,68,22,7,546,2552,2579,1483,969,1300,269,57,9207,10,18,24,8,5,0,0,63,3054,3085,1754,1127,1541,336,83,10968,13,26,23,12,24,6,6,112,28,30,29,27,43,13,0,179,12,30,17,15,18,8,4,110,536,798,485,322,449,92,22,2711,30,19,17,10,5,3,0,90,632,907,581,390,543,124,31,3208,3681,3989,2331,1511,2089,461,111,14174
SED20704,244,212,110,71,104,34,13,785,115,125,86,61,83,27,8,504,126,132,52,29,51,15,6,413,2738,2754,1445,1034,1339,416,126,9853,8,10,7,7,3,0,0,34,3235,3223,1708,1195,1575,494,157,11587,22,20,16,12,20,8,4,101,43,48,34,18,31,8,7,193,7,22,22,14,21,5,0,102,590,811,519,366,482,141,54,2971,24,20,14,6,8,3,0,79,679,928,605,421,565,168,65,3442,3911,4156,2314,1617,2148,663,220,15031
SED20804,195,141,89,53,74,31,4,587,149,138,69,48,50,14,4,479,117,98,51,31,52,19,6,376,2177,2109,1190,753,974,308,87,7599,11,21,14,4,4,0,0,55,2641,2500,1413,899,1160,373,105,9089,17,22,13,13,20,13,3,97,21,46,35,31,39,8,3,186,11,43,31,20,18,10,0,136,521,656,404,264,384,117,45,2393,20,17,9,11,3,0,0,63,592,783,495,331,471,153,54,2878,3235,3284,1909,1228,1631,519,156,11963
SED20906,1065,1087,621,415,543,351,160,4240,366,425,221,140,208,110,49,1517,384,390,212,122,163,102,48,1426,1562,1664,959,625,805,438,237,6293,4,7,5,5,3,0,0,34,3383,3577,2020,1302,1727,1003,496,13509,66,124,116,86,137,85,45,663,31,74,50,31,66,37,28,310,17,53,38,24,26,21,10,194,98,198,142,130,168,108,68,911,20,20,4,3,4,4,3,55,236,463,353,281,401,250,153,2141,3615,4040,2369,1585,2130,1256,650,15650
SED21001,1335,1063,569,367,552,413,205,4500,258,271,190,105,143,94,48,1106,327,346,178,110,160,111,58,1292,1229,1608,1079,730,1007,601,360,6614,4,9,8,6,3,4,0,38,3151,3295,2018,1317,1863,1226,667,13546,113,176,116,104,225,130,85,951,16,35,28,27,35,29,17,188,14,32,18,31,40,20,8,168,66,149,138,100,147,107,56,761,4,10,3,5,3,0,3,32,216,404,311,269,449,278,168,2099,3370,3703,2334,1590,2315,1512,835,15644
