SED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SED22105,8,53,309,526,114,52,14,3,3,1088,4516,5701,3696,7406,2474,1793,965,427,163,27147,0,4,3,48,5,0,0,0,0,61,0,3,3,29,14,7,4,3,0,65,0,12,21,119,39,31,13,4,0,239,0,13,5,14,4,4,0,0,0,35,0,0,3,45,35,20,24,8,0,124,3,22,51,201,72,32,14,4,0,398,0,0,3,22,21,17,8,9,0,88,0,19,14,44,13,15,15,4,0,127,8,62,43,246,281,242,248,128,32,1293,0,13,36,146,59,43,12,0,3,307,0,3,0,13,5,3,3,3,0,26,0,3,4,23,18,17,40,20,9,131,0,0,4,20,20,23,22,9,3,101,0,0,4,23,4,4,3,0,0,44,60,368,392,2837,453,214,90,36,7,4456,0,0,11,48,12,0,3,0,0,79,0,15,17,31,0,3,0,0,0,58,0,4,3,17,3,8,4,0,0,42
SED22201,0,0,0,4,0,0,0,0,0,8,1895,3091,3033,5570,2589,2240,1398,736,322,20877,0,0,0,9,0,0,0,0,0,11,0,0,0,9,0,3,0,0,0,13,0,0,0,17,8,7,6,4,0,41,0,5,0,14,4,11,0,0,0,36,0,0,0,11,5,3,5,0,0,23,4,18,62,232,59,49,20,10,5,465,0,0,0,0,7,17,3,3,0,34,0,3,4,9,9,3,9,5,0,41,7,28,34,160,206,238,275,189,87,1221,0,0,0,5,9,3,3,0,0,21,0,0,0,3,3,4,3,3,0,17,0,0,6,19,22,20,42,41,10,160,0,0,0,4,5,9,7,3,0,33,0,0,16,33,12,17,3,4,0,85,12,26,17,246,41,24,26,12,0,412,0,0,0,19,0,4,3,6,3,39,0,3,11,61,15,11,3,0,0,97,0,0,0,3,0,0,0,0,0,3
SED22305,32,214,985,2032,350,120,39,9,4,3775,2393,2799,2251,3079,1199,1095,690,309,120,13942,4,5,15,89,15,6,6,0,0,139,0,5,63,175,109,109,39,28,6,533,0,8,32,96,56,41,25,3,3,265,0,0,0,10,4,0,0,0,0,19,0,0,0,35,30,27,32,9,0,139,5,23,76,254,120,144,74,50,16,760,0,0,23,107,54,86,60,39,4,373,4,22,12,22,15,25,23,15,3,131,0,12,6,62,79,121,137,89,28,530,0,5,12,84,36,31,18,13,3,203,0,0,0,8,7,3,5,0,0,24,0,3,23,10,6,3,46,37,6,134,0,5,10,21,34,51,99,86,18,324,0,0,8,30,9,13,0,0,0,70,45,219,438,1764,272,138,97,46,13,3028,3,4,9,39,17,20,14,3,0,106,11,111,129,190,33,11,5,0,0,498,0,16,20,59,44,22,3,3,0,174
SED22404,0,0,0,0,0,0,0,0,0,0,1436,3469,2825,4894,3259,3226,2481,933,285,22807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,3,14,8,6,4,0,0,36,0,0,0,3,0,0,3,0,0,5,0,7,8,9,5,3,6,3,0,37,0,0,0,0,3,8,3,3,0,19,0,0,0,0,0,3,3,3,0,11,0,17,49,130,258,330,349,162,47,1344,0,0,0,0,0,8,0,0,0,9,0,0,0,5,3,3,6,3,0,20,0,0,3,15,27,34,68,52,10,213,0,0,0,0,5,14,15,0,0,39,0,3,3,9,3,3,0,0,0,18,0,0,0,28,8,3,7,5,0,63,0,0,0,0,3,0,8,0,0,18,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SED22501,0,0,3,0,0,0,0,0,0,3,1690,3615,3415,5350,3123,2951,1860,629,189,22809,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,3,5,12,19,9,4,0,0,54,0,0,0,0,0,0,0,0,0,7,5,19,26,145,35,22,18,8,0,280,0,0,0,0,17,13,12,10,0,49,0,0,0,4,4,10,12,3,4,35,8,68,81,228,283,231,192,94,29,1211,0,0,0,8,3,4,0,0,0,20,0,0,0,9,9,13,0,3,0,31,0,3,0,24,17,12,56,26,3,146,0,0,0,5,18,46,34,15,7,121,3,0,4,16,6,0,3,3,0,36,7,3,5,80,15,25,19,0,0,160,0,0,0,5,3,3,4,0,0,18,0,4,4,47,11,4,4,0,0,74,0,0,0,8,5,0,0,0,0,7
SED22607,0,0,0,5,0,0,0,0,0,14,1686,3237,3232,6321,2993,2312,1085,420,217,21502,0,0,8,26,0,0,4,0,0,32,0,0,0,8,10,0,4,4,0,28,0,0,3,5,4,3,0,0,0,17,3,0,3,24,20,0,8,0,0,51,0,0,0,24,10,10,7,3,0,51,5,9,120,202,48,47,28,23,23,503,0,0,0,6,23,8,13,5,6,65,3,8,5,17,10,16,20,16,8,98,14,30,33,225,145,107,98,28,14,690,0,0,0,14,0,8,3,3,0,28,0,0,3,27,3,4,4,5,0,56,0,0,5,22,7,12,29,9,3,91,0,6,8,15,25,62,76,91,26,304,0,0,11,34,16,10,8,0,0,85,29,45,120,674,38,38,29,16,0,992,0,4,12,38,11,3,3,0,0,74,0,0,9,89,9,5,0,0,0,120,0,0,3,5,19,0,0,0,0,36
SED22704,0,0,0,0,0,0,0,0,0,3,1625,3486,3262,5359,3497,3904,3075,1491,497,26185,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,4,0,0,0,10,4,3,0,5,3,3,0,3,0,25,0,0,0,0,0,0,0,0,0,4,3,13,131,15,11,4,0,0,0,172,0,0,0,4,7,3,8,6,0,24,0,0,0,4,0,3,4,0,0,21,0,20,21,70,141,180,223,115,37,805,0,0,0,3,3,0,0,0,0,11,0,0,0,3,0,3,0,0,0,18,0,0,5,11,11,28,62,32,9,158,0,0,0,4,4,12,16,8,3,37,0,3,0,0,3,0,0,0,0,7,3,6,4,80,8,13,3,0,0,121,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,9
SED22802,0,0,0,0,0,0,0,0,0,0,1714,3478,3458,6091,2907,2320,1507,559,144,22186,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,7,10,4,0,0,30,0,0,0,0,3,3,0,0,0,5,3,6,26,57,24,13,11,3,0,157,0,0,0,3,0,4,15,6,0,29,0,0,0,0,0,3,3,3,0,15,0,26,48,164,320,287,322,185,58,1416,0,0,0,4,4,3,0,0,0,15,0,3,0,4,3,3,5,0,0,24,0,3,0,14,20,30,61,37,8,176,0,0,0,0,3,10,9,4,0,31,0,3,6,11,3,7,0,0,0,29,0,15,16,90,31,30,14,3,0,197,0,3,3,4,6,0,3,4,0,23,0,3,4,21,0,3,8,0,0,38,0,0,0,0,0,0,0,0,0,0
SED22901,0,0,4,12,8,3,3,0,0,31,1553,2723,2840,4461,2080,2068,1315,558,232,17831,0,0,0,7,0,4,3,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,3,25,24,27,10,3,0,94,0,0,0,8,4,5,3,0,0,27,0,0,0,4,8,0,13,0,0,23,22,97,147,646,210,130,91,35,23,1398,0,0,0,6,7,6,11,7,0,36,3,7,5,17,7,17,18,3,0,73,0,22,24,125,178,208,230,137,62,987,0,0,0,10,0,12,3,3,0,33,0,0,0,9,0,0,4,0,0,20,3,3,3,17,15,28,57,53,7,183,0,3,0,3,11,35,34,38,0,133,4,14,38,107,62,68,25,3,0,320,9,44,78,337,131,113,55,18,11,800,0,3,7,64,20,5,14,6,8,128,0,5,5,50,14,16,5,0,0,96,0,0,8,11,5,3,3,3,0,27
SED23007,0,5,42,105,21,3,0,0,0,182,2303,2925,3222,6129,1804,1230,600,256,122,18585,10,6,40,278,14,8,3,0,0,354,0,0,4,33,11,14,16,18,0,100,0,0,0,8,11,10,11,0,3,55,0,0,3,33,7,3,0,0,0,55,0,3,3,43,25,28,34,13,0,143,7,22,303,503,127,110,61,36,29,1189,3,0,0,19,36,38,56,59,7,215,0,14,3,29,12,15,17,9,9,102,9,20,36,230,115,95,57,22,13,577,0,3,4,37,18,11,9,0,0,89,3,0,3,27,3,0,3,0,0,34,0,0,11,27,9,9,49,13,0,126,0,0,3,26,41,63,96,158,37,423,0,3,20,100,16,14,6,0,0,171,44,91,487,1648,80,46,29,5,3,2427,0,20,23,115,14,11,4,3,0,190,0,15,29,198,15,3,0,0,0,267,0,3,8,41,4,0,0,0,0,65
SED23101,0,0,3,8,3,11,0,0,0,25,1429,2919,2600,3188,1945,1474,1325,975,354,16209,0,0,3,16,10,3,3,0,0,43,0,0,0,3,0,0,3,0,0,10,0,0,3,11,21,33,12,7,0,94,0,0,4,14,3,11,3,0,0,33,0,3,0,10,0,3,11,0,0,25,40,161,472,1254,406,286,180,80,22,2907,0,0,3,0,5,3,11,14,3,50,0,0,3,3,7,16,18,16,6,68,3,39,38,105,118,132,150,110,43,735,0,3,3,12,12,17,4,3,0,44,0,0,0,12,0,0,4,0,0,21,3,3,5,9,13,10,45,40,8,130,0,0,0,18,32,52,138,153,45,440,0,22,45,151,70,103,49,24,3,464,21,71,118,468,137,95,53,23,14,999,0,4,25,87,26,9,12,4,7,172,0,9,15,71,23,11,7,4,0,142,0,0,0,0,0,6,4,0,0,12
SED23205,0,0,4,10,6,0,0,0,0,17,1753,2968,2942,5668,2579,2263,1580,770,316,20848,0,0,0,6,0,0,0,0,0,6,0,0,6,19,22,26,3,7,0,81,0,0,3,6,0,0,0,0,0,10,0,3,3,20,6,7,4,0,0,44,0,0,0,10,11,3,6,0,0,35,3,9,39,90,34,25,7,6,0,223,0,0,0,8,11,9,9,17,0,62,0,3,3,0,3,4,15,7,0,35,7,88,77,248,341,380,372,240,110,1860,0,0,7,21,12,6,0,0,0,45,0,0,3,6,6,4,8,3,0,32,0,8,12,23,24,32,61,46,14,222,0,3,3,9,12,28,33,31,12,137,0,0,18,16,4,6,3,0,0,43,3,29,35,166,50,22,25,11,3,340,0,0,0,19,4,0,3,3,0,27,0,0,4,10,6,0,0,0,0,30,0,0,0,0,3,0,0,0,0,4
SED23308,0,0,11,15,3,0,0,0,0,27,1751,3045,3379,6184,3164,2796,1757,908,457,23444,0,0,3,9,0,0,0,0,0,19,0,0,0,3,0,8,3,0,0,18,0,0,0,0,0,0,0,0,0,3,3,6,5,14,9,6,6,0,0,49,0,0,0,0,0,0,0,0,0,7,3,17,64,121,24,14,6,3,3,250,0,0,0,3,8,16,10,13,3,59,0,0,0,11,0,6,0,3,0,20,4,34,30,162,153,188,164,102,39,878,0,0,0,19,3,3,0,0,0,25,0,0,0,12,3,5,4,0,0,29,0,3,6,14,11,11,49,17,8,119,0,0,0,5,8,6,18,24,14,73,0,3,5,12,3,3,0,0,0,38,12,19,106,377,6,8,10,0,0,543,0,0,0,14,3,0,0,0,0,20,0,4,4,34,12,0,3,3,0,64,5,4,0,17,4,0,0,0,0,25
SED23402,0,3,8,23,9,5,0,4,0,58,2438,4250,3984,6381,3105,2395,1406,627,227,24816,0,0,0,20,7,0,0,0,0,25,0,0,0,9,4,0,5,3,0,25,0,0,0,9,3,0,0,0,0,6,0,6,3,18,11,7,3,3,0,55,0,0,0,16,15,12,3,3,0,39,3,15,28,81,27,23,12,7,0,188,0,0,0,12,17,17,15,9,3,81,0,10,9,20,15,8,6,3,0,76,9,72,108,262,394,339,311,196,73,1765,0,0,6,25,13,10,0,0,0,55,0,0,0,4,8,3,3,0,0,19,0,3,7,18,18,30,48,32,13,162,0,0,0,0,7,7,13,8,3,40,0,7,3,13,5,6,0,0,0,31,9,23,42,317,60,25,30,5,4,500,0,7,0,15,0,5,0,0,0,27,0,0,0,16,3,0,0,0,0,16,0,0,0,4,0,0,0,0,0,6
SED23502,0,0,0,0,0,0,0,0,0,0,1418,3116,2643,4443,2899,3583,3391,1539,430,23459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,3,3,0,0,27,0,0,0,0,0,0,3,0,0,5,0,0,0,13,6,5,3,0,0,32,0,0,0,0,4,8,8,4,0,23,0,0,0,4,0,6,6,3,0,18,0,17,13,55,136,169,332,196,53,965,0,0,0,0,0,7,0,0,0,16,0,3,3,0,0,5,0,0,0,14,0,0,0,3,12,24,74,52,10,179,0,0,0,0,3,11,9,9,0,32,0,0,0,3,0,0,0,0,0,5,0,9,3,60,4,4,9,7,0,91,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5
SED23602,0,0,0,3,0,0,0,0,0,3,1543,3142,2721,4925,3019,3236,2551,1135,400,22672,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,4,0,10,3,3,3,0,0,24,0,0,0,0,3,3,0,0,0,10,0,4,3,37,4,4,3,0,0,54,0,0,0,3,3,4,12,6,0,28,0,0,0,5,0,0,12,0,0,17,0,8,19,82,141,180,288,139,48,905,0,0,3,8,0,4,0,0,0,10,0,0,3,0,0,0,0,3,0,9,0,0,0,5,10,19,57,24,6,136,0,0,0,3,0,7,12,0,0,22,0,0,4,10,0,0,0,0,0,19,0,10,3,94,10,3,3,3,0,134,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,0,0,0,6
SED23702,0,0,0,0,0,0,0,0,0,0,2130,4083,4513,6865,3552,2967,1779,688,188,26755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,7,3,0,3,0,0,18,0,0,0,10,5,12,4,0,4,34,0,0,0,3,9,6,3,0,0,12,0,4,10,7,11,15,3,0,0,52,0,0,0,4,7,15,8,7,0,41,0,0,0,4,3,6,6,0,0,18,3,41,95,231,429,403,449,245,72,1956,0,0,0,4,0,0,0,0,0,11,0,0,9,4,3,0,3,3,0,25,0,0,6,15,22,35,59,36,4,177,0,0,0,3,9,18,13,14,9,62,0,0,0,0,0,0,0,0,0,3,0,0,0,56,9,7,17,9,0,106,0,0,3,10,3,6,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
SED23806,0,0,4,4,0,0,0,0,0,9,1406,3056,3387,5373,2577,2072,1497,696,257,20326,0,0,7,40,0,0,0,0,0,52,0,0,3,8,0,0,0,0,0,13,0,0,6,3,0,0,0,0,0,14,0,5,3,34,20,12,3,3,0,82,0,0,0,5,3,0,0,0,0,15,18,90,299,505,150,119,52,22,10,1262,0,0,0,4,3,0,3,14,0,26,0,0,0,9,4,10,9,5,3,43,22,101,85,286,212,170,165,95,17,1146,0,0,0,12,10,0,5,0,0,31,0,13,16,58,10,3,3,0,0,109,0,8,5,32,19,9,33,12,4,117,0,0,3,4,20,32,43,59,24,185,6,14,46,79,26,18,17,11,0,223,32,64,191,794,44,30,37,11,7,1207,8,9,53,56,7,8,3,3,0,142,0,0,4,102,11,3,3,0,0,125,3,13,12,35,3,0,0,0,0,75
SED23901,0,0,3,3,3,0,0,0,0,7,1863,3274,3009,5355,2761,2339,1417,764,373,21155,0,0,7,14,3,0,0,0,0,27,0,0,0,6,3,6,0,4,0,19,0,0,0,0,0,0,0,0,0,4,0,3,9,30,11,10,6,0,0,71,0,0,0,7,0,8,3,0,0,13,8,58,129,327,154,109,54,24,9,867,0,0,0,10,19,30,27,25,0,107,0,0,4,15,4,11,15,3,0,56,3,48,31,217,173,133,149,67,27,851,0,0,3,15,0,9,5,0,0,26,0,0,0,21,10,3,3,3,3,44,3,0,10,16,15,15,40,25,3,123,0,3,3,18,40,83,81,77,26,325,0,6,3,47,15,24,11,8,0,118,7,29,91,488,55,31,27,10,4,747,4,8,7,29,6,7,3,0,0,60,3,6,12,119,16,13,6,0,3,178,0,0,0,14,3,5,0,0,0,27
SED24006,0,0,0,0,0,0,0,0,0,0,1200,3391,3706,3660,2637,2046,1374,713,422,19146,0,3,0,9,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,3,0,0,0,9,3,8,8,23,11,13,4,0,0,63,0,0,0,9,3,0,3,0,0,20,36,254,444,606,436,290,136,63,18,2293,0,0,0,3,3,10,9,12,5,37,0,3,3,7,6,23,18,5,3,73,8,84,42,171,152,147,140,56,29,836,0,0,0,10,13,8,4,3,0,37,0,3,6,22,13,9,5,4,0,53,3,3,0,20,12,13,26,9,7,92,0,0,0,11,32,75,84,121,50,376,6,28,53,109,74,111,42,19,0,446,6,49,69,288,103,59,40,18,9,647,0,3,9,60,15,12,11,8,0,115,3,10,10,75,33,18,16,3,0,169,0,5,0,10,3,0,0,0,0,20
SED24105,0,3,52,83,19,3,3,0,0,167,2061,3513,3049,3161,1259,1144,978,415,149,15727,0,9,6,46,16,13,4,0,0,85,0,0,18,97,43,54,21,5,0,243,9,68,287,913,492,308,161,43,15,2306,3,3,0,4,4,0,3,0,0,23,0,3,7,27,31,15,38,11,0,131,11,51,135,377,151,126,55,41,20,970,0,0,8,21,16,27,38,18,4,128,0,13,0,9,5,14,21,13,3,76,6,23,24,87,91,99,158,92,19,609,0,0,13,34,20,20,4,0,3,95,0,0,0,11,4,0,0,0,0,27,0,3,13,11,11,11,40,27,16,125,0,8,3,21,37,49,104,70,13,301,0,0,15,67,8,16,8,0,0,114,24,96,421,1210,257,190,133,60,18,2414,0,7,12,62,16,10,4,6,0,123,0,5,3,24,9,0,0,0,0,50,0,3,4,29,3,7,4,0,0,52
SED24207,0,3,27,46,17,10,3,0,0,106,3201,5013,3445,5504,1565,955,456,162,55,20358,0,4,3,60,11,3,3,0,0,86,0,0,32,139,74,49,21,9,0,320,0,0,0,13,12,9,7,0,0,38,0,3,9,3,10,3,0,0,0,20,0,4,3,66,52,45,53,8,0,230,8,27,49,216,80,64,30,18,5,505,0,3,0,51,53,61,63,49,0,277,3,33,14,70,42,31,27,17,3,243,4,37,18,76,69,73,76,32,5,396,0,9,21,80,38,29,11,3,0,188,0,0,3,4,3,3,0,0,0,13,0,0,17,9,10,11,62,22,5,140,0,3,0,17,26,43,53,40,0,192,0,3,16,74,9,13,6,0,0,120,26,104,225,1199,187,106,56,19,4,1915,5,3,11,80,18,6,5,0,0,121,0,5,13,62,18,3,0,0,0,100,10,31,36,78,31,10,10,0,0,200
SED24308,3,33,84,93,26,7,3,0,0,254,1865,3466,3647,6547,2958,2350,1476,606,194,23110,0,0,0,0,0,0,0,0,0,4,0,0,18,42,33,39,21,27,0,178,0,0,0,5,3,5,4,0,0,16,0,0,5,9,4,8,0,0,0,24,0,0,0,7,3,5,3,0,0,12,4,31,37,27,14,22,16,7,0,152,0,3,8,56,64,91,123,119,17,484,0,0,0,5,0,0,5,0,0,12,0,26,24,112,165,198,210,103,45,891,0,0,0,13,0,0,0,0,0,14,0,3,0,3,6,0,0,0,0,16,0,3,7,6,15,30,103,35,22,218,0,0,5,3,16,12,23,21,8,78,0,7,13,3,3,3,0,0,0,23,10,14,42,207,8,7,7,0,0,293,0,0,7,3,0,0,5,0,0,23,3,20,26,19,7,0,3,0,0,84,10,12,7,32,9,0,0,0,0,75
SED24408,0,0,0,0,0,0,0,0,0,0,1525,3211,2850,4624,3177,3579,2825,1567,593,23954,0,0,0,3,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,0,3,6,7,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,3,16,19,8,3,0,4,0,42,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,11,9,31,60,104,122,71,23,437,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,10,26,16,4,55,0,0,0,0,3,6,8,0,0,17,0,0,3,0,0,0,0,0,0,7,3,14,6,87,7,7,7,3,0,130,0,0,0,0,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SED24504,0,0,0,0,0,0,0,0,0,0,1593,3656,2790,4698,3264,3046,2257,796,243,22329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,8,0,3,0,16,8,8,7,0,0,52,0,0,0,0,3,3,0,0,0,8,3,3,8,14,6,4,11,3,0,51,0,0,0,3,12,19,12,6,3,59,0,0,0,0,0,12,7,3,0,23,3,41,32,166,284,262,306,154,26,1268,0,0,0,7,0,0,0,0,0,12,0,0,0,7,7,3,6,0,0,27,0,0,4,10,21,27,73,27,5,165,0,0,0,0,4,9,15,11,0,40,0,0,4,3,3,3,0,0,0,15,0,0,3,35,5,8,13,11,0,74,0,0,3,0,4,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11
SED24606,0,0,0,8,0,0,0,0,0,13,1279,2874,2769,4510,2510,1938,1473,766,336,18444,0,0,6,14,0,0,3,0,0,20,0,0,0,8,3,4,0,3,0,17,0,0,3,7,0,0,0,0,0,15,0,5,4,30,11,14,5,8,0,72,0,0,0,9,3,0,0,0,0,11,11,29,354,398,109,92,43,24,8,1064,0,0,3,5,0,6,3,4,0,26,0,0,5,6,4,11,12,8,3,51,12,58,63,231,167,152,162,63,26,929,0,0,3,10,0,0,0,0,0,12,0,3,7,42,14,5,8,0,3,86,0,0,3,26,16,5,38,24,12,119,0,3,3,17,18,56,80,150,52,380,3,21,27,48,21,20,16,8,0,165,19,38,113,665,36,35,26,16,0,940,0,0,49,52,12,9,0,0,0,124,0,6,7,49,13,4,0,0,3,82,0,0,0,0,5,0,0,0,0,8
SED24703,0,0,16,10,0,0,0,0,0,24,1402,1484,3506,8279,2026,1637,1125,344,132,19930,0,0,29,34,0,0,0,0,0,63,0,0,4,26,8,0,3,3,0,46,0,0,45,20,3,0,0,0,0,67,8,3,32,123,15,3,3,0,0,193,4,0,4,82,8,8,4,7,0,113,22,62,4626,2206,200,134,70,63,20,7395,0,0,0,9,14,9,4,5,0,45,0,9,11,33,8,17,14,8,4,107,6,26,190,624,192,146,130,35,13,1377,0,0,3,26,4,3,3,0,0,40,0,0,62,156,10,0,11,3,0,252,0,0,38,111,31,11,32,17,9,248,0,0,4,21,16,23,16,16,9,101,10,4,335,332,35,26,4,4,3,763,128,81,379,2253,50,27,24,3,0,2957,4,3,831,338,11,10,12,4,3,1216,0,0,16,153,13,12,3,0,0,199,0,0,5,14,8,3,3,0,0,31
SED24808,0,0,0,3,0,0,0,0,0,3,3053,4875,4045,7831,3081,2563,1611,500,157,27711,0,7,4,35,9,3,3,0,0,59,0,0,3,27,12,11,10,0,0,63,0,0,0,0,0,0,0,0,0,3,0,3,0,16,12,4,3,0,0,33,0,0,9,20,15,10,17,3,0,66,0,3,5,33,14,14,3,0,0,70,0,0,3,9,20,25,24,13,0,97,0,16,10,11,8,19,11,4,3,87,0,29,25,135,247,225,261,149,36,1117,0,3,6,41,14,3,3,0,0,73,0,0,0,3,4,3,3,0,0,15,0,0,7,15,16,34,86,18,8,182,0,0,0,5,14,16,19,8,3,76,0,0,0,10,0,3,0,0,0,17,17,48,64,570,55,37,28,9,0,810,0,0,5,8,5,3,0,3,0,25,0,3,4,10,3,4,0,0,0,22,0,0,0,21,3,3,0,0,0,26
