SED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SED20106,0,10,993,1010,36,334,2091,2464,1772,2352,4223,8347,2358,1170,1909,5438,1768,681,1527,3980,1546,414,1131,3091,1322,204,693,2222,584,37,294,914,141,11,118,275,9528,5225,12983,27732,3,24,1118,1145,74,510,2310,2900,2366,2410,3938,8718,2273,950,2194,5420,1815,598,1727,4136,1551,278,1433,3257,1125,112,1012,2252,376,14,615,1001,67,10,268,337,9645,4913,14606,29167,3,33,2115,2152,116,850,4401,5364,4142,4755,8159,17064,4633,2123,4102,10855,3579,1284,3256,8118,3091,693,2565,6352,2445,317,1705,4471,956,51,909,1912,212,20,384,617,19177,10135,27592,56898
SED20207,4,5,2326,2336,54,164,2222,2441,3137,1030,2633,6798,5662,818,1301,7776,3651,629,1209,5491,2477,288,895,3661,1598,119,462,2176,657,29,251,943,130,0,112,248,17371,3081,11419,31870,0,19,2224,2245,198,253,1837,2290,4391,1130,2042,7568,5402,804,1508,7715,3472,548,1587,5605,2302,237,1316,3849,1288,80,981,2348,455,24,693,1169,65,0,330,393,17567,3086,12525,33180,4,28,4556,4587,250,418,4060,4726,7528,2161,4678,14363,11063,1624,2811,15489,7124,1169,2799,11096,4779,523,2211,7506,2888,198,1446,4528,1115,51,947,2108,197,3,447,643,34940,6174,23937,65049
SED20302,0,13,1945,1955,50,240,1233,1518,1617,951,1347,3912,2554,614,871,4044,2366,489,1072,3927,2235,334,1048,3620,2237,170,789,3201,1122,43,448,1605,274,3,187,461,12454,2852,8943,24248,0,28,1806,1829,96,382,1093,1575,2159,984,1312,4450,2653,616,1133,4402,2363,471,1352,4186,2255,306,1365,3926,2094,133,1369,3594,784,26,927,1735,140,3,489,629,12539,2947,10843,26337,0,41,3749,3783,149,621,2331,3094,3779,1937,2657,8366,5206,1231,2007,8444,4725,964,2430,8117,4491,640,2413,7548,4329,301,2157,6794,1905,64,1372,3339,409,9,673,1088,24998,5795,19791,50583
SED20401,0,11,1607,1614,33,141,1571,1747,1609,839,1763,4206,2551,480,1037,4067,2166,415,1133,3707,2028,247,861,3137,1687,102,552,2337,806,31,327,1171,172,3,132,306,11052,2262,8977,22293,0,14,1536,1554,70,232,1374,1678,2048,827,1444,4318,2577,461,1124,4162,2226,432,1376,4035,2051,201,1241,3492,1503,88,1083,2675,573,10,781,1375,75,0,383,461,11131,2272,10349,23741,0,23,3142,3172,98,370,2953,3424,3654,1666,3202,8524,5126,937,2157,8223,4391,852,2503,7748,4076,452,2098,6629,3192,185,1631,5011,1381,46,1116,2541,252,3,518,765,22181,4530,19329,46039
SED20508,3,6,1578,1585,18,102,1025,1146,902,525,851,2283,1940,465,595,2997,2084,369,708,3160,2481,303,745,3524,2400,148,611,3164,1200,57,360,1615,296,13,197,501,11321,1987,6668,19974,0,19,1430,1449,33,166,831,1028,1202,597,848,2650,2115,490,831,3428,2264,417,1073,3748,2583,276,1102,3965,2233,140,1133,3504,918,26,857,1806,133,6,521,658,11476,2142,8616,22229,3,23,3003,3028,51,266,1853,2177,2107,1124,1702,4928,4049,956,1423,6422,4346,784,1777,6914,5059,578,1846,7488,4632,288,1741,6663,2116,84,1211,3416,426,19,721,1162,22793,4126,15280,42201
SED20604,0,29,1791,1816,53,261,1133,1445,1072,752,1106,2932,1950,531,757,3240,2306,461,1004,3779,2433,325,980,3735,2001,160,653,2816,878,43,329,1252,201,9,144,360,10894,2570,7907,21377,4,56,1649,1710,104,355,847,1308,1472,797,1086,3355,2139,542,971,3653,2440,458,1233,4129,2474,297,1232,4007,1737,118,1024,2873,607,28,785,1418,100,4,431,539,11082,2651,9262,22992,3,86,3442,3531,159,614,1977,2753,2542,1551,2191,6287,4093,1068,1726,6895,4748,917,2236,7909,4907,619,2213,7741,3737,274,1674,5690,1483,74,1116,2671,306,9,578,895,21980,5223,17163,44366
SED20704,0,13,1974,1988,47,299,1568,1912,1198,783,1249,3237,2008,467,743,3224,2198,409,925,3537,2288,252,840,3378,1789,88,573,2456,892,28,327,1254,225,4,169,401,10654,2349,8377,21372,3,41,1846,1892,81,409,1492,1981,1519,797,1328,3645,2207,470,1061,3744,2324,423,1213,3956,2278,213,1243,3728,1604,76,965,2649,678,15,790,1483,119,3,455,575,10814,2444,10392,23651,8,53,3824,3877,127,706,3054,3889,2721,1577,2580,6880,4217,940,1811,6970,4521,833,2143,7491,4567,460,2086,7106,3396,164,1532,5102,1572,43,1115,2731,345,10,616,977,21465,4791,18766,45024
SED20804,0,15,1559,1575,53,265,1179,1494,950,761,1301,3011,1576,497,932,2999,1786,429,1090,3309,2011,335,1132,3476,1716,171,779,2667,996,48,410,1451,226,3,191,423,9318,2517,8566,20398,6,37,1428,1473,80,368,1077,1526,1256,794,1217,3270,1715,546,1042,3295,1942,428,1316,3693,1996,290,1429,3718,1584,140,1286,3001,729,33,909,1671,121,3,533,658,9431,2643,10237,22312,9,53,2992,3050,132,635,2258,3021,2204,1552,2519,6274,3287,1042,1971,6297,3728,860,2411,6996,4011,626,2561,7197,3305,308,2063,5673,1723,80,1314,3124,350,10,721,1081,18746,5160,18805,42712
SED20906,0,5,1905,1916,9,82,1585,1676,1010,530,1397,2941,2834,405,698,3936,2986,394,831,4218,2058,228,755,3044,1366,77,453,1897,852,31,282,1158,345,7,256,611,11459,1769,8161,21393,0,12,1760,1767,33,132,1317,1475,1444,537,1207,3186,3125,449,886,4451,3004,409,1235,4649,1929,168,1151,3252,1237,58,912,2210,682,15,957,1652,163,5,749,912,11607,1785,10170,23555,0,14,3666,3683,45,212,2900,3149,2452,1068,2609,6130,5957,857,1579,8390,5994,808,2066,8868,3983,401,1909,6297,2604,132,1368,4107,1532,44,1236,2807,512,9,1002,1520,23067,3554,18332,44952
SED21001,0,11,2231,2240,41,168,2442,2656,1566,626,2268,4458,2779,308,863,3951,3016,272,865,4155,2404,184,772,3359,1660,92,447,2199,1017,29,262,1306,375,8,273,654,12858,1704,10424,24981,3,15,2102,2118,81,235,2105,2422,1979,622,2030,4632,3050,298,1082,4434,3168,284,1313,4759,2252,147,1259,3662,1470,79,1054,2603,812,17,1125,1957,199,3,800,1005,13014,1707,12876,27591,3,26,4327,4361,123,404,4546,5077,3540,1253,4302,9095,5834,609,1943,8384,6185,550,2178,8920,4653,331,2034,7018,3127,169,1505,4803,1828,51,1390,3266,569,13,1075,1655,25870,3413,23299,52580
