SED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED27907,99,28,353,173,156,160,76,112,11,1156,0,6,0,0,0,0,4,6,0,23,28,43,30,53,54,21,23,12,10,274,60,53,92,47,67,55,57,57,52,546,2125,4162,3577,2375,2545,1179,1011,1015,241,18237
SED28007,160,34,419,226,178,160,112,135,15,1445,5,0,5,3,5,3,3,3,0,31,43,46,43,39,73,30,51,31,11,368,54,46,120,57,78,76,79,89,103,691,2723,5317,3948,2439,3493,1609,1403,1410,388,22724
SED28107,154,63,564,285,207,190,263,191,13,1943,0,7,3,10,4,7,9,11,0,48,36,72,60,99,67,45,96,48,16,550,45,53,113,65,72,56,147,93,150,806,2959,7110,4262,3956,4216,2035,2711,2006,520,29772
SED28203,110,19,471,183,143,127,132,121,18,1320,3,0,4,0,3,7,14,17,3,55,33,29,49,41,52,31,59,52,15,348,44,43,142,84,66,65,79,130,86,738,1396,3347,2899,2188,2116,1244,1295,1392,321,16198
SED28301,118,36,269,122,99,87,24,51,6,805,0,3,0,3,4,3,0,6,4,24,53,87,19,27,66,28,6,12,3,313,44,59,55,39,44,37,21,29,67,393,3751,7438,2394,1692,2592,1308,331,620,285,20415
SED28408,79,25,368,146,99,122,44,102,4,984,4,4,3,0,3,6,0,3,0,21,45,64,28,35,30,13,17,13,7,251,27,34,60,48,34,47,32,61,50,392,1996,5421,2662,2083,1761,1025,516,908,212,16593
SED28507,122,36,386,184,112,140,102,125,11,1222,0,0,0,3,3,3,4,12,0,29,32,37,35,51,56,23,53,32,16,327,37,31,93,78,71,60,112,79,90,648,1921,4039,3402,2654,2667,1351,1546,1453,327,19359
SED28607,129,41,324,145,121,99,40,79,13,996,0,3,4,0,3,0,0,9,0,19,111,164,39,51,102,32,8,16,10,549,58,71,73,59,58,40,24,51,81,505,4991,10289,2900,2092,3075,1343,592,897,371,26555
SED28704,167,48,515,265,224,209,64,95,18,1608,0,9,0,0,10,4,0,3,0,28,54,54,49,57,67,18,42,25,8,365,65,53,134,70,100,82,76,71,83,739,3406,6407,5455,3386,3419,1593,1134,1234,365,26398
SED28803,143,28,510,216,187,173,171,161,16,1609,0,3,4,4,4,6,9,9,0,32,35,51,56,66,45,26,67,43,11,410,51,39,131,92,84,72,104,89,115,787,2609,5087,4206,3178,3266,1653,1930,1691,438,24054
SED29494,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
