SED_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED20106,4712,318,76,14,6,0,12,5140
SED20207,12541,632,404,144,14,8,31,13772
SED20302,6988,603,472,92,11,6,45,8212
SED20401,6898,513,245,74,16,3,27,7765
SED20508,5799,488,224,36,4,0,29,6583
SED20604,5780,519,353,46,3,3,41,6751
SED20704,6016,498,330,45,6,0,44,6938
SED20804,5087,433,267,32,11,3,26,5863
SED20906,8090,416,162,53,13,0,23,8744
SED21001,8354,350,120,62,3,0,10,8911
SED21106,7304,385,124,29,3,0,10,7857
SED21203,8431,340,199,160,11,3,22,9161
SED21303,5974,266,86,40,3,0,10,6377
SED21401,7782,362,113,93,7,3,23,8377
SED21503,7075,347,170,80,8,0,18,7702
SED21608,5647,445,282,66,15,3,31,6479
SED21706,7943,350,128,60,0,0,13,8503
SED21805,7075,656,356,71,13,0,32,8203
SED21906,6884,304,76,35,3,0,11,7315
SED22005,8361,421,184,150,15,0,40,9169
SED22105,12668,873,617,188,20,9,44,14423
SED22201,6595,485,246,67,6,3,23,7429
SED22305,8023,417,204,145,19,6,34,8846
SED22404,5424,499,308,52,9,4,22,6324
SED22501,8200,451,169,45,4,0,10,8878
SED22607,7294,312,123,33,3,3,12,7779
SED22704,5371,498,289,57,15,3,44,6282
SED22802,6768,552,316,66,15,3,26,7754
SED22901,7058,466,194,81,6,3,11,7827
SED23007,7636,402,177,137,10,9,40,8414
SED23101,7715,333,163,87,8,0,21,8325
SED23205,5289,561,298,61,6,3,23,6249
SED23308,5657,374,169,21,9,0,34,6267
SED23402,8240,639,390,71,5,6,36,9393
SED23502,4601,389,262,47,15,8,54,5363
SED23602,4804,434,270,48,3,5,42,5595
SED23702,7163,754,467,88,14,8,37,8522
SED23806,7190,304,96,38,7,3,5,7642
SED23901,7604,346,143,57,3,0,26,8176
SED24006,8250,326,130,66,3,4,6,8788
SED24105,8693,489,245,227,18,7,31,9713
SED24207,10744,571,371,238,19,11,57,12007
SED24308,5889,540,329,65,8,4,40,6881
SED24408,4885,323,268,36,8,3,49,5576
SED24504,6463,398,242,43,10,0,29,7191
SED24606,6423,287,91,36,0,0,10,6845
SED24703,4628,241,67,20,0,0,15,4963
SED24808,8157,720,524,120,18,14,52,9604
SED24904,5423,461,300,64,16,6,49,6310
SED25003,9593,482,277,116,12,7,29,10512
SED25102,6911,575,265,67,9,0,20,7841
SED25205,7721,463,223,55,5,0,13,8474
SED25302,6948,523,238,37,9,3,17,7780
SED25402,5509,539,341,60,11,5,54,6515
SED25501,8395,302,113,121,8,3,9,8965
SED25605,7598,353,154,124,11,0,26,8260
SED25704,5491,403,274,53,4,4,42,6272
SED25802,6224,532,334,51,11,3,48,7205
SED25905,8610,534,252,140,12,5,25,9573
SED26005,11714,702,452,216,13,17,31,13148
SED26102,4680,441,205,30,7,0,30,5391
SED26207,7425,380,158,59,6,3,19,8040
SED26303,6566,307,96,43,0,3,16,7035
SED26406,7462,294,86,60,3,3,15,7922
SED26504,4759,360,253,48,3,0,48,5471
SED26603,8282,362,171,61,4,0,16,8902
SED26708,5722,397,267,37,4,0,25,6455
SED26806,3628,249,70,10,5,0,11,3970
SED26903,6735,307,158,95,8,4,14,7325
SED27003,4320,299,77,36,3,0,11,4739
SED27101,7380,370,154,56,4,0,8,7974
SED27208,4963,440,303,51,5,6,53,5816
SED27305,8108,452,250,77,3,5,24,8920
SED27406,7177,367,137,36,0,0,13,7731
SED27504,6412,462,314,77,12,6,42,7322
SED27608,8014,498,287,41,13,7,20,8878
SED27708,5676,435,293,33,10,3,46,6499
SED27807,7507,433,263,185,16,8,50,8461
SED27907,6918,493,292,62,10,6,31,7805
SED28007,11297,519,264,126,7,9,23,12242
SED28107,13468,653,406,231,26,8,46,14847
SED28203,8610,306,185,158,8,3,29,9306
SED28301,8548,393,176,78,6,3,14,9213
SED28408,5008,421,255,35,12,0,28,5753
SED28507,7962,597,366,111,15,14,30,9093
SED28607,8383,393,148,54,3,3,16,9003
SED28704,10695,718,486,91,10,4,22,12032
SED28803,12893,601,359,191,8,8,40,14089
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
