SED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED27305,5,14,0,0,0,14,17,9,36,716,484,58,1263,28,37,60,1323,552,18,1892
SED27406,5,14,0,0,3,16,9,4,28,670,495,50,1209,42,41,80,1293,673,6,1975
SED27504,10,29,3,3,3,33,39,23,102,750,739,103,1592,72,104,182,1772,1276,47,3100
SED27608,3,20,4,0,0,20,12,8,46,718,648,71,1438,56,49,105,1539,637,10,2186
SED27708,4,22,0,3,4,28,31,17,71,605,724,79,1413,47,67,121,1531,930,36,2501
SED27807,3,16,0,3,6,25,66,42,131,855,675,107,1638,201,181,385,2020,2259,70,4348
SED27907,8,24,4,0,4,21,15,8,55,993,679,101,1774,64,63,131,1903,1028,32,2954
SED28007,3,23,0,0,0,25,17,17,57,941,629,78,1650,86,104,184,1839,959,25,2817
SED28107,3,16,0,0,0,19,37,24,72,1155,694,124,1965,127,106,234,2196,1297,42,3541
SED28203,4,16,3,0,4,23,48,24,97,677,573,72,1316,90,81,169,1486,1733,50,3276
SED28301,3,8,0,0,0,8,28,8,38,586,492,41,1124,30,39,70,1188,755,14,1961
SED28408,0,16,4,0,5,25,34,19,77,707,682,72,1454,86,116,204,1661,1109,37,2801
SED28507,7,20,0,0,3,23,40,35,94,1005,706,89,1802,116,123,238,2039,1531,67,3640
SED28607,6,21,0,0,0,18,23,13,55,851,540,50,1440,54,66,115,1559,1080,27,2667
SED28704,0,29,0,0,0,30,20,19,71,1087,841,106,2029,70,77,147,2182,1072,30,3276
SED28803,3,25,0,3,3,28,29,20,75,982,705,78,1769,92,114,201,1973,1489,37,3492
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
