SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED20106,1755,4556,4343,9886,4316,10720,8658,20604,2149,3550,4006,6451,16355,30052,27,53,22533,40101,0,8,0,3,0,0,354,629,362,644,110,207,33414,66113,5999,..,39416,66113
SED20207,23396,71179,3558,8471,2145,5919,5702,14393,824,1664,64,73,158,267,0,0,1042,2002,0,4,3,11,0,0,22,55,27,68,40,99,30207,87745,2596,..,32799,87745
SED20302,23954,62501,1339,2192,415,899,1755,3091,196,283,13,19,9,17,0,0,220,319,89,117,112,159,10,14,20,46,235,337,85,206,26244,66450,12512,..,38759,66450
SED20401,17761,48087,3126,6229,948,2114,4072,8340,741,1379,130,209,32,59,3,4,903,1650,0,3,0,0,0,0,12,34,13,38,64,122,22812,58233,1684,..,24498,58233
SED20508,20127,50324,1024,1589,361,728,1389,2314,255,393,3,6,0,0,0,4,258,400,14,22,92,115,0,0,30,76,134,211,100,234,22012,53495,8834,..,30845,53495
SED20604,21172,53464,1504,2391,108,212,1608,2601,588,874,0,0,0,0,0,3,583,873,43,72,34,58,3,6,60,129,143,256,163,373,23681,57571,3072,..,26747,57571
SED20704,21105,54752,1728,2735,221,449,1949,3185,159,279,13,21,0,0,0,0,174,299,31,49,20,38,3,9,26,60,88,151,83,159,23396,58553,2563,..,25962,58553
SED20804,21030,50367,1345,2017,186,325,1526,2340,369,566,44,64,17,18,0,0,429,646,61,78,45,61,9,13,43,93,158,244,148,329,23289,53930,3169,..,26464,53930
SED20906,14816,42333,2130,4536,1714,4958,3847,9490,2229,4683,322,578,470,710,0,8,3018,5982,0,3,0,0,0,0,53,114,58,116,63,167,21805,58095,2085,..,23892,58095
SED21001,14860,43465,4701,9759,2157,5792,6855,15555,1503,3060,957,1881,915,1516,3,0,3369,6466,0,5,0,0,0,6,35,77,39,85,67,151,25197,65724,2745,..,27937,65724
