SED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SED24105,14,45,130,543,221,159,52,42,37,1246,0,0,4,16,15,28,41,22,6,123,3,4,0,8,10,16,14,12,7,69,3,29,22,70,86,87,142,85,34,552,0,3,5,50,27,15,14,6,0,118,0,0,0,7,3,3,0,3,0,21,0,0,10,11,14,7,40,36,3,125,0,3,7,18,48,51,128,56,9,331,0,0,12,57,19,25,4,0,0,123,17,99,200,1029,231,179,149,82,26,2017,0,9,11,110,14,15,6,6,0,162,0,3,5,14,3,0,0,0,0,29,0,0,8,19,8,3,0,0,0,45,0,0,0,9,8,11,12,9,3,49,0,0,0,8,19,61,83,94,58,321,0,3,0,24,9,4,5,0,0,45,0,0,14,40,0,7,0,0,0,63,0,3,5,29,22,15,9,3,3,85,3,20,37,129,46,33,23,4,4,300,0,0,0,0,3,11,38,13,6,71
SED24207,7,21,43,297,107,86,23,15,6,597,0,0,3,32,49,62,72,31,10,274,3,36,14,69,33,37,37,14,6,240,3,31,12,68,73,71,65,40,17,389,0,10,16,87,48,23,20,0,0,200,0,0,0,4,0,6,0,3,0,19,0,0,16,7,0,19,65,20,3,135,0,3,0,10,23,42,55,36,9,175,0,0,15,83,6,17,3,0,0,120,29,86,125,1062,164,115,71,20,9,1680,0,7,14,102,10,12,4,0,0,155,0,4,6,29,7,3,4,0,0,59,4,31,30,73,20,14,8,3,0,173,0,3,0,3,10,0,8,5,3,37,0,0,5,14,51,79,116,70,21,365,0,0,4,23,4,0,0,0,0,43,0,9,5,43,3,8,0,0,0,70,6,3,5,31,26,21,0,4,0,95,3,33,19,153,32,19,9,0,0,276,0,7,16,49,59,258,271,88,21,768
SED24308,0,12,34,51,20,19,16,3,6,172,0,0,9,51,69,92,161,129,32,551,0,3,3,0,0,0,0,0,0,11,5,30,37,84,144,209,193,136,66,910,0,0,3,5,3,0,0,0,0,8,0,0,0,0,0,5,0,5,0,10,0,0,3,19,4,39,91,52,41,253,0,0,0,3,3,12,24,19,3,61,0,0,5,3,0,0,3,0,0,11,12,13,13,164,7,13,3,0,3,222,0,3,4,16,8,3,3,0,0,40,0,29,28,28,3,4,0,0,0,90,4,15,3,30,5,3,3,0,0,73,0,7,4,13,7,11,5,8,3,52,0,0,3,3,19,44,78,104,41,293,0,0,0,12,0,4,0,0,0,18,0,3,3,9,0,0,0,0,0,17,0,0,0,4,10,3,0,0,0,17,0,3,3,24,6,6,3,3,0,49,0,0,0,0,3,12,24,3,0,36
SED24408,0,0,11,19,8,0,4,0,0,46,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,18,4,62,89,124,137,83,41,562,0,0,0,0,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,8,0,0,0,13,6,11,29,10,7,80,0,0,0,0,3,3,5,0,0,14,0,0,0,3,0,4,0,0,0,6,5,10,7,87,8,8,0,0,3,138,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,3,0,3,0,29,0,0,0,3,0,8,6,18,12,42,0,0,0,3,3,0,0,0,0,5,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,3,4,0,0,20,0,0,0,0,0,5,6,3,0,12
SED24504,0,5,5,27,9,7,9,5,0,66,0,0,0,0,8,16,9,15,3,49,0,0,0,0,0,6,5,0,0,15,0,35,29,168,250,279,275,137,50,1231,0,0,0,3,3,0,4,0,0,6,0,3,0,5,3,7,9,0,0,25,0,0,3,25,28,33,67,20,21,203,0,0,0,7,0,6,6,4,0,24,0,0,0,4,4,0,0,0,0,11,3,0,0,24,11,9,8,5,3,67,0,0,0,3,0,0,6,0,0,8,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,3,18,16,15,13,9,7,78,0,0,0,3,13,35,29,15,6,102,0,0,0,6,5,0,0,0,0,17,0,0,0,5,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,12,0,0,0,4,10,13,7,3,3,34,0,0,0,5,9,47,31,5,4,99
SED24606,4,77,618,561,203,104,52,35,8,1659,0,0,0,3,10,10,4,5,0,35,0,0,0,5,0,15,11,7,5,52,9,62,64,177,151,126,114,59,36,805,0,0,0,16,7,3,3,0,0,26,4,4,9,27,15,9,18,6,4,88,0,0,5,29,5,9,56,21,20,151,0,0,0,6,23,57,141,171,41,444,3,21,41,87,18,33,14,3,0,221,33,37,76,506,47,34,34,15,6,796,0,3,34,71,15,12,9,3,0,141,0,0,5,48,6,3,4,4,0,72,0,0,0,3,0,0,0,0,0,9,0,0,9,46,18,17,10,8,3,108,0,0,3,7,16,31,60,50,32,195,0,14,10,61,22,6,8,3,0,130,0,0,15,56,14,10,3,0,0,99,0,0,3,3,5,3,0,3,0,17,0,8,71,140,60,57,49,12,10,398,0,0,0,0,7,4,0,3,0,16
SED24703,24,64,7025,3091,405,192,95,86,28,11017,0,0,0,22,13,15,15,7,3,63,3,8,7,14,5,13,17,6,11,82,12,27,193,417,145,122,101,29,18,1069,0,0,5,26,5,7,5,0,0,56,3,0,61,134,8,9,7,4,0,221,0,3,39,74,15,17,33,7,4,184,0,0,3,19,22,21,19,45,16,135,5,5,343,372,47,42,14,8,0,847,146,82,289,1453,42,37,21,6,4,2083,0,12,961,421,21,14,19,3,0,1448,3,0,9,152,10,3,3,0,0,189,0,0,3,12,3,3,0,0,0,24,0,3,12,103,13,6,9,0,3,152,0,0,55,128,22,48,65,101,75,491,5,3,156,353,33,12,7,0,0,570,5,11,445,817,38,14,3,0,0,1332,0,0,3,12,3,0,7,3,0,32,5,13,1554,1114,108,90,45,18,3,2949,0,0,0,3,0,11,11,3,0,34
SED24808,0,0,9,58,35,7,8,8,0,130,0,0,3,12,26,30,27,9,9,117,0,13,6,9,3,14,15,3,3,76,0,24,28,146,240,301,280,148,65,1236,0,11,6,57,14,7,3,0,0,102,0,0,0,3,5,5,3,0,0,21,0,0,3,14,21,27,84,26,15,184,0,0,0,3,6,14,22,13,0,69,0,0,0,12,0,3,0,0,0,17,14,55,41,489,49,58,25,5,8,740,3,3,0,35,15,5,0,0,0,63,0,0,4,5,6,0,4,0,0,16,0,0,0,7,3,4,5,0,0,18,0,3,5,9,12,12,17,6,0,72,0,0,0,8,19,50,35,26,8,144,0,0,0,12,3,0,3,0,0,14,0,0,0,16,7,0,0,0,0,33,0,0,0,14,7,11,5,0,0,33,5,9,3,31,12,12,4,3,0,82,0,4,5,47,42,110,123,40,13,386
SED24904,0,3,21,44,12,7,3,0,0,88,0,0,0,0,3,3,10,7,6,38,0,0,0,0,0,0,0,0,0,3,0,3,21,54,92,82,101,54,21,433,0,0,3,12,3,4,5,0,0,35,0,0,5,8,0,3,0,0,0,20,0,0,4,14,6,14,40,3,4,89,0,0,0,0,5,7,27,37,5,83,0,0,7,24,0,5,3,0,0,36,7,7,10,146,15,7,8,6,0,200,4,0,0,7,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,10,0,0,3,7,5,0,0,0,0,20,0,3,0,8,5,3,3,0,3,25,0,0,3,7,18,40,109,119,42,346,0,0,3,21,0,0,0,0,0,21,0,0,3,20,0,0,0,0,0,27,0,0,0,0,3,0,0,0,0,7,3,4,27,80,4,9,0,0,0,128,0,0,0,0,0,3,0,0,0,3
SED25003,8,13,32,296,74,65,34,13,5,528,0,0,9,12,21,28,25,16,4,111,0,12,11,63,27,54,34,10,14,228,4,25,8,63,92,89,72,23,30,405,0,3,3,64,31,19,12,4,3,148,0,0,0,0,3,3,3,0,0,11,0,3,13,17,9,8,24,8,9,76,0,11,17,36,74,120,135,81,32,517,0,0,8,21,9,12,0,0,0,50,23,103,126,1110,185,97,46,13,8,1711,0,4,3,57,8,7,0,0,0,83,4,48,31,157,31,14,3,0,0,289,3,14,50,169,76,31,25,8,0,379,0,7,0,16,7,13,8,4,0,65,0,9,7,27,140,266,227,184,106,964,0,3,4,18,13,3,3,0,0,42,0,0,3,28,12,4,0,0,0,50,0,3,14,71,81,52,19,14,5,261,3,9,15,60,32,51,23,6,3,206,0,0,0,10,17,63,63,26,16,198
SED25102,0,5,18,56,22,15,9,8,0,127,0,0,0,0,5,5,4,3,0,14,0,0,0,0,0,3,0,0,0,13,3,49,44,265,343,411,308,152,69,1646,0,0,0,3,0,8,0,0,0,17,0,3,3,13,4,0,3,3,0,29,0,4,9,25,34,40,75,27,21,237,0,0,0,3,7,3,3,4,0,23,3,0,7,8,3,0,0,0,0,22,0,9,10,39,13,13,12,3,7,113,0,3,0,14,3,3,0,0,4,34,0,0,0,9,5,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,13,9,9,16,4,0,56,0,0,0,8,7,19,33,24,6,101,0,3,3,19,9,8,3,3,0,47,0,3,3,13,3,3,0,0,0,30,0,0,0,3,0,0,0,0,0,7,0,0,5,19,9,15,6,0,0,55,0,0,0,0,3,8,10,3,0,25
SED25205,4,26,66,222,104,71,35,17,3,541,0,0,0,12,5,14,12,6,3,51,0,0,0,9,4,12,21,12,3,65,15,95,80,326,303,221,230,142,91,1516,0,0,0,18,24,14,3,3,0,65,0,3,11,16,4,3,4,3,0,46,4,0,6,37,33,19,43,24,13,174,0,3,6,15,43,60,103,78,17,329,0,0,0,20,7,18,11,0,0,56,5,12,24,235,74,68,38,30,5,496,0,0,8,26,9,3,4,0,3,51,0,0,0,22,3,0,0,0,0,32,0,0,0,0,3,0,0,0,0,7,4,18,4,51,35,11,22,9,4,155,0,0,4,13,24,43,74,68,17,242,0,8,3,30,23,4,3,0,0,78,0,0,0,22,9,3,0,0,0,26,0,0,0,7,11,8,0,5,0,30,0,3,9,45,23,18,18,10,0,119,0,0,0,0,0,8,11,8,5,33
SED25302,0,18,67,30,15,7,7,4,4,163,0,0,0,3,15,9,3,13,3,47,0,3,0,5,4,4,12,3,3,31,20,195,192,427,602,431,567,435,175,3047,0,0,0,3,7,4,0,5,0,22,0,0,0,4,7,7,10,0,0,33,0,4,10,36,28,25,50,40,18,208,0,0,0,3,3,14,21,22,11,68,0,3,7,4,4,4,3,0,0,27,6,4,0,33,16,7,11,12,0,87,0,3,3,9,3,0,4,3,3,29,0,0,0,3,3,4,0,0,0,13,0,0,0,3,0,0,0,0,0,3,3,20,7,47,30,30,32,16,10,194,0,4,0,9,13,23,47,32,17,146,0,3,3,11,7,3,4,0,3,37,0,0,0,5,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,3,0,12,18,18,13,5,3,71,0,0,0,0,3,4,21,5,3,42
SED25402,0,7,21,50,22,11,6,3,0,123,0,0,0,3,8,3,3,6,3,23,0,5,0,3,0,3,0,4,0,13,7,11,7,48,124,200,260,170,76,912,0,0,3,8,3,3,0,0,0,16,0,0,0,0,3,4,3,7,0,19,0,0,0,7,11,30,97,44,21,215,0,0,0,0,3,9,13,14,3,43,0,3,0,8,0,4,0,0,0,16,6,12,7,74,13,9,5,3,3,131,0,0,0,8,0,4,3,3,0,19,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,4,6,8,4,13,3,43,0,0,0,0,14,66,77,89,37,294,0,0,0,3,4,0,3,0,0,12,0,0,0,9,0,5,0,0,0,13,0,0,0,0,3,0,0,0,0,5,3,5,6,22,13,10,8,0,0,55,0,0,0,3,3,32,50,30,13,129
SED25501,52,281,743,1875,910,482,252,132,38,4757,0,0,0,3,7,5,13,13,0,47,0,0,0,12,6,10,30,18,10,81,9,32,40,72,104,91,130,108,46,631,0,0,3,31,12,7,3,11,0,65,0,0,0,4,4,3,0,0,3,20,0,5,10,10,10,7,26,30,20,127,0,6,4,9,36,52,144,129,20,395,12,23,59,168,119,151,61,19,3,615,27,171,118,808,250,133,64,38,17,1610,0,9,33,139,26,28,18,8,0,252,0,5,13,54,20,12,3,0,0,104,0,9,0,19,3,0,0,0,0,28,0,4,4,8,12,11,3,5,7,60,0,0,7,3,12,27,57,66,32,207,0,21,25,49,41,18,7,8,0,155,3,68,84,192,96,32,8,3,0,492,0,0,0,7,5,4,4,0,0,20,6,93,171,389,261,258,150,45,13,1381,0,0,0,0,4,6,13,7,3,25
SED25605,13,92,253,868,373,278,118,73,23,2098,0,0,3,9,15,45,44,44,7,176,4,0,6,10,19,50,48,25,14,179,3,17,20,61,80,95,116,88,50,533,0,0,4,30,24,10,4,3,4,77,0,0,0,3,7,0,3,6,3,28,0,3,11,12,12,18,50,40,25,169,3,20,10,34,53,111,271,168,31,716,3,10,19,101,40,51,26,3,0,245,35,83,154,976,178,135,108,52,36,1758,0,6,24,100,44,21,10,3,5,220,0,4,6,40,14,15,5,3,0,91,0,0,0,3,6,4,3,0,0,19,3,5,0,3,3,9,9,5,4,45,0,4,6,12,35,114,182,190,83,615,0,11,6,38,13,10,0,0,0,83,3,8,16,96,20,14,3,0,0,169,0,0,0,20,21,22,19,4,4,86,11,36,69,250,94,160,111,32,14,774,0,0,0,0,3,6,25,9,4,50
SED25704,0,0,5,24,4,9,3,0,0,40,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,3,8,39,84,110,144,85,32,502,0,3,0,5,8,0,3,0,0,18,0,3,3,3,3,4,0,0,0,13,0,0,0,12,3,11,24,7,9,64,0,0,0,0,0,3,8,3,0,16,0,0,0,3,0,4,0,0,0,10,6,8,12,101,5,7,3,3,3,150,0,3,3,14,8,0,0,0,0,27,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9,0,3,0,12,3,0,3,3,0,27,0,0,0,3,3,20,65,52,25,163,0,0,0,5,0,0,0,0,0,8,0,0,3,14,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,3,3,3,32,7,3,0,0,0,53,0,0,0,0,0,3,4,0,0,12
SED25802,0,3,8,30,24,5,3,0,0,72,0,0,0,0,3,11,14,3,0,36,0,0,0,0,0,3,9,0,0,15,3,26,22,113,217,293,321,190,68,1251,0,0,0,7,9,3,0,0,0,19,0,0,0,3,3,0,3,0,0,14,0,0,0,19,13,25,66,21,16,157,0,0,0,0,0,4,6,8,3,25,0,0,3,5,6,0,0,0,0,16,4,4,3,51,10,3,7,3,0,86,0,0,0,4,4,0,0,0,0,18,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,11,3,7,16,10,4,51,0,0,0,0,8,18,26,46,16,112,0,5,0,11,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,11,9,8,6,0,0,36,0,0,3,0,5,14,24,9,3,53
SED25905,3,22,30,293,150,116,60,29,13,707,0,0,0,29,51,67,44,36,3,237,3,16,12,57,34,36,32,27,4,224,0,28,23,111,171,196,183,105,64,879,0,3,20,99,72,41,14,11,0,269,0,0,0,8,9,3,3,3,4,25,0,0,11,13,24,14,25,25,15,130,0,0,7,16,20,30,40,25,6,142,3,5,10,25,20,26,3,0,0,94,11,50,121,623,211,169,76,29,12,1301,0,3,10,58,27,16,7,4,0,127,0,22,32,53,23,14,3,0,0,138,0,4,3,36,26,9,8,0,0,82,0,0,0,9,3,10,12,12,5,48,0,0,0,9,25,60,90,62,28,284,0,0,0,17,3,4,0,0,0,24,0,6,3,28,6,6,0,0,0,47,0,5,3,48,41,29,8,7,0,143,3,11,33,70,39,49,30,12,0,244,0,0,0,0,3,5,26,11,0,51
SED26005,8,31,72,390,135,94,35,4,3,776,0,0,3,38,36,23,21,12,5,142,4,13,26,45,32,25,19,4,3,170,7,49,66,166,286,191,146,81,27,1025,0,9,30,149,68,46,21,10,0,326,0,0,0,4,3,3,4,0,0,14,0,0,6,21,13,21,31,10,5,108,0,3,0,9,8,11,24,12,0,64,0,0,0,24,12,4,0,0,0,51,20,156,222,1305,332,213,107,46,17,2423,4,12,16,77,31,16,6,0,0,162,3,33,24,53,15,5,7,0,0,128,0,28,10,63,14,15,5,4,0,142,0,7,0,15,13,12,7,9,0,67,0,0,3,6,18,41,45,22,8,137,0,4,3,16,0,0,0,0,0,23,0,16,12,60,16,6,3,0,0,108,0,0,0,28,18,20,8,0,0,78,0,26,34,77,60,41,9,4,0,245,0,0,0,3,8,11,24,7,3,58
SED26102,0,3,4,20,10,6,5,0,0,53,0,0,0,0,3,17,16,22,5,64,0,0,0,3,0,14,12,14,0,52,5,54,45,151,252,330,459,302,132,1725,0,0,0,0,3,3,6,0,0,12,0,4,0,3,3,0,9,5,0,21,0,0,5,10,16,21,59,25,12,145,0,0,5,8,13,31,86,62,15,207,0,0,0,3,0,3,0,0,3,14,0,0,3,28,9,21,5,11,0,85,0,0,0,13,0,4,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,15,11,19,15,14,4,88,0,5,0,7,13,60,135,79,31,330,0,0,3,14,6,4,0,0,0,28,0,0,0,7,3,0,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,6,4,3,0,28,0,0,0,3,0,13,23,11,5,54
SED26207,0,10,28,143,76,62,27,22,16,377,0,0,0,14,31,45,88,78,12,266,0,9,3,27,24,25,40,27,9,172,3,16,18,81,85,77,107,45,18,462,0,0,0,16,3,8,5,8,0,35,0,0,4,3,6,3,3,3,0,22,0,3,6,12,5,12,79,30,17,167,0,6,11,11,27,89,155,144,25,465,3,0,6,31,20,21,3,0,0,89,16,28,33,246,55,50,36,19,8,488,0,0,3,26,3,4,3,0,0,41,0,13,11,56,9,23,10,8,4,133,0,3,0,11,8,5,0,3,0,30,0,8,5,24,11,9,21,9,5,80,3,17,8,38,93,313,664,599,211,1944,0,4,0,23,9,5,0,0,3,45,0,0,0,14,13,0,6,0,0,33,0,0,3,21,30,35,20,7,0,118,3,5,8,59,18,23,11,3,0,138,0,0,0,4,13,49,122,80,35,301
SED26303,4,12,109,189,72,60,13,19,9,489,0,0,0,14,9,16,13,18,3,69,0,0,0,6,3,10,12,9,4,48,12,46,42,350,162,114,71,26,27,845,0,0,0,11,4,3,4,0,0,23,0,0,3,56,11,3,5,3,0,77,0,4,8,56,22,21,29,5,3,151,0,5,7,47,92,163,417,485,130,1345,0,0,3,35,7,4,7,3,0,61,11,20,40,278,40,11,9,14,0,421,0,0,9,31,5,0,3,5,0,54,0,6,3,49,7,0,0,0,0,63,0,0,0,10,0,0,0,0,0,9,0,6,0,92,11,9,5,3,0,131,0,3,9,43,37,80,217,399,198,978,3,3,5,86,19,8,3,0,3,128,0,0,3,30,7,0,4,3,0,44,0,0,0,29,24,52,34,22,17,165,0,0,17,102,21,24,13,7,3,178,0,0,0,6,0,5,8,10,4,35
SED26406,14,29,2001,1599,248,228,55,44,4,4220,0,0,0,10,0,5,10,14,3,54,0,3,3,16,18,16,24,13,13,104,8,29,57,156,100,81,91,56,42,630,0,0,3,17,5,8,4,3,0,43,0,9,12,26,11,6,7,3,0,75,0,3,6,34,12,7,15,18,13,116,7,33,29,68,96,168,381,405,91,1282,4,9,154,112,22,23,10,0,0,340,76,145,186,1287,121,79,46,25,15,1969,9,7,91,179,26,17,10,6,0,344,0,4,3,80,12,5,0,0,3,113,0,3,3,9,0,0,0,0,0,26,0,6,3,42,20,14,14,10,12,116,3,5,5,31,21,58,149,187,82,547,6,10,13,120,36,11,12,3,0,211,6,10,68,188,40,22,5,3,0,350,0,0,0,7,6,10,4,4,0,30,0,20,249,297,59,65,35,13,0,738,0,0,0,0,3,6,0,4,0,14
SED26504,0,0,4,19,7,3,0,0,0,36,0,0,0,0,0,6,5,3,0,24,0,3,0,3,0,0,0,0,0,6,3,7,7,58,87,136,211,98,48,653,0,3,0,0,3,0,0,0,0,10,0,0,0,5,3,3,3,0,0,15,0,0,3,15,10,17,57,20,14,133,0,0,0,0,3,5,11,5,0,21,0,0,4,5,0,3,0,0,0,18,5,9,4,75,4,3,5,0,7,109,0,0,0,9,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,4,3,12,4,0,0,0,0,25,0,0,0,4,4,4,10,3,0,31,0,0,0,11,15,50,128,124,69,399,0,0,0,9,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,7,7,32,10,6,0,0,0,64,0,0,0,0,0,6,9,3,0,21
SED26603,3,18,118,323,104,108,31,17,8,730,0,0,0,11,16,14,26,26,8,98,0,10,9,23,13,22,28,38,19,165,5,29,24,205,74,68,53,49,36,542,0,0,0,33,22,4,5,3,0,77,0,0,4,15,3,3,3,0,0,31,0,4,8,44,12,6,42,12,28,153,0,11,9,30,46,143,209,223,61,727,0,3,3,41,8,11,3,3,0,65,27,74,75,771,44,43,29,10,11,1091,0,3,8,67,17,3,4,0,0,102,3,15,23,87,15,3,3,0,0,152,4,6,14,69,22,12,14,7,0,153,0,5,3,37,8,3,4,5,7,70,0,6,11,45,107,234,460,692,317,1879,0,0,9,67,14,3,5,3,0,103,0,4,0,64,6,3,0,0,0,76,0,8,24,190,154,133,74,27,9,621,6,13,26,124,25,18,9,3,0,222,0,0,0,4,9,33,72,88,30,244
SED26708,0,6,3,25,9,6,0,0,0,53,0,0,0,0,4,0,4,8,3,21,0,0,0,5,0,0,3,0,0,10,0,16,11,98,110,194,167,120,45,751,0,0,0,4,3,0,0,0,0,9,0,0,0,13,4,0,0,0,0,18,0,0,0,20,14,13,24,15,11,105,0,0,0,0,0,6,8,0,0,16,0,0,0,5,4,0,0,0,0,9,4,6,3,23,0,8,5,0,0,53,0,0,0,5,5,0,0,0,0,14,0,0,3,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,4,0,15,7,5,6,4,4,44,0,0,0,0,0,8,23,15,13,59,0,0,3,6,3,3,0,3,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,9,5,5,4,0,0,21,0,0,0,3,4,4,4,0,3,24
SED26806,10,48,590,718,160,94,37,33,10,1709,0,0,0,12,8,10,7,0,4,42,0,5,0,14,3,11,8,15,4,64,16,22,134,711,175,141,123,38,36,1399,0,0,4,29,6,3,5,0,0,52,0,4,18,134,11,12,5,3,3,198,0,0,20,101,14,14,35,22,11,232,0,0,4,34,32,57,146,227,31,523,0,5,27,107,15,23,13,4,5,207,36,46,69,544,33,31,19,10,4,785,0,8,78,133,13,16,10,5,0,268,0,0,3,105,11,3,8,0,0,133,0,0,0,16,0,0,3,0,0,19,0,0,33,325,10,5,5,10,3,390,0,0,20,89,12,25,28,21,17,202,7,7,22,138,37,9,11,0,0,228,3,6,30,131,20,7,0,0,0,191,0,0,0,11,7,0,0,0,0,24,7,11,74,296,49,47,35,4,4,527,0,0,0,3,5,3,8,3,0,19
SED26903,12,33,172,680,216,208,59,41,10,1433,0,0,4,8,20,16,26,25,3,101,0,6,5,18,12,20,21,11,14,108,5,10,21,137,89,47,49,23,21,409,0,0,5,26,8,13,3,4,0,64,0,3,3,20,7,5,0,0,3,39,0,0,5,31,12,3,15,12,8,80,0,9,19,65,66,158,314,275,83,992,0,4,16,43,3,14,3,0,0,79,44,56,121,926,43,50,16,5,7,1266,0,0,3,64,11,10,3,3,0,99,5,5,15,78,16,8,0,0,0,131,0,13,6,53,10,15,3,0,0,99,0,0,0,32,11,10,5,3,4,64,0,5,21,68,77,194,470,658,267,1756,0,0,4,63,19,0,5,0,0,91,0,3,3,28,6,0,0,0,0,44,0,3,9,80,84,77,49,14,4,323,3,14,28,100,20,31,13,3,0,212,0,0,0,6,3,29,30,29,16,111
