SED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SED23101,37,163,405,1584,552,385,197,100,40,3469,0,0,0,0,6,6,15,18,0,53,0,0,0,6,4,14,28,11,9,69,3,31,27,85,120,104,135,131,82,719,0,0,11,25,12,21,8,7,0,81,0,0,0,0,6,6,4,0,0,27,0,4,0,14,17,13,55,32,16,151,0,0,3,16,32,69,170,178,33,504,3,20,41,131,102,108,47,13,4,479,10,66,84,415,135,90,62,30,18,910,3,3,23,99,23,20,17,7,3,196,0,21,17,76,11,10,8,4,0,157,0,0,0,8,8,3,0,0,0,12,0,10,0,12,7,5,9,11,3,57,0,0,6,6,9,49,103,89,37,298,0,3,6,42,20,11,8,3,0,86,0,23,41,90,43,16,4,0,0,211,0,0,3,7,7,3,6,0,0,36,4,63,114,308,178,183,128,38,11,1036,0,0,0,0,0,3,18,7,0,31
SED23205,4,11,69,141,51,40,14,11,3,339,0,0,0,13,17,11,14,7,0,74,0,0,0,0,8,7,18,5,3,36,7,75,65,217,315,373,418,311,157,1946,0,0,9,20,10,6,5,3,0,53,0,5,0,8,6,3,7,4,3,38,0,4,16,20,36,40,60,32,14,224,0,0,7,9,15,20,36,51,9,137,0,0,31,17,3,3,3,0,0,62,9,34,31,161,37,20,23,14,9,322,0,4,3,30,14,3,0,0,0,53,0,0,0,9,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,6,0,18,13,23,24,16,5,103,0,3,0,10,6,29,31,29,16,124,0,4,0,14,9,0,0,0,0,31,0,0,0,22,3,0,0,0,0,30,0,0,0,3,6,10,3,3,0,26,0,6,13,26,18,29,12,0,0,96,0,0,0,0,3,6,6,5,0,24
SED23308,5,8,55,152,30,15,6,0,3,283,0,0,7,6,12,13,8,18,6,65,0,3,0,9,0,0,4,3,0,15,8,27,21,129,167,194,189,145,80,960,0,0,0,14,7,3,0,0,0,29,0,0,4,15,3,3,0,0,3,32,0,0,3,17,5,16,59,31,23,160,0,0,0,0,7,10,35,19,8,83,0,7,7,11,0,3,3,0,0,32,5,28,30,252,6,17,4,3,0,344,0,8,3,20,14,0,0,0,0,45,0,5,3,35,9,4,0,0,0,54,0,4,0,11,0,0,0,0,0,16,0,9,3,23,19,9,18,8,11,90,0,3,0,3,19,41,80,90,53,289,5,0,0,16,4,0,0,0,0,27,0,0,3,23,0,0,0,0,0,26,0,0,0,0,0,4,0,0,0,4,0,4,20,34,17,11,4,0,0,91,0,0,0,0,0,3,3,0,3,9
SED23402,3,11,39,133,45,26,16,3,3,274,0,0,3,7,10,14,15,3,3,66,0,13,4,25,6,6,16,0,0,74,6,62,92,256,365,338,309,208,87,1724,0,0,3,21,13,9,0,3,0,53,0,0,4,9,3,11,3,3,0,30,0,0,11,22,30,31,52,28,12,181,0,0,0,0,10,12,13,5,0,38,0,0,0,14,4,7,0,0,0,30,11,23,39,303,50,30,24,10,6,494,0,0,7,23,9,7,3,4,0,55,0,0,0,10,3,0,0,0,0,17,0,0,0,9,0,0,0,0,0,9,0,3,0,26,17,10,13,15,5,101,0,0,0,3,19,35,40,25,16,141,0,0,0,12,4,3,7,0,0,24,0,5,5,19,4,0,0,0,0,34,0,0,0,8,6,3,3,0,0,17,0,4,9,31,24,15,6,4,4,98,0,0,0,3,4,12,15,4,3,37
SED23502,0,3,3,22,11,5,3,0,0,47,0,0,0,0,0,3,3,0,0,10,0,0,0,3,0,3,0,3,0,10,0,14,15,71,121,238,344,207,67,1076,0,0,0,8,5,3,3,0,0,19,0,0,0,7,3,3,3,0,0,15,0,0,3,21,11,24,70,33,10,164,0,0,0,0,0,8,9,3,0,15,0,0,0,4,3,0,0,0,0,13,0,3,3,43,3,3,3,7,0,71,0,0,0,8,3,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,3,7,13,7,5,3,39,0,0,0,0,4,11,26,29,10,77,0,0,0,0,0,0,3,0,0,7,0,0,0,10,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,5,3,0,0,31,0,0,0,0,4,4,8,3,0,23
SED23602,0,3,0,23,6,4,3,4,0,42,0,0,0,0,3,3,7,3,0,24,0,0,0,3,0,0,4,0,0,8,0,14,13,80,157,259,313,164,66,1067,0,0,0,3,0,3,0,0,0,13,0,0,0,0,3,0,3,0,0,7,0,0,0,13,13,22,61,26,16,148,0,0,0,0,0,6,4,3,3,23,0,0,3,6,3,0,0,0,0,7,3,12,3,81,8,7,13,3,0,128,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,3,11,15,7,0,56,0,0,0,0,9,23,42,34,18,124,0,0,0,7,0,0,3,0,0,14,0,0,0,6,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,9,0,5,0,19,9,9,7,0,0,53,0,0,0,0,0,0,6,9,0,15
SED23702,0,0,3,20,18,7,5,0,0,60,0,0,0,7,9,5,9,3,0,29,0,0,0,3,0,5,7,0,0,12,0,45,69,256,476,503,498,316,69,2229,0,0,0,3,3,6,0,0,0,18,0,0,3,3,3,0,0,0,0,17,0,0,3,21,21,27,57,25,10,161,0,0,0,0,4,9,17,13,3,49,0,0,0,0,0,0,0,0,0,3,0,6,6,40,12,16,6,8,3,96,0,0,0,12,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,5,0,21,12,14,24,9,5,92,0,3,0,12,13,22,33,20,6,103,0,3,0,14,9,0,0,0,0,19,0,0,0,4,0,0,0,0,0,3,0,0,0,4,9,6,0,0,0,21,0,0,4,23,10,15,3,3,0,50,0,0,0,0,3,10,13,4,0,25
SED23806,11,82,415,743,296,142,61,41,16,1806,0,0,0,3,0,11,4,12,3,33,0,0,0,6,3,4,13,3,3,33,17,91,97,235,166,132,132,70,42,978,0,0,0,20,5,3,3,0,0,37,0,11,9,46,11,3,5,0,0,93,0,9,10,38,8,14,49,11,12,147,0,0,0,12,16,40,67,83,21,245,3,18,29,91,47,29,20,12,0,250,31,64,76,609,44,42,34,10,3,910,3,9,39,111,9,11,12,3,0,197,0,4,7,90,8,3,3,0,0,114,7,6,5,36,0,0,0,0,0,66,0,0,0,43,15,14,5,7,3,104,0,3,0,19,14,34,54,70,30,231,0,7,14,56,24,7,6,3,3,120,0,9,40,96,24,7,0,0,0,178,0,0,0,3,4,4,3,0,0,22,7,10,92,231,107,91,64,21,3,621,0,0,0,3,3,3,4,0,0,15
SED23901,8,40,122,509,215,131,57,36,15,1127,0,0,0,0,19,21,32,21,9,108,0,3,4,9,3,11,24,6,3,68,4,47,43,194,120,132,141,79,40,793,0,0,0,7,4,0,3,0,0,19,0,7,3,16,8,3,6,0,3,47,0,3,11,33,24,6,43,26,11,155,0,3,3,11,29,67,84,80,31,298,0,8,15,54,19,30,12,8,0,146,14,38,36,387,52,40,30,9,3,610,0,8,14,41,15,8,3,0,0,87,0,5,5,99,10,13,4,4,0,153,0,0,3,15,9,3,0,0,0,33,0,3,0,32,16,14,22,8,3,95,0,5,6,21,32,92,166,230,119,678,3,3,10,57,25,8,6,0,0,114,0,13,11,47,9,4,0,0,0,83,0,0,3,24,32,27,25,16,7,133,0,9,35,141,60,71,36,20,0,384,0,0,0,0,3,8,19,10,3,46
SED24006,33,275,565,1108,650,317,156,94,27,3223,0,0,0,4,17,11,12,12,4,63,0,3,3,9,12,10,16,3,4,55,8,56,62,133,178,124,98,47,62,768,0,3,4,8,12,7,3,5,0,40,0,0,8,22,8,5,5,5,0,54,0,5,6,14,24,16,46,20,15,144,0,9,4,7,38,55,136,155,54,464,4,36,54,119,108,122,56,13,6,508,8,32,45,261,84,49,42,21,6,555,0,7,16,78,17,27,17,9,3,160,0,5,9,69,24,16,14,0,0,134,0,0,0,3,0,3,0,3,0,12,0,3,0,29,11,13,9,3,7,83,0,0,3,16,21,48,132,117,63,413,0,3,11,44,33,5,12,3,0,114,0,15,21,70,38,3,6,0,0,158,0,0,0,7,8,3,4,4,0,27,7,19,81,218,195,194,113,40,4,869,0,0,0,0,3,10,9,0,4,20
