SED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED20106,831,1206,2039,2489,2849,5336,5,6,11,188,230,414,0,0,0,6337,7183,13517,16,15,35,1511,1639,3150,29,44,73,16,20,39,104,143,242,51,45,96,106,129,238,180,217,393,429,491,923,12,18,28,8,22,32,561,680,1237,495,688,1185,24,21,44,12543,14442,26980,921,673,1601,621,579,1201,412,402,808,0,4,3,64,59,118,107,122,230,166,185,356,16096,15177,31270,164,126,291,71,109,179,16328,15417,31740,5716,5513,11228,37542,38414,75951
SED20207,1391,1771,3162,2587,3145,5736,3,0,3,580,630,1204,7,0,4,11405,12442,23851,59,61,118,1869,1834,3698,128,120,249,144,127,273,197,217,412,139,137,274,231,267,501,537,596,1134,630,760,1385,58,65,125,50,62,114,665,903,1572,1378,1497,2873,46,53,102,20713,22922,43631,3349,3042,6391,2017,1844,3869,36,27,70,3,0,3,819,633,1455,162,187,350,982,825,1811,13247,12008,25253,108,87,192,43,77,122,13396,12173,25566,3670,3536,7201,45554,46137,91695
SED20302,618,737,1353,4418,5355,9772,0,0,0,645,760,1404,6,8,11,7049,8012,15058,52,58,111,317,323,637,97,111,213,110,114,227,124,152,277,64,61,123,102,127,229,342,376,725,880,989,1870,87,118,207,102,124,225,1194,1603,2796,925,1125,2055,36,42,85,16542,19459,36007,468,436,900,311,325,638,26,22,46,3,0,3,354,291,643,98,130,230,446,423,871,13357,12458,25813,122,83,207,53,90,143,13530,12629,26157,3381,3350,6728,35313,37386,72701
SED20401,683,886,1569,2754,3429,6184,0,0,0,778,900,1683,38,33,66,5539,6360,11893,115,143,254,381,433,814,61,82,141,133,148,282,156,240,398,37,38,80,130,179,302,362,455,819,646,718,1357,72,108,180,86,104,191,832,1118,1952,989,1189,2178,137,148,283,13252,15812,29056,612,549,1159,212,192,406,32,38,68,4,4,9,198,170,362,150,166,308,347,336,685,12296,11164,23468,120,86,207,36,62,101,12453,11320,23772,2733,2728,5465,30328,31860,62184
SED20508,161,250,412,3607,4540,8148,0,0,0,529,591,1119,0,0,0,6605,7456,14062,46,50,99,266,230,502,60,74,138,8,13,20,150,181,326,0,0,0,50,60,111,152,189,347,772,901,1670,68,82,144,23,26,47,1555,2201,3753,585,701,1285,18,18,34,14494,17323,31814,62,59,122,51,46,96,12,9,22,0,3,3,15,18,33,33,67,105,54,86,140,10992,10172,21161,88,47,131,36,86,117,11113,10302,21415,2616,2586,5205,28565,30653,59222
SED20604,215,269,480,5058,5806,10870,0,0,0,474,549,1023,9,6,15,6976,7637,14610,29,32,64,89,102,189,131,187,317,33,42,82,414,486,906,8,9,19,106,118,225,301,344,648,866,932,1796,73,92,168,58,63,118,1485,1937,3424,751,901,1652,15,28,46,16886,19279,36170,197,199,397,97,56,151,10,10,22,5,3,6,69,50,124,74,113,183,144,171,314,10811,9608,20418,109,92,202,41,63,100,10965,9763,20728,3168,2794,5959,31681,32532,64222
SED20704,240,321,565,3803,4582,8383,0,0,0,594,665,1256,26,25,50,7033,7861,14900,34,48,84,85,71,157,59,68,124,47,58,100,112,119,231,31,37,63,50,55,104,302,384,685,649,780,1424,56,85,146,47,62,112,1931,2580,4510,660,770,1436,11,11,27,15529,18257,33786,147,140,288,139,130,269,9,10,24,3,11,9,54,43,102,59,112,174,117,168,285,11796,11049,22845,83,85,169,27,50,73,11901,11188,23089,3011,2936,5939,31097,33147,64246
SED20804,314,374,687,3322,4200,7520,0,0,0,546,618,1165,95,77,175,4948,5703,10650,86,93,185,134,112,240,66,95,163,37,39,75,89,116,206,14,6,16,47,49,98,198,253,454,594,708,1300,65,85,152,50,55,105,1675,2184,3863,599,667,1267,12,18,28,12574,15089,27660,112,127,235,110,98,206,13,26,39,8,4,9,63,41,105,78,143,226,143,195,339,12141,11365,23502,115,85,197,55,89,138,12305,11537,23842,3864,3238,7102,29430,30686,60122
SED20906,510,730,1241,2029,2559,4580,0,0,0,194,210,403,0,0,0,6285,7373,13658,26,36,61,2188,2299,4486,40,54,97,13,19,34,87,125,218,75,62,143,56,82,140,94,109,206,414,492,903,9,27,35,12,17,25,646,956,1600,455,525,982,29,29,65,12646,14984,27630,732,650,1385,220,172,389,2247,2376,4629,0,0,0,130,89,216,104,119,223,232,212,444,10307,9656,19958,84,76,164,42,59,102,10434,9789,20223,2560,2543,5102,29585,31447,61033
SED21001,1417,1789,3208,2678,3373,6048,0,0,0,782,951,1734,0,3,3,5652,6828,12477,122,139,258,938,998,1932,23,31,50,38,36,66,175,223,396,29,34,60,176,234,411,228,321,551,602,754,1358,70,89,152,66,102,167,1075,1518,2591,802,1018,1812,26,23,51,13465,16656,30121,910,803,1716,406,329,730,44,62,105,0,0,0,207,158,367,109,126,235,319,280,602,13831,13168,26996,118,112,229,56,84,135,13996,13367,27363,2754,2741,5502,33317,36028,69349
