SED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SED20106,1564,7675,19941,327,85,29593,160,792,2005,26,14,2995,29,191,582,10,17,828,1755,8658,22533,362,110,33414
SED20207,20721,4856,795,24,33,26429,2177,714,207,6,4,3109,499,125,35,0,10,672,23396,5702,1042,27,40,30207
SED20302,19825,1158,141,120,68,21307,3511,506,65,105,7,4197,622,94,13,10,13,743,23954,1755,220,235,85,26244
SED20401,15670,3320,669,12,42,19716,1720,632,195,0,5,2552,370,122,42,0,12,542,17761,4072,903,13,64,22812
SED20508,17242,990,163,77,77,18548,2474,356,80,46,9,2965,415,48,20,10,8,497,20127,1389,258,134,100,22012
SED20604,17488,1015,332,88,135,19065,3196,517,223,45,19,3999,491,77,32,8,3,617,21172,1608,583,143,163,23681
SED20704,17668,1271,109,51,49,19148,2960,601,50,27,19,3651,482,85,11,8,9,596,21105,1949,174,88,83,23396
SED20804,16897,916,271,96,115,18294,3602,508,135,51,22,4321,537,96,31,11,9,678,21030,1526,429,158,148,23289
SED20906,12780,3375,2427,49,54,18679,1738,368,500,10,4,2621,301,105,98,0,4,509,14816,3847,3018,58,63,21805
SED21001,13206,5938,2840,30,51,22064,1368,776,432,0,5,2580,285,149,105,0,10,550,14860,6855,3369,39,67,25197
SED21106,10551,4351,6160,73,91,21225,693,471,766,6,9,1944,187,100,181,3,10,477,11425,4928,7102,85,108,23651
SED21203,13301,2048,788,135,54,16318,3625,448,228,99,14,4418,751,135,58,19,36,1000,17674,2636,1078,248,108,21741
SED21303,9689,6638,8040,157,88,24609,1839,634,923,16,10,3423,295,167,233,11,17,717,11824,7446,9194,177,114,28750
SED21401,14026,3227,1421,13,21,18705,2085,394,218,0,7,2703,361,93,40,0,34,532,16466,3711,1679,17,64,21938
SED21503,14399,2503,1092,10,19,18021,2054,445,211,0,3,2715,383,74,52,0,15,517,16830,3015,1355,12,34,21255
SED21608,15380,1765,241,84,61,17530,2826,543,99,15,26,3511,447,79,21,6,28,580,18653,2384,362,107,119,21621
SED21706,13770,4244,1970,44,71,20091,1388,663,357,0,5,2426,314,128,62,0,7,514,15477,5028,2384,47,83,23027
SED21805,15311,4984,677,215,23,21214,1840,1121,205,176,10,3342,407,213,44,15,9,689,17553,6313,927,411,37,25244
SED21906,8495,5853,7611,156,82,22202,756,620,973,9,13,2368,182,127,207,7,23,544,9434,6597,8790,175,112,25117
SED22005,13679,5052,1622,20,49,20424,2696,761,375,3,19,3856,479,171,146,0,24,819,16856,5986,2142,26,90,25095
SED22105,23347,2479,272,6,29,26135,2022,605,100,0,4,2737,690,121,26,0,5,846,26058,3209,396,8,43,29711
SED22201,17096,1295,305,6,37,18743,1982,375,56,0,5,2421,406,63,13,0,11,493,19485,1730,377,6,57,21658
SED22305,12803,3771,1944,207,40,18766,2676,1068,605,100,7,4456,602,250,132,37,27,1040,16083,5084,2686,338,73,24267
SED22404,16414,389,92,179,101,17178,2939,151,49,119,23,3281,561,39,10,59,14,690,19912,579,152,363,140,21144
SED22501,16575,1369,474,19,22,18454,1080,277,102,0,3,1462,271,44,16,0,3,337,17930,1682,589,19,30,20255
SED22607,10470,4418,6495,86,71,21554,1264,506,1497,12,7,3291,251,109,350,0,15,732,11986,5040,8341,105,100,25571
SED22704,17501,310,404,140,103,18463,4249,194,363,95,24,4922,680,32,57,23,15,799,22429,541,817,255,141,24191
SED22802,15981,941,66,43,56,17078,1680,317,8,36,10,2042,332,46,5,3,3,383,17986,1300,75,80,69,19510
SED22901,15451,1865,207,77,27,17631,1473,501,100,57,3,2144,314,85,27,5,7,442,17240,2454,342,142,42,20211
SED23007,12088,5887,5091,75,73,23206,2832,913,945,17,24,4731,554,236,194,6,21,1020,15477,7036,6228,98,112,28953
SED23101,15075,2607,252,17,26,17976,1719,536,208,0,3,2456,306,77,28,0,5,416,17101,3213,485,17,31,20852
SED23205,15788,2863,600,52,40,19339,2253,1001,299,15,4,3570,517,157,44,3,9,734,18553,4026,938,74,49,23637
SED23308,15874,3037,1141,129,52,20236,3173,961,391,87,11,4624,465,123,64,10,11,672,19510,4120,1597,230,73,25531
