SED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SED20106,0,0,0,13,5,8,3,4,3,36,0,0,16,68,7,7,4,0,0,110,4,3,18,73,6,3,3,0,0,104,0,0,24,66,5,0,0,0,0,104,0,0,0,22,7,6,0,3,0,38,0,0,3,41,25,8,4,0,0,79,11,33,38,159,63,44,24,0,0,377,0,5,23,67,20,13,5,3,0,139,0,0,8,39,11,7,8,0,0,70,0,0,4,18,9,3,0,0,0,37,22,34,204,1005,187,124,130,94,42,1847,158,175,502,2011,594,470,337,148,46,4438,1680,2197,4175,16549,4858,3805,2750,1155,372,37542,0,0,0,9,3,0,0,0,0,14,1372,1674,2049,7162,2757,2247,1476,548,241,19524,0,0,3,11,0,0,0,0,0,19,0,0,0,26,10,9,4,0,0,47,0,0,0,3,3,0,0,0,0,9,4,3,19,112,22,21,4,0,0,189,0,0,4,46,6,4,7,0,0,63
SED20207,0,0,0,16,34,46,16,13,5,128,0,19,13,155,47,19,14,7,0,273,0,4,6,32,5,3,0,0,0,51,5,50,29,55,0,0,3,0,0,146,0,3,4,44,85,60,65,8,3,275,0,0,10,16,20,7,0,3,0,53,15,40,18,45,23,14,4,0,0,163,5,16,22,197,137,109,34,11,3,530,0,8,3,15,7,7,3,0,0,48,0,0,5,39,12,3,0,0,0,63,18,130,162,737,375,202,138,61,17,1840,175,287,285,789,363,260,182,96,31,2466,4267,6682,5143,15695,5953,3963,2426,1098,328,45554,0,0,0,10,4,0,0,0,0,19,3496,4701,3185,6579,2964,1686,981,524,244,24368,3,4,9,82,12,3,3,0,0,112,0,0,3,47,23,18,9,0,4,98,0,0,3,36,21,21,13,4,0,102,0,7,6,31,5,8,3,0,0,61,0,0,3,22,17,14,15,5,0,84
SED20302,0,0,0,3,5,9,5,6,0,33,3,46,18,224,46,19,21,3,0,382,3,0,3,31,0,0,0,0,0,39,7,10,12,13,4,0,0,0,0,46,0,0,0,3,0,0,0,0,0,8,0,0,0,10,7,3,3,3,0,22,0,9,10,23,8,6,15,8,0,72,0,3,7,20,11,8,3,0,0,53,0,6,0,5,7,9,12,14,0,59,0,5,10,24,9,4,3,0,0,57,6,51,90,242,125,82,74,48,16,738,124,250,218,540,376,398,368,219,98,2604,2720,4992,3812,8746,4390,4199,3850,1957,650,35313,0,0,7,23,3,0,0,0,0,41,2368,4217,3046,6744,3179,3111,2711,1306,664,27344,0,3,0,25,5,5,0,0,0,36,0,0,0,7,0,3,4,0,0,16,0,0,6,23,15,3,0,0,3,43,0,6,5,17,6,3,0,0,0,37,0,4,0,17,16,4,10,4,0,52
SED20401,0,0,0,3,0,9,5,6,0,29,7,16,22,149,34,32,37,6,3,307,0,4,0,8,4,3,0,0,0,16,0,11,16,29,0,0,0,0,0,65,0,0,0,0,3,0,3,0,0,8,0,0,0,5,0,3,3,0,0,16,3,9,5,21,10,12,6,3,0,75,0,3,3,64,48,40,16,8,0,177,0,0,3,5,8,6,11,5,0,44,0,0,0,8,3,5,4,0,0,28,3,17,33,165,64,78,79,87,49,579,89,138,148,467,211,208,172,117,53,1601,2138,3621,3605,8984,4008,3427,2658,1396,498,30328,0,0,0,3,0,0,3,0,0,12,1930,2959,2910,5901,2894,2392,1821,857,441,22109,0,0,0,11,4,0,0,0,0,18,0,0,3,11,4,10,0,3,0,25,0,0,4,27,20,9,7,7,0,72,0,0,3,19,9,9,3,0,0,41,0,0,0,4,5,4,3,6,0,28
SED20508,0,0,0,0,3,5,5,4,0,14,0,0,0,3,7,6,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,13,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,3,3,0,12,4,11,7,14,11,18,16,0,0,79,0,3,0,3,3,3,3,0,0,21,0,3,0,9,10,8,11,7,0,44,0,0,0,8,0,0,0,0,0,11,3,11,10,43,25,52,39,35,18,231,74,160,136,348,225,320,359,185,74,1877,1759,3768,3032,5837,3484,4060,3912,2005,700,28565,0,3,3,0,0,0,0,0,0,8,1512,3328,2519,5534,3228,3505,3002,1493,738,24863,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,5,0,16,9,11,3,4,0,46,0,0,0,0,0,0,3,0,0,9
SED20604,0,0,0,0,3,5,6,3,3,27,0,4,5,21,4,3,4,0,0,42,0,0,0,3,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,18,4,10,16,0,0,68,0,0,0,6,3,0,0,0,0,15,0,3,0,3,9,12,8,0,3,36,0,0,3,0,0,4,0,0,0,16,7,34,42,84,65,57,69,59,16,428,111,195,262,525,322,367,282,164,62,2301,2025,4244,4114,7258,4276,4341,3387,1527,513,31681,0,0,0,0,0,0,0,0,0,0,1839,3815,3180,6422,3715,3687,2541,1225,626,27050,0,0,0,4,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,14,0,0,0,4,0,0,0,0,0,4,5,0,3,16,0,8,3,0,0,32,0,0,0,3,3,0,0,0,0,5
SED20704,0,0,0,0,0,0,0,0,0,3,0,13,5,18,6,7,5,0,0,53,0,0,0,5,0,0,0,0,0,10,4,35,32,12,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,9,6,6,9,12,0,0,44,0,3,3,8,0,0,0,0,0,16,0,4,0,3,7,3,0,0,0,17,0,0,0,3,4,0,0,0,0,14,3,17,40,40,21,17,22,18,3,175,105,255,260,469,337,313,252,165,64,2227,2149,4556,4446,7202,3954,3833,2899,1485,566,31097,0,0,3,5,0,0,0,0,0,10,1920,3738,4029,6765,3621,3529,2461,1402,818,28287,0,4,0,9,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,19,6,0,4,0,0,39,0,0,0,3,0,0,0,0,0,3
SED20804,0,0,0,0,3,7,5,3,0,18,0,3,3,12,5,11,0,0,4,44,0,0,3,35,0,0,0,0,0,34,3,37,35,21,0,0,0,0,0,96,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,6,0,18,12,9,16,3,0,61,0,3,8,31,14,4,0,0,0,67,0,0,0,5,4,7,7,3,0,26,0,3,0,0,0,0,0,0,0,6,0,8,18,68,42,32,33,14,4,219,115,216,214,552,333,370,329,183,97,2409,1792,3602,3525,7255,3806,4008,3158,1705,580,29430,0,3,3,12,0,0,0,0,0,16,1627,3062,3028,5926,3336,3391,2733,1556,752,25420,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,3,17,0,3,4,0,0,30,0,0,0,0,5,0,0,0,0,9
SED20906,0,0,0,6,4,8,7,6,0,31,0,0,17,59,40,39,38,21,3,216,0,5,0,26,4,0,0,0,0,36,0,3,4,19,0,5,0,0,0,32,0,0,0,3,4,3,3,0,0,18,0,4,4,13,11,6,9,3,0,41,4,33,13,42,34,19,7,4,0,155,0,4,6,58,34,14,7,0,0,124,0,0,3,15,6,0,3,3,0,23,0,0,0,6,13,6,0,0,0,28,24,130,117,592,354,304,241,150,62,1974,82,152,167,387,227,157,145,94,55,1461,1986,4377,3828,7504,4525,3276,2101,1283,708,29585,0,0,3,0,0,0,0,0,0,3,1692,3325,2490,4291,2879,1959,1043,841,666,19187,0,0,0,10,4,3,0,0,0,14,0,0,3,6,5,3,4,3,0,25,0,0,0,16,4,0,0,0,0,20,0,3,10,18,13,9,5,0,0,57,0,0,0,15,11,3,0,4,0,33
SED21001,0,0,3,3,4,7,3,9,0,27,4,21,30,143,53,25,23,16,6,318,6,9,38,170,19,14,13,0,3,277,0,3,14,31,10,0,3,0,0,72,0,0,0,0,3,4,8,0,0,15,0,0,0,6,7,0,3,0,0,21,3,29,19,32,23,13,9,3,0,133,3,0,30,118,70,75,18,10,5,328,0,0,0,3,8,8,5,5,3,33,0,0,7,17,12,3,3,0,0,34,14,33,59,211,78,81,75,67,36,653,61,122,184,364,206,159,139,141,108,1486,1804,4080,5238,9122,4491,3632,2479,1574,907,33317,0,0,3,4,0,0,0,0,0,9,1557,3135,2913,3884,2830,2178,1626,1255,989,20374,0,3,3,19,3,0,0,0,0,26,0,0,0,5,8,0,0,0,0,17,0,0,5,10,0,11,5,3,0,35,0,4,3,24,8,19,5,0,3,66,0,0,0,10,4,11,0,3,0,24
