SED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
SED24504,0,0,3,11,5,0,3,0,0,20,0,0,0,3,8,10,13,3,0,42,0,0,0,0,4,4,0,0,0,14,3,13,11,77,54,59,63,25,14,313,84,221,155,507,393,398,352,180,157,2452,1664,3847,2839,6518,4696,4380,3370,1335,714,29367,0,0,0,0,0,0,0,0,0,0,3153,7170,5349,9929,6838,6219,4523,1643,668,45498,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,3,3,5,0,17,0,0,0,6,4,0,0,0,0,11,0,3,0,41,18,14,16,0,3,94,0,0,0,3,4,9,0,0,0,17,3,11,11,42,18,10,14,5,0,115,0,0,0,7,25,36,22,22,6,116,0,0,0,0,0,14,17,3,3,37,3,76,63,331,534,545,577,290,75,2507,0,0,0,9,7,0,3,0,0,17,0,3,0,19,7,15,11,4,0,58,0,3,3,35,46,57,147,48,29,366
SED24606,0,0,28,85,22,30,12,3,0,180,0,0,0,4,0,0,0,3,3,18,0,0,5,6,4,5,3,0,0,23,7,20,59,368,87,91,128,83,65,908,53,123,211,531,203,202,160,158,115,1759,1334,3268,4392,8770,4102,3397,2837,1802,1068,30966,0,0,0,12,0,0,0,0,0,16,2465,5644,5688,9481,5356,4149,3183,1765,933,38665,0,3,8,16,3,3,3,0,0,32,0,0,0,10,7,4,5,7,0,36,0,0,3,15,3,0,0,0,0,28,4,11,16,69,21,20,10,8,0,157,0,0,0,13,4,8,8,0,0,37,20,110,971,962,312,190,93,59,19,2724,0,0,3,13,8,18,12,14,6,69,0,0,5,8,7,22,29,20,4,98,23,118,124,406,314,274,271,124,67,1732,0,0,3,21,6,3,3,3,0,40,0,9,16,71,26,13,23,9,5,172,0,0,5,57,21,18,93,40,25,262
SED24703,0,10,336,332,132,128,52,24,7,1023,0,0,7,18,3,3,0,0,0,38,0,0,6,14,0,0,0,0,0,25,41,78,737,1635,257,157,117,65,25,3121,221,172,1762,2615,512,398,268,115,55,6104,1894,1982,19996,24481,4160,3248,2173,977,472,59374,0,0,23,11,0,0,0,0,0,33,2778,2872,7619,15794,3905,3216,2197,739,325,39450,0,0,52,57,0,0,0,0,0,113,0,0,4,45,17,7,5,5,0,86,0,0,73,42,5,3,0,0,0,128,8,5,80,269,32,18,3,0,0,414,6,0,16,164,11,18,5,10,3,225,44,132,11654,5300,601,323,163,149,51,18411,0,0,0,33,25,21,22,15,6,116,5,19,15,49,16,29,29,15,10,189,15,54,389,1043,337,275,236,62,25,2440,0,0,6,48,9,8,14,0,0,89,3,0,126,288,21,7,11,4,0,469,0,3,74,186,39,30,63,27,12,429
SED24808,4,4,4,109,24,17,4,0,0,164,0,4,3,7,8,9,5,3,3,47,0,0,10,30,5,3,0,0,0,52,13,115,202,568,227,164,108,47,17,1461,222,361,297,848,369,350,290,143,63,2947,3253,5682,4927,11914,4884,4560,3102,1243,553,40129,0,0,0,5,0,0,0,0,0,3,6001,9652,7986,16063,6322,5452,3352,1162,465,56445,0,9,4,69,10,8,3,0,0,101,0,0,12,53,29,18,10,0,0,131,0,0,0,3,3,3,0,0,0,15,0,4,0,34,16,10,3,0,0,70,0,4,16,35,33,19,22,7,0,142,3,7,16,96,48,23,9,5,3,204,0,0,7,24,44,54,48,26,12,213,0,29,16,24,11,36,29,8,9,161,0,53,55,284,483,527,545,302,95,2355,0,14,14,94,27,11,5,0,0,171,0,0,0,3,8,7,10,0,0,30,0,3,10,23,34,60,171,40,23,363
SED24904,3,3,5,68,32,40,12,3,0,157,0,0,0,5,3,0,0,3,0,12,0,0,0,3,3,3,3,0,0,11,8,30,38,146,75,55,54,20,15,434,131,250,342,685,453,508,396,327,163,3247,1905,3908,3700,7473,4277,4259,3249,2116,1095,31987,0,29,50,112,50,24,13,0,0,281,3520,7203,6289,10970,6477,6627,4738,2619,1259,49704,0,3,0,14,5,4,0,0,0,26,0,0,0,5,0,0,0,0,0,7,0,6,9,30,19,11,0,3,0,79,0,0,7,14,8,3,3,0,3,27,0,0,0,3,0,0,5,0,0,5,0,3,34,69,16,13,14,3,0,152,0,0,0,0,4,10,20,21,13,75,0,0,0,6,0,0,3,0,0,12,3,13,44,119,155,164,210,101,40,855,0,3,3,33,4,14,5,4,0,66,0,0,10,17,3,0,0,3,3,42,0,0,4,17,8,18,79,15,4,149
SED25003,3,4,22,137,66,58,15,3,3,308,0,0,0,0,3,4,0,4,0,15,0,4,13,37,4,0,0,0,0,65,15,81,100,400,221,158,106,44,20,1146,102,153,221,555,298,256,136,97,30,1853,2355,4418,4648,10481,5148,3881,2149,1138,572,34782,0,6,6,32,10,9,0,0,0,58,4474,7694,7391,11382,5449,3315,1456,702,373,42234,0,3,7,73,21,3,0,0,0,111,0,0,3,42,32,30,6,10,0,123,0,0,3,29,16,14,6,0,0,74,0,3,7,22,10,3,0,0,0,48,0,3,0,19,17,13,13,0,0,73,16,21,65,566,126,118,62,23,4,1002,0,0,10,26,44,55,43,25,3,207,3,27,24,126,58,90,73,20,15,441,5,44,19,147,172,169,142,69,36,810,0,6,15,113,50,44,20,11,8,278,0,0,3,7,6,11,7,0,0,29,0,0,18,31,25,9,39,10,7,138
SED25102,0,3,0,20,4,7,0,0,0,32,0,0,0,8,11,13,6,0,3,33,0,0,0,11,6,9,0,0,0,20,6,19,12,146,93,75,53,29,7,443,78,128,126,350,224,236,177,109,82,1512,1653,3606,3390,7254,4425,4089,2655,1042,544,28652,0,0,0,0,0,0,0,0,0,0,3221,6919,6371,11389,6348,5641,3195,992,398,44477,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,0,0,0,12,0,0,0,9,0,0,0,0,0,10,3,9,3,49,22,20,16,10,0,122,0,0,0,18,10,5,10,0,0,39,3,14,41,83,29,26,13,7,0,212,0,0,0,4,7,7,7,5,0,33,0,0,0,3,3,3,8,4,0,27,12,105,111,516,706,840,686,302,106,3393,0,0,0,4,4,7,0,0,0,26,0,3,3,20,11,14,8,3,0,69,0,5,11,44,58,85,162,74,39,487
SED25205,0,0,13,62,31,26,9,3,0,141,0,0,0,20,9,0,8,3,0,35,0,0,0,3,4,3,0,0,0,12,5,56,54,384,181,144,96,79,33,1037,78,122,134,453,271,198,195,178,100,1722,1921,3959,3329,8928,4965,3750,2844,1862,1033,32592,0,0,6,9,4,0,0,0,0,21,3642,7135,5633,11599,6259,4520,2856,1726,988,44368,0,0,0,3,3,3,0,0,0,10,0,0,5,32,16,6,4,3,0,66,0,0,3,40,27,23,12,0,0,105,0,10,13,61,30,12,3,3,0,130,0,3,0,28,14,12,8,3,0,72,11,46,199,374,160,115,61,31,3,1009,0,0,0,18,15,31,18,19,8,106,0,0,4,10,10,37,31,23,12,131,37,213,176,714,637,437,435,286,148,3066,0,0,4,38,32,32,6,4,0,112,0,5,16,45,20,11,11,3,0,100,3,3,17,78,56,28,85,50,26,356
SED25302,0,0,3,12,7,3,3,0,0,33,0,10,5,12,15,16,17,10,3,91,0,0,0,7,3,0,3,4,0,18,4,16,27,100,76,71,94,49,29,467,55,163,142,345,242,222,293,188,88,1731,1557,4147,3146,6508,4682,4078,4305,2501,1235,32155,0,0,3,4,3,4,0,0,0,18,3035,7392,5317,9203,6066,5200,4817,2642,1252,44920,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,7,3,0,18,0,0,0,6,3,0,0,0,0,12,3,17,9,50,28,20,17,9,3,158,0,0,0,5,14,12,15,3,0,49,3,26,123,50,35,15,13,8,4,282,0,0,0,8,22,29,7,20,7,89,0,0,0,5,4,13,23,6,4,62,47,421,404,839,1212,829,1115,817,302,5984,0,0,0,11,9,8,3,3,3,40,0,4,3,10,15,7,15,0,3,51,0,13,22,43,59,39,105,83,30,389
SED25402,0,3,4,26,3,0,0,0,0,34,0,0,0,3,3,4,3,0,3,18,0,0,0,3,7,0,0,0,0,16,0,37,32,104,58,47,42,35,21,375,119,234,350,685,415,414,320,269,162,2969,1864,3894,4011,8046,4394,4473,3281,1992,973,32928,0,0,0,0,0,0,0,0,0,0,3631,7211,7017,12708,6780,6579,4049,2016,825,50805,0,5,0,35,10,4,0,0,0,53,0,0,0,3,0,3,0,8,0,10,0,0,8,4,0,0,0,0,0,11,0,3,3,15,12,13,9,3,3,70,0,0,0,4,4,0,4,0,0,17,3,6,59,83,30,26,8,6,0,229,0,0,0,0,9,10,19,17,8,53,0,4,0,11,3,6,3,7,0,29,8,27,22,106,243,371,473,307,125,1680,0,0,5,20,3,6,0,0,0,37,0,0,0,5,7,7,4,5,0,29,0,3,6,12,18,46,187,77,40,383
