SED_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED20106,0,0,3,0,0,6,0,3,0,144,0,157,0,0,0,0,0,0,0,6,3,39,0,59,0,4,0,0,0,0,0,11,0,22,0,34,0,0,0,0,0,3,0,12,0,8,0,25,3,7,0,3,0,5,0,24,0,125,0,162,3,7,0,3,0,10,0,33,4,38,0,101,7,24,0,8,0,28,3,36,0,223,4,331,4,27,0,26,0,57,0,43,0,97,0,259,27,62,0,53,0,97,0,52,4,124,5,431,79,59,3,112,3,84,0,29,8,117,0,497,68,32,0,101,8,96,3,32,6,47,0,399,165,22,0,129,12,80,4,35,3,70,0,526,602,49,11,221,14,211,6,62,12,109,0,1301,659,23,11,211,25,86,5,36,3,77,0,1125,566,28,5,113,22,46,0,16,3,41,0,843,461,7,3,42,16,172,0,15,6,42,3,773,1241,62,25,312,34,223,5,71
SED20207,0,0,0,0,0,3,0,4,0,204,4,218,0,0,0,0,0,0,0,5,0,78,0,94,0,0,0,0,0,0,0,10,0,43,0,60,0,0,0,0,0,0,0,10,0,18,0,35,0,3,0,0,0,3,0,26,3,219,3,268,0,5,0,4,0,24,0,40,8,55,0,139,3,15,4,14,3,44,3,50,7,528,4,679,7,23,0,26,5,120,4,73,9,217,4,488,18,36,4,60,4,156,3,53,9,200,4,547,86,41,0,122,15,126,3,28,9,112,6,538,109,15,0,105,3,120,0,21,3,36,0,416,155,10,8,118,10,84,3,14,7,33,0,440,507,24,18,177,20,147,9,25,3,53,0,991,415,9,11,120,22,53,7,13,5,17,3,666,332,4,3,58,8,21,0,0,0,7,0,427,194,5,3,18,9,44,0,0,0,8,0,278,269,4,8,61,9,29,0,6
SED20302,6,0,0,0,0,6,0,3,0,121,4,135,0,6,0,3,0,0,0,10,0,49,0,70,0,0,0,0,0,0,3,16,0,33,0,59,0,0,0,0,0,0,0,14,0,31,0,46,5,5,0,9,0,7,0,33,4,302,3,385,0,16,0,4,0,22,3,62,4,109,0,222,9,46,6,16,0,51,0,100,11,997,24,1254,16,32,9,32,8,82,5,97,10,377,12,673,40,73,3,106,11,110,10,69,10,356,9,798,91,61,4,145,11,79,10,49,14,207,3,690,99,26,4,138,3,65,3,22,4,56,0,411,136,33,13,136,8,44,3,14,5,55,3,464,363,23,9,176,25,73,7,18,8,60,4,763,220,12,4,97,20,9,3,4,3,16,0,389,108,9,5,45,9,11,0,3,0,13,0,208,46,0,4,13,0,19,0,0,0,5,0,94,54,15,5,36,6,11,0,10
SED20401,0,0,0,0,0,3,0,0,0,105,0,109,0,0,0,0,0,0,0,3,3,30,0,41,0,3,0,3,0,0,0,11,0,24,0,39,0,0,0,3,0,0,0,10,0,15,0,28,0,6,0,0,0,0,0,22,6,172,0,209,0,10,0,5,0,17,0,35,4,78,4,150,4,19,3,9,0,48,0,47,4,514,12,658,4,25,0,24,3,71,3,68,11,224,0,433,20,38,0,61,7,99,8,60,10,264,4,572,75,46,4,112,9,71,3,35,9,157,0,522,82,15,5,88,3,75,5,23,4,36,3,341,145,21,0,110,7,50,5,14,5,30,0,397,428,22,8,178,25,85,5,10,10,42,0,810,306,9,5,118,12,37,3,3,3,14,0,513,189,4,0,53,8,12,0,0,0,9,0,277,89,0,0,16,4,12,0,3,0,7,0,135,85,5,3,31,6,15,0,3
SED20508,6,0,0,0,0,0,0,3,0,88,0,101,3,0,0,0,0,3,0,7,0,59,0,74,0,0,0,0,0,0,0,20,0,20,0,44,0,0,0,0,0,4,0,9,4,16,0,38,0,11,0,0,0,4,4,36,3,280,0,340,0,6,0,6,0,7,0,45,0,123,3,184,3,22,0,13,0,27,0,75,7,857,16,1028,4,49,0,26,0,43,4,87,9,454,7,685,27,59,0,70,9,75,10,96,11,485,3,841,46,58,3,117,0,50,9,80,14,304,3,685,52,22,0,86,4,57,3,39,4,79,3,352,72,26,7,109,7,45,3,29,4,98,0,406,284,36,4,171,16,72,10,44,9,107,5,760,188,21,11,100,12,20,7,16,4,45,0,424,124,14,4,46,4,6,0,3,0,29,0,237,51,0,3,18,0,21,3,7,3,12,0,110,90,21,9,52,7,21,0,15
SED20604,3,0,0,0,0,0,0,0,0,42,4,59,3,4,0,0,0,0,0,5,0,41,0,55,0,0,0,0,0,0,0,15,0,20,0,36,0,0,0,3,0,3,0,0,0,8,0,21,7,11,3,0,0,8,0,38,3,212,6,293,7,12,0,8,0,15,3,30,8,85,0,164,17,34,0,17,0,37,0,81,7,745,22,950,27,34,5,35,3,96,3,98,14,303,3,624,58,68,11,117,3,96,3,91,14,299,4,764,105,56,4,171,16,96,10,60,9,182,4,715,95,25,3,140,4,75,9,30,8,73,0,466,150,33,6,142,10,63,3,18,6,56,5,493,425,45,4,223,28,77,12,33,12,52,3,922,235,21,7,117,19,32,6,13,0,24,3,478,128,3,6,51,13,13,6,0,0,15,0,233,47,5,0,10,0,12,0,3,0,3,0,85,73,15,5,47,3,16,3,7
SED20704,0,4,0,0,0,0,0,4,0,44,3,57,7,3,0,0,0,0,0,7,3,41,0,60,0,0,0,3,0,4,0,3,0,21,0,32,0,0,0,0,0,0,0,0,0,12,0,13,3,3,0,5,0,7,0,30,3,196,4,257,0,8,0,3,0,6,3,45,6,85,4,162,10,25,0,17,0,30,3,69,11,659,12,836,10,33,3,36,0,63,4,91,19,285,4,550,24,52,9,106,6,102,4,84,11,339,7,742,96,50,3,155,12,74,9,54,8,196,0,654,74,19,4,112,10,76,4,19,6,64,0,391,133,25,9,99,4,47,5,19,5,61,0,413,310,30,4,202,29,75,9,35,14,61,7,773,192,13,15,108,17,28,3,10,4,26,0,422,137,11,5,59,6,7,6,11,3,13,0,252,56,4,3,23,6,13,0,3,0,9,0,116,66,9,8,60,4,25,3,11
SED20804,3,0,3,0,0,0,0,3,0,43,0,54,5,0,0,0,0,0,0,3,0,43,0,51,4,3,0,0,0,0,0,11,3,19,0,46,0,0,0,0,0,0,0,4,0,14,0,23,7,9,0,4,0,3,0,30,6,221,3,288,3,6,0,3,0,11,0,41,4,83,0,155,12,25,4,21,3,41,6,81,7,826,14,1047,9,39,4,41,3,74,4,85,10,324,8,610,28,58,0,91,5,91,8,82,8,335,9,714,107,64,3,156,9,80,4,47,11,210,3,700,95,27,3,128,5,49,3,28,10,40,0,378,117,27,6,108,6,32,4,16,3,39,3,364,260,31,6,170,29,61,11,26,4,53,3,655,176,11,3,93,15,12,0,10,0,14,0,341,101,5,4,33,0,10,0,5,4,9,0,172,36,3,0,10,0,9,0,3,0,0,0,67,69,10,3,43,3,20,0,4
SED20906,0,0,0,0,0,0,0,6,3,95,3,104,0,3,0,0,0,0,0,0,0,63,0,68,0,7,0,0,0,0,0,3,0,20,0,34,0,0,0,0,0,0,0,3,0,15,0,17,3,7,0,0,0,4,0,18,0,165,0,191,0,10,0,5,0,4,0,35,0,55,0,100,6,12,0,7,0,12,5,46,3,453,8,548,7,26,3,15,0,59,0,64,3,175,0,349,13,39,0,45,3,64,4,53,4,209,3,430,37,27,3,64,0,54,0,32,5,168,0,394,35,15,0,58,4,40,0,18,3,39,0,215,64,17,0,63,6,46,0,21,0,31,0,255,226,19,3,122,7,83,0,23,7,56,0,555,205,13,7,83,9,34,3,15,3,24,0,385,170,0,0,38,3,17,0,7,4,13,0,257,125,4,3,20,6,26,0,0,0,12,0,188,236,9,9,56,7,31,0,4
SED21001,0,0,0,0,0,0,0,0,0,253,0,262,0,3,0,0,0,0,3,6,3,65,0,83,3,0,0,0,0,0,0,22,0,31,0,57,0,0,0,0,0,0,0,13,3,22,0,44,0,12,0,3,0,3,0,29,0,169,3,223,9,14,0,3,0,11,0,48,4,65,3,157,3,33,0,8,0,36,0,56,3,362,12,515,3,27,4,21,0,69,0,46,7,215,3,398,17,37,0,47,3,81,3,65,14,276,4,559,43,38,5,85,0,71,0,63,11,190,0,501,45,19,3,76,3,58,3,31,13,73,0,326,66,12,0,60,5,52,5,21,8,81,0,311,241,33,3,128,11,94,0,39,7,122,0,682,222,19,3,90,9,42,3,30,3,56,0,481,162,13,6,48,6,21,0,11,0,50,0,324,118,8,0,22,3,24,0,13,0,24,0,218,199,21,0,101,7,61,3,25
SED21106,3,0,0,0,0,4,0,3,3,44,0,57,0,0,0,0,0,3,0,4,0,32,0,35,0,0,0,3,0,0,0,3,0,13,0,19,0,0,0,0,0,0,0,3,0,6,0,11,0,3,0,3,0,4,0,5,0,90,0,112,0,4,0,6,0,9,0,19,5,35,0,75,9,16,0,4,0,13,0,35,4,193,3,272,3,26,0,9,3,27,0,44,0,122,5,227,16,36,0,35,0,36,0,43,3,188,4,353,25,26,3,54,0,29,3,50,0,132,0,330,38,15,0,45,4,50,0,37,3,87,0,284,54,28,4,53,5,46,3,41,3,81,0,310,291,33,8,136,12,103,8,53,13,157,0,807,247,29,8,127,16,41,7,33,0,88,3,589,215,16,8,72,8,22,3,16,4,54,3,413,194,9,5,33,6,82,0,22,3,36,0,400,511,77,6,187,25,152,11,93
SED21203,0,0,0,0,0,0,0,0,0,100,8,111,0,0,0,0,0,0,0,6,0,54,4,66,0,3,0,0,0,3,0,14,0,34,0,46,0,0,0,0,0,5,0,10,3,14,0,35,0,0,0,3,0,15,0,27,4,322,3,374,0,11,0,3,0,32,0,32,4,83,0,161,3,15,3,9,0,51,4,58,6,801,19,954,8,15,0,16,0,72,4,43,7,141,3,317,10,28,4,38,3,118,3,35,0,138,3,393,41,13,0,77,4,66,3,20,5,80,3,316,44,11,3,57,0,35,0,5,0,19,0,182,57,8,0,42,4,40,0,9,0,12,0,180,175,3,4,46,16,34,4,10,3,20,0,310,90,0,3,22,11,10,0,0,0,3,0,141,49,0,0,13,4,4,0,3,0,0,0,62,23,0,0,8,0,5,0,0,0,0,0,40,29,0,0,0,0,0,0,0
SED21303,7,0,0,4,0,3,0,0,0,87,7,98,0,0,0,0,0,0,0,3,0,45,0,49,0,0,0,0,0,0,0,15,0,23,0,36,0,0,0,0,0,0,0,13,0,10,0,25,3,7,0,3,0,8,0,33,0,234,4,290,0,14,0,4,0,13,0,38,4,59,0,130,10,39,3,11,0,28,4,50,3,424,5,584,9,35,0,34,3,57,4,46,7,115,0,312,24,82,0,63,5,100,3,35,7,118,0,440,70,61,3,159,12,89,5,33,4,84,4,523,80,26,0,130,8,71,0,23,7,24,0,369,147,23,8,133,3,77,0,19,3,35,0,450,559,41,9,230,22,113,3,24,3,33,0,1042,580,16,3,197,16,47,0,9,3,20,4,888,372,6,4,93,21,29,5,6,3,4,0,549,294,6,3,45,10,29,0,3,0,0,0,388,518,9,13,107,15,50,0,9
SED21401,0,0,0,0,0,4,0,0,0,218,0,228,4,0,0,0,0,0,0,7,3,100,4,112,0,3,0,0,0,0,0,18,0,34,3,63,0,0,0,0,0,0,0,12,0,16,0,36,0,8,0,3,0,8,0,24,4,304,7,357,0,6,0,4,0,13,0,43,3,101,3,184,0,22,0,4,0,27,0,60,9,658,9,794,4,29,0,15,0,50,0,79,5,308,9,497,17,40,3,41,0,68,8,66,8,345,3,588,32,37,6,49,8,74,4,48,5,275,3,546,44,13,0,61,3,70,3,27,0,92,0,320,71,20,6,45,0,53,3,23,3,138,5,370,197,26,3,100,12,88,7,30,0,145,3,622,168,20,3,94,5,37,3,18,3,64,0,426,138,12,3,46,4,10,0,14,0,47,0,277,81,6,0,21,3,38,0,7,6,31,0,186,174,22,4,72,13,76,3,30
SED21503,0,0,0,0,0,0,0,0,0,156,0,158,0,0,0,0,0,0,0,4,0,42,3,52,0,3,0,0,0,3,0,11,0,23,0,49,0,0,0,0,0,0,0,6,0,13,0,20,0,10,0,3,0,8,0,18,0,235,3,278,0,5,0,7,0,18,0,41,0,63,0,133,0,20,3,3,0,37,0,72,8,617,13,775,10,37,0,19,0,76,0,75,7,277,4,501,20,40,3,51,3,87,8,55,3,266,7,541,41,40,7,100,3,73,6,34,5,156,3,466,53,19,5,85,4,66,3,24,6,49,4,313,92,9,0,62,6,45,4,10,4,54,3,289,248,22,6,130,14,86,6,10,0,44,0,577,252,6,3,76,7,18,0,8,0,21,0,391,162,4,0,47,4,3,0,0,0,11,0,233,91,0,0,8,3,16,0,3,0,7,0,133,107,9,4,31,3,15,0,6
SED21608,0,4,0,3,0,0,0,5,0,65,3,79,3,3,0,0,0,3,0,7,0,42,3,54,3,0,0,0,0,0,0,14,0,26,0,46,0,0,0,0,0,0,0,5,0,14,0,26,7,14,0,3,0,5,0,34,0,215,0,284,0,4,0,9,0,17,3,50,3,99,6,195,7,23,3,21,0,38,0,74,11,734,8,918,10,34,3,39,0,85,5,99,6,244,3,533,33,68,4,73,10,105,5,76,11,237,6,618,74,46,12,141,7,71,6,48,6,152,3,573,72,22,0,111,12,57,4,21,3,39,0,340,108,20,5,84,9,62,3,16,9,22,3,335,316,35,13,158,17,90,10,26,4,37,0,712,178,12,6,96,20,23,4,4,5,9,0,359,116,3,8,39,5,5,3,0,0,14,0,192,56,0,0,14,0,16,0,0,0,9,0,99,68,7,0,45,3,24,3,8
SED21706,0,0,0,3,0,4,0,3,0,180,0,188,0,3,0,0,0,5,0,6,0,45,0,56,0,3,0,0,0,0,0,22,0,28,0,56,0,0,0,0,0,0,0,13,0,19,0,28,0,9,0,0,0,5,0,23,3,171,0,208,0,5,0,0,0,14,0,30,0,72,3,123,4,25,0,4,0,26,0,36,7,327,4,435,3,25,0,9,0,52,0,38,5,168,3,308,17,35,3,42,3,59,3,66,7,199,0,431,44,26,0,71,0,51,0,50,3,156,0,396,41,10,3,53,6,41,0,24,3,54,0,240,81,13,0,50,3,33,0,12,6,75,0,281,209,25,3,120,10,83,3,40,3,97,0,590,223,18,4,88,7,33,0,16,3,53,0,452,172,12,0,65,6,21,0,7,0,25,0,307,119,3,3,25,6,39,3,6,0,14,0,215,297,26,12,75,3,53,3,24
SED21805,3,0,0,0,0,0,0,0,0,66,0,74,0,0,0,0,0,0,0,0,0,29,0,36,0,5,0,0,0,0,0,9,3,23,0,38,0,0,0,0,0,3,0,11,0,4,0,20,0,3,0,0,0,5,0,17,4,183,3,217,0,3,0,5,0,17,3,35,3,84,0,149,7,18,0,11,0,30,0,56,11,525,18,677,5,13,0,20,0,70,0,58,12,194,3,389,15,47,4,71,6,119,6,55,6,222,4,559,79,42,14,141,11,85,8,39,4,120,8,537,93,21,3,101,3,72,3,18,10,30,0,348,139,15,4,96,11,60,5,14,3,33,0,377,551,25,4,175,29,65,4,23,4,45,0,934,398,13,12,120,14,36,12,4,4,14,0,625,197,10,3,47,12,14,3,6,0,7,0,291,123,0,0,16,3,35,0,3,0,8,0,195,150,6,0,52,3,23,0,4
SED21906,3,0,0,3,0,3,0,3,3,86,0,103,0,0,0,3,0,0,0,6,3,40,0,45,0,3,0,0,0,0,0,13,0,21,0,40,0,0,0,0,0,0,0,13,4,14,0,27,0,8,0,0,0,7,0,19,0,119,0,159,3,9,0,3,0,17,0,23,4,44,0,109,5,36,0,8,0,29,3,48,0,263,3,401,4,33,0,17,3,50,0,43,3,108,0,257,16,53,5,60,0,70,3,60,0,134,7,403,62,51,4,124,3,66,3,47,3,94,3,458,52,22,4,100,3,74,3,24,0,53,0,335,131,40,3,98,13,62,6,28,0,60,4,431,390,48,6,197,8,90,13,45,5,76,0,870,392,30,5,133,8,62,8,31,5,60,0,732,283,23,4,84,12,26,0,21,3,34,0,498,219,4,3,43,12,33,0,11,0,26,0,365,414,42,3,151,22,96,6,55
SED22005,3,3,0,0,0,0,0,0,0,273,0,287,0,3,0,0,0,3,0,9,3,85,0,102,0,3,0,0,0,3,0,22,3,48,0,79,0,0,0,0,0,0,0,22,0,23,0,45,0,9,0,0,0,7,0,40,3,336,6,401,0,13,0,4,0,27,0,48,3,107,0,208,6,26,0,18,0,66,5,68,4,766,12,959,11,56,0,30,3,112,9,58,11,200,3,497,27,52,3,73,5,121,0,67,9,194,3,560,62,34,0,101,0,55,6,33,3,107,0,415,71,14,0,90,12,80,3,20,10,31,0,331,117,19,7,75,7,49,4,13,0,26,0,318,334,20,6,120,7,67,6,13,0,41,3,624,245,7,4,82,12,27,0,6,0,10,0,387,146,6,3,17,10,12,0,0,0,10,0,200,83,0,3,15,4,17,0,0,0,4,0,129,117,0,0,29,3,12,0,3
