SED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED21106,0,0,0,6,8,3,3,0,0,24,0,12,12,74,23,16,12,3,0,147,0,3,5,77,23,89,90,41,39,369,4,9,22,103,96,65,69,30,11,413,8,53,21,43,27,16,10,7,0,182,9,28,58,229,167,111,77,21,11,711,0,0,0,18,21,11,13,13,4,78,0,3,3,40,30,34,23,17,6,151,0,0,3,35,11,7,0,0,0,54,5,20,23,49,7,0,3,0,0,113,0,0,0,6,8,9,3,3,0,37,0,0,0,17,17,10,11,0,0,67,26,149,77,155,113,68,28,3,3,635,0,3,11,67,15,20,3,3,0,119,0,3,0,27,25,11,10,5,7,89,0,0,0,19,11,11,0,0,0,41,22,124,130,875,456,380,338,223,100,2645,164,347,360,1244,621,486,365,266,207,4053,3113,7956,6872,16338,10020,7667,5527,3058,1952,62498
SED21203,0,0,4,9,3,0,0,0,0,23,10,45,77,359,172,200,66,13,6,951,0,0,0,15,14,34,26,17,16,124,0,0,0,12,22,21,27,24,9,115,4,10,24,18,16,6,3,0,0,77,0,4,4,11,7,3,5,0,0,38,0,0,0,3,14,18,14,21,3,80,11,46,73,296,151,97,40,23,14,739,0,0,0,21,0,0,0,0,0,27,3,19,16,56,15,10,8,0,0,126,0,4,4,17,20,34,14,3,3,88,18,66,181,1192,1291,757,454,180,23,4169,3,10,20,30,8,3,9,0,0,93,3,17,60,328,286,232,70,37,18,1050,0,0,0,0,3,0,0,0,0,11,0,0,10,10,4,3,0,0,0,25,102,360,447,1447,718,568,359,211,64,4269,438,847,787,1750,870,627,492,377,119,6308,5581,10326,10681,20793,9099,6540,4647,3442,1242,72350
SED21303,0,0,0,23,9,0,0,0,0,37,4,11,34,167,39,39,16,6,3,321,0,0,3,67,11,19,12,5,12,125,0,0,20,131,59,27,19,9,0,273,3,3,35,103,20,10,6,0,0,182,0,0,26,136,21,20,8,6,0,210,0,0,0,17,11,12,10,10,3,61,0,7,18,102,18,30,16,6,6,194,6,0,12,92,4,6,3,0,0,117,4,11,31,105,21,7,3,0,0,185,0,0,0,11,3,8,8,0,3,48,0,3,3,83,111,66,46,17,0,333,11,31,59,314,59,24,18,6,3,529,0,16,62,198,61,85,49,7,5,491,0,0,0,28,8,0,9,3,0,51,0,0,3,29,0,3,0,0,0,37,24,57,232,1251,252,175,160,96,46,2284,195,258,586,2039,518,395,288,324,274,4878,3554,5477,9480,30358,7985,5849,3872,2999,1473,71047
SED21401,0,0,4,10,5,8,0,0,0,27,3,21,33,124,46,45,25,5,0,301,0,0,0,23,7,29,29,14,10,109,0,0,4,18,8,20,43,28,16,144,3,37,77,120,66,62,57,15,0,440,6,46,95,148,123,83,56,34,4,593,0,0,0,6,10,12,18,16,5,69,0,9,27,105,72,76,65,25,15,389,0,4,35,199,48,78,48,7,3,424,4,8,21,56,12,3,3,3,0,103,0,0,0,24,29,40,48,37,8,185,0,0,4,16,40,27,4,17,4,116,7,36,27,52,31,11,18,7,0,189,0,3,41,187,154,165,69,22,5,648,0,0,0,4,8,12,3,5,0,38,0,0,0,17,13,11,6,4,0,46,13,60,90,440,271,273,258,255,136,1785,85,217,250,629,402,363,369,344,187,2851,2908,6355,7385,14768,8501,7405,6788,5378,2171,61657
SED21503,0,3,0,13,7,3,0,0,0,33,3,27,66,235,84,85,50,9,3,566,0,0,3,32,17,25,26,12,10,128,0,0,10,21,30,37,54,30,8,191,0,8,49,62,18,23,3,0,0,164,0,12,37,57,39,16,14,4,0,186,0,0,0,8,13,18,24,14,6,84,8,29,110,347,155,140,84,34,9,912,0,0,21,72,5,15,0,3,0,124,3,5,39,71,19,7,3,0,0,158,0,7,9,100,161,172,154,67,12,681,0,0,3,22,21,13,3,8,0,69,0,20,25,46,23,15,11,0,0,133,20,40,327,439,135,120,39,22,3,1139,0,0,0,5,12,3,4,4,0,30,0,3,11,20,0,4,0,0,0,39,51,162,245,809,253,228,175,105,42,2071,136,248,531,954,417,381,350,268,89,3381,3617,6653,9933,18002,7541,6451,5237,3127,1204,61764
SED21608,0,0,0,13,15,0,0,0,0,24,3,20,12,79,19,20,9,0,0,163,0,0,0,13,3,0,10,8,6,43,0,8,7,23,42,63,84,28,5,256,0,4,3,9,9,3,0,0,0,25,0,3,12,40,21,12,13,8,0,102,0,0,0,0,9,12,7,4,0,35,0,0,3,27,6,6,6,3,0,51,0,0,0,6,0,0,0,0,0,8,3,7,11,23,8,8,0,0,0,58,0,0,0,0,5,6,3,0,0,14,0,0,0,4,0,0,0,0,0,3,0,18,14,31,15,23,24,3,0,133,0,7,3,13,10,3,0,0,0,41,0,0,0,5,8,7,10,7,0,40,0,0,0,4,0,3,0,0,0,15,3,32,74,140,85,94,71,53,28,571,204,398,535,1025,699,705,606,286,117,4580,3674,7773,8125,14125,8107,7715,5969,2684,1043,59223
SED21706,0,0,3,15,7,6,0,0,0,33,5,13,28,153,52,34,23,3,0,311,0,3,0,39,16,51,54,19,16,201,3,6,7,47,44,46,35,31,18,240,10,31,63,119,34,42,29,3,0,324,5,21,44,124,79,51,27,17,4,372,0,0,0,14,13,14,14,11,3,61,3,25,241,444,118,101,88,35,17,1074,3,4,35,146,16,12,8,3,0,241,3,10,43,113,33,8,11,0,0,223,0,0,0,0,8,11,5,0,3,35,0,0,3,16,8,8,7,3,0,54,13,42,44,77,48,30,27,3,0,288,3,18,151,283,133,147,73,25,15,853,0,0,0,5,5,5,3,6,3,27,0,6,7,29,3,10,0,0,0,57,25,79,211,556,245,226,204,151,60,1756,164,258,483,903,440,356,289,242,193,3326,3518,8096,11150,17663,9136,7096,4891,3109,2020,66686
SED21805,0,0,0,8,22,5,0,0,0,36,6,39,89,280,181,105,41,5,3,754,0,3,8,70,19,54,37,10,9,199,3,23,14,94,97,134,115,79,30,579,3,3,3,28,13,14,0,0,0,61,3,45,64,219,145,78,36,9,3,614,0,0,0,6,22,18,12,20,0,83,0,12,8,140,95,87,59,26,8,439,0,3,3,11,3,14,0,0,0,35,4,12,10,102,20,6,0,0,0,158,0,0,0,12,7,5,0,0,3,29,0,3,0,21,27,15,9,11,0,90,8,31,25,84,32,31,20,3,3,224,3,3,14,92,33,11,9,4,0,178,3,3,3,29,27,30,21,13,3,124,0,6,12,57,13,3,5,3,0,111,15,73,102,647,318,248,209,120,30,1761,232,421,451,1303,649,656,506,323,164,4702,4767,8027,7571,19803,9553,8049,5706,2938,1300,67718
SED21906,0,0,0,11,6,9,0,0,0,22,3,12,19,236,49,38,10,4,3,377,0,3,3,75,24,102,215,179,403,1006,0,3,14,74,44,39,40,25,8,242,4,26,29,81,13,16,15,13,3,182,4,35,211,607,431,350,227,114,53,2040,0,0,0,10,7,17,11,10,7,66,0,4,18,124,28,36,31,17,4,267,0,0,11,74,5,6,0,0,0,101,7,11,14,96,20,7,5,0,0,155,0,3,0,8,3,6,3,0,0,27,0,0,0,23,12,8,0,3,8,49,24,86,78,278,114,67,39,14,10,701,4,7,53,108,25,22,8,0,0,233,0,0,0,13,3,7,3,0,4,34,0,0,5,25,21,20,13,3,0,93,45,214,274,1636,722,776,985,508,369,5524,189,267,373,1448,476,422,321,234,180,3906,3943,7251,7988,21896,7791,6812,5156,2739,1968,65552
SED22005,0,0,3,9,6,0,3,0,0,26,9,64,101,398,193,151,68,11,11,1000,0,0,6,52,36,59,60,31,27,276,0,3,10,32,29,28,42,29,19,188,3,27,39,82,23,20,15,4,0,205,3,25,37,119,76,47,40,18,4,369,0,0,0,8,12,27,31,30,7,123,9,38,142,591,133,165,202,85,35,1396,0,4,20,138,6,9,0,0,0,183,14,86,69,226,42,22,4,0,0,462,0,0,0,0,11,12,18,12,6,53,0,3,5,27,47,35,49,11,7,194,6,25,12,51,22,9,4,0,3,135,28,91,390,1423,941,940,393,160,91,4472,0,5,0,8,6,0,8,4,0,27,0,11,10,39,6,0,0,0,0,65,91,270,281,1246,585,539,483,281,115,3898,209,286,497,1173,437,430,406,368,264,4068,4513,7362,10967,23069,8634,7365,5807,4131,2116,73961
SED22105,0,0,3,8,3,3,0,0,0,23,24,202,308,872,392,143,44,12,4,2010,0,5,9,84,21,39,44,7,0,208,0,13,12,68,89,116,92,60,14,470,3,32,27,72,32,20,6,0,0,196,3,41,84,219,109,67,36,18,4,580,0,0,0,18,49,38,32,12,4,160,34,315,263,1993,485,296,160,48,13,3611,0,0,0,42,0,10,0,0,0,50,3,21,34,169,25,17,5,0,0,260,0,0,4,58,18,26,4,0,0,117,3,0,13,82,69,19,12,9,0,207,8,31,26,61,24,9,10,0,0,165,3,11,24,205,61,42,11,5,3,364,0,4,9,19,13,16,12,3,0,76,0,27,48,141,29,11,0,0,0,259,27,279,518,1463,680,438,229,114,41,3789,496,736,694,1935,672,544,390,213,152,5825,9815,14802,11965,33838,10903,7648,4829,2319,920,97040
SED22201,0,0,0,12,16,11,0,0,0,40,3,17,23,123,63,42,22,8,0,292,0,0,0,30,7,20,12,13,3,89,0,6,7,44,62,77,96,69,31,386,0,10,13,22,29,26,5,3,0,107,0,14,61,127,87,56,46,22,6,420,0,0,0,0,9,10,6,10,3,34,0,5,15,121,28,43,26,12,6,263,0,3,0,30,12,0,3,0,0,50,8,27,34,63,7,7,7,0,0,147,0,0,0,0,4,3,3,4,0,17,0,0,0,9,5,0,4,0,0,17,5,14,22,54,39,23,18,0,0,174,0,0,7,59,22,28,22,3,0,149,0,3,0,3,10,17,16,11,3,68,0,4,4,23,6,7,0,0,0,48,4,41,64,268,137,127,137,97,41,911,139,251,276,773,383,337,320,251,144,2879,3924,6947,7148,16166,7768,6970,5363,3214,1545,59049
SED22305,0,0,4,10,0,0,0,0,0,14,19,64,122,419,197,146,59,24,7,1056,0,0,15,72,61,150,107,50,61,515,0,0,0,13,20,59,88,57,33,271,0,5,12,37,6,22,14,3,0,103,0,8,13,64,28,39,65,30,11,255,0,0,4,101,103,111,90,80,20,511,43,263,412,2198,581,412,315,123,63,4404,0,0,3,36,10,8,9,0,0,63,0,25,33,119,21,7,3,0,0,203,0,4,28,293,199,177,121,61,18,903,5,3,7,67,82,63,40,24,3,289,3,16,14,20,15,15,3,3,3,92,6,24,85,526,296,262,76,38,24,1332,0,0,0,3,6,4,7,3,3,33,0,3,10,41,3,0,0,0,0,55,54,256,575,1641,780,745,474,282,99,4909,414,624,695,1796,723,646,521,373,160,5957,5449,8682,9999,24173,8357,7816,5631,3440,1363,74906
