SED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED20106,0,3,0,22,16,6,0,0,0,47,3,5,48,278,51,20,7,4,0,427,0,0,0,79,18,46,50,28,15,242,0,7,30,196,101,57,51,16,7,469,7,16,82,271,46,20,6,0,0,447,0,11,32,275,77,40,36,4,5,481,0,0,0,18,11,16,8,14,4,74,0,0,22,136,20,21,11,5,0,210,3,9,51,183,9,21,4,0,0,274,7,5,53,211,18,6,0,0,0,309,0,0,0,35,14,15,3,3,0,64,0,4,5,72,31,16,12,4,5,151,35,52,77,362,109,75,56,0,4,769,0,10,46,188,40,43,13,3,3,350,0,0,8,59,15,11,10,0,0,108,0,0,3,39,15,9,0,0,0,65,53,70,438,2131,358,277,287,221,98,3925,313,339,1083,3984,1110,911,638,275,114,8772,3380,4314,9001,33241,9621,7680,5452,2377,884,75951
SED20207,3,4,0,31,8,3,0,3,0,56,19,111,193,763,352,246,119,17,12,1820,0,5,3,97,38,52,46,14,11,280,3,25,25,98,109,101,78,62,17,520,17,110,73,185,88,32,10,5,0,523,15,115,100,346,161,64,39,7,8,856,0,0,0,22,70,82,41,33,5,250,3,28,27,307,80,49,30,9,3,533,0,7,13,77,13,9,3,0,0,131,22,88,51,174,30,15,4,0,0,384,0,3,6,101,157,140,113,20,9,559,0,0,12,28,29,9,0,3,0,82,19,73,32,105,44,34,8,5,3,313,6,34,64,490,296,233,71,25,4,1230,0,10,3,32,16,17,6,7,3,95,0,5,13,80,24,3,5,0,0,126,40,243,321,1582,695,405,270,137,42,3736,361,572,518,1601,697,519,371,209,92,4934,8276,12955,10010,32022,11915,8115,5048,2458,905,91695
SED20302,0,6,0,18,8,0,0,0,0,31,4,63,80,214,85,39,23,3,3,511,0,0,0,24,13,11,21,3,9,79,0,4,8,49,58,101,138,68,16,447,0,14,9,24,7,8,0,0,0,64,4,23,40,97,64,36,23,8,5,299,0,0,0,9,15,16,10,17,3,66,8,82,36,442,85,53,49,6,3,756,3,0,7,58,0,0,0,0,0,67,7,17,20,62,15,3,3,0,0,126,0,0,0,5,0,4,0,0,0,20,0,0,0,14,8,8,7,3,0,36,3,15,16,53,27,15,22,9,0,156,0,4,8,52,28,11,6,3,0,114,0,5,0,16,10,24,21,22,0,99,0,7,18,56,16,11,8,0,0,110,12,109,186,534,248,175,160,84,35,1527,239,495,456,1155,779,792,773,473,233,5397,5277,9859,7555,18383,8991,8722,8113,4099,1699,72701
SED20401,0,0,0,8,9,4,0,0,0,18,3,27,48,230,82,56,21,7,0,487,0,0,0,35,22,50,31,20,42,195,0,8,4,47,55,79,112,47,24,382,3,20,18,49,33,28,5,4,3,172,3,7,24,118,47,59,24,13,3,303,0,0,0,5,3,13,15,16,10,64,5,26,39,301,73,71,59,18,7,600,0,6,0,32,10,9,0,0,0,52,4,22,29,112,21,9,0,0,0,197,0,0,0,4,4,4,3,0,0,13,0,0,0,12,3,3,3,0,0,25,4,18,18,57,30,21,10,3,0,172,0,12,20,156,94,77,33,8,4,407,0,0,3,14,21,15,18,14,4,87,0,0,0,23,6,8,5,0,0,48,4,37,66,352,156,169,169,176,143,1277,184,264,298,941,431,416,365,258,211,3367,4205,7013,7099,18117,8290,7231,5708,3054,1474,62184
SED20508,0,0,0,12,5,11,3,0,0,27,3,9,11,49,25,20,8,0,0,130,0,0,0,14,0,4,9,6,11,50,0,10,4,35,40,83,120,65,24,373,0,0,3,14,5,0,5,0,0,34,0,10,5,61,32,27,16,16,8,167,0,0,0,0,3,4,9,8,3,32,0,3,0,9,7,5,3,3,0,28,0,0,3,4,0,0,0,0,0,7,0,6,10,14,9,3,3,0,0,45,0,0,0,3,0,3,3,3,0,14,0,0,0,3,3,3,3,3,0,15,5,21,13,50,27,26,40,0,4,184,0,3,0,10,6,4,3,0,0,32,0,3,0,18,15,9,28,9,0,90,0,3,0,19,0,0,3,0,0,36,7,19,20,112,60,90,87,67,29,497,144,295,273,691,459,669,726,397,172,3823,3357,7376,5792,12405,7499,8639,8217,4200,1731,59222
SED20604,0,0,0,16,15,11,0,0,0,39,5,34,41,117,36,29,12,7,0,274,0,0,0,6,3,3,8,3,15,43,0,0,6,18,29,54,62,32,12,207,0,0,3,7,7,0,0,0,0,25,0,9,26,43,20,16,9,3,0,119,0,0,0,0,5,18,15,8,13,63,0,11,6,39,9,5,7,4,0,81,0,0,0,15,0,0,0,0,0,19,9,10,4,25,10,5,0,0,0,63,0,0,0,0,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,7,14,5,33,15,21,30,0,0,129,0,3,0,17,3,0,3,0,0,27,0,3,3,6,15,11,10,3,3,60,0,5,3,9,5,4,0,0,0,29,18,65,66,202,119,112,140,114,48,890,212,384,498,1065,655,724,577,341,146,4604,3994,8392,7679,15018,8807,8918,6793,3249,1369,64222
SED20704,0,0,0,19,9,0,0,0,0,31,0,22,25,78,21,24,8,3,0,174,0,0,0,0,0,3,0,9,0,13,0,0,3,12,24,51,49,23,9,168,0,0,0,8,5,11,8,0,0,31,0,14,29,54,32,15,14,0,0,154,0,0,0,0,3,0,0,0,0,9,0,18,10,43,18,12,7,7,4,113,0,3,3,18,3,3,0,0,0,25,12,82,73,37,3,3,0,0,0,209,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,0,0,0,0,11,0,8,16,24,15,13,17,3,0,104,0,8,0,17,4,0,0,0,0,27,0,4,0,3,4,7,3,5,0,25,0,0,3,12,4,0,7,0,0,29,6,32,58,96,42,42,40,29,11,348,213,483,529,1016,669,650,500,367,167,4580,4211,8687,8995,15277,8278,8032,5934,3259,1570,64246
SED20804,0,0,0,16,8,3,0,0,0,34,3,13,24,98,47,20,14,7,0,231,0,0,0,8,0,3,6,0,7,17,0,0,3,20,28,35,51,42,11,178,0,0,5,9,0,5,4,0,0,27,0,3,12,30,13,18,24,5,0,107,0,0,0,3,7,7,8,5,0,24,0,3,3,34,12,9,7,4,3,82,0,0,8,66,0,0,0,0,0,77,7,72,66,48,7,4,0,0,0,209,0,0,0,0,3,0,4,0,0,8,0,0,0,3,0,0,0,0,0,9,0,15,5,39,19,25,21,9,3,128,0,5,11,54,23,8,0,0,0,104,0,0,0,8,5,4,20,3,3,48,0,3,3,7,0,0,0,0,0,14,0,10,29,128,65,66,68,20,15,403,223,385,411,1136,663,758,673,423,281,4959,3554,6966,6928,14549,7873,8241,6689,3709,1609,60122
SED20906,0,0,0,10,5,5,0,0,0,23,3,19,21,114,40,50,22,3,0,279,0,3,3,88,31,82,111,33,53,402,3,15,9,70,45,44,38,29,22,281,10,46,26,62,43,19,15,7,0,226,7,49,113,306,224,133,86,39,14,961,0,0,4,10,16,19,19,10,4,77,0,4,27,127,78,89,75,54,26,478,0,6,0,57,11,0,0,0,0,82,3,6,14,71,11,12,0,0,0,122,0,0,0,8,8,9,7,0,0,34,0,4,5,22,15,12,13,4,0,77,10,61,33,84,53,31,9,7,0,295,4,10,21,163,69,35,10,3,4,322,0,0,3,13,11,3,4,6,0,35,0,3,0,16,18,13,4,0,0,58,41,256,224,1252,739,607,515,326,148,4108,152,273,307,781,439,345,293,224,146,2976,3853,8399,7292,15719,9443,6788,4520,3146,1873,61033
SED21001,0,3,4,15,17,4,0,0,0,48,4,39,42,210,62,34,21,3,3,415,0,3,0,31,11,16,18,26,18,124,0,4,15,25,35,35,59,44,25,230,12,46,58,135,52,65,39,18,8,425,3,16,40,93,72,38,35,13,3,322,0,0,3,11,15,12,5,13,6,60,9,26,47,274,89,72,45,27,25,614,4,26,65,372,45,56,26,0,4,609,6,10,29,105,45,4,9,7,0,219,0,0,0,3,3,15,7,5,0,34,0,3,5,19,17,4,5,4,0,51,12,52,48,67,55,25,17,8,0,283,3,7,68,270,157,155,52,26,10,740,0,0,0,3,14,11,12,4,8,55,0,3,14,32,11,9,5,3,0,80,22,66,113,438,164,169,169,152,90,1385,121,222,359,752,383,312,299,339,334,3121,3555,7945,10099,18801,9528,7587,5406,3901,2527,69349
