SED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SED20106,0,0,13,23,57,65,104,80,14,14,29,23,23,18,10,481,0,3,3,13,20,52,32,21,3,11,19,4,10,6,10,210,0,0,0,3,15,28,55,62,15,18,15,33,22,19,21,309,0,0,7,15,5,15,12,9,0,0,3,0,0,0,0,64,0,0,0,37,20,23,9,15,4,5,7,6,11,5,8,151,12,115,320,472,305,339,568,612,217,234,246,256,325,192,133,4345,0,6,9,54,45,65,101,129,32,36,52,76,84,55,32,769,0,0,0,8,107,64,33,40,8,18,13,18,12,12,13,350,0,0,0,0,10,5,19,12,3,3,0,0,5,0,0,65,3,109,135,300,316,645,657,667,201,277,302,425,587,380,226,5229,41,594,1290,1717,1624,2511,3852,4527,1321,1582,1766,2150,2534,1652,1034,28201
SED20207,0,0,4,22,38,43,173,240,48,60,39,50,75,37,30,856,0,3,3,14,26,83,139,174,20,24,14,11,12,7,7,533,0,0,0,3,21,28,66,95,24,19,28,29,33,19,16,384,0,0,19,270,64,100,60,22,0,3,3,4,0,0,14,559,0,0,0,15,16,13,11,13,4,3,3,0,0,0,0,82,9,181,564,578,262,223,393,614,181,215,156,94,90,39,64,3665,0,3,0,10,22,20,67,73,15,21,25,13,18,15,10,313,0,0,0,7,379,417,149,106,27,25,20,20,33,10,27,1230,0,0,5,0,3,3,35,41,5,5,9,9,6,3,0,126,3,60,159,543,536,799,1231,1035,224,224,226,217,223,126,147,5754,22,811,1853,2565,2280,3555,7371,8569,1772,1923,1878,1733,1717,921,1028,37998
SED20302,0,3,3,23,43,42,65,69,5,8,12,12,0,3,8,299,0,0,7,40,14,62,114,288,44,57,38,16,26,12,29,756,0,0,0,3,3,16,25,36,6,6,11,5,4,0,15,126,0,0,0,8,4,0,0,0,4,0,0,0,0,0,0,20,0,0,0,12,5,10,3,5,0,0,0,0,0,0,0,36,24,364,811,1161,447,272,215,304,57,42,36,32,16,9,153,3956,0,3,5,17,16,17,23,31,5,9,10,11,5,4,4,156,0,0,0,4,14,38,16,18,4,5,9,3,3,0,5,114,0,0,0,0,3,3,17,41,7,7,7,7,4,0,7,110,0,61,104,265,205,291,583,475,72,69,76,39,46,49,57,2405,45,999,1576,1983,1214,1242,1941,2628,415,437,388,294,300,180,514,14164
SED20401,0,0,4,16,55,53,86,41,11,9,3,8,12,0,11,303,0,3,20,41,24,100,104,197,20,25,19,14,12,14,9,600,0,0,0,3,12,28,48,51,0,11,11,10,12,13,8,197,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,5,3,3,4,0,0,0,0,0,0,0,25,12,241,644,1005,388,284,220,155,46,12,7,24,10,8,91,3146,0,7,3,23,9,24,36,30,5,4,8,4,13,3,3,172,0,0,0,3,118,135,53,58,10,3,6,8,7,0,13,407,0,0,0,0,11,8,8,12,0,4,3,0,3,0,0,48,21,129,180,237,225,316,305,281,43,61,45,37,34,13,64,2011,48,782,1457,1849,1428,1914,2421,2568,435,438,361,352,348,192,446,15043
SED20508,0,7,3,26,20,21,25,39,10,0,0,11,0,0,7,167,0,0,3,11,3,3,0,5,0,0,3,0,0,0,0,28,0,0,0,0,0,4,9,17,4,0,0,0,0,0,0,45,0,3,3,5,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,15,27,370,773,818,312,238,244,228,56,42,30,10,17,17,110,3284,0,6,4,37,25,22,35,23,10,6,6,3,10,0,3,184,0,0,0,0,10,7,6,8,0,0,0,0,0,0,3,32,0,0,0,0,3,0,6,10,0,3,4,0,0,0,3,36,6,70,108,144,47,51,65,51,18,12,15,3,12,15,27,645,48,1028,1482,1490,708,588,660,688,139,108,112,67,97,45,272,7531
SED20604,0,0,4,15,19,5,30,35,3,3,0,0,0,3,3,119,0,0,7,0,3,0,10,29,12,3,0,0,0,6,0,81,0,0,0,0,0,10,13,8,3,4,4,3,3,9,5,63,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,10,183,351,460,199,144,147,108,17,15,10,18,12,0,79,1763,0,0,3,27,14,10,20,13,7,4,3,16,0,3,5,129,0,0,0,0,5,3,4,4,0,0,0,0,0,0,6,27,0,0,4,0,7,0,8,7,0,0,0,0,0,0,3,29,4,118,154,189,78,76,80,214,51,59,30,23,47,41,53,1209,21,671,918,1008,569,485,593,835,156,194,111,113,117,104,285,6181
SED20704,0,0,0,8,20,11,29,49,15,11,5,12,3,0,0,154,0,0,3,10,7,11,27,24,8,7,3,3,3,6,3,113,0,0,0,0,4,5,10,99,15,15,14,11,14,6,14,209,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,11,12,144,258,332,145,101,129,83,11,8,16,8,5,4,62,1314,0,0,0,14,11,12,21,6,7,6,0,0,3,0,3,104,0,0,0,0,4,5,7,11,0,0,0,0,0,3,3,27,0,0,0,0,0,4,9,10,3,0,0,3,0,0,0,29,5,25,34,55,36,38,94,220,17,32,48,26,40,25,40,730,22,334,448,584,393,346,707,928,149,141,162,123,153,99,237,4827
SED20804,0,0,4,8,13,12,45,12,0,0,9,3,0,0,0,107,0,0,3,9,8,10,14,23,0,4,3,0,3,0,9,82,0,0,0,0,5,3,14,79,12,4,26,30,14,18,3,209,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,180,360,416,181,132,108,83,14,10,5,13,9,7,67,1592,0,3,6,33,16,11,18,18,0,0,4,3,9,0,9,128,0,0,0,0,7,3,5,18,3,3,5,4,3,6,58,104,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,14,0,39,48,86,52,41,80,204,40,27,64,45,55,25,110,931,32,400,633,738,468,430,552,816,134,119,206,176,171,99,473,5455
SED20906,0,0,9,35,76,177,370,161,32,13,12,30,32,4,18,961,0,4,54,126,62,102,47,45,3,3,8,0,10,12,5,478,0,0,0,4,11,17,24,23,10,4,11,3,9,4,4,122,0,0,0,0,3,13,5,4,0,0,0,3,0,0,0,34,0,0,4,23,12,13,8,5,4,0,0,0,0,4,0,77,20,153,269,376,212,213,355,290,82,57,56,53,42,12,50,2237,0,3,11,20,35,32,54,63,18,20,9,11,11,6,3,295,0,0,0,0,128,56,39,27,4,10,6,10,15,12,4,322,0,0,0,3,8,0,15,16,3,0,0,3,0,0,0,58,20,163,206,403,525,1282,867,526,116,125,148,127,108,60,87,4773,90,803,1668,2009,1833,3023,3560,2981,683,646,644,754,747,388,487,20327
SED21001,0,0,10,19,51,52,99,45,11,0,12,7,3,8,6,322,0,10,25,49,52,96,94,114,10,19,30,30,42,25,7,614,0,0,3,4,10,27,50,54,6,4,15,20,7,6,3,219,0,5,7,21,0,3,0,0,0,0,0,0,0,0,0,34,0,0,0,11,3,9,11,3,3,0,0,10,0,4,0,51,30,206,331,437,234,191,283,197,32,38,23,23,26,10,55,2112,0,0,7,23,25,27,71,31,6,15,22,17,11,8,8,283,0,0,0,14,336,154,50,52,18,14,23,21,35,10,16,740,0,0,0,0,8,10,22,17,4,7,4,0,3,0,0,80,17,123,163,225,228,385,432,275,78,93,120,122,123,96,106,2584,77,764,1318,1550,1868,3270,4492,4508,922,1176,1353,1596,1694,942,947,26478
