SED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED20106,0,0,0,27,3,3,3,3,0,50,0,0,0,6,0,3,0,0,0,14,0,0,0,15,0,0,0,0,0,16,0,9,3,31,17,12,19,5,0,100,9,15,137,607,162,128,36,14,0,1100,0,0,3,25,12,9,0,0,0,50,0,0,3,25,0,0,0,0,0,24,0,3,0,13,9,3,0,0,0,31,0,0,25,176,31,19,6,7,0,267,0,0,0,44,15,28,25,21,8,134,0,3,15,89,47,24,21,10,5,212,3,3,56,136,21,12,9,0,0,244,0,3,20,121,38,19,18,3,3,228,0,0,0,14,4,4,7,6,0,37,0,0,0,64,13,14,0,3,0,101,0,8,30,110,11,15,0,0,0,173,6,3,30,143,13,5,0,0,0,203,0,0,0,13,6,7,3,0,0,31,0,4,0,31,10,10,6,4,0,68,17,24,39,199,49,33,31,0,3,398
SED20207,0,8,13,91,22,13,13,0,0,153,0,5,11,62,32,18,6,3,3,145,0,0,10,35,3,3,0,0,0,53,0,3,3,19,7,7,18,8,7,71,58,262,227,603,192,115,41,9,4,1511,0,0,4,11,12,17,10,3,0,54,6,30,18,121,11,7,0,0,0,189,0,0,0,17,3,4,0,3,0,26,9,54,98,436,207,156,78,7,9,1054,0,3,0,53,19,31,29,13,9,162,3,10,6,55,49,58,41,34,12,268,8,59,40,102,43,15,6,4,0,281,12,52,52,181,70,25,17,9,8,421,0,0,0,11,35,37,21,17,3,121,3,14,14,151,36,26,13,9,3,257,0,5,5,47,12,4,3,0,0,82,10,38,22,124,33,13,3,0,0,242,0,0,0,55,74,79,50,10,6,275,0,0,0,9,11,3,0,0,0,31,3,27,17,58,20,18,5,0,0,153
SED20302,0,5,9,53,20,18,11,7,3,125,0,0,5,14,0,0,0,0,0,23,0,0,7,17,3,0,0,0,0,26,0,0,4,12,12,39,105,70,21,262,10,58,71,210,112,95,65,26,10,662,0,0,0,6,9,10,15,10,3,51,0,7,4,16,0,0,0,0,0,32,0,6,0,13,3,0,0,0,0,27,3,27,44,143,50,25,13,3,3,310,0,0,0,17,7,8,11,0,3,46,0,3,3,29,31,53,70,23,8,219,0,6,4,12,6,3,0,0,0,36,0,11,24,42,34,16,16,4,3,144,0,0,0,3,7,6,8,7,3,36,5,31,16,219,36,32,25,3,0,380,0,0,0,24,0,0,0,0,0,30,0,5,7,46,12,3,0,0,0,81,0,0,0,0,3,0,0,0,0,12,0,0,0,8,5,0,0,0,0,14,3,6,10,30,17,15,10,3,0,86
SED20401,0,3,0,14,9,11,3,0,3,41,0,5,11,37,9,0,3,0,0,72,0,3,3,22,0,0,0,0,0,30,0,3,0,4,16,41,65,40,20,197,6,29,39,138,77,44,30,14,5,385,0,0,3,0,4,11,10,6,7,38,0,3,3,12,3,0,0,0,0,29,0,0,0,4,8,0,0,0,0,10,3,19,21,142,59,43,18,7,0,310,0,0,0,25,11,30,9,17,30,120,0,5,3,24,25,43,55,22,19,204,0,14,10,25,15,19,0,6,3,92,0,0,13,68,22,33,13,10,5,164,0,0,0,3,4,4,5,4,8,33,3,10,15,150,34,34,22,14,6,295,0,0,0,24,3,4,0,0,0,32,0,11,10,83,17,9,0,0,0,136,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,8,7,33,18,12,6,3,0,100
SED20508,0,0,0,0,5,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,29,71,43,19,170,0,20,17,86,58,52,54,14,7,314,0,0,0,0,9,8,10,8,4,44,0,0,4,0,0,0,0,0,0,8,0,0,0,3,7,3,3,0,0,19,0,4,4,31,25,20,8,0,0,96,0,0,0,13,0,3,3,4,8,30,0,3,0,12,20,42,62,32,16,179,0,0,0,10,3,0,0,0,0,13,0,7,4,32,16,11,10,8,4,87,0,0,0,0,0,0,5,0,0,14,0,4,0,4,0,3,0,3,0,13,0,0,0,4,0,0,0,0,0,3,0,0,3,9,6,3,3,0,0,30,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,3,0,0,0,4,0,10,7,37,17,12,22,0,3,105
SED20604,0,0,0,6,3,0,0,0,0,14,0,0,0,3,0,0,0,0,0,11,0,14,12,8,0,0,0,0,0,36,0,0,0,5,9,40,40,25,5,129,0,14,18,90,58,60,29,15,4,286,0,0,0,3,4,0,0,0,0,12,0,0,0,10,0,0,0,0,0,13,0,0,0,7,3,5,0,0,0,19,3,16,17,83,29,27,12,7,0,182,0,0,0,3,3,4,6,0,6,26,0,0,0,10,13,23,24,16,0,81,0,0,4,7,4,0,0,0,0,12,0,3,8,25,7,4,4,0,0,61,0,0,0,0,4,10,7,5,4,36,0,3,3,22,3,4,0,3,0,37,0,0,0,6,0,0,0,0,0,7,4,4,6,24,10,5,0,0,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,5,0,17,13,13,8,0,0,61
SED20704,0,0,0,8,0,0,4,0,0,17,0,6,16,52,21,5,4,0,0,101,3,0,0,6,0,0,0,0,0,8,0,0,3,3,0,8,21,11,4,56,3,3,19,84,33,42,22,7,0,221,0,0,0,3,3,0,11,3,0,21,0,4,4,18,0,0,0,0,0,22,0,0,0,15,3,0,0,0,0,26,0,8,7,54,20,17,3,3,0,122,0,0,0,0,0,0,0,4,0,8,0,0,0,8,16,32,19,13,8,89,0,0,0,3,5,6,0,0,0,19,0,8,13,30,12,8,3,0,0,69,0,0,0,0,0,0,0,0,0,4,0,6,8,21,10,9,9,4,0,58,0,0,4,8,3,3,0,0,0,15,9,46,40,22,3,3,0,0,0,129,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,5,11,15,9,3,12,3,0,57
SED20804,0,0,0,3,4,0,0,0,0,10,0,7,22,62,15,13,7,6,0,123,0,0,0,10,0,0,0,0,0,10,0,3,0,5,4,22,35,16,0,94,0,14,11,51,44,66,30,15,3,226,0,0,0,3,3,3,3,7,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,17,3,3,0,0,0,24,0,5,12,70,35,17,11,3,0,160,0,0,0,3,0,0,3,0,4,9,0,0,3,8,10,19,27,18,4,94,0,0,4,4,0,3,0,0,0,17,0,0,4,15,8,8,10,0,0,54,0,0,0,0,3,0,5,3,0,12,0,0,0,18,4,4,3,0,3,39,0,0,6,36,0,0,0,0,0,43,3,38,32,29,5,5,0,0,0,119,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,7,20,7,10,12,0,3,71
SED20906,0,0,0,16,10,5,10,10,3,59,0,0,0,0,0,3,3,0,0,11,0,0,0,14,0,0,0,0,0,16,3,3,3,15,9,8,9,7,4,57,3,33,52,166,102,69,26,16,0,463,0,0,0,6,7,4,0,3,3,27,0,0,0,4,0,0,0,0,0,7,0,0,0,3,3,3,0,0,0,15,0,8,18,75,32,43,16,3,0,192,0,3,3,51,22,49,64,12,32,241,0,6,3,34,21,18,27,18,15,144,6,17,13,40,24,7,8,3,0,119,3,21,56,167,104,71,45,25,10,502,0,0,0,3,9,16,9,6,0,44,0,0,14,63,46,52,35,32,18,258,0,5,0,36,5,0,0,0,0,47,4,9,8,54,10,4,0,0,0,90,0,0,0,7,6,3,4,0,0,20,0,0,0,9,12,10,4,3,0,35,3,28,19,48,18,13,4,3,0,137
SED21001,0,3,9,21,10,7,0,3,0,49,0,4,0,13,6,4,0,3,3,28,0,0,3,13,0,0,0,0,0,21,0,3,3,6,7,9,27,12,12,76,6,40,49,105,87,60,31,25,10,402,0,0,0,0,0,3,4,3,3,16,0,3,3,30,3,0,0,3,0,45,0,0,0,9,9,3,0,0,0,25,3,22,30,131,40,22,15,0,3,264,0,0,0,16,10,10,7,18,5,71,0,0,4,12,13,15,27,26,16,122,5,36,27,87,38,38,25,13,4,268,3,5,18,49,38,20,22,5,0,167,0,0,0,5,10,5,3,8,4,36,0,13,15,124,30,50,20,18,15,293,4,19,30,204,24,42,12,0,0,332,3,6,12,72,36,7,8,3,0,146,0,0,0,3,3,5,0,5,0,19,0,0,0,12,7,3,3,4,0,29,6,22,25,32,36,7,8,4,0,150
SED21106,0,0,0,9,4,5,0,0,0,31,0,0,0,3,0,0,0,0,0,11,0,0,0,6,4,0,0,0,0,12,0,10,0,23,11,10,18,8,7,88,8,40,63,246,137,105,46,16,16,668,0,0,0,16,14,3,10,8,0,47,0,0,0,0,3,3,0,0,0,9,0,0,0,3,9,3,3,0,0,18,0,0,4,45,17,14,12,0,0,97,0,0,0,56,12,47,43,20,30,217,0,3,9,71,45,22,29,16,8,211,0,32,9,20,15,11,3,6,0,98,3,11,29,113,81,56,43,9,3,350,0,0,0,10,8,6,4,8,3,45,0,0,0,18,12,26,11,6,3,80,0,0,0,23,4,3,0,0,0,38,0,5,12,35,6,0,3,0,0,74,0,0,0,5,8,3,0,0,0,16,0,0,0,6,7,8,4,0,0,32,5,65,35,100,65,40,9,3,3,324
SED21203,0,3,0,12,0,8,4,0,0,24,0,0,8,14,8,6,4,4,3,44,3,30,73,149,6,0,0,0,0,258,0,5,0,0,0,10,12,0,4,33,10,87,80,123,32,28,9,0,0,372,0,0,0,3,0,3,3,5,3,14,57,119,85,517,44,16,12,3,0,852,0,0,0,5,4,0,0,0,0,11,5,25,38,204,110,145,50,6,3,583,0,0,0,8,15,14,23,12,13,76,0,0,0,3,8,14,15,14,3,60,0,5,15,18,6,0,0,0,0,46,0,4,5,4,10,0,3,0,0,22,0,0,0,0,10,10,6,9,0,41,4,27,35,127,76,36,20,14,12,345,0,0,0,15,0,0,0,0,0,17,0,8,7,39,16,3,8,0,0,85,0,0,3,4,11,16,7,3,3,46,8,34,92,607,674,370,245,86,13,2118,0,11,14,17,8,0,3,0,0,46
SED21303,0,0,3,26,5,4,3,0,0,44,0,0,0,0,3,0,4,0,0,8,3,6,85,200,3,9,0,0,0,304,0,0,3,28,13,6,3,3,0,49,3,14,110,573,81,55,16,7,0,857,0,0,0,3,3,3,0,3,0,13,9,12,8,70,3,3,0,0,0,104,0,0,0,13,8,0,0,0,0,22,3,5,16,107,24,32,11,6,0,203,0,0,3,38,9,11,11,5,6,83,0,0,17,70,22,11,12,7,0,130,0,4,15,56,5,6,3,0,0,96,0,0,11,67,10,9,4,3,0,108,0,0,0,12,3,3,11,4,3,36,0,0,10,49,8,19,3,6,3,97,0,0,7,50,5,3,3,0,0,67,4,3,16,89,17,11,0,0,0,130,0,0,0,11,3,7,7,0,0,25,0,0,3,43,52,38,19,12,0,166,0,14,36,166,27,18,9,3,3,284
SED21401,0,0,0,10,3,4,5,0,0,25,0,0,0,4,0,8,0,0,0,14,0,0,0,10,0,0,0,0,0,8,3,3,0,4,3,0,16,14,5,42,3,17,51,71,52,45,26,14,9,284,0,0,0,0,7,0,0,7,3,17,4,9,7,31,4,9,7,0,0,66,0,0,4,5,3,3,0,0,0,15,3,14,15,82,33,25,21,7,0,198,0,0,0,14,3,18,13,10,6,66,0,0,0,13,4,11,19,19,12,76,0,19,33,72,37,40,38,5,0,241,4,20,50,85,63,43,27,18,0,320,0,0,0,4,3,5,11,12,3,34,0,3,9,54,43,43,32,12,6,198,0,3,9,110,35,51,27,3,3,243,3,3,6,45,13,3,0,0,0,72,0,0,0,13,13,22,22,19,3,102,0,0,4,11,19,12,3,8,0,57,3,27,7,28,20,7,3,4,0,99
SED21503,0,0,9,16,10,7,7,5,0,55,0,0,3,9,0,0,0,0,0,18,0,0,5,21,0,0,0,0,0,28,0,0,3,3,0,6,14,15,0,49,8,22,43,96,35,37,18,4,3,266,0,0,0,3,3,3,6,6,0,20,0,3,3,20,6,3,0,0,0,43,0,0,0,9,3,0,0,0,0,18,0,15,34,138,58,60,30,8,3,333,0,0,0,17,7,9,18,9,9,75,0,0,9,7,12,20,23,15,3,86,0,8,29,32,14,15,3,0,0,95,0,7,19,24,20,7,11,3,0,94,0,0,0,3,3,11,12,3,3,38,4,14,56,172,87,67,41,23,6,466,0,0,13,39,6,9,0,0,0,69,4,0,22,49,17,4,3,0,0,92,0,0,11,58,78,86,76,42,5,356,0,0,3,14,15,3,3,3,0,34,0,5,11,18,12,6,7,0,0,72
SED21608,0,0,0,0,0,3,0,0,0,4,0,0,3,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,14,0,0,0,7,10,34,92,42,9,199,0,17,18,61,61,46,33,14,0,240,0,0,3,0,5,5,9,0,3,26,0,0,0,6,0,0,0,0,0,9,0,0,0,9,10,0,0,0,0,19,0,11,8,52,13,19,9,0,0,111,0,0,0,6,4,3,3,5,5,25,0,3,3,11,22,24,52,18,10,140,0,0,0,3,7,5,0,0,0,15,0,3,7,17,13,4,4,3,0,48,0,0,0,0,3,3,5,3,0,15,0,0,3,10,0,4,9,0,0,29,0,0,0,3,0,0,0,0,0,3,3,0,4,17,9,5,0,0,0,39,0,0,0,0,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,19,9,15,6,0,0,66
SED21706,0,0,15,18,8,12,10,3,4,75,0,0,7,11,7,3,3,0,3,31,0,0,6,16,0,0,0,0,0,23,3,7,9,5,5,7,16,8,7,68,0,56,57,138,88,79,22,16,5,460,0,0,0,7,0,3,9,3,0,22,0,3,4,17,5,4,3,0,0,39,0,0,0,11,7,7,0,0,0,21,0,12,15,97,38,25,21,0,0,208,0,0,0,27,14,29,22,11,13,121,0,3,0,21,21,26,15,15,12,120,3,16,38,66,21,30,18,0,0,190,3,6,31,60,36,21,20,12,6,193,0,0,0,5,6,11,7,0,0,34,0,15,103,182,64,54,44,17,12,506,0,3,17,83,13,8,10,0,0,142,0,6,24,86,26,7,8,0,0,150,0,0,0,3,3,6,3,4,3,21,0,0,0,3,5,4,0,3,0,18,9,29,22,44,24,20,18,3,0,158
SED21805,0,7,8,50,15,33,21,3,4,138,0,0,0,3,0,3,3,0,0,14,0,0,0,6,0,0,0,0,0,6,0,4,0,11,11,26,44,43,41,170,18,73,100,310,176,121,58,17,9,876,0,3,3,18,7,5,3,7,4,55,3,4,9,16,7,0,0,0,0,34,0,0,0,7,8,3,0,0,0,20,3,19,49,174,123,75,36,8,3,486,0,0,0,42,8,29,17,9,3,112,3,11,7,49,47,72,57,52,18,302,0,3,0,17,10,8,0,0,0,36,4,21,36,105,72,41,23,8,3,305,0,0,0,3,8,10,9,7,0,43,0,6,5,72,49,44,39,12,9,234,0,4,3,10,0,6,0,0,0,29,7,6,6,82,12,6,0,0,0,125,0,0,0,5,4,4,0,3,0,19,0,3,0,9,17,12,3,3,0,45,4,13,10,37,16,12,12,0,0,110
SED21906,0,0,0,22,9,4,4,3,3,51,0,0,3,6,3,3,0,0,0,17,0,0,19,47,3,0,0,0,0,66,0,6,0,17,3,12,16,4,4,58,3,17,64,308,87,81,40,10,8,620,0,0,0,16,8,4,8,0,0,37,0,3,3,25,0,3,0,0,0,33,0,0,0,7,4,3,0,0,0,12,3,8,6,142,33,23,7,3,0,234,0,0,3,50,12,56,95,112,266,590,0,0,11,34,23,13,22,15,0,113,0,7,12,48,3,13,8,9,0,105,4,16,105,304,226,174,113,64,39,1039,0,0,0,10,3,12,5,4,6,37,0,6,10,59,13,20,18,5,4,130,0,0,8,44,5,4,0,0,0,59,0,8,11,68,11,7,5,0,0,104,0,0,0,3,3,3,3,0,0,12,0,0,0,10,4,3,0,0,4,28,8,42,32,138,66,33,14,4,3,347
SED22005,0,4,13,67,41,40,51,19,15,251,3,15,44,100,29,18,5,8,3,214,0,3,17,35,0,0,0,0,0,58,0,3,3,0,9,7,11,12,3,39,4,38,66,135,67,41,12,8,3,385,0,0,0,0,0,5,4,0,3,21,9,17,17,75,9,5,7,3,0,135,0,0,0,10,3,0,3,0,0,20,4,33,49,215,110,105,41,7,4,573,0,0,0,32,22,33,35,19,17,160,0,3,4,7,9,6,25,20,6,95,0,19,21,45,10,9,11,0,0,117,3,6,20,60,41,28,24,15,3,195,0,0,0,3,3,12,19,15,8,62,6,17,53,267,78,92,100,49,27,681,0,0,16,81,4,9,0,0,0,107,11,53,40,136,32,20,4,0,0,292,0,0,0,0,8,7,10,9,0,32,0,3,5,11,29,22,25,8,3,95,0,11,8,28,11,0,3,0,0,69
