SED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED20106,5726,3716,1308,444,51585
SED20207,4410,2306,929,344,43792
SED20302,4951,4166,2005,804,33149
SED20401,4216,2955,1575,760,31108
SED20508,5750,4945,2245,825,30339
SED20604,5522,3665,1495,564,31020
SED20704,4936,3243,1574,767,30274
SED20804,5159,3690,1829,766,29661
SED20906,4632,2521,1375,762,31556
SED21001,5422,3526,2202,1320,38644
SED21106,6017,3800,1824,1001,36769
SED21203,2534,1454,1041,349,25571
SED21303,3919,1869,889,540,43317
SED21401,4695,3782,2505,966,32270
SED21503,3681,2401,1312,501,30220
SED21608,4691,3143,1261,493,28075
SED21706,5233,3078,1614,997,36864
SED21805,4576,2837,1420,624,32526
SED21906,5238,3544,1509,868,39231
SED22005,3599,2314,1365,743,34666
SED22105,3763,2052,934,345,41859
SED22201,4205,2839,1655,718,29013
SED22305,3666,2357,1293,481,30392
SED22404,5656,4214,1536,473,28840
SED22501,5833,3641,1268,393,31129
SED22607,5039,2447,1026,512,37450
SED22704,5758,4192,1982,738,29904
SED22802,4070,2779,1126,371,27021
SED22901,4725,2896,1394,775,28697
SED23007,3610,1835,889,427,39787
SED23101,4396,3428,2136,783,30650
SED23205,4677,3262,1784,792,30105
SED23308,4863,3021,1627,786,32368
SED23402,4709,2738,1319,506,32280
SED23502,5573,4906,2267,876,28186
SED23602,5119,3749,1640,578,27064
SED23702,5051,3113,1324,398,31649
SED23806,5407,3789,1768,809,40366
SED23901,5236,3411,1752,975,35208
SED24006,6059,3943,1950,1104,35540
SED24105,3320,2379,1095,430,27838
SED24207,3493,1993,646,160,34278
SED24308,3983,2610,1378,645,28217
SED24408,4709,3155,1520,816,24895
SED24504,5813,4123,1453,526,29898
SED24606,5018,3748,1975,900,35695
SED24703,4765,3116,1107,395,75103
SED24808,4327,2700,955,313,32522
SED24904,4402,2836,1467,662,26465
SED25003,3630,1578,673,212,29298
SED25102,5508,3276,1074,399,29408
SED25205,4618,2626,1641,792,32179
SED25302,5200,4648,2632,990,31262
SED25402,5071,3269,1666,648,29808
SED25501,4826,3148,2387,909,33201
SED25605,3991,3051,1677,715,30172
SED25704,4650,3301,1793,778,26903
SED25802,5501,4065,1780,569,31065
SED25905,4410,2121,940,410,29087
SED26005,4097,1795,685,112,34058
SED26102,5672,5610,3094,1240,30404
SED26207,3825,2800,1589,630,28042
SED26303,4174,1873,876,461,38041
SED26406,3975,2160,1290,708,39289
SED26504,4926,3590,1871,885,26605
SED26603,3650,1792,1240,833,37187
SED26708,5135,3548,1595,603,27445
SED26806,4520,3338,1646,773,51776
SED26903,3241,1746,1199,716,33548
SED27003,4451,2746,981,318,48465
SED27101,3968,2766,1571,606,32346
SED27208,5391,4192,1896,726,28141
SED27305,4216,1974,942,219,26235
SED27406,5519,3715,1784,1060,32613
SED27504,4585,3048,1530,628,28915
SED27608,5264,3663,1787,829,35781
SED27708,5005,3291,1561,679,28801
SED27807,3430,2169,1070,419,29375
SED27907,4220,2621,1122,371,27709
SED28007,3737,1553,522,247,32018
SED28107,3880,1769,581,138,44395
SED28203,2536,1700,803,235,26595
SED28301,5312,3471,1760,692,31124
SED28408,4145,2924,1607,576,27032
SED28507,3896,2183,924,385,30673
SED28607,4550,2162,1127,625,37146
SED28704,4596,2656,838,225,36934
SED28803,3550,1452,451,132,35314
SED29494,526,263,61,19,4580
SED29797,10,0,0,0,25
