SED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SED20106,0,4,10,288,17,21,20,5,0,377,3,4,29,224,29,33,70,33,16,450,5,3,25,73,31,27,4,0,0,165,0,0,53,205,5,0,0,0,0,269,0,0,4,16,10,3,8,0,0,34,6,8,103,334,36,41,22,5,3,556,0,0,0,4,3,3,16,5,4,36,0,0,7,43,5,6,0,0,0,68,0,0,0,3,3,0,0,0,0,8,0,0,0,31,0,0,0,0,0,32,0,8,5,42,22,9,28,4,4,119,7,33,99,634,173,106,66,16,0,1125,0,0,0,28,10,3,5,3,0,53,0,0,5,33,0,3,0,0,0,45,0,0,0,9,6,3,0,0,0,21,0,3,28,102,23,3,0,0,0,158,0,0,0,37,5,20,22,12,12,106,0,0,12,114,60,37,33,10,3,265,0,9,27,131,19,11,3,0,0,198,0,3,13,153,43,22,20,3,3,253
SED20207,0,26,5,89,20,21,17,13,0,193,0,12,3,45,45,102,87,64,24,383,0,9,3,21,0,3,0,0,0,36,13,35,19,136,30,8,0,4,0,246,0,0,14,89,50,16,22,6,0,206,10,53,52,266,68,54,26,5,0,539,0,3,0,17,39,117,188,105,17,481,0,11,13,87,13,19,4,3,6,146,0,0,14,54,27,13,8,5,3,132,0,0,12,47,3,0,0,0,0,71,3,4,3,22,11,10,11,9,4,89,52,249,219,578,195,119,39,4,0,1448,0,0,3,10,13,9,6,8,3,54,9,25,49,202,20,12,0,0,0,319,3,4,0,16,6,0,0,0,0,27,11,62,89,326,146,91,37,3,3,774,0,3,6,43,22,22,18,8,3,124,0,15,10,41,60,48,33,28,9,253,6,52,31,83,43,19,4,0,0,246,11,61,53,168,85,30,20,0,3,433
SED20302,0,3,0,27,14,13,12,17,4,89,0,0,3,7,23,49,96,45,27,249,0,4,0,0,0,3,0,0,0,11,0,0,3,10,0,0,0,0,0,9,0,3,0,4,7,4,0,0,0,19,0,4,9,21,13,6,5,0,0,61,0,0,0,0,3,11,38,6,0,61,0,3,17,49,27,20,9,7,0,133,0,0,0,16,3,0,0,0,0,24,0,0,0,15,3,0,0,0,0,22,0,0,0,14,17,45,114,58,13,258,14,64,71,209,107,102,73,24,0,663,0,0,0,10,9,9,14,8,0,46,0,7,6,20,5,0,0,0,0,40,0,0,0,4,0,0,0,0,0,11,3,31,39,71,39,12,8,0,0,202,0,0,0,5,5,10,6,4,0,34,0,5,4,26,26,42,69,44,10,223,0,7,9,11,3,3,0,0,0,28,3,15,23,50,32,14,8,3,0,148
SED20401,0,9,0,25,10,4,15,7,6,80,0,0,0,14,14,32,52,23,10,144,0,3,0,6,4,0,0,0,0,17,0,7,12,42,10,10,4,0,0,81,0,0,0,6,3,6,3,0,0,17,3,23,15,119,44,29,19,14,0,265,0,0,0,0,3,0,12,3,0,20,0,0,3,10,6,8,4,0,0,38,0,4,14,32,12,5,0,0,0,70,0,0,6,16,3,0,0,0,0,30,0,3,0,4,14,25,74,46,9,184,3,34,25,130,74,57,42,10,3,371,0,0,0,4,4,9,14,3,0,37,0,0,3,22,8,3,3,0,0,41,0,0,0,3,4,0,0,0,0,8,0,8,29,94,25,13,3,0,0,175,0,0,0,10,10,17,19,3,11,76,0,3,0,26,29,34,54,24,6,177,3,11,14,24,14,15,3,0,0,79,3,7,10,55,20,22,17,9,0,139
SED20508,0,7,3,18,13,16,11,11,9,85,0,0,0,13,18,33,60,41,17,176,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,13,3,7,0,0,0,27,0,0,0,0,7,25,47,21,0,103,0,0,4,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,29,81,41,11,192,6,22,14,90,65,50,52,15,4,321,0,0,0,3,9,13,9,11,0,52,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,10,0,8,10,10,3,0,0,0,0,31,0,0,0,0,0,3,3,3,6,18,0,5,4,19,26,41,55,34,7,190,0,0,3,5,7,0,5,0,0,20,0,10,3,28,16,12,8,9,3,80
SED20604,0,0,0,13,3,6,11,3,0,35,0,0,3,3,3,10,28,18,6,79,0,0,0,0,3,0,0,0,0,7,0,3,0,10,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,10,0,10,0,5,4,4,3,0,0,25,0,0,0,0,0,3,4,7,0,12,0,3,0,7,3,0,0,0,0,14,0,0,3,4,0,0,0,0,0,7,3,10,17,7,0,0,0,0,0,43,0,0,3,5,14,21,61,26,4,132,0,11,22,65,49,45,34,15,0,252,0,0,0,3,3,3,9,0,0,15,0,3,0,12,0,0,0,0,0,20,0,0,0,11,9,4,0,0,0,21,3,22,19,35,6,3,0,0,0,94,0,0,0,3,0,0,3,0,3,23,0,0,6,10,18,34,36,16,9,125,0,0,0,3,5,0,0,0,0,8,0,3,12,12,10,6,3,0,0,54
SED20704,0,4,0,9,7,4,6,6,0,44,0,0,0,3,3,16,19,12,3,51,0,0,5,0,0,0,0,0,0,8,0,7,9,8,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,7,0,3,7,16,5,6,5,0,0,47,0,0,0,0,0,3,5,3,0,16,0,0,0,0,0,0,0,0,0,7,0,3,13,54,19,5,0,6,0,98,0,0,0,7,0,0,0,0,0,11,0,0,0,7,3,13,17,14,4,60,0,7,21,64,42,29,19,6,3,192,0,0,0,0,3,5,5,0,0,18,0,3,3,19,0,0,0,0,0,26,0,0,0,8,3,0,0,0,0,8,0,12,15,20,0,3,3,0,0,54,0,0,0,0,0,0,0,0,0,3,0,0,3,10,6,20,24,10,6,76,0,0,0,4,0,6,3,0,0,13,0,7,20,29,21,8,7,0,0,91
SED20804,0,4,0,14,6,9,10,5,3,47,0,0,0,0,9,3,18,4,9,47,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,5,0,0,0,7,8,0,0,0,0,19,0,0,6,11,11,13,3,0,0,39,0,0,0,0,0,9,4,7,0,21,0,0,0,3,3,0,0,0,0,13,0,6,20,62,11,12,9,6,0,124,0,0,0,13,0,0,0,0,0,15,0,0,0,9,3,22,45,19,7,102,3,12,20,84,54,45,26,10,3,261,0,0,0,0,7,0,6,3,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,8,0,10,10,31,10,3,0,0,0,69,0,0,0,5,0,0,0,0,4,9,0,0,0,10,11,16,19,20,3,84,0,0,3,0,0,0,0,0,0,12,0,0,11,16,10,8,8,0,0,58
SED20906,0,6,9,65,21,17,10,6,5,135,0,5,8,23,19,49,76,98,42,317,4,26,8,40,9,3,9,3,0,98,3,31,25,52,28,9,3,0,0,148,0,0,0,14,11,11,13,7,4,60,4,14,17,72,31,32,10,4,3,182,0,0,0,3,0,0,8,5,0,22,0,3,3,15,13,0,4,9,0,44,0,0,0,5,0,0,3,0,0,4,0,0,8,19,0,0,0,0,0,30,0,0,6,18,9,12,8,0,0,50,3,45,42,184,113,58,27,10,9,493,0,3,0,4,3,5,10,3,3,30,0,0,3,15,3,0,0,0,0,23,0,0,0,8,0,0,0,0,0,12,0,7,8,39,11,10,9,0,0,84,0,0,0,35,6,33,45,19,19,163,3,8,9,40,21,19,17,15,12,138,3,25,11,26,20,8,3,4,0,107,0,28,59,141,120,65,39,12,3,462
SED21001,0,0,0,24,8,7,3,13,4,61,0,0,3,15,18,34,76,61,36,251,0,6,11,26,7,3,0,0,0,55,9,16,61,133,29,7,4,3,0,265,0,0,0,3,6,5,5,0,0,22,8,47,145,440,112,107,77,28,9,971,0,0,0,0,5,4,4,7,3,26,0,0,4,18,3,3,0,0,3,35,0,0,4,9,0,3,0,4,0,25,0,0,0,23,0,0,0,0,0,26,0,4,4,5,4,17,12,18,12,84,4,52,74,122,77,76,30,16,6,458,0,0,0,4,4,5,9,0,4,25,3,4,21,61,3,0,0,0,0,96,0,3,0,9,11,5,0,0,0,22,4,15,15,74,27,13,4,3,0,152,0,3,0,8,6,10,8,4,8,47,0,0,5,17,20,15,24,12,8,107,3,13,26,49,13,30,13,5,4,156,0,12,22,42,28,19,14,10,3,158
