SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED20106,37542,38414,75951,1680,1698,3380,2197,2120,4314,1166,1314,2472,3012,3517,6531,10070,10368,20435,6473,6328,12802,4858,4765,9621,3805,3874,7680,2750,2708,5452,1155,1225,2377,372,508,884,35510,36500,72013,2030,1911,3942,129,109,237,6,8,13,9,6,14,140,122,265,19457,19524,38978,13648,14554,28201,23952,23590,47544,9315,10670,19980,24915,25371,50284,327,339,673,1955,1891,3851,927,1060,1989,1496,1739,3238,1926,2530,4459,23681,24794,48477,2146,2066,4211,1982,1829,3814,673,650,1325,713,858,1566,145,211,355,31866,33295,65160,7385,6939,14328
SED20207,45554,46137,91695,4267,4009,8276,6682,6268,12955,2488,2385,4879,2656,2475,5130,7355,8147,15499,8340,8184,16521,5953,5959,11915,3963,4149,8115,2426,2618,5048,1098,1356,2458,328,578,905,44092,44881,88976,1464,1260,2719,262,254,515,8,5,17,8,3,7,276,262,540,24400,24368,48764,18691,19309,37998,25909,25475,51386,17358,18389,35747,34170,34088,68262,784,762,1549,6118,5738,11858,1957,1988,3952,1067,1038,2109,1417,2276,3693,20925,22403,43332,3699,3378,7075,4439,3893,8328,1600,1641,3246,1383,1784,3170,298,410,705,42931,43556,86484,2099,2134,4234
SED20302,35313,37386,72701,2720,2560,5277,4992,4864,9859,2116,1971,4092,1697,1767,3469,4301,4868,9171,4440,4775,9214,4390,4601,8991,4199,4521,8722,3850,4264,8113,1957,2146,4099,650,1051,1699,33173,35382,68557,2144,2007,4151,284,294,578,10,14,29,17,12,31,316,316,633,25797,27344,53142,6913,7252,14164,29032,30697,59729,4037,4316,8360,30422,32098,62525,490,476,965,4518,4413,8931,1468,1482,2952,377,475,850,595,1303,1903,10189,13011,23195,4408,4391,8802,6077,5492,11565,2601,2354,4955,1676,1757,3434,128,142,273,32152,33998,66153,2417,2776,5196
SED20401,30328,31860,62184,2138,2063,4205,3621,3388,7013,1715,1675,3383,1892,1818,3710,4563,4690,9252,4416,4438,8857,4008,4284,8290,3427,3802,7231,2658,3045,5708,1396,1659,3054,498,984,1474,29092,30651,59739,1238,1208,2444,190,189,381,8,8,20,0,3,4,201,201,402,21670,22109,43772,7065,7983,15043,23589,24408,47991,5243,5848,11089,26078,27055,53138,411,406,812,3340,3159,6507,1354,1350,2701,691,683,1367,733,1282,2013,12348,14152,26495,3617,3484,7104,4204,3860,8064,1622,1570,3193,1021,1249,2269,153,178,335,28310,29481,57789,1476,1879,3353
SED20508,28565,30653,59222,1759,1596,3357,3768,3605,7376,1713,1584,3294,1316,1179,2501,2556,2900,5459,3282,3663,6949,3484,4014,7499,4060,4580,8639,3912,4307,8217,2005,2191,4200,700,1028,1731,26390,28568,54962,2174,2084,4260,218,255,468,5,6,13,4,3,8,227,261,490,22998,24863,47857,3682,3847,7531,25754,27627,53380,1207,1400,2609,25697,27699,53399,386,310,694,3492,3366,6859,1301,1257,2555,411,469,883,527,1013,1537,9893,12292,22190,3930,4070,8003,4299,4163,8461,1783,1615,3400,1215,1281,2496,77,56,130,25700,27668,53366,1648,1911,3560
SED20604,31681,32532,64222,2025,1963,3994,4244,4147,8392,2142,1956,4102,1967,1610,3580,3531,3782,7317,3721,3981,7699,4276,4525,8807,4341,4574,8918,3387,3401,6793,1527,1721,3249,513,854,1369,29320,30487,59806,2360,2051,4414,550,664,1205,36,20,58,21,12,34,601,696,1302,26386,27050,53433,2996,3184,6181,28065,28993,57057,1420,1606,3025,28415,29386,57801,448,433,885,3892,3830,7723,1527,1455,2980,445,490,932,650,1340,1987,9074,11292,20370,4051,3941,7992,6163,5461,11625,2075,1913,3990,1489,1362,2851,108,104,207,27951,29492,57438,3045,2440,5485
SED20704,31097,33147,64246,2149,2061,4211,4556,4127,8687,2202,2204,4403,2241,2346,4590,3660,4019,7678,3542,4050,7595,3954,4323,8278,3833,4195,8032,2899,3029,5934,1485,1780,3259,566,1002,1570,29341,31538,60882,1752,1610,3359,475,492,969,19,20,35,6,12,21,496,526,1023,26549,28287,54839,2321,2513,4827,27706,29533,57239,1324,1491,2820,28147,30020,58170,393,383,767,4105,3738,7844,1585,1675,3258,724,998,1715,585,1132,1718,9806,12571,22382,3825,3928,7756,4941,4546,9486,2133,1938,4065,1396,1410,2806,115,116,225,28338,30061,58398,2117,2551,4665
SED20804,29430,30686,60122,1792,1762,3554,3602,3365,6966,1736,1640,3375,1790,1760,3555,3695,3662,7356,3555,3633,7194,3806,4060,7873,4008,4233,8241,3158,3523,6689,1705,2008,3709,580,1032,1609,27651,28991,56637,1785,1697,3480,483,442,928,12,17,33,13,14,24,508,473,977,24287,25420,49707,2736,2717,5455,25371,26997,52369,1273,1424,2699,25503,27317,52822,298,287,581,3227,3059,6285,1194,1168,2358,373,522,890,578,1045,1620,8810,11079,19885,3548,3575,7117,4843,4480,9320,2203,2024,4232,1505,1620,3125,146,123,269,26033,27771,53797,3049,2564,5609
SED20906,29585,31447,61033,1986,1864,3853,4377,4023,8399,2009,1858,3865,1815,1605,3424,3222,3470,6687,4283,4749,9033,4525,4919,9443,3276,3513,6788,2101,2421,4520,1283,1864,3146,708,1166,1873,28443,30358,58804,1144,1090,2236,57,68,127,3,4,13,0,3,3,64,73,139,18544,19187,37728,9583,10742,20327,19677,20491,40164,8606,9616,18224,24630,26130,50766,528,452,979,4090,3790,7883,1747,1656,3408,937,881,1817,813,1221,2033,15219,16896,32113,2232,2346,4580,2353,2310,4663,973,988,1964,965,1296,2263,134,196,334,27913,29647,57563,1217,1403,2619
SED21001,33317,36028,69349,1804,1751,3555,4080,3867,7945,2366,2225,4590,2877,2632,5502,4837,4994,9832,4280,4694,8973,4491,5036,9528,3632,3952,7587,2479,2927,5406,1574,2326,3901,907,1617,2527,31943,34717,66664,1371,1310,2684,72,49,119,7,4,12,0,0,3,76,56,130,19372,20374,39749,12455,14024,26478,20406,21433,41844,11526,13116,24643,25321,27339,52662,439,464,897,3858,3677,7540,2101,2010,4111,1823,1607,3428,1524,2001,3531,19423,21118,40533,2327,2478,4808,2074,2239,4315,1043,1146,2186,785,1245,2035,216,311,531,31059,33547,64604,1828,2290,4117
