SED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED25905,13,364,1361,1029,1172,870,178,22,10,5012,0,122,837,698,778,525,97,6,3,3077,0,40,508,534,620,391,64,7,3,2174,0,15,264,382,361,257,31,7,0,1322,0,16,221,478,449,299,57,3,0,1516,3,7,53,149,205,111,42,5,3,577,353,356,560,473,569,462,380,295,193,3646,4838,5038,9143,8546,9642,8185,4705,2380,1046,53525
SED26005,29,324,1353,1671,1541,863,153,25,5,5959,3,113,820,1155,1004,484,55,10,4,3649,0,47,518,899,780,381,38,4,0,2667,3,16,267,622,557,223,28,3,0,1717,3,13,298,805,697,289,44,7,0,2153,8,4,70,292,247,121,30,4,3,783,492,365,705,760,689,505,332,220,111,4187,6724,5917,10607,13323,11794,7617,4058,1632,450,62117
SED26102,13,147,604,645,807,776,474,187,75,3721,0,61,448,496,557,501,279,82,30,2455,3,15,252,414,489,408,194,67,26,1866,0,9,151,286,340,303,144,36,13,1290,0,0,133,343,397,399,188,74,19,1556,0,3,47,173,272,337,256,121,29,1239,323,194,365,514,650,771,1031,884,597,5328,2691,2300,4753,6099,7522,8886,9768,5804,2493,50326
SED26207,13,244,1021,835,892,691,292,84,23,4087,0,100,843,720,741,479,149,43,14,3089,4,41,636,694,665,420,95,23,9,2589,0,6,335,544,545,308,80,13,9,1840,0,12,456,858,818,403,94,12,3,2654,0,6,133,474,551,256,46,31,10,1515,285,206,500,490,501,444,634,534,338,3932,3423,3439,7163,8012,8367,6738,6323,4330,1746,49537
SED26303,0,276,1828,1128,829,539,178,45,21,4844,0,100,1467,924,697,421,107,23,7,3749,0,34,1151,980,746,437,86,12,7,3454,0,15,596,792,596,352,53,9,6,2411,0,3,861,1459,1108,470,75,8,4,3995,3,20,280,1091,893,296,72,10,12,2684,260,334,1070,847,633,463,361,387,267,4622,2774,4420,13071,11117,9104,5989,3695,2901,1328,54386
SED26406,26,314,1811,1001,802,572,203,81,28,4831,4,136,1259,818,665,405,128,28,13,3449,9,65,968,864,645,393,86,17,12,3058,9,39,548,716,534,304,47,21,0,2210,7,22,738,1249,928,412,71,22,10,3461,9,14,174,760,553,210,40,22,7,1789,283,506,905,571,507,389,353,421,434,4364,4709,9148,14069,9778,8129,6124,4401,3218,1649,61228
SED26504,15,181,657,689,853,758,292,90,48,3578,3,57,422,461,570,433,148,41,12,2147,0,30,242,385,460,367,74,32,8,1595,0,0,128,251,306,231,58,16,5,997,0,5,105,244,328,246,57,26,5,1016,4,11,50,114,156,143,64,35,18,590,497,228,489,579,683,845,936,712,547,5518,3218,2559,5233,6281,7678,8402,7388,4319,1957,47024
SED26603,5,315,1896,1251,938,582,155,60,38,5245,0,130,1383,1042,815,422,86,27,17,3930,0,38,1029,993,782,362,57,5,6,3282,0,25,557,772,511,235,41,5,3,2157,0,12,773,1186,705,301,36,17,6,3033,4,10,174,488,317,103,24,9,6,1146,329,394,1090,872,681,537,486,522,505,5418,3472,5217,14285,11691,9263,6584,4514,4097,2413,61545
SED26708,27,222,818,812,969,797,335,103,40,4115,9,87,469,583,610,483,186,40,26,2486,0,22,293,427,504,394,121,38,14,1806,0,10,147,288,313,238,66,26,12,1095,0,9,156,304,371,307,102,26,7,1279,4,12,58,166,273,212,127,38,21,907,488,240,458,534,736,824,765,590,328,4973,3557,2808,5811,6851,8424,8866,7033,3738,1570,48665
SED26806,22,666,3463,942,553,432,288,117,45,6523,4,302,3050,940,531,352,226,85,26,5510,12,142,2511,1081,579,402,204,63,31,5022,5,75,1656,838,464,294,155,58,30,3572,3,49,2401,1744,900,538,311,132,48,6122,4,16,832,1527,1197,823,465,166,72,5108,295,696,2673,1298,871,746,637,447,338,8001,2267,6899,24198,11368,7538,6096,4769,2807,1420,67365
SED26903,5,248,1626,1186,892,530,143,48,37,4718,0,85,1151,874,600,338,56,17,8,3135,3,22,775,855,519,231,46,8,3,2454,0,12,376,569,356,183,26,3,6,1527,0,13,454,759,487,198,29,8,7,1947,8,4,86,240,164,66,21,13,10,604,340,409,1136,832,777,620,575,606,497,5798,2943,4818,13229,10410,8455,6488,4582,3944,2111,56979
SED27003,16,528,3238,904,566,438,261,62,15,6028,0,257,3020,940,512,355,177,31,9,5301,0,92,2430,1108,555,423,160,30,6,4804,0,38,1535,950,464,313,110,10,3,3436,0,33,2350,1810,1006,566,175,30,6,5972,6,21,852,1616,1140,638,216,38,9,4535,273,658,2396,1233,897,733,503,318,151,7167,2136,5715,23041,11966,8145,6353,4182,2195,842,64577
SED27101,15,250,1339,1033,842,666,300,105,35,4580,3,69,993,828,708,429,144,34,15,3223,0,27,779,821,632,422,100,37,9,2829,0,3,462,655,533,296,63,13,3,2026,3,10,555,1155,786,351,85,19,10,2971,0,3,154,498,406,175,68,20,3,1332,192,160,510,463,435,349,370,325,193,2992,3316,3467,9687,9650,8153,6449,5111,3241,1428,50512
SED27208,9,171,634,657,858,763,253,85,42,3472,3,65,376,433,564,375,129,35,9,1996,0,24,251,364,395,346,75,24,8,1492,0,12,139,218,270,189,45,6,12,885,3,12,114,247,285,197,52,13,10,935,3,7,45,88,110,102,45,17,15,439,429,264,653,813,948,1065,1092,753,372,6395,3376,2777,5812,6795,8638,9822,8549,4511,1929,52214
SED27305,15,315,957,800,1089,808,225,55,15,4275,0,104,744,648,751,514,120,24,3,2900,3,36,464,696,745,439,81,16,9,2479,0,13,246,508,566,308,45,10,10,1696,0,11,282,743,786,485,54,13,9,2368,3,3,72,337,445,232,38,14,6,1155,246,204,332,353,474,364,270,176,65,2488,4330,4121,6256,7448,9169,7107,4015,1994,532,44961
SED27406,13,208,876,655,729,725,469,164,82,3914,4,63,666,576,699,524,295,76,30,2932,5,22,535,692,728,561,242,75,38,2889,0,8,325,549,557,434,151,44,20,2095,4,11,455,1137,1207,652,233,58,43,3794,6,13,183,1244,1589,753,213,65,34,4089,233,172,393,473,575,485,463,365,460,3620,3414,3022,5804,7967,9236,7491,5827,3124,2162,48037
SED27504,19,289,1049,920,1040,853,307,95,44,4611,3,95,695,582,700,483,127,38,10,2741,0,49,393,492,538,401,83,18,12,1978,0,16,191,290,333,266,55,17,4,1176,3,14,166,352,388,268,76,25,12,1302,7,18,75,133,198,170,72,31,9,709,557,359,784,741,907,880,934,637,355,6157,4681,3888,8342,8138,9153,8685,6906,3997,1702,55486
SED27608,10,306,1217,1021,974,763,350,107,45,4794,0,98,1000,909,717,509,191,55,20,3499,0,54,688,862,739,473,107,30,13,2968,3,20,366,635,574,350,79,8,12,2048,0,7,405,946,840,495,111,26,13,2848,3,15,128,424,521,288,112,30,13,1528,353,304,475,545,521,461,512,438,416,4024,4520,4914,8639,9489,8805,7806,6241,3309,1635,55353
SED27708,16,248,905,787,1043,816,314,89,31,4243,3,89,525,577,637,506,141,36,13,2526,4,32,310,471,578,432,114,25,10,1981,4,17,191,344,446,312,55,13,3,1384,0,16,182,414,503,321,83,28,7,1567,13,6,59,173,233,206,86,36,17,823,475,330,530,591,737,821,809,607,391,5292,4032,3552,6678,7389,8770,8789,6760,3626,1661,51264
SED27807,7,290,1436,965,840,597,160,36,7,4348,4,97,814,598,455,320,59,4,5,2359,3,27,480,406,327,210,39,5,0,1507,3,18,235,241,190,150,29,9,0,868,0,9,221,276,204,157,27,0,0,902,3,11,66,95,90,44,28,3,0,346,521,575,1225,797,780,757,707,488,247,6106,4432,6309,13266,9533,8868,8616,6278,3743,1401,62454
SED27907,12,322,1285,1053,1072,835,290,57,25,4943,6,121,900,769,769,545,113,16,4,3254,0,47,593,631,639,399,83,12,3,2399,0,18,315,423,422,298,30,3,3,1510,0,22,339,577,541,357,64,11,6,1925,3,9,78,199,229,156,33,12,0,724,330,307,580,560,578,580,557,348,155,3994,3753,3978,8270,8165,8345,7575,5590,2701,980,49360
SED28007,6,378,1628,1459,1359,745,131,11,5,5733,3,126,1049,1082,940,490,92,8,0,3800,5,47,686,938,769,407,45,3,0,2903,0,26,386,670,509,239,21,4,4,1851,0,20,375,925,651,305,23,3,0,2309,0,3,84,301,268,117,15,3,0,791,437,363,657,797,665,529,369,184,118,4114,5567,5398,10796,12121,10957,7569,4002,1606,654,58667
SED28107,12,309,2773,2015,1337,762,139,28,10,7381,0,128,1647,1400,952,463,88,6,0,4685,0,52,1004,1210,703,382,51,10,0,3411,4,14,615,806,435,227,20,0,0,2120,0,13,663,1027,573,293,31,4,0,2609,3,7,133,286,222,97,15,3,0,771,547,560,1724,1278,821,556,373,166,58,6074,5728,6156,20316,16001,10495,7449,4033,1488,390,72051
SED28203,12,190,1513,1060,726,439,109,42,14,4101,3,63,842,799,456,268,58,6,3,2498,3,35,510,553,291,185,39,14,3,1619,0,10,284,331,175,98,25,7,0,924,0,14,273,397,184,89,18,9,3,984,3,6,81,95,85,39,23,15,0,349,352,346,897,668,561,567,619,430,144,4592,3672,4354,12140,9819,7646,6643,5969,3867,1032,55153
SED28301,13,256,845,627,842,739,378,121,39,3855,3,83,577,588,701,533,241,64,27,2810,0,50,463,596,707,504,167,52,10,2559,0,13,258,463,557,391,126,29,5,1848,0,14,309,892,971,611,163,45,15,3028,5,4,131,656,961,573,153,38,16,2540,252,205,271,342,475,457,378,359,265,2998,4494,3872,5794,7384,9323,7830,5935,3432,1523,49588
SED28408,6,253,912,751,826,667,277,85,33,3807,0,84,671,531,615,426,132,47,16,2515,0,22,412,512,498,336,71,19,6,1883,0,11,221,334,399,262,49,18,8,1287,0,10,218,383,516,350,76,16,4,1573,3,9,71,276,324,214,79,36,19,1030,368,294,508,472,556,501,551,482,270,4000,3907,3834,7176,6744,7546,6957,5643,3387,1546,46743
SED28507,14,259,1600,1253,1075,712,198,48,25,5188,0,109,926,866,713,490,91,14,4,3217,0,24,569,691,536,371,61,8,3,2269,0,16,295,416,385,233,37,15,3,1395,0,21,313,524,474,303,53,14,3,1707,3,10,67,163,172,104,32,11,4,569,382,421,886,693,638,608,523,339,236,4718,4244,4737,11754,10088,8864,7463,4867,2348,922,55292
SED28607,10,273,1424,991,973,686,191,51,24,4631,0,91,1224,1048,805,474,114,19,9,3784,3,33,1011,1169,856,492,86,24,13,3682,0,20,633,936,718,376,67,7,3,2765,0,18,1048,1896,1292,585,100,19,11,4962,5,8,337,1348,1036,344,85,21,9,3195,261,288,798,800,692,530,426,490,332,4618,3425,3860,11025,12318,10156,7215,4516,3278,1659,57456
SED28704,12,337,1826,1448,1360,835,238,40,19,6112,3,120,1396,1225,993,610,143,17,8,4522,3,55,937,1125,865,476,93,23,4,3594,4,18,495,740,597,355,58,13,0,2279,3,31,498,1004,839,436,86,10,3,2906,4,8,117,395,421,229,56,9,4,1245,506,337,849,809,723,552,477,205,71,4530,5139,4635,12433,12410,10568,7768,5047,1773,558,60320
SED28803,14,405,1949,1569,1301,748,141,22,6,6160,10,127,1248,1107,880,481,63,13,3,3930,3,55,766,833,729,324,47,5,0,2761,0,21,397,569,445,235,36,0,0,1719,3,13,420,730,538,246,39,7,0,1991,0,23,128,222,222,126,29,0,3,748,551,430,1013,799,701,497,342,153,69,4568,6476,6594,15361,13409,11695,7779,3953,1505,439,67211
SED29494,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
