SED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED21401,3,248,956,641,796,634,414,193,55,3944,3,78,746,571,588,441,246,132,38,2844,0,33,538,599,633,434,215,97,26,2573,0,7,300,451,509,334,145,52,18,1814,0,10,409,864,817,498,193,76,29,2895,3,10,156,610,664,415,181,87,30,2154,225,178,439,369,459,395,477,575,479,3599,3596,3790,7423,7342,8501,7405,6788,5378,2171,52398
SED21503,8,263,1208,885,855,691,225,52,24,4207,3,85,845,743,622,383,131,30,9,2848,0,44,622,727,572,340,73,19,3,2400,0,17,314,509,393,241,47,8,3,1524,0,22,345,775,580,341,47,10,0,2109,0,10,85,301,287,142,39,9,0,882,325,409,641,463,430,376,442,377,275,3741,3903,6025,9738,8268,7541,6451,5237,3127,1204,51496
SED21608,13,226,845,840,869,688,237,54,29,3790,6,69,549,613,640,401,87,32,12,2406,0,31,387,559,516,373,84,15,3,1977,0,12,190,351,376,249,42,13,7,1243,3,12,204,425,419,295,45,8,3,1415,3,11,58,162,227,143,51,18,8,686,449,379,539,546,633,661,650,409,243,4513,3799,4325,6705,7417,8107,7715,5969,2684,1043,47771
SED21706,8,275,1145,658,718,581,302,119,92,3912,0,101,755,581,594,486,196,57,39,2811,3,32,633,599,679,468,152,56,32,2654,0,21,378,516,512,394,86,32,24,1976,3,16,570,1242,1209,652,180,40,26,3939,5,15,230,1213,1359,544,135,43,27,3565,293,387,633,480,545,439,352,379,397,3900,4642,6505,9260,8405,9136,7096,4891,3109,2020,55066
SED21805,7,283,1406,1258,1299,898,240,64,31,5485,0,103,1050,1022,827,520,131,24,10,3690,0,29,696,834,665,442,88,14,3,2773,0,17,388,603,475,263,57,13,3,1814,0,9,358,791,570,333,77,12,3,2152,3,5,83,283,295,164,63,11,10,924,353,320,659,749,720,678,638,498,363,4980,3712,3854,9476,10327,9553,8049,5706,2938,1300,54917
SED21906,10,290,1711,761,658,625,383,131,81,4648,3,127,1367,767,547,467,255,80,59,3658,4,52,1113,823,616,497,241,64,54,3472,4,31,686,620,474,370,174,50,37,2440,0,18,910,1264,971,600,259,62,34,4120,3,19,327,1305,1220,739,301,76,65,4053,237,351,1029,662,592,526,493,366,405,4663,3156,4833,12726,9169,7791,6812,5156,2739,1968,54354
SED22005,10,288,1605,1065,882,605,192,59,41,4748,0,109,933,786,621,360,99,27,24,2957,0,29,721,701,515,296,97,16,25,2408,0,10,380,504,349,207,50,9,4,1519,0,16,408,772,459,209,43,3,4,1931,5,11,122,362,239,107,30,7,10,892,293,412,872,602,545,483,507,484,410,4606,4022,6948,13118,9954,8634,7365,5807,4131,2116,62092
SED22105,14,394,2651,2184,1507,761,149,33,18,7701,3,151,1577,1579,908,495,69,9,3,4792,0,52,997,1129,680,309,40,9,6,3226,0,26,542,705,417,205,24,12,3,1926,0,24,510,804,412,198,26,3,0,1982,14,11,102,194,125,64,22,17,8,551,542,524,1191,1026,778,632,505,360,193,5745,5754,6210,17906,15928,10903,7648,4829,2319,920,72425
SED22201,3,288,1222,921,864,748,285,73,55,4455,0,111,958,715,688,495,157,34,12,3171,0,38,670,649,629,426,88,14,18,2521,0,14,355,462,435,302,70,9,3,1655,0,11,388,758,614,409,80,22,10,2280,0,7,90,258,339,202,54,17,11,962,239,208,489,413,435,407,419,419,360,3380,3496,3653,8319,7850,7768,6970,5363,3214,1545,48174
SED22305,7,281,1496,1152,822,616,165,49,25,4613,0,79,813,680,452,331,66,7,3,2436,0,39,423,431,279,233,66,6,5,1494,0,16,209,231,155,128,28,3,0,764,0,14,190,255,167,118,31,8,0,786,3,18,51,78,65,43,30,11,0,300,470,504,1240,895,762,718,659,570,277,6091,4233,5772,13514,10655,8357,7816,5631,3440,1363,60771
SED22404,17,206,707,809,942,844,318,80,34,3952,3,70,488,571,598,535,179,30,11,2490,0,24,295,421,509,410,83,25,8,1777,0,5,128,277,357,262,79,22,6,1147,3,10,166,360,454,305,99,27,10,1430,4,9,46,168,276,191,84,45,15,828,509,225,484,657,744,870,766,398,135,4789,3479,2745,5380,6937,8640,9052,7270,3088,1127,47717
SED22501,3,264,904,761,897,885,436,93,25,4278,3,98,741,717,810,685,265,44,11,3384,0,37,550,749,807,644,173,18,12,2989,0,13,315,616,622,530,134,18,3,2256,3,12,395,1098,1042,746,166,30,11,3490,3,9,104,581,736,472,99,28,6,2035,208,167,287,327,459,431,369,246,229,2733,3787,3543,6044,8017,8796,8570,5765,2335,949,47805
SED22607,5,364,1687,882,751,627,285,78,38,4723,0,140,1386,808,719,547,167,18,15,3799,0,60,1020,841,733,539,115,22,15,3347,0,24,621,706,600,400,79,23,6,2469,0,22,875,1362,1122,655,117,21,10,4183,3,18,315,1125,1054,512,95,27,9,3156,322,401,1136,785,669,577,433,335,290,4934,3536,5157,12508,9881,8918,7344,4380,2659,1457,55839
SED22704,19,233,766,723,969,799,323,117,61,4015,6,90,491,569,646,583,160,39,8,2597,3,47,339,399,537,397,102,31,16,1868,3,12,176,292,398,261,74,21,13,1244,0,0,146,308,444,326,88,17,9,1343,4,5,47,107,160,167,95,41,14,646,596,300,636,711,902,1051,1022,729,360,6298,3944,3191,6054,6885,9026,9996,8296,4307,1706,53409
SED22802,4,267,1189,910,1009,757,316,51,31,4539,0,78,759,668,704,504,135,23,6,2887,0,33,567,573,624,434,105,20,7,2371,0,18,241,447,453,258,45,6,0,1464,0,4,304,567,561,305,60,10,7,1819,0,4,68,169,221,154,54,18,6,696,306,244,413,427,540,440,440,312,152,3290,4040,3617,7499,7436,8163,6920,5306,2456,851,46292
SED22901,6,265,1103,839,921,844,285,60,35,4365,0,77,861,652,659,553,136,26,16,2980,0,40,574,630,545,429,112,18,8,2355,0,5,303,445,407,341,53,9,4,1565,3,12,333,630,597,435,72,16,3,2101,4,3,68,221,295,206,47,11,5,854,176,187,346,360,334,375,390,354,397,2909,3524,3679,7553,7455,7677,7883,5664,2891,1579,47914
SED23007,9,394,2396,1353,862,603,125,47,15,5798,4,124,1536,994,632,335,68,12,9,3707,0,59,1060,893,504,278,44,3,7,2857,0,22,635,591,402,209,30,3,0,1893,0,14,696,1034,532,231,27,7,6,2549,3,18,188,441,231,123,23,4,4,1039,419,681,1587,1038,827,681,590,459,346,6627,4025,7689,18480,12372,9275,7571,4952,2971,1342,68684
SED23101,6,224,928,767,766,630,336,160,61,3878,3,75,640,595,607,444,183,70,24,2643,0,34,434,650,594,399,161,49,9,2338,3,3,284,548,501,310,96,28,11,1788,3,9,321,917,759,504,112,47,12,2694,0,3,89,488,450,261,82,34,12,1418,178,173,325,319,325,354,390,433,364,2865,3705,3876,6758,7895,7827,6807,6316,4385,1865,49431
SED23205,10,214,1080,897,885,807,278,85,35,4296,0,81,724,637,594,480,139,35,20,2715,3,24,442,545,522,414,94,29,4,2074,0,20,226,383,416,246,61,7,3,1359,0,11,252,500,501,320,75,13,8,1680,4,10,60,183,256,167,52,17,7,757,361,363,767,655,691,682,626,542,409,5084,3491,3890,8119,7833,8213,7676,6131,3534,1696,50587
SED23308,10,287,1196,827,890,732,293,114,64,4412,6,95,945,676,605,502,123,27,24,3005,8,46,653,619,605,404,82,30,0,2448,0,13,341,463,447,301,62,15,15,1659,0,3,386,640,587,388,87,26,14,2142,3,10,134,394,392,257,83,38,10,1319,314,355,667,562,668,557,582,490,379,4569,3454,4622,9141,7894,8358,7777,5708,3562,1966,52486
SED23402,8,363,1403,1067,1170,837,287,86,25,5240,5,125,942,917,867,521,147,33,18,3575,0,56,602,782,782,460,93,24,5,2798,0,20,327,535,573,325,61,15,3,1859,0,21,320,706,835,462,95,20,10,2464,0,21,78,337,471,267,77,33,3,1294,410,322,580,539,635,535,431,330,246,4019,4802,4542,9073,9237,9661,7606,5175,2691,1104,53900
SED23502,14,181,659,606,766,749,400,155,43,3571,3,62,380,417,453,436,181,47,23,1997,0,18,209,312,391,356,86,22,18,1409,0,10,123,195,267,223,71,17,8,905,3,3,110,210,310,242,69,24,9,974,9,14,69,119,168,151,68,43,12,644,461,276,490,527,730,914,1079,748,421,5643,3174,2527,5299,5839,7590,9409,9200,4653,1701,49403
SED23602,14,172,665,596,701,691,335,114,55,3339,3,72,441,443,469,452,162,34,12,2094,0,27,288,345,468,352,95,24,11,1618,0,3,161,273,296,243,58,3,3,1048,0,7,227,351,399,313,81,17,7,1405,8,18,99,201,307,205,63,24,17,934,416,325,814,779,796,927,867,578,305,5808,3209,2549,5841,6318,7781,8728,7378,3624,1529,46948
SED23702,24,400,1262,979,1277,965,246,60,14,5225,13,139,851,818,884,579,148,20,5,3459,9,57,567,665,731,479,83,11,8,2604,0,27,303,476,500,311,47,7,0,1677,0,12,266,462,594,359,57,6,3,1763,3,11,67,179,249,137,47,11,0,706,420,333,587,613,766,672,614,384,142,4524,4721,4757,8505,8502,10074,8828,6244,2887,911,55432
SED23806,14,403,1624,585,546,516,413,169,66,4337,0,164,1422,583,468,433,333,107,43,3561,3,75,1151,715,581,507,271,101,39,3434,0,15,658,594,503,384,194,65,23,2432,5,21,997,1302,1057,786,344,115,57,4679,3,31,367,1742,2057,1205,479,140,51,6078,296,428,857,528,519,427,376,304,237,3977,4130,6055,11886,8586,8252,6654,5162,2764,1424,54912
SED23901,12,249,1133,829,844,667,333,159,45,4271,0,82,983,704,651,538,217,65,33,3288,3,25,740,789,688,528,192,62,18,3054,0,13,441,643,600,381,90,41,10,2215,0,4,557,1123,920,628,187,45,15,3487,3,7,170,835,870,501,175,58,15,2642,290,277,610,588,566,483,477,448,486,4229,3621,3919,8864,9035,8692,7462,5571,3471,2014,52645
SED24006,5,301,963,544,753,634,404,194,100,3908,3,114,717,484,611,494,267,150,70,2919,5,53,591,512,664,524,313,104,72,2839,0,8,320,398,584,467,189,77,44,2092,4,26,460,902,1147,785,371,147,80,3928,8,18,214,1212,1885,1124,469,154,107,5200,285,265,462,439,589,554,467,377,378,3826,5042,4703,6873,7231,9800,7731,5517,3306,2018,52229
SED24105,9,228,1376,1066,956,670,218,49,10,4592,0,98,814,716,567,400,109,22,9,2723,0,30,548,579,428,313,76,9,4,1999,3,9,271,407,318,205,38,6,0,1258,0,4,278,531,388,230,46,7,3,1483,4,8,72,220,191,91,22,9,11,633,298,332,601,534,504,463,507,327,252,3820,4573,5146,10581,9647,9010,7820,5951,2960,1267,56953
SED24207,9,295,1650,1645,1164,652,134,18,8,5569,8,96,991,1232,751,432,65,13,0,3580,0,22,737,896,592,272,49,3,0,2581,0,19,354,617,391,161,29,7,0,1576,3,8,376,835,416,176,26,4,0,1844,3,6,90,273,148,60,13,3,3,601,517,613,1426,1260,953,697,533,236,63,6281,5441,5514,13126,14249,10469,8032,5041,1909,539,64320
SED24308,5,264,1036,916,828,619,186,61,23,3934,4,94,644,585,564,389,87,12,0,2381,6,32,446,453,458,303,62,11,3,1772,3,19,249,330,311,212,37,4,3,1169,0,7,204,463,455,266,49,4,7,1463,5,10,46,159,196,128,39,12,3,598,485,471,1009,887,853,751,669,536,358,6021,4506,4495,8732,8286,8579,7694,6003,3451,1545,53287
SED24408,8,214,700,651,847,816,292,103,58,3679,0,68,440,431,516,455,149,50,21,2118,0,30,260,321,421,357,91,53,11,1542,0,11,139,191,285,251,69,28,13,984,0,8,120,241,328,225,86,38,17,1061,3,10,54,105,146,178,77,38,20,623,384,205,427,426,613,697,725,571,404,4450,3292,2678,5521,5784,7678,8531,6960,4179,2067,46690
SED24504,6,184,613,786,896,736,377,96,27,3718,3,63,426,627,695,532,187,46,14,2584,0,34,370,584,685,504,158,18,11,2371,0,16,178,438,481,317,77,19,3,1527,0,8,228,736,843,527,130,31,15,2517,0,10,68,434,553,327,112,26,7,1546,407,200,335,597,679,752,719,393,313,4398,3435,2515,4692,7628,9044,8577,6788,2679,1118,46479
SED24606,8,349,1289,584,564,521,407,168,83,3977,6,148,1074,498,448,373,289,129,63,3039,5,64,865,622,543,471,264,128,61,3025,0,21,514,462,455,324,223,90,48,2124,3,23,753,1045,919,719,386,190,102,4146,6,29,325,1572,1983,1235,683,288,135,6257,264,318,680,495,514,452,425,391,316,3846,3320,4990,9369,7460,7734,6383,5304,3227,1697,49492
SED24703,101,1010,3915,992,586,375,290,80,29,7382,42,438,3354,977,516,360,202,60,18,5957,31,169,2772,1066,545,361,177,50,18,5180,20,95,1575,951,456,289,148,45,16,3578,52,118,2199,1878,977,615,233,53,20,6145,28,108,733,1249,1048,769,340,76,33,4379,988,2678,4217,1747,1089,853,626,278,131,12604,9601,26519,36440,13124,8150,6394,4340,1848,807,107222
SED24808,19,339,1685,1307,1101,805,198,52,10,5520,9,136,1056,1066,776,542,119,18,4,3721,0,59,633,719,609,385,76,5,3,2500,0,18,347,563,419,254,34,4,0,1638,0,19,347,590,470,301,53,5,3,1790,10,11,98,156,173,97,31,8,0,581,491,449,983,864,760,720,646,361,154,5420,4930,5076,11961,11151,9565,8582,6121,2284,849,60511
