SED_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SED20106,455,2085,1609,10381,178,14714,0,6,0,46,0,57,6870,78,158,132,46,7287,259,55,28,58,0,406,528,168,101,214,5,1013,6343,2025,1555,11581,229,21740,494,4,52,8,4,567,635,62,33,195,10,940,1063,248,176,1291,24,2804,2045,288,118,592,28,3082,218,37,17,40,5,309,2118,51,22,20,13,2233,2197,618,460,6030,82,9396,1922,469,200,1090,13,3700,663,4,15,9,3,691,137,23,10,56,0,221,163,28,13,44,0,246,243,67,52,108,3,470,211,25,10,15,4,268,568,107,85,29,8,786,618,99,72,156,13,945,577,38,43,53,5,706,1794,556,418,4054,58,6887,208,21,15,18,0,260,256,33,18,10,0,317,467,29,23,38,3,551,281,27,19,27,0,355,257,18,16,10,3,298,527,3,26,19,5,577,221,52,34,204,3,514,7437,576,515,813,83,9423,236,22,17,157,8213,8641,33670,4617,3422,25392,8856,75951
SED20207,1194,2524,1855,12353,196,18122,0,3,10,58,0,72,8650,77,173,84,36,9018,760,116,66,180,20,1141,483,133,104,223,3,952,6354,1911,1524,10292,236,20318,2229,44,159,34,26,2491,241,26,27,97,4,387,882,183,157,1051,30,2311,1311,266,130,606,23,2341,205,32,25,61,6,322,8334,68,50,30,67,8547,1622,569,366,4041,58,6656,2390,617,316,1634,41,4999,648,4,16,9,0,674,744,215,85,89,7,1140,926,134,74,195,13,1331,2232,386,209,921,20,3769,973,68,45,20,18,1122,676,100,97,26,8,910,616,67,64,169,4,916,306,19,22,27,4,381,1597,474,379,2825,41,5312,611,87,31,63,7,808,567,37,19,11,8,636,483,41,25,33,3,578,650,31,17,16,3,723,213,24,8,14,0,260,1659,28,45,14,19,1770,203,35,30,111,0,381,11658,743,645,673,119,13835,567,53,46,250,4243,5154,51872,5439,4005,25263,5119,91695
SED20302,464,2703,1954,21273,461,26855,3,10,8,56,0,70,735,22,36,102,8,912,195,35,25,69,0,323,1016,327,191,613,21,2167,5496,2533,1921,17886,491,28332,594,24,50,4,3,683,210,29,23,150,11,416,754,237,155,1407,45,2595,283,79,25,186,17,589,191,36,26,54,4,304,1522,52,34,24,20,1653,1050,504,359,5318,111,7349,1105,406,174,1424,40,3141,34,0,0,3,0,40,72,14,11,32,0,128,41,8,7,15,3,72,214,72,34,138,5,459,232,49,24,16,3,322,288,151,114,47,3,610,224,53,34,107,3,427,128,22,12,48,3,208,1348,628,450,4730,95,7250,95,18,3,21,0,143,217,44,24,15,0,301,198,8,11,62,8,297,718,41,25,17,11,811,81,22,6,25,0,132,139,15,21,13,0,184,200,44,43,184,3,477,4639,532,406,711,84,6370,266,53,41,491,4029,4884,19016,5132,3678,39701,5174,72701
SED20401,441,2447,1749,15779,299,20718,0,5,5,42,0,61,3639,42,113,118,18,3938,140,35,16,46,0,235,849,226,145,550,18,1789,4483,2295,1699,14009,284,22772,548,16,56,7,7,628,144,37,14,133,3,330,1106,288,173,1463,27,3055,383,96,48,242,8,785,314,45,25,54,0,431,1747,34,25,25,10,1839,947,560,373,4834,80,6798,765,293,138,936,17,2146,232,0,11,4,0,248,60,15,7,13,0,109,48,5,3,34,0,94,123,66,23,81,6,294,96,17,14,17,0,145,194,93,76,43,8,413,363,34,32,122,6,565,143,11,12,44,0,205,1077,519,418,4035,69,6116,116,10,9,0,0,134,224,27,32,16,3,305,179,16,6,46,3,249,585,51,28,27,3,689,36,18,4,3,0,65,430,7,27,15,6,488,153,50,16,184,0,403,3674,450,341,563,57,5083,202,35,25,343,2908,3514,19997,4512,3280,30747,3652,62184
SED20508,232,2150,1520,18329,397,22636,0,0,3,44,5,59,235,10,38,89,4,380,194,38,10,69,0,316,716,239,120,423,14,1515,4019,2083,1477,17788,403,25774,137,10,34,11,0,181,92,17,12,163,0,293,622,208,139,1686,29,2692,315,53,12,154,8,543,90,20,5,27,3,140,206,20,7,17,0,251,821,584,340,7045,107,8895,771,254,80,971,28,2106,17,0,3,0,0,18,10,10,3,29,0,56,28,9,3,14,0,58,342,66,38,138,3,592,81,21,8,17,4,128,179,102,61,36,0,376,242,51,30,129,5,463,57,6,6,21,0,98,929,580,401,5668,109,7683,37,5,9,8,0,63,103,27,18,14,0,166,74,17,15,65,0,172,25,15,15,0,0,49,31,9,4,5,3,50,46,0,9,4,0,60,166,48,25,203,3,450,1161,356,215,670,36,2435,90,28,21,405,2880,3421,9896,4115,2752,38672,3791,59222
SED20604,227,1874,1381,23200,481,27160,0,12,0,120,0,133,214,14,36,121,7,393,212,22,22,53,5,310,512,194,119,379,15,1225,2461,1765,1251,20182,440,26098,259,7,61,12,8,352,98,23,13,192,0,320,847,286,197,2950,64,4345,61,21,6,96,7,183,106,21,7,30,0,162,378,22,9,19,5,431,436,379,245,7231,135,8420,424,196,71,987,33,1714,26,0,0,3,0,29,29,4,0,27,3,60,13,7,0,13,0,31,62,23,22,96,3,198,71,18,27,18,0,143,116,64,79,48,5,302,212,47,21,127,7,414,51,14,6,35,0,105,624,428,312,5609,89,7065,78,20,9,21,4,127,67,16,7,3,0,98,66,11,20,69,0,164,67,7,0,3,0,87,4,0,0,3,0,4,20,0,8,3,0,31,134,25,17,161,5,333,1791,319,234,641,32,3016,93,18,24,622,3765,4516,8003,3422,2463,45534,4797,64222
SED20704,144,1545,971,24044,500,27204,0,6,0,105,3,114,450,26,25,339,18,854,47,14,10,39,0,110,273,163,90,359,11,901,1807,1461,974,22192,478,26913,185,5,35,10,5,242,56,21,13,160,3,252,295,159,77,2337,43,2912,59,26,12,104,4,212,38,13,9,24,0,84,442,17,16,20,4,498,409,377,216,8262,143,9407,277,173,57,1283,42,1827,43,0,6,4,0,53,29,5,0,25,0,63,17,0,6,10,0,26,54,33,9,71,5,164,78,14,6,20,0,121,105,69,60,41,0,280,66,28,19,79,0,189,35,3,11,39,0,85,509,367,271,5980,107,7232,12,3,0,14,0,32,72,26,3,10,0,103,35,5,6,56,5,107,106,17,7,13,0,144,11,3,3,6,0,20,43,5,9,0,0,58,63,36,19,207,5,326,1509,217,158,651,25,2567,47,32,25,676,3861,4641,6113,2848,1812,48556,4913,64246
SED20804,171,1587,1045,21094,438,24345,0,3,0,132,0,136,314,27,40,244,3,630,39,9,7,29,0,79,361,160,77,298,7,896,2165,1560,1082,20185,481,25471,202,3,54,7,9,276,56,14,4,157,3,234,333,172,91,2003,38,2639,123,37,17,98,3,273,56,24,8,23,0,115,360,14,12,16,4,407,474,390,246,7046,134,8291,231,149,62,1135,35,1608,19,0,0,0,0,14,17,0,3,8,0,32,12,3,0,11,0,27,76,34,15,60,3,192,62,31,10,20,0,119,96,64,41,52,3,264,117,21,12,99,3,250,52,6,3,26,0,87,543,424,265,5583,96,6905,23,5,4,7,0,38,56,17,11,20,0,95,53,7,6,52,3,128,72,4,0,8,0,91,10,3,0,4,0,22,60,7,5,3,0,77,93,46,20,201,3,365,1562,254,187,599,38,2632,92,26,28,659,4602,5409,6520,2983,1960,43055,5594,60122
SED20906,552,2223,1666,10345,155,14943,0,8,0,17,0,24,4784,87,133,120,38,5158,238,44,32,56,0,364,395,100,78,188,10,771,3854,1723,1337,9234,189,16334,302,10,62,3,9,386,303,31,28,92,5,462,773,224,174,959,15,2155,2619,346,180,974,36,4157,285,46,29,42,4,403,2061,58,47,25,24,2217,1076,558,359,4432,64,6491,1745,373,227,1217,19,3586,386,4,3,0,0,398,204,45,13,52,5,316,66,9,3,16,0,96,143,38,28,64,0,269,114,22,10,3,3,151,336,116,69,36,3,553,1052,167,123,201,12,1551,1582,53,56,63,5,1771,981,441,345,2888,53,4705,213,12,15,17,3,262,659,56,44,21,6,781,210,18,23,41,4,297,441,44,59,23,3,569,131,18,7,19,5,185,397,12,21,10,3,446,121,30,14,100,0,267,6354,699,596,648,44,8339,257,41,27,169,2440,2927,27869,4514,3349,22288,3015,61033
SED21001,499,2025,1650,11613,174,15956,0,0,3,12,0,19,15664,117,332,220,128,16455,144,26,27,48,3,249,419,130,84,267,3,911,3437,1942,1315,12194,196,19074,459,5,47,6,0,517,196,34,28,142,3,412,580,201,130,1153,26,2082,1137,172,86,526,16,1936,161,27,22,52,5,267,2433,48,36,17,19,2550,762,592,347,5394,60,7153,1440,307,174,1081,30,3026,649,8,20,7,9,684,88,31,5,42,3,167,95,16,3,28,0,142,133,39,20,91,6,293,45,14,5,12,0,70,238,103,80,21,5,442,284,43,31,99,4,463,145,13,10,19,0,189,874,475,360,4041,72,5825,87,6,5,3,0,108,176,33,28,10,0,254,161,15,15,18,0,207,612,32,35,39,11,721,81,5,0,8,0,91,739,22,46,13,4,830,122,39,38,191,0,396,4513,443,456,623,57,6096,203,21,16,207,2743,3183,32761,4025,3140,26020,3402,69349
