SED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED20106,53,163,254,4,0,474,5,41,64,0,0,115,3,34,63,0,0,99,11,34,92,0,0,142,10,72,132,3,0,211,33,156,447,13,3,651,31,166,561,14,0,769,58,322,1041,19,3,1439,45,224,610,4,3,897,84,404,506,0,0,1004,185,788,427,5,0,1410,30,113,121,5,3,272,546,2520,4310,72,21,7468
SED20207,470,93,11,0,0,570,160,39,0,0,0,203,162,32,3,0,0,201,290,39,4,0,0,329,412,78,6,0,0,503,1347,291,40,0,0,1671,1731,383,54,0,7,2169,2941,542,29,0,3,3515,1394,193,8,0,0,1589,861,165,8,0,0,1030,448,75,10,0,0,527,427,73,6,0,3,509,10644,1994,180,3,13,12838
SED20302,337,18,0,0,3,351,233,5,3,0,0,239,191,12,0,0,0,197,387,16,0,0,0,405,513,13,3,0,0,533,1701,49,5,3,3,1758,2072,55,4,0,7,2139,2365,48,0,0,7,2415,774,11,0,4,3,796,419,5,3,0,3,428,230,3,0,0,3,237,445,10,0,0,6,462,9666,243,19,6,30,9962
SED20401,397,66,10,0,0,467,172,24,13,0,0,206,155,29,8,0,0,191,274,50,7,0,0,326,379,73,17,0,0,476,1206,222,47,0,0,1478,1373,319,72,0,3,1762,1982,311,64,3,5,2361,876,127,19,0,0,1022,485,55,14,0,3,555,192,21,5,0,0,221,357,43,11,0,0,409,7841,1337,271,4,18,9475
SED20508,359,8,3,0,0,375,182,6,0,0,0,198,164,9,0,0,0,173,330,18,0,0,0,351,421,22,3,0,0,448,1244,45,4,3,0,1295,1529,37,6,3,5,1579,1654,38,5,0,8,1710,545,12,0,0,4,558,424,9,0,0,0,436,227,6,3,0,0,235,334,12,3,0,0,352,7417,223,32,8,21,7705
SED20604,366,11,0,0,3,373,243,5,0,0,0,252,213,3,3,0,3,229,454,14,0,0,4,479,649,23,8,3,3,682,1853,52,13,3,7,1936,1729,20,0,0,7,1760,1251,3,3,10,11,1278,388,3,0,0,4,398,258,0,0,0,9,268,146,0,0,0,3,145,345,7,3,0,3,358,7896,144,38,20,65,8165
SED20704,378,9,0,0,0,393,266,7,3,3,3,272,214,6,0,0,0,226,442,14,0,0,0,462,609,22,0,5,0,638,1774,46,10,4,4,1838,1893,31,8,0,3,1936,1459,24,3,0,3,1490,442,0,0,0,4,449,293,6,0,0,0,298,161,0,0,0,3,167,361,3,0,0,0,365,8306,163,25,15,21,8539
SED20804,436,11,6,3,8,465,283,13,3,0,3,297,255,9,0,0,0,261,480,15,3,0,0,504,673,18,5,0,4,702,1887,42,11,0,11,1961,1596,17,4,3,5,1629,1145,12,3,4,12,1168,292,3,0,0,3,295,196,3,0,0,3,198,94,3,0,0,0,103,329,3,0,0,0,337,7677,141,35,15,53,7921
SED20906,387,69,35,0,0,496,103,26,9,0,0,144,105,23,9,0,0,135,149,28,16,0,0,188,178,42,25,0,0,242,574,127,88,0,0,788,531,139,115,0,4,788,925,273,166,0,4,1375,655,188,87,0,12,943,956,262,91,0,3,1314,714,165,40,0,0,924,260,50,24,0,0,334,5537,1398,706,5,30,7670
SED21001,424,145,36,3,3,607,120,38,15,0,0,171,89,30,7,0,0,127,115,50,26,0,0,187,178,70,21,0,0,269,480,168,74,0,3,723,478,196,101,0,0,772,846,327,110,0,0,1291,556,182,39,4,0,777,852,190,27,0,3,1075,873,126,10,0,0,1014,263,46,7,0,0,318,5271,1566,475,11,13,7338
