SED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED26005,..,2699,2699,5056,358,5415,4440,73,4510,6219,33,6250,2800,10,2815,1948,11,1960,20459,3178,23643
SED26102,..,7246,7246,8780,468,9244,2845,42,2888,2579,14,2589,1065,3,1072,359,5,363,15632,7777,23407
SED26207,..,4712,4712,6644,364,7010,3631,94,3719,3928,18,3948,1513,10,1519,507,0,507,16220,5196,21415
SED26303,..,7250,7250,6875,1411,8284,3479,613,4086,3608,269,3875,1075,75,1155,341,22,363,15378,9636,25011
SED26406,..,6898,6898,6895,1214,8105,4039,632,4675,3923,391,4316,1291,157,1449,454,95,555,16608,9388,25994
SED26504,..,6433,6433,7818,478,8292,2627,56,2683,2526,23,2551,1199,7,1206,464,3,470,14635,6994,21630
SED26603,..,6914,6914,7634,907,8538,4421,371,4792,4257,154,4410,1570,69,1640,751,50,804,18637,8468,27103
SED26708,..,6113,6113,7610,450,8064,2748,67,2815,2864,11,2873,1454,11,1465,652,9,657,15326,6658,21983
SED26806,..,14036,14036,10681,3092,13775,2933,833,3760,1773,173,1944,456,27,485,139,16,151,15976,18179,34152
SED26903,..,7451,7451,6981,1040,8022,3926,393,4315,3526,174,3698,1325,42,1365,685,55,742,16437,9150,25582
SED27003,..,10054,10054,9670,2462,12130,3332,1197,4529,2378,430,2805,639,104,750,285,26,308,16303,14282,30580
SED27101,..,5999,5999,6840,625,7464,3743,134,3880,3865,67,3933,1443,10,1459,521,9,527,16417,6836,23257
SED27208,..,7810,7810,8532,618,9145,2933,60,2989,2568,21,2590,1175,21,1199,594,14,607,15793,8543,24335
SED27305,..,2476,2476,4714,212,4931,3498,50,3549,4491,17,4509,1685,3,1686,668,0,670,15058,2762,17824
SED27406,..,6026,6026,6813,450,7260,3164,45,3209,3943,12,3954,1391,7,1396,318,5,323,15630,6538,22169
SED27504,..,6927,6927,7883,579,8463,3470,99,3569,3301,46,3349,1651,19,1669,872,9,888,17182,7670,24856
SED27608,..,4929,4929,7634,449,8083,3605,203,3815,4398,125,4529,1814,70,1888,554,58,614,18015,5843,23854
SED27708,..,6781,6781,7902,552,8453,3064,116,3183,3010,52,3053,1375,15,1393,556,16,574,15908,7530,23443
SED27807,..,5281,5281,6370,562,6935,4329,212,4539,3871,162,4027,1967,90,2057,1558,67,1628,18092,6372,24472
SED27907,..,4715,4715,6467,421,6888,3746,60,3804,3722,19,3745,1569,0,1569,643,3,646,16155,5215,21372
SED28007,..,2781,2781,5131,208,5338,4360,46,4407,6050,23,6078,2607,10,2616,1269,8,1274,19416,3080,22492
SED28107,..,3607,3607,6433,448,6879,6270,109,6385,6330,50,6385,2890,26,2914,2140,18,2156,24061,4255,28323
SED28203,..,3926,3926,6339,350,6689,4259,87,4347,4030,56,4090,1946,21,1964,1338,14,1356,17906,4466,22368
SED28301,..,3135,3135,5693,247,5939,3587,43,3628,4424,23,4443,1930,12,1939,677,3,674,16305,3461,19760
SED28408,..,6880,6880,6777,730,7505,2954,174,3130,2814,63,2876,1223,18,1241,438,3,447,14213,7862,22074
SED28507,..,5000,5000,6437,554,6990,4368,93,4458,4266,32,4302,1794,11,1805,1138,6,1140,18001,5693,23697
SED28607,..,6609,6609,7808,807,8613,4241,323,4563,4479,83,4567,1460,22,1484,532,14,544,18514,7863,26380
SED28704,..,3680,3680,6860,380,7238,4842,44,4886,5875,17,5885,2600,4,2599,1005,0,1005,21175,4126,25299
SED28803,..,2867,2867,5444,323,5761,5018,59,5077,6171,28,6194,3121,9,3130,2283,8,2297,22028,3294,25324
SED29494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
