SED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED20106,399,158,884,20817,17740,4749,2734,13723,8501,68259
SED20207,481,138,905,16135,18258,7853,6615,16882,4730,70471
SED20302,784,353,1699,11763,15045,7250,5981,12134,5392,57563
SED20401,720,371,1474,12664,13644,5921,4446,10731,3570,50973
SED20508,774,299,1731,10166,13443,6929,5160,8922,3866,48485
SED20604,659,231,1369,10603,14411,6758,5269,10024,4769,51834
SED20704,650,378,1570,11404,14052,6519,5291,9438,4635,51349
SED20804,660,411,1609,9712,13288,6339,5070,9517,5662,49596
SED20906,833,247,1873,12586,13697,5633,3801,10038,3028,48784
SED21001,1059,452,2527,14769,15251,6754,4468,13241,3361,57846
SED21106,910,322,1952,14705,14166,5815,3634,9134,3984,51431
SED21203,704,159,1242,9876,9537,4394,4750,21992,5891,56445
SED21303,622,339,1473,19332,17963,5305,3178,11486,4748,62016
SED21401,1059,324,2171,12214,12777,6338,4719,13193,3162,52398
SED21503,488,273,1204,12247,12651,5421,4106,13460,3614,51496
SED21608,475,202,1043,9847,12802,6111,5261,9283,4468,47771
SED21706,975,299,2020,14280,14511,6211,3960,12689,3421,55066
SED21805,546,377,1300,13107,14803,5924,4299,11864,4912,54917
SED21906,1038,285,1968,15870,14846,5333,3099,11282,3914,54354
SED22005,1069,369,2116,13848,13788,5701,4568,19746,4438,62092
SED22105,448,210,920,16164,17765,7427,6509,18936,5623,72425
SED22201,751,262,1545,11983,13501,5754,4130,9778,3026,48174
SED22305,687,254,1363,11421,11581,5094,4809,21753,6111,60771
SED22404,537,191,1127,9589,12829,6507,5351,8436,5006,47717
SED22501,457,150,949,12105,13886,6729,4403,8406,2271,47805
SED22607,717,193,1457,15366,15036,5578,3799,11527,4536,55839
SED22704,731,371,1706,9897,13209,6771,6074,11039,6418,53409
SED22802,347,179,851,11518,12603,5748,4492,9035,2897,46292
SED22901,862,231,1579,11710,12736,5609,4232,11166,2457,47914
SED23007,702,238,1342,16195,15675,5563,4477,20367,6414,68684
SED23101,880,318,1865,11856,12750,6267,4516,11543,2496,49431
SED23205,863,292,1696,11481,13196,5649,4329,11127,4797,50587
SED23308,916,348,1966,12539,14204,6223,4420,10777,4323,52486
SED23402,500,183,1104,12998,14912,6719,5067,10470,3738,53900
SED23502,703,458,1701,8515,12253,6979,6194,9544,5913,49403
SED23602,679,310,1529,8530,11741,6514,5549,8731,5888,46948
SED23702,399,183,911,12757,14629,6728,5332,11684,4303,55432
SED23806,616,195,1424,16287,15473,5878,3677,10141,3453,54912
SED23901,845,431,2014,12942,14723,6314,4445,10317,3900,52645
SED24006,866,236,2018,14175,13665,6237,4347,10574,3221,52229
SED24105,693,200,1267,12281,12339,5344,4315,18924,3756,56953
SED24207,283,83,539,13130,13626,5741,5463,20015,6341,64320
SED24308,676,408,1545,10623,12394,5795,5085,13329,6059,53287
SED24408,881,441,2067,8939,11740,6343,5480,9507,4673,46690
SED24504,494,254,1118,9493,13247,6662,5336,7331,4406,46479
SED24606,764,258,1697,14276,13354,5128,3428,9950,3359,49492
SED24703,386,140,807,31043,22882,5360,3052,32424,12460,107222
SED24808,469,137,849,12800,14641,6606,6115,15127,5220,60511
SED24904,787,413,1752,9581,12293,6139,5128,11777,6479,51397
SED25003,657,94,892,11990,12742,5422,4769,16203,3396,54525
SED25102,459,117,880,11173,13721,6431,4399,7629,2749,46096
SED25205,729,339,1644,13065,14539,5979,3951,9888,3494,50918
SED25302,973,265,1979,11231,13948,6909,4743,9493,3446,49765
SED25402,741,333,1546,9953,13244,6591,5717,11384,5632,52532
SED25501,703,252,1814,12297,13217,6447,4742,12246,2682,51632
SED25605,988,242,1692,11412,12166,5731,4437,14983,3441,52178
