SED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED20106,2054,1279,881,565,125,17,8075,38,636,608,467,413,201,30,3,2394,1700,7807,4328,2416,1782,1056,329,94,19507,542,1709,1243,976,818,550,183,55,6077,496,1461,855,811,554,355,138,59,4732,60,86,69,43,47,27,11,0,343,74,186,163,158,158,121,49,11,925,632,1740,1091,1007,756,503,196,73,6001,48,187,121,73,74,83,36,11,632,1205,2649,1489,1183,1003,764,411,188,8899,4357,17707,10924,7408,5726,3716,1308,444,51585
SED20207,2191,705,310,105,13,0,5358,28,419,537,338,190,61,16,3,1590,744,4431,4341,1849,942,399,126,27,12858,468,1863,2069,1487,763,324,117,25,7118,900,2097,2135,1982,1264,647,248,86,9352,106,104,130,98,52,28,7,0,525,95,202,301,255,169,108,26,9,1168,1098,2402,2570,2335,1490,776,284,93,11050,41,144,166,113,66,59,25,11,630,688,967,993,781,642,579,351,182,5197,3145,12184,12861,7612,4410,2306,929,344,43792
SED20302,322,196,180,162,27,7,1249,23,170,231,200,201,145,33,0,1002,233,1426,1344,796,770,585,186,56,5396,315,1148,1179,943,784,679,258,83,5394,1056,2636,2255,2110,1775,1207,547,146,11738,128,138,140,132,76,61,14,0,697,81,167,221,207,210,186,60,33,1166,1261,2946,2625,2446,2060,1451,626,180,13598,25,61,66,70,61,86,35,18,423,704,615,695,831,892,1061,833,460,6090,2573,6715,6457,5478,4951,4166,2005,804,33149
SED20401,603,327,227,129,31,7,2038,31,261,354,225,214,97,35,5,1222,438,2374,1951,1084,742,463,159,45,7256,371,1216,1195,993,766,539,177,66,5328,858,1936,1732,1815,1420,912,518,131,9320,103,86,98,92,63,30,9,7,479,82,128,156,176,188,139,68,36,967,1039,2148,1986,2078,1672,1081,591,171,10766,17,63,63,61,64,70,48,20,404,408,543,563,498,520,588,524,455,4092,2342,7285,6708,5259,4216,2955,1575,760,31108
SED20508,346,314,330,268,74,16,1526,18,144,263,294,362,220,44,5,1357,209,1161,1491,1141,1182,905,320,84,6488,211,633,900,955,1112,959,379,113,5257,767,1655,1671,1736,1673,1244,552,161,9451,74,93,80,67,75,65,22,3,479,52,95,128,146,218,202,92,29,966,890,1841,1881,1950,1971,1510,661,197,10894,11,20,41,44,67,83,60,27,360,422,336,394,485,732,994,705,386,4455,1770,4310,5310,5186,5750,4945,2245,825,30339
SED20604,235,276,241,144,20,3,1137,16,174,261,278,278,151,24,3,1187,203,1085,1300,879,953,537,152,58,5163,251,797,940,1090,1010,681,216,63,5044,1206,2311,1994,2187,1797,998,371,113,10964,190,143,131,139,92,58,6,6,771,78,133,166,193,200,177,42,23,1015,1470,2591,2284,2516,2088,1236,424,136,12753,17,36,30,48,59,63,51,12,315,749,616,670,755,895,858,606,285,5426,2719,5507,5713,5830,5522,3665,1495,564,31020
SED20704,321,314,240,155,31,13,1365,24,232,359,324,297,160,27,3,1427,449,1672,1570,1031,918,516,170,54,6389,238,666,828,903,844,580,219,88,4371,1137,2076,1728,1852,1552,830,362,111,9660,150,147,104,101,92,38,0,3,634,91,140,145,162,193,128,50,26,932,1378,2361,1981,2113,1838,994,419,136,11222,15,35,36,38,54,64,35,19,307,780,547,547,682,741,770,670,460,5201,2936,5760,5646,5414,4936,3243,1574,767,30274
SED20804,289,317,284,227,61,12,1461,17,185,278,312,333,182,45,4,1356,296,1293,1243,949,922,583,223,53,5561,174,604,694,770,858,613,245,64,4022,1030,1947,1620,1653,1522,934,442,104,9250,127,130,109,110,85,43,4,6,608,56,129,150,154,175,133,44,17,863,1214,2210,1878,1917,1787,1110,490,130,10727,32,43,40,40,66,63,38,20,335,692,882,789,807,911,912,730,482,6200,2461,5446,5204,5105,5159,3690,1829,766,29661
SED20906,1193,925,460,187,43,15,3766,20,191,435,499,300,125,32,7,1617,717,2325,3232,2523,1431,577,280,102,11189,283,745,1099,1256,873,483,235,96,5075,405,791,817,1192,863,511,300,175,5066,59,24,52,63,50,24,7,0,290,34,78,110,189,154,117,54,39,778,498,901,975,1444,1068,658,368,219,6126,20,59,83,108,62,73,29,40,463,401,393,501,493,439,422,393,276,3326,1989,5499,7519,7259,4632,2521,1375,762,31556
SED21001,1472,1209,737,420,152,47,5865,32,288,494,606,490,263,86,28,2287,1304,3714,3369,2755,1922,1048,540,229,14892,484,1032,901,1099,924,706,407,225,5773,520,722,615,921,689,434,308,168,4372,75,49,49,59,47,30,7,7,331,40,80,104,166,131,118,80,59,773,631,853,766,1147,871,583,390,237,5479,40,85,85,100,86,83,73,34,587,489,482,447,472,389,420,551,521,3772,3103,8151,7530,7398,5422,3526,2202,1320,38644
SED21106,1259,1395,961,483,138,47,5190,15,257,442,619,480,235,54,19,2127,733,2985,3459,3371,2279,1199,489,201,14722,237,748,912,1080,912,760,359,171,5184,271,781,612,740,556,355,225,91,3626,52,41,47,56,32,32,14,0,281,46,71,103,164,167,142,62,55,810,359,897,770,953,747,530,305,149,4720,15,51,73,88,75,79,46,25,450,439,682,666,703,559,517,429,387,4377,1852,6489,7577,8215,6017,3800,1824,1001,36769
SED21203,542,210,102,28,6,3,1699,39,151,154,115,54,15,0,0,533,644,2124,1200,621,389,140,54,5,5181,489,1290,908,768,348,107,63,4,3977,876,1490,1132,1168,729,397,251,60,6097,149,135,99,101,56,9,3,3,549,109,197,161,184,103,44,21,8,828,1135,1821,1396,1456,887,452,274,66,7476,40,126,72,52,46,31,12,6,375,1018,1170,906,946,716,674,630,262,6321,3414,7437,5173,4172,2534,1454,1041,349,25571
SED21303,2080,1126,697,282,62,13,7329,65,847,762,568,442,143,28,3,2848,1980,7370,4021,2016,1078,476,119,38,17095,452,1697,1063,740,512,236,70,53,4811,635,1507,907,763,531,270,165,85,4859,84,93,64,44,36,17,3,3,335,73,127,129,157,107,59,25,9,690,789,1726,1101,961,674,347,193,96,5881,47,127,71,52,53,35,21,5,412,657,1360,808,552,464,356,406,339,4944,4144,16030,9908,6020,3919,1869,889,540,43317
SED21401,1028,732,588,353,131,23,4050,17,189,291,362,295,174,63,16,1403,898,2802,2583,2171,1556,968,461,110,11545,299,724,800,1045,800,671,434,123,4900,359,652,686,999,709,679,561,167,4816,53,36,44,61,57,29,24,4,301,46,74,102,207,166,169,93,42,897,457,760,833,1268,928,875,674,212,6006,24,79,67,84,100,101,71,22,552,341,424,356,494,431,635,675,462,3812,2129,6073,5949,6164,4695,3782,2505,966,32270
SED21503,836,418,265,95,38,5,3071,32,269,328,242,193,88,15,4,1167,1083,2942,2182,1202,822,399,129,30,8789,524,1080,1055,901,684,396,164,42,4851,716,1327,1231,1273,1024,729,392,106,6797,109,57,71,75,41,23,11,0,386,72,103,160,153,163,98,43,16,813,895,1491,1466,1498,1230,852,443,120,7993,45,80,80,66,64,48,30,13,421,654,619,469,454,424,520,492,287,3920,3342,7791,6415,4782,3681,2401,1312,501,30220
SED21608,307,284,307,161,35,7,1367,15,175,295,265,266,127,31,0,1175,391,1297,1332,911,756,480,129,30,5325,254,670,834,936,765,494,169,30,4160,1120,1893,1772,1822,1511,882,312,91,9395,145,135,109,96,86,35,4,3,618,60,127,146,141,140,93,41,19,761,1328,2149,2027,2067,1736,1009,360,110,10781,21,27,27,48,52,54,17,8,259,766,529,566,693,800,821,522,303,5001,2802,5089,5389,5210,4691,3143,1261,493,28075
SED21706,1477,1231,709,368,105,36,5654,43,278,448,607,497,198,57,11,2132,1431,3664,3289,2800,1772,895,384,181,14418,653,826,820,1072,876,579,268,135,5233,510,690,542,840,674,395,252,157,4048,73,42,38,54,36,40,13,8,298,69,75,109,143,156,101,77,61,783,656,804,681,1033,862,531,341,218,5130,44,70,70,85,79,66,34,38,473,620,575,455,491,437,450,425,369,3816,3567,7820,7240,7325,5233,3078,1614,997,36864
SED21805,447,254,175,99,29,7,1392,29,213,264,196,174,86,21,4,994,362,1774,1791,1009,690,331,126,30,6109,402,1343,1441,1107,779,417,145,38,5674,984,2377,2339,2211,1630,879,352,113,10899,113,114,136,112,77,38,9,0,611,74,143,227,209,227,141,56,24,1101,1180,2641,2704,2531,1934,1058,421,143,12613,15,64,65,73,77,66,37,6,410,580,671,760,755,743,774,649,404,5337,2586,7077,7478,5930,4576,2837,1420,624,32526
SED21906,1511,1018,704,417,112,33,5801,19,435,503,512,439,216,56,10,2181,1325,5113,3566,2531,1958,1163,374,159,16186,354,1188,929,875,841,590,239,96,5109,399,1018,599,598,504,388,212,148,3866,67,62,49,33,24,24,8,3,269,48,127,122,160,136,160,54,40,844,520,1202,772,797,666,565,265,189,4978,35,116,76,73,81,83,58,38,552,496,959,623,534,557,500,405,343,4409,2863,10897,7979,6332,5238,3544,1509,868,39231
SED22005,1200,459,234,115,34,12,4153,34,259,287,214,155,63,19,9,1034,1501,4016,2595,1388,841,384,150,57,10940,646,1612,1163,933,646,358,147,62,5560,666,1205,1155,1227,914,610,360,120,6263,99,65,98,80,54,31,9,3,431,65,125,166,197,138,110,43,23,863,821,1390,1425,1502,1105,746,410,150,7555,58,147,90,76,61,49,28,18,542,700,861,593,566,555,593,585,437,4879,3893,10264,7347,5143,3599,2314,1365,743,34666
SED22105,1093,304,115,41,13,5,2716,37,313,307,147,97,41,12,0,957,547,3223,2751,1019,485,211,67,22,8323,601,2671,2313,1160,591,290,109,23,7763,1581,3843,3099,2338,1459,717,266,67,13363,176,254,204,129,70,21,3,3,861,132,302,310,256,174,94,28,11,1308,1890,4400,3608,2722,1704,828,296,76,15527,44,148,151,90,67,39,16,3,558,950,1183,1059,883,711,588,426,215,6017,4110,13034,11289,6334,3763,2052,934,345,41859
SED22201,514,326,245,151,47,5,1866,29,272,301,288,264,133,34,7,1319,472,2076,1797,1085,892,509,205,72,7107,338,1007,1014,962,820,555,277,79,5060,808,1825,1538,1667,1220,753,415,127,8359,104,89,84,56,59,41,13,3,443,50,123,129,195,182,131,83,27,922,964,2036,1759,1923,1456,924,513,159,9727,14,37,53,49,67,66,41,19,341,390,453,397,458,466,501,533,382,3584,2256,6418,5838,5090,4205,2839,1655,718,29013
SED22305,571,223,136,53,21,4,1854,21,183,140,94,79,46,12,5,582,516,2577,1440,742,589,239,114,17,6246,499,1671,1233,798,613,307,123,41,5291,923,1720,1569,1325,1127,679,307,97,7749,133,154,139,96,70,42,9,0,643,101,201,216,178,169,112,46,18,1033,1155,2078,1922,1600,1360,839,369,116,9425,47,161,97,69,80,61,22,8,537,903,1245,950,816,805,813,631,288,6450,3179,8718,6350,4352,3666,2357,1293,481,30392
SED22404,205,231,254,193,64,5,1090,25,130,203,213,275,159,30,3,1040,186,754,1069,1006,939,678,200,63,4887,212,639,826,962,942,724,190,76,4567,845,1695,1795,2127,1883,1201,417,98,10062,99,89,104,120,86,46,21,8,570,54,106,148,194,224,183,62,20,991,999,1889,2049,2445,2197,1428,496,126,11629,17,27,31,41,58,88,36,22,313,678,474,661,859,993,951,526,183,5318,2126,4040,5036,5756,5656,4214,1536,473,28840
SED22501,849,655,535,302,70,9,2941,18,216,486,479,484,206,38,3,1937,596,1921,2546,1872,1581,840,223,52,9632,334,692,1012,1124,1090,719,222,46,5240,653,1125,1192,1602,1354,842,350,96,7216,73,43,55,68,83,40,8,0,375,56,81,125,188,202,173,53,23,898,779,1245,1371,1861,1641,1060,412,116,8484,9,48,48,59,71,58,37,14,345,264,270,313,399,435,461,260,160,2550,2042,4864,6633,6456,5833,3641,1268,393,31129
SED22607,1201,817,589,250,41,7,4762,29,509,536,463,480,165,35,5,2216,1269,4573,3309,2210,1555,571,144,57,13701,404,1164,1027,1010,803,421,155,56,5043,582,1205,961,1083,759,417,209,109,5330,72,76,70,64,44,18,5,3,352,61,138,156,176,133,83,42,26,810,720,1420,1188,1322,934,517,252,138,6493,28,105,64,57,74,46,16,15,396,645,1082,765,646,605,472,378,238,4828,3214,10592,8092,6530,5039,2447,1026,512,37450
SED22704,143,171,200,109,31,3,778,17,117,171,208,214,126,27,3,882,179,725,851,727,793,523,189,47,4038,219,693,753,957,962,652,255,71,4559,979,1803,1811,2149,1992,1236,462,148,10589,158,118,113,114,119,60,9,8,697,92,111,160,182,195,182,58,22,1005,1228,2040,2077,2442,2308,1476,537,178,12286,17,36,38,53,65,78,40,17,342,848,669,752,978,1218,1228,909,413,7018,2526,4384,4792,5540,5758,4192,1982,738,29904
SED22802,239,193,162,74,28,0,949,21,171,204,192,185,96,23,5,904,371,1332,1232,786,672,439,127,17,4981,381,993,984,1035,772,493,162,49,4878,982,2367,1945,2154,1499,907,339,86,10279,116,104,97,85,68,46,6,4,520,56,115,164,183,179,150,49,15,899,1149,2579,2204,2416,1751,1108,395,101,11700,23,31,41,58,55,68,27,11,307,451,401,414,511,479,503,365,183,3303,2424,5742,5319,5190,4070,2779,1126,371,27021
SED22901,681,474,334,129,21,14,2406,17,200,251,212,262,121,24,4,1088,640,2255,1967,1354,1117,552,159,67,8106,339,926,913,958,894,527,190,73,4816,663,1367,1283,1464,1317,824,405,105,7422,100,79,87,64,53,54,11,7,454,54,84,120,162,222,142,71,24,872,812,1525,1493,1685,1592,1020,479,134,8745,17,44,43,67,88,68,52,21,396,286,319,355,348,437,474,461,460,3131,2141,5977,5699,5088,4725,2896,1394,775,28697
SED23007,1229,461,260,74,9,3,4438,47,523,478,292,166,50,9,0,1563,1520,5641,3154,1381,748,287,69,19,12828,714,2003,1299,907,570,199,61,20,5771,775,1704,1319,1128,844,433,202,65,6463,124,124,92,103,66,20,8,0,537,70,212,197,183,129,62,19,6,876,972,2038,1602,1416,1039,514,227,73,7880,67,172,114,70,55,39,10,5,528,1053,1568,1077,842,766,678,498,303,6781,4534,14183,8955,5358,3610,1835,889,427,39787
SED23101,1322,781,503,288,86,15,4156,18,197,323,338,301,156,58,15,1406,863,2600,2724,2016,1326,871,389,88,10882,332,673,925,1028,849,710,418,123,5051,386,549,719,1009,813,630,476,156,4747,53,40,54,56,35,33,12,3,289,46,51,96,142,160,174,113,50,828,488,642,862,1200,1010,840,605,210,5864,15,56,72,68,52,83,68,25,434,278,309,296,316,353,478,520,309,2861,2041,5585,6528,5751,4396,3428,2136,783,30650
SED23205,318,287,217,124,37,6,1303,24,195,225,224,215,129,22,8,1040,315,1378,1380,990,796,512,203,82,5654,343,1024,1063,1038,864,563,210,71,5169,910,2030,1720,1717,1486,944,488,168,9457,137,115,110,94,69,41,14,3,584,91,132,164,212,197,127,78,38,1031,1134,2274,1997,2021,1748,1112,576,207,11079,25,36,43,53,63,71,48,19,358,686,775,680,752,767,758,687,401,5501,2542,5973,5720,5362,4677,3262,1784,792,30105
SED23308,600,404,321,162,35,11,2231,25,340,350,348,292,118,27,4,1512,732,2577,1989,1236,1073,564,216,52,8441,336,953,898,997,909,534,228,92,4944,1063,1910,1458,1641,1359,776,381,150,8746,128,111,78,86,61,30,12,3,507,74,114,133,169,138,113,50,23,807,1265,2134,1673,1890,1559,924,442,178,10061,15,63,39,35,55,47,29,19,306,604,652,530,676,662,668,650,431,4864,3031,7365,6088,5583,4863,3021,1627,786,32368
SED23402,459,288,239,110,39,7,1560,39,195,247,301,227,111,25,4,1138,435,1547,1681,1180,885,456,167,53,6409,443,1244,1270,1290,839,491,186,60,5821,1212,2565,2216,2258,1579,791,385,102,11114,120,148,100,100,77,29,5,3,592,73,145,187,222,210,132,53,16,1030,1414,2861,2500,2581,1866,953,443,116,12739,18,61,63,77,65,72,35,14,398,655,547,544,659,584,547,426,253,4215,3019,6853,6763,6374,4709,2738,1319,506,32280
SED23502,124,112,166,132,33,9,666,11,113,141,179,243,157,26,3,879,122,678,730,644,840,654,199,50,3913,160,496,578,734,885,813,288,91,4045,827,1628,1589,1927,1965,1430,620,156,10141,104,124,114,103,142,67,13,6,682,53,120,146,149,221,200,75,25,990,986,1870,1852,2186,2324,1690,709,190,11812,15,22,35,37,48,89,51,20,329,746,490,582,827,1058,1369,962,513,6549,2045,3755,4050,4716,5573,4906,2267,876,28186
SED23602,141,152,175,127,33,7,769,11,123,198,199,217,103,15,3,866,186,845,859,653,812,513,172,48,4097,116,538,689,774,819,571,197,63,3770,834,1737,1614,1954,1708,1101,412,119,9475,103,108,97,93,95,41,6,4,552,67,104,139,135,210,148,62,14,871,1003,1943,1852,2191,2013,1292,483,128,10895,13,47,31,46,58,71,37,15,314,735,814,811,877,1022,1074,702,312,6352,2073,4430,4581,4897,5119,3749,1640,578,27064
SED23702,179,154,132,63,17,0,701,37,165,183,192,186,98,18,3,887,346,1154,1033,765,616,357,120,25,4403,449,1067,1104,1162,881,472,137,38,5303,1494,2880,2465,2815,2101,1098,436,108,13402,163,123,110,112,93,48,11,0,662,98,172,201,218,216,146,53,14,1118,1749,3178,2778,3146,2411,1289,499,120,15175,24,40,56,74,60,80,41,9,376,668,569,600,764,765,742,493,202,4798,3283,6306,5934,6248,5051,3113,1324,398,31649
SED23806,1795,1519,1067,658,202,49,7533,34,501,518,589,494,265,65,19,2491,1646,5214,3485,3009,2132,1322,536,218,17558,466,909,706,813,731,645,327,142,4739,440,760,421,450,352,290,165,60,2942,69,36,20,40,35,25,8,0,234,47,77,75,123,133,115,61,42,679,557,874,514,617,522,429,234,109,3857,41,97,77,55,70,62,53,15,473,577,783,493,448,391,419,349,252,3715,3472,10483,7592,7044,5407,3789,1768,809,40366
SED23901,1312,988,757,455,127,16,4942,25,373,512,538,457,214,50,11,2179,842,3144,3009,2164,1618,868,331,116,12094,288,880,969,951,768,543,235,114,4750,549,1028,875,1048,842,550,365,154,5423,67,51,58,56,50,30,4,6,332,46,89,133,178,139,117,67,31,806,667,1173,1076,1280,1032,700,440,189,6562,20,62,62,83,60,69,48,18,410,470,574,545,562,538,557,516,510,4279,2404,7402,7474,6561,5236,3411,1752,975,35208
SED24006,1254,1485,1082,620,212,83,5916,16,247,399,571,493,231,63,21,2051,1287,2953,2868,3386,2382,1377,618,274,15156,247,513,660,1026,827,721,361,185,4540,309,507,370,621,452,296,187,108,2848,40,29,29,56,44,23,17,9,251,45,47,79,150,128,107,65,46,665,396,583,474,831,627,426,264,158,3771,23,59,74,106,91,84,39,47,525,429,421,415,566,552,485,385,329,3586,2521,5850,6154,7963,6059,3943,1950,1104,35540
SED24105,688,303,170,75,14,3,2174,38,194,200,138,137,63,13,0,776,812,2619,1861,1052,662,319,120,34,7480,498,1373,1162,884,581,370,109,34,5010,676,1284,1209,1245,947,781,354,74,6569,89,81,83,85,65,38,3,0,450,79,141,157,164,148,106,46,13,851,843,1498,1449,1493,1164,931,406,83,7869,47,118,114,76,68,55,28,5,503,600,595,554,493,542,563,406,268,4018,2897,7251,6030,4438,3320,2379,1095,430,27838
SED24207,832,296,122,68,7,0,2058,42,217,278,139,64,24,10,3,773,751,3016,2787,1349,646,279,65,10,8898,551,1622,1594,930,490,192,57,15,5453,895,1879,2014,1547,1064,606,177,30,8219,121,150,159,86,67,24,8,0,614,99,223,332,235,175,81,24,5,1173,1108,2251,2503,1878,1311,709,206,36,10001,35,114,120,72,62,35,3,3,442,1077,1401,1289,997,805,691,301,87,6649,3616,9315,9400,5655,3493,1993,646,160,34278
SED24308,224,155,127,66,19,0,843,17,149,166,146,120,62,6,0,676,323,1284,1039,707,510,255,66,21,4209,335,874,913,807,642,346,115,41,4078,1224,2187,1766,1876,1400,888,394,109,9852,155,164,133,105,83,27,6,0,670,99,166,161,169,162,87,41,18,902,1472,2516,2057,2148,1652,1007,445,129,11419,22,47,57,50,59,46,28,5,318,939,1023,915,924,876,829,703,448,6668,3137,6137,5378,4942,3983,2610,1378,645,28217
SED24408,176,138,119,78,28,4,690,17,141,159,195,191,67,13,6,795,217,942,882,692,744,440,132,57,4109,151,517,683,769,882,507,198,82,3790,942,1617,1416,1717,1576,883,302,109,8564,152,140,102,110,88,65,8,3,665,63,102,122,163,208,131,48,20,849,1148,1857,1646,1999,1865,1081,356,132,10083,20,18,23,47,57,50,31,14,259,566,435,454,655,845,928,758,526,5163,2133,4046,4024,4492,4709,3155,1520,816,24895
SED24504,438,470,446,303,63,12,1919,9,123,375,405,413,183,41,3,1556,255,958,1798,1476,1245,806,220,51,6799,187,531,926,1131,1013,768,222,66,4847,690,1297,1562,1851,1477,911,341,88,8215,85,79,90,88,79,32,6,0,460,51,109,147,194,210,174,50,18,948,832,1483,1798,2132,1763,1117,400,103,9631,17,28,43,55,72,84,22,13,339,596,357,600,764,857,869,483,279,4805,1917,3658,5984,6433,5813,4123,1453,526,29898
