SED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED25605,934,570,333,199,73,11,3273,19,181,220,224,189,113,26,3,979,848,2907,2145,1436,1042,624,228,54,9287,381,1222,955,893,718,517,249,71,5006,516,1027,972,1129,862,764,457,100,5820,64,59,63,80,60,42,11,5,395,43,101,127,184,166,137,60,34,854,623,1190,1167,1390,1092,944,527,139,7073,42,96,75,87,84,72,58,16,514,447,546,466,522,525,592,519,420,4047,2437,7226,5954,5126,3991,3051,1677,715,30172
SED25704,123,81,81,39,3,3,442,13,118,143,170,155,81,20,0,698,188,954,929,615,579,311,125,33,3744,170,549,667,758,756,454,191,48,3595,1008,1849,1715,2002,1723,1000,378,114,9788,131,130,121,113,90,43,12,5,637,77,102,164,151,153,123,38,20,834,1216,2082,2001,2265,1966,1169,430,135,11264,9,43,35,34,40,53,33,14,251,849,639,702,920,1072,1193,988,546,6909,2449,4495,4594,4845,4650,3301,1793,778,26903
SED25802,208,195,230,120,40,3,967,14,152,213,223,278,166,27,4,1059,234,999,1009,815,927,564,160,45,4752,258,723,826,980,883,641,240,56,4611,1198,2390,2044,2408,1840,1232,519,106,11742,138,145,136,118,97,58,10,3,705,95,144,144,186,189,187,53,12,1005,1426,2673,2325,2717,2128,1477,578,128,13452,14,45,36,49,55,70,36,18,326,783,542,642,888,1000,1025,697,316,5900,2744,5286,5262,5861,5501,4065,1780,569,31065
SED25905,537,324,208,75,17,4,1734,41,172,190,169,117,49,5,0,751,632,1961,1531,1049,780,326,76,20,6380,525,1270,1189,1052,790,335,90,21,5284,989,1814,1625,2055,1553,662,284,64,9049,106,101,102,103,82,28,4,0,521,76,141,179,252,187,98,39,3,983,1171,2056,1911,2408,1824,785,324,67,10553,28,81,84,85,87,41,32,8,443,591,542,450,580,601,507,397,286,3953,3023,6625,5892,5675,4410,2121,940,410,29087
SED26005,902,372,186,66,11,0,2234,37,176,290,206,123,40,17,0,906,628,1996,2350,1431,643,242,77,11,7372,531,1442,1920,1429,750,253,72,15,6417,1338,1995,2432,2458,1424,618,186,28,10483,174,137,140,120,62,23,3,0,672,109,164,245,271,200,100,31,0,1124,1617,2297,2820,2851,1690,743,220,32,12278,39,65,123,114,90,36,19,3,493,763,730,777,749,613,408,266,58,4358,3664,7375,9180,7149,4097,1795,685,112,34058
SED26102,188,243,291,284,94,16,1238,16,106,195,228,301,221,66,10,1140,171,795,1018,969,1127,1104,424,99,5712,190,556,788,867,1061,1022,451,152,5091,589,1409,1469,1878,1694,1317,759,244,9365,73,90,84,91,92,77,28,12,534,59,88,142,176,198,252,89,49,1048,721,1589,1696,2146,1984,1647,868,300,10952,13,26,38,37,88,116,68,35,423,483,396,524,668,821,1224,1126,627,5859,1598,3586,4453,5150,5672,5610,3094,1240,30404
SED26207,582,407,260,110,23,3,1975,22,194,288,286,196,86,15,3,1085,678,2148,2120,1517,968,392,129,33,7983,290,845,1017,1026,701,439,173,49,4546,491,1252,1249,1415,946,806,510,136,6812,65,57,74,83,65,32,8,3,375,48,109,151,199,144,110,59,13,832,603,1415,1473,1697,1145,947,583,156,8021,16,44,70,57,59,61,38,19,350,387,480,444,488,493,767,638,366,4074,2051,5664,6002,5477,3825,2800,1589,630,28042
SED26303,1682,1315,738,261,58,11,5906,35,609,785,746,489,154,14,7,2844,1104,5138,3992,2470,1187,488,107,52,14535,349,1198,1108,932,552,207,80,32,4457,528,1184,892,825,571,267,174,61,4503,65,74,64,49,27,13,3,0,298,39,121,123,137,99,57,26,9,611,634,1381,1080,1001,699,335,207,73,5409,25,76,77,60,36,34,13,9,334,523,1049,826,614,466,396,402,284,4556,2759,11205,9551,7144,4174,1873,876,461,38041
SED26406,1699,794,429,176,67,7,6337,60,428,444,410,324,98,27,8,1797,2143,5194,3324,1974,1150,508,193,71,14552,820,1258,1075,988,687,379,188,63,5455,594,1024,870,1062,744,433,275,119,5114,90,70,66,58,37,27,8,0,354,76,103,121,161,123,101,50,28,760,759,1197,1059,1275,906,558,327,140,6230,93,136,115,82,61,47,30,13,579,774,889,538,461,421,399,456,399,4333,4857,12053,8254,5981,3975,2160,1290,708,39289
SED26504,168,150,155,89,12,8,723,4,96,149,240,238,129,36,3,896,206,876,972,704,790,463,169,48,4216,177,513,725,827,860,575,232,64,3975,862,1534,1629,1784,1601,1001,444,137,8998,103,100,110,101,103,44,13,9,587,54,104,166,173,174,139,47,17,884,1018,1741,1905,2061,1888,1190,508,159,10464,15,33,38,49,59,58,48,18,316,680,488,594,755,941,1093,864,590,6010,2111,3880,4554,4788,4926,3590,1871,885,26605
