SED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED20106,301,851,1153,96,205,310,124,562,688,106,752,859,268,973,1245,231,634,866,500,763,1259,496,1009,1509,801,1277,2080,822,1172,1999,673,1220,1890,837,1073,1908,1982,2085,4070,1659,303,1962,1293,181,1474,1382,1431,2817,4103,282,4380,1691,683,2368,182,413,590,17553,15869,33414
SED20207,262,233,495,128,83,216,191,286,477,140,417,553,480,823,1300,520,421,946,1138,420,1561,1290,547,1834,1643,677,2325,1729,443,2177,1652,403,2062,1628,321,1942,3552,441,3998,2416,75,2489,1670,35,1706,1201,141,1337,2004,30,2030,2087,130,2221,300,239,537,24041,6170,30207
SED20302,163,177,338,87,98,186,153,444,597,185,683,867,639,1587,2219,665,820,1483,1738,662,2403,1399,725,2121,1833,600,2434,1796,359,2153,1364,274,1636,1388,145,1538,2217,186,2410,1293,31,1321,691,12,701,397,83,481,621,8,635,1720,99,1818,383,516,895,18734,7513,26244
SED20401,138,158,302,65,73,138,102,276,374,86,454,539,360,1022,1382,438,552,990,1025,563,1589,988,680,1669,1357,653,2009,1390,498,1884,1187,325,1514,1228,271,1496,2397,314,2715,1653,61,1705,960,28,991,540,73,612,847,8,855,1382,119,1508,240,296,542,16392,6425,22812
SED20508,139,152,292,103,94,197,101,303,403,97,522,619,472,1222,1697,453,754,1204,1335,517,1854,1104,534,1637,1442,494,1937,1406,342,1743,1076,278,1361,1100,180,1283,1980,195,2179,1279,25,1303,739,5,745,441,99,537,860,6,866,1482,63,1542,288,325,605,15906,6109,22012
SED20604,83,137,217,89,85,171,113,401,516,141,667,806,506,1318,1826,520,718,1234,1379,609,1992,1168,688,1855,1532,624,2159,1607,427,2032,1198,263,1460,1203,191,1389,2177,211,2396,1384,50,1431,729,13,736,374,72,448,586,15,601,1627,97,1726,291,398,691,16700,6980,23681
SED20704,99,119,220,93,96,182,105,355,465,111,589,704,465,1222,1685,528,713,1238,1325,665,1990,1182,705,1883,1542,614,2159,1527,451,1980,1181,303,1479,1134,204,1333,2032,270,2298,1340,39,1376,774,27,795,457,91,546,741,14,759,1513,176,1696,229,382,609,16367,7033,23396
SED20804,86,149,231,78,112,190,133,468,598,128,806,942,501,1690,2189,545,861,1406,1518,714,2233,1247,752,1996,1574,656,2229,1509,427,1941,1110,311,1419,1030,217,1252,1744,239,1980,1017,45,1064,544,16,559,283,100,380,494,11,503,1311,148,1462,277,442,715,15125,8160,23289
SED20906,198,203,404,96,111,207,97,279,372,97,443,544,307,898,1204,319,543,859,816,443,1263,710,434,1150,998,440,1439,977,353,1330,801,301,1106,894,239,1134,1872,353,2225,1467,43,1510,1168,35,1203,995,189,1190,2457,10,2474,1562,132,1691,230,279,510,16075,5735,21805
SED21001,407,578,983,123,159,284,166,340,505,110,460,573,345,971,1320,392,705,1097,793,571,1368,839,666,1500,1200,648,1843,1098,531,1628,921,402,1321,930,322,1256,1963,495,2460,1494,77,1571,1147,45,1195,975,216,1186,2806,35,2844,1663,201,1865,160,236,400,17533,7658,25197
