SED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED20106,476,2079,7923,4823,3479,2174,607,46,10,21617,700,1002,1186,844,814,1289,1824,1041,423,9124,132,441,1253,662,468,410,271,138,78,3850,1314,3517,10368,6328,4765,3874,2708,1225,508,34599,92,1713,11933,7612,5178,2845,653,45,12,30076,526,1519,2713,1724,1486,1378,796,104,7,10244,18,74,429,318,176,156,55,9,3,1227,12,66,198,108,57,48,14,6,3,513,646,3367,15264,9755,6896,4425,1519,160,25,42057,14,180,520,324,274,154,21,4,0,1498,173,295,261,119,99,80,31,3,0,1068,188,481,783,451,372,236,54,6,0,2564,831,3844,16050,10203,7263,4658,1575,164,29,44622,1391,1864,1893,1226,1321,2165,3296,1924,724,15802,248,819,2493,1378,1031,861,577,291,131,7834,2472,6531,20435,12802,9621,7680,5452,2377,884,68259
SED20207,1039,1843,5751,5906,4453,2074,271,22,10,21357,1244,516,1982,1901,1232,1867,2182,1227,511,12663,106,119,417,379,276,211,168,105,55,1834,2385,2475,8147,8184,5959,4149,2618,1356,578,35859,226,1542,8021,9148,6407,2980,316,11,4,28655,1281,1606,2587,2995,2320,1274,358,33,6,12453,51,79,421,354,168,156,33,7,3,1272,43,102,246,185,132,62,19,9,0,797,1602,3325,11277,12686,9024,4472,723,55,16,43172,95,294,567,459,366,211,9,0,0,1996,367,237,299,258,159,121,18,0,0,1461,467,527,864,716,525,333,18,0,0,3458,2070,3852,12143,13400,9547,4810,747,55,13,46634,2608,997,2560,2371,1786,2880,3969,2196,797,20169,203,284,794,752,582,424,332,201,92,3666,4879,5130,15499,16521,11915,8115,5048,2458,905,70471
SED20302,1014,1252,3450,3414,3385,2363,500,54,18,15455,863,411,1157,1079,926,1873,3441,1842,860,12451,96,109,260,283,286,286,323,247,167,2054,1971,1767,4868,4775,4601,4521,4264,2146,1051,29960,361,1348,4367,4441,4206,2567,482,54,11,17835,1170,865,1938,2106,2092,1878,671,116,26,10860,80,77,350,226,235,276,88,17,0,1344,52,74,153,127,111,70,42,12,11,654,1659,2363,6812,6895,6649,4792,1276,197,50,30684,110,194,240,201,202,191,7,0,0,1151,235,97,170,149,93,111,21,0,0,882,349,291,406,353,296,301,26,0,4,2031,2012,2657,7216,7246,6947,5095,1303,197,48,32719,1873,613,1458,1445,1455,3047,6186,3435,1389,20912,210,197,486,525,587,581,624,466,254,3932,4092,3469,9171,9214,8991,8722,8113,4099,1699,57563
SED20401,877,1464,3576,3309,3328,2326,461,36,7,15392,731,283,886,923,788,1314,2405,1463,750,9529,70,70,227,212,169,163,181,163,224,1478,1675,1818,4690,4438,4284,3802,3045,1659,984,26403,219,1419,5166,4556,4343,2809,425,27,0,18961,1060,1156,1629,1989,1936,1606,602,70,4,10047,48,68,349,227,132,178,56,3,0,1062,36,56,126,91,91,58,17,17,3,506,1370,2696,7271,6867,6496,4652,1102,113,9,30579,64,172,234,181,171,125,16,0,0,966,263,120,126,124,98,81,11,0,0,826,331,289,351,303,276,205,24,0,3,1788,1701,2988,7626,7173,6772,4862,1123,116,16,32370,1566,573,1184,1251,1171,2038,4252,2658,1161,15857,120,151,447,433,352,337,326,283,304,2743,3383,3710,9252,8857,8290,7231,5708,3054,1474,50973
SED20508,887,935,2176,2827,3228,2515,500,45,9,13112,632,194,593,704,618,1790,3507,1946,927,10914,61,54,135,138,172,272,303,197,97,1423,1584,1179,2900,3663,4014,4580,4307,2191,1028,25452,238,901,2720,3302,3707,2566,351,29,3,13819,1117,824,1218,1902,1999,2103,754,108,11,10032,67,39,229,181,198,239,85,8,0,1042,45,56,66,70,85,70,31,6,5,433,1462,1821,4231,5454,5994,4977,1215,142,20,25318,72,107,125,146,144,128,3,3,0,720,214,78,70,95,84,119,30,4,0,683,283,186,189,233,226,248,35,7,0,1409,1746,2009,4422,5692,6219,5226,1246,147,20,26729,1420,375,776,951,939,2897,6372,3685,1552,18966,128,116,259,305,345,517,595,360,165,2794,3294,2501,5459,6949,7499,8639,8217,4200,1731,48485
SED20604,1105,1223,2750,3000,3545,2709,560,69,17,14963,748,277,814,759,737,1605,2608,1488,762,9800,109,110,225,221,242,267,234,167,76,1652,1956,1610,3782,3981,4525,4574,3401,1721,854,26422,526,1621,3518,3712,4523,3144,618,80,24,17772,1218,806,1543,1814,1992,1894,684,99,15,10060,66,81,296,203,195,317,106,14,6,1283,48,68,106,111,100,68,50,13,0,566,1858,2570,5461,5846,6817,5424,1450,199,43,29677,104,174,181,180,166,144,9,0,0,961,225,95,82,94,97,99,18,0,0,714,330,268,264,274,261,239,31,0,0,1669,2191,2845,5726,6115,7070,5669,1483,200,44,31348,1685,478,1145,1135,1219,2683,4874,2734,1187,17142,222,257,451,451,512,567,440,316,134,3349,4102,3580,7317,7699,8807,8918,6793,3249,1369,51834
SED20704,1216,1739,2903,3078,3316,2429,435,32,11,15165,860,486,900,757,765,1506,2388,1559,797,10019,127,121,215,218,244,266,206,188,200,1779,2204,2346,4019,4050,4323,4195,3029,1780,1002,26957,324,1479,3718,3597,4078,2677,364,44,12,16286,1446,1395,1635,1957,1957,1816,594,76,9,10885,92,135,311,236,226,236,82,13,0,1338,54,78,78,90,84,91,35,11,0,526,1918,3092,5746,5878,6344,4825,1080,131,25,29027,104,230,199,159,167,125,4,5,0,987,283,195,104,106,72,86,17,3,0,863,386,425,306,263,240,215,18,9,0,1850,2306,3516,6049,6135,6578,5038,1096,137,25,30879,1860,830,1200,1061,1200,2461,4401,2778,1246,17037,243,247,429,406,496,530,436,347,297,3434,4403,4590,7678,7595,8278,8032,5934,3259,1570,51349
SED20804,869,1290,2572,2551,3046,2409,451,45,22,13253,675,375,836,855,780,1541,2803,1725,808,10398,92,93,257,229,233,287,268,241,204,1896,1640,1760,3662,3633,4060,4233,3523,2008,1032,25559,260,1312,3304,3075,3466,2532,341,42,10,14340,1036,970,1489,1664,1921,1919,572,72,16,9669,43,64,223,180,184,245,85,8,0,1036,46,55,82,69,76,67,17,11,7,431,1390,2403,5094,4991,5648,4757,1021,133,33,25474,96,162,229,204,150,136,7,3,0,988,202,100,134,120,105,95,29,3,0,781,297,261,362,322,254,224,35,3,0,1767,1681,2668,5460,5314,5900,4988,1053,135,33,27240,1499,690,1385,1426,1475,2690,5092,3165,1281,18705,191,196,507,449,493,566,536,407,295,3648,3375,3555,7356,7194,7873,8241,6689,3709,1609,49596
SED20906,841,1186,2715,3634,3986,2176,465,32,6,15035,966,351,584,911,747,1190,1820,1709,1058,9331,52,78,169,201,182,139,132,129,101,1192,1858,1605,3470,4749,4919,3513,2421,1864,1166,25556,88,895,3665,4881,5166,2748,388,21,5,17850,1134,1292,1240,1986,2181,1497,588,74,16,10013,29,50,213,216,148,142,37,3,3,844,17,36,78,90,98,55,15,3,3,406,1277,2281,5192,7175,7599,4438,1028,98,20,29110,43,121,204,164,232,138,17,3,3,921,301,171,105,118,126,72,26,0,0,916,343,287,304,286,356,205,43,3,3,1833,1620,2569,5499,7456,7953,4644,1075,102,26,30947,2120,694,859,1161,1110,1866,3189,2827,1714,15541,129,168,328,416,383,279,256,214,139,2305,3865,3424,6687,9033,9443,6788,4520,3146,1873,48784
SED21001,932,1750,3667,3456,3858,2380,558,59,8,16673,1224,779,1112,1073,1004,1440,2229,2082,1392,12339,69,99,206,165,169,135,149,191,219,1398,2225,2632,4994,4694,5036,3952,2927,2326,1617,30412,98,1099,4807,4542,4933,2888,479,21,0,18879,1216,1846,1960,2075,2242,1714,737,118,16,11926,46,79,251,188,149,155,48,10,3,920,22,59,112,90,93,54,27,5,3,456,1380,3081,7130,6897,7416,4817,1282,158,27,32180,31,138,320,189,223,126,18,0,0,1045,360,322,229,125,113,89,23,4,0,1254,383,459,547,313,336,211,39,4,0,2305,1762,3539,7681,7205,7751,5026,1321,163,29,34482,2684,1756,1759,1411,1422,2288,3819,3426,2169,20723,145,213,394,348,360,274,272,313,325,2638,4590,5502,9832,8973,9528,7587,5406,3901,2527,57846
