POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3659,0,0,0,0,3,0,0,5,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,12,0,20,3,0,0,6,6,82
POA3660,0,0,0,27,17,0,3,25,0,9,4,3,3,3,18,78,0,0,0,0,0,0,0,0,0,0,7,9,152,26,7,183,16,109,8,37,7,66,30,640
POA3662,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,29,8,76,0,0,0,0,14,159
POA3663,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,3,0,17
POA3664,0,0,0,7,6,0,0,3,0,4,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,3,30,6,0,31,6,23,3,0,0,5,3,113
POA3665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,3,0,5,0,0,10,31
POA3666,0,0,0,20,9,0,0,14,7,3,0,0,0,5,19,55,0,0,0,3,0,0,0,0,0,0,0,5,74,16,3,133,14,55,3,23,5,31,22,374
POA3669,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,25,0,12,0,6,0,8,5,98
POA3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,11,0,12,0,5,0,12,4,64
POA3672,0,0,0,38,21,3,3,26,4,6,0,3,0,3,34,105,3,0,0,0,0,0,0,0,0,0,3,5,156,26,10,253,34,142,5,36,9,87,41,809
POA3673,0,0,0,16,3,0,0,0,0,4,0,0,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,5,32,5,0,57,9,33,3,7,0,10,10,176
POA3675,0,0,0,7,3,0,0,11,0,3,0,0,0,3,11,33,0,0,0,0,0,0,0,0,0,0,0,0,47,7,3,78,7,31,3,13,0,14,14,216
POA3677,0,0,0,55,22,5,0,35,8,11,5,8,0,17,75,183,0,0,0,3,0,0,0,0,0,3,15,23,328,78,18,598,63,254,21,81,12,129,93,1686
POA3678,0,0,0,54,23,12,0,27,0,7,0,7,0,3,47,130,0,0,0,4,0,0,0,0,0,0,4,9,171,32,15,299,25,90,8,40,6,38,53,768
POA3682,0,0,0,12,3,0,0,3,0,3,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,24,0,5,0,3,0,3,4,77
