POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,..,4224,1859,170,38,13,10,3,0,6320,..,1263,991,375,211,150,93,27,19,3125,5,123,115,17,11,13,8,0,0,304,515,7586,5950,1293,716,479,248,65,30,16886,..,195,2726,986,428,394,245,75,13,5062,..,1119,1867,384,159,82,37,3,3,3661,..,8,42,90,183,70,17,10,5,422,1016,..,..,..,..,..,..,..,..,1016,..,334,..,..,..,..,..,..,..,334,..,94,104,31,6,6,0,0,0,240,..,1407,524,58,30,28,10,0,0,2061,..,501,493,40,5,3,0,0,0,1054,..,7458,3783,374,83,35,21,4,3,11759,..,2326,2027,849,453,303,193,55,28,6238,9,206,233,55,33,28,17,5,3,588,1029,13653,11807,2870,1385,947,541,147,58,32437
POA3002,..,47,176,15,6,4,3,3,0,258,..,25,111,103,80,76,56,30,27,527,3,12,13,8,5,6,0,0,0,50,128,190,649,291,251,292,211,69,43,2125,..,7,205,187,212,328,280,69,16,1310,..,36,350,132,59,42,16,0,0,642,..,0,0,18,16,17,11,0,3,68,250,..,..,..,..,..,..,..,..,250,..,74,..,..,..,..,..,..,..,74,..,36,66,7,6,5,0,0,0,116,..,37,24,7,0,3,6,3,0,80,..,17,26,7,0,0,0,0,0,57,..,84,304,52,21,13,7,4,0,485,..,43,189,186,145,133,96,43,34,859,3,23,28,12,12,12,12,3,0,98,251,355,1190,605,473,548,422,126,62,4032
POA3003,..,239,243,34,8,6,0,0,0,529,..,40,97,51,30,18,18,4,4,267,0,14,20,5,3,3,0,0,0,55,188,486,861,321,186,102,63,27,4,2236,..,12,368,284,176,103,72,27,3,1049,..,102,424,133,74,40,5,0,0,783,..,0,6,18,26,6,6,5,4,77,364,..,..,..,..,..,..,..,..,364,..,90,..,..,..,..,..,..,..,90,..,32,18,10,5,7,0,0,0,71,..,65,81,15,6,6,5,3,0,180,..,37,83,11,9,0,0,0,0,137,..,477,589,78,23,10,12,0,0,1179,..,91,215,108,75,43,31,5,3,560,5,29,35,13,12,6,3,0,0,89,365,926,1819,653,399,217,132,47,16,4580
POA3004,..,162,211,35,11,10,0,0,0,435,..,68,230,168,125,113,109,54,32,900,7,9,33,6,4,16,0,5,4,82,257,513,1281,581,417,427,342,116,57,3990,..,20,658,515,295,384,418,147,46,2469,..,132,652,210,117,82,71,7,0,1266,..,0,11,39,67,49,7,3,7,186,489,..,..,..,..,..,..,..,..,489,..,157,..,..,..,..,..,..,..,157,..,49,66,11,9,3,0,0,0,135,..,98,76,16,10,10,15,6,0,226,..,29,57,3,0,5,0,0,0,96,..,307,430,88,23,18,5,0,0,888,..,128,448,357,246,226,182,84,55,1726,10,16,41,16,16,21,6,4,4,136,499,936,2442,1269,782,792,704,244,114,7778
POA3005,..,9,21,0,0,0,0,0,0,30,..,5,7,6,6,3,0,3,0,25,0,0,3,0,0,0,0,0,0,3,20,32,65,30,21,16,7,4,0,191,..,0,45,39,18,11,13,3,0,125,..,3,10,11,8,3,0,0,0,35,..,0,0,3,5,3,0,0,0,9,36,..,..,..,..,..,..,..,..,36,..,8,..,..,..,..,..,..,..,8,..,4,3,0,0,0,0,0,0,10,..,9,3,0,3,0,0,0,0,14,..,3,7,0,0,0,0,0,0,18,..,26,31,3,0,0,0,0,0,58,..,4,15,10,8,6,0,3,0,48,0,0,3,0,0,0,0,0,0,4,36,53,119,69,43,22,18,6,0,358
POA3006,..,811,725,93,27,5,13,0,0,1676,..,277,511,253,131,104,80,32,5,1400,3,42,53,16,15,8,11,3,0,152,393,1858,3247,1019,558,487,283,83,23,7959,..,67,1666,903,473,526,340,110,14,4101,..,369,1432,364,112,68,37,0,4,2386,..,7,23,66,125,73,18,5,6,319,762,..,..,..,..,..,..,..,..,762,..,234,..,..,..,..,..,..,..,234,..,74,110,22,0,3,0,0,0,220,..,376,262,41,17,23,6,3,3,743,..,155,238,16,5,4,0,0,0,427,..,1535,1619,212,60,16,16,3,0,3464,..,505,1063,598,325,210,132,53,14,2891,8,85,109,41,29,21,15,3,4,305,769,3422,6525,2266,1155,937,569,184,43,15854
POA3008,..,372,316,38,12,11,0,0,0,748,..,129,195,109,75,66,30,13,4,629,6,20,27,16,3,5,0,0,0,71,322,917,1672,560,413,345,150,35,7,4424,..,53,1221,605,398,378,226,47,3,2929,..,188,612,176,123,79,23,8,0,1204,..,0,26,41,77,48,10,4,0,195,642,..,..,..,..,..,..,..,..,642,..,146,..,..,..,..,..,..,..,146,..,78,89,18,0,0,0,0,0,188,..,155,109,14,17,15,9,4,0,323,..,110,112,13,4,3,0,0,0,242,..,725,831,92,33,20,12,0,0,1713,..,239,436,285,192,141,67,25,9,1379,5,30,58,24,10,11,0,0,0,142,646,1723,3498,1258,844,686,343,85,11,9105
POA3010,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,9,9,0,0,6,0,0,0,0,28,..,0,3,3,6,6,0,0,0,19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,35,3,0,0,0,0,0,0,33,9,38,4,3,9,6,0,0,0,63
POA3011,..,394,480,77,51,25,11,6,0,1045,..,138,277,213,196,188,144,93,70,1311,22,73,73,23,24,16,12,17,6,255,1188,1325,2687,1533,988,736,424,291,125,9290,..,105,1569,1542,795,634,351,222,58,5275,..,213,1152,608,317,137,30,3,0,2454,..,13,62,144,157,142,59,57,21,666,2424,..,..,..,..,..,..,..,..,2424,..,543,..,..,..,..,..,..,..,543,..,212,276,110,97,41,4,0,0,742,..,209,248,44,43,67,41,31,23,710,..,190,253,38,15,7,5,0,0,511,..,926,1283,272,154,80,37,16,3,2759,..,294,579,454,400,395,276,158,89,2633,40,116,141,54,51,25,25,22,10,478,2462,2826,5560,3262,2039,1528,830,510,203,19209
POA3012,..,266,317,67,47,41,22,10,4,772,..,50,229,214,199,230,185,162,98,1376,35,50,58,43,29,18,16,23,11,281,2042,1413,2716,2115,1435,1036,628,456,210,12053,..,116,2024,2276,1315,913,600,354,106,7708,..,161,1027,668,368,159,33,6,4,2421,..,22,103,258,313,181,79,98,47,1093,4143,..,..,..,..,..,..,..,..,4143,..,988,..,..,..,..,..,..,..,988,..,419,467,169,116,65,11,0,0,1251,..,249,242,80,62,99,54,47,23,857,..,176,244,59,36,30,3,3,0,552,..,685,944,208,130,100,42,18,4,2134,..,96,500,460,427,469,314,241,144,2653,57,89,136,85,59,41,34,32,15,550,4202,2993,5690,4252,2825,2061,1176,802,349,24347
