POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3000,311,16,82,271,676,52,4,19,43,116,65,8,21,43,138,37,4,21,18,85,78,14,23,34,148,74,19,22,33,152,177,19,32,69,291,211,35,27,67,336,295,36,37,79,450,280,80,17,55,427,204,98,18,23,344,235,55,9,21,324,394,129,21,43,583,295,51,12,31,389,181,40,3,16,240,136,53,13,10,215,331,98,11,17,454,254,97,26,12,389,29,4,11,6,48,3640,860,420,883,5804
POA3002,3,4,0,3,11,0,0,0,0,5,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,7,0,0,0,8,7,0,0,3,14,15,0,0,3,24,36,7,7,6,56,27,3,6,3,41,14,6,6,3,27,31,5,3,0,40,97,27,9,3,131,77,23,10,3,113,84,29,0,0,112,69,20,9,0,95,203,102,12,3,322,51,29,7,0,91,8,0,3,0,10,749,262,62,29,1107
POA3003,20,4,4,6,31,0,0,0,3,9,3,0,3,4,11,0,0,4,0,3,8,4,6,0,25,5,3,0,0,14,24,4,4,5,36,21,5,4,3,30,37,14,9,6,66,44,14,8,4,76,36,17,5,8,61,45,11,4,3,63,102,28,14,4,154,87,19,0,3,103,59,21,3,3,86,40,31,4,0,72,85,66,0,0,158,49,31,3,0,80,5,0,4,0,6,678,263,76,71,1087
POA3004,22,3,12,11,50,3,4,4,0,13,4,3,0,7,16,3,3,6,3,14,14,3,8,0,25,8,0,10,4,27,40,4,9,4,60,51,6,11,7,76,60,16,18,8,104,72,19,13,12,108,62,14,8,7,88,76,9,8,5,98,231,53,20,7,306,183,43,9,6,242,123,32,3,0,153,120,44,13,0,184,303,110,7,6,432,131,57,29,0,217,11,3,0,0,10,1510,428,188,95,2223
POA3005,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,3,0,5,0,0,0,0,4,0,0,0,0,0,11,3,3,0,18,9,4,0,0,12,3,3,0,0,8,0,3,0,0,4,16,7,0,0,26,8,4,0,0,12,0,0,0,0,0,60,29,7,4,99
POA3006,85,6,31,40,164,28,5,7,10,46,10,0,6,9,31,11,0,10,8,31,25,0,13,6,49,29,3,17,5,55,60,10,19,12,106,75,21,20,10,122,116,45,30,30,218,145,39,19,26,223,124,35,12,16,187,164,41,27,15,246,399,101,31,26,561,294,47,11,20,374,203,51,3,11,272,201,61,18,9,285,461,150,17,13,643,217,75,27,10,326,13,6,0,4,20,2666,701,315,283,3965
POA3008,66,9,19,18,115,3,3,3,9,17,5,9,10,3,26,5,4,9,3,18,15,0,4,3,28,18,8,16,7,40,34,6,9,3,57,50,5,16,12,82,66,23,22,11,126,81,27,11,7,132,71,55,11,8,153,96,50,12,3,160,218,101,16,17,352,150,44,6,8,204,110,51,3,3,169,128,39,8,3,180,264,114,15,0,392,107,62,12,6,183,9,3,3,0,20,1518,619,195,122,2452
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,7,0,0,11
POA3011,37,16,16,7,77,10,5,11,0,29,24,13,31,3,65,20,15,15,3,55,62,27,42,15,147,47,34,58,11,160,127,57,71,38,290,97,90,58,12,255,156,120,85,22,388,135,119,35,12,298,124,115,39,19,296,148,105,35,12,300,305,222,46,21,591,225,197,26,17,467,152,143,11,3,309,125,100,9,0,238,188,244,9,7,444,150,154,55,12,366,16,18,13,5,50,2162,1799,669,203,4832
POA3012,51,21,32,7,113,18,3,15,7,35,21,9,43,3,74,8,17,47,0,74,104,28,58,8,212,44,47,94,18,199,227,92,107,14,433,103,120,109,17,355,144,181,115,30,465,162,174,88,20,433,148,175,68,13,401,144,190,63,21,418,319,406,63,22,811,253,307,32,12,599,156,256,15,4,437,115,175,12,5,307,165,337,12,0,513,158,225,90,12,487,52,25,29,0,113,2386,2796,1094,202,6479
