POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA3000,7,28,23,111,29,123,4,56,12,389,106,500,287,808,274,455,41,390,52,2917,780,3184,908,1170,799,623,94,773,119,8438,449,949,222,184,267,116,25,112,44,2367,299,346,71,74,132,61,14,47,31,1082,159,247,37,26,70,47,13,18,16,627,47,81,5,3,19,11,4,9,6,188,9,14,0,0,0,0,0,0,0,24,4,3,0,0,0,3,0,0,0,11,1852,5342,1563,2373,1586,1435,198,1406,284,16052
POA3002,0,3,0,7,3,8,3,0,0,28,17,73,8,48,35,35,3,9,0,229,135,621,59,86,117,51,3,17,17,1115,124,287,22,33,66,22,6,7,3,564,114,195,9,30,45,15,3,12,5,431,129,173,8,10,59,17,0,4,6,417,59,102,3,3,20,12,4,3,9,205,10,11,0,0,3,0,0,0,0,29,0,3,0,0,3,0,0,0,0,8,596,1461,113,217,353,161,21,61,46,3025
POA3003,0,3,4,11,0,22,0,10,5,46,23,98,45,79,40,50,7,32,12,392,153,625,141,155,174,99,21,77,23,1483,126,237,42,31,72,29,9,10,15,571,78,137,23,12,45,16,5,14,5,331,30,56,15,14,25,5,6,3,3,151,4,29,4,0,14,0,0,3,0,54,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,417,1197,269,307,367,221,53,162,59,3038
POA3004,3,3,3,20,3,12,0,11,0,52,20,114,37,95,63,58,7,22,7,425,356,964,156,160,270,132,13,57,35,2141,251,482,63,57,121,66,8,26,20,1096,207,222,30,40,95,39,8,9,24,679,160,228,23,20,80,46,6,15,12,587,85,120,5,9,46,17,3,10,8,301,17,15,3,0,7,0,0,4,0,47,3,3,3,0,0,0,0,0,0,14,1100,2149,321,398,690,371,50,155,102,5334
POA3005,0,0,0,0,0,3,0,0,0,3,0,3,0,5,0,5,0,0,0,20,21,39,4,6,11,9,0,4,3,96,12,29,8,4,10,4,0,0,0,65,9,14,0,0,5,3,0,0,0,35,8,3,0,3,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,91,7,27,31,22,0,7,4,258
POA3006,8,20,14,49,14,44,7,21,0,176,78,285,121,303,158,195,16,101,26,1286,774,2299,455,515,657,371,57,225,110,5454,452,836,133,135,205,115,18,36,35,1979,319,315,47,64,138,57,13,15,21,989,199,254,21,29,89,40,7,18,8,661,66,95,8,3,19,17,3,6,4,224,11,12,0,0,0,3,0,0,0,21,0,5,0,0,0,0,0,0,0,3,1903,4113,800,1102,1292,841,116,424,212,10800
POA3008,0,3,7,20,6,19,0,10,3,71,30,106,47,103,68,97,0,48,16,524,321,1352,184,174,267,168,22,96,51,2650,280,436,62,50,120,61,16,25,13,1060,230,191,33,32,103,56,16,14,14,699,160,138,19,21,72,32,10,9,16,468,42,61,3,11,19,12,0,0,3,150,9,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,1077,2300,360,412,652,444,73,203,112,5641
POA3010,8,35,12,90,22,39,3,74,0,275,9,77,0,92,33,35,0,64,0,314,3,50,0,3,4,0,0,3,0,63,0,7,0,0,0,0,0,0,0,12,5,3,0,0,0,0,0,0,0,14,9,5,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,181,12,181,64,78,4,140,0,698
POA3011,8,9,14,64,8,89,8,48,8,251,52,174,108,254,125,256,45,159,21,1201,425,1545,434,487,540,366,153,391,93,4438,509,990,253,204,330,110,82,147,44,2683,244,469,162,132,176,99,88,129,27,1538,102,250,85,57,115,48,95,94,12,864,10,39,3,15,19,15,20,24,5,149,0,4,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,3,1350,3481,1066,1213,1326,991,491,995,214,11141
POA3012,3,6,17,55,16,117,5,65,8,298,75,156,127,238,151,248,63,192,28,1275,538,1397,541,507,613,350,211,392,95,4636,595,1194,341,261,446,190,175,208,58,3474,341,555,212,205,312,126,177,199,33,2163,105,222,119,121,178,75,124,179,16,1137,14,29,15,19,26,20,17,26,3,172,3,3,3,0,0,0,0,9,3,16,0,0,0,0,0,0,0,0,0,9,1670,3571,1384,1410,1741,1124,779,1263,248,13180
POA3013,0,4,10,49,14,93,0,41,0,214,25,93,61,109,72,117,13,49,6,550,314,852,244,180,269,142,57,101,21,2182,582,965,197,154,303,115,47,81,28,2465,376,569,154,112,263,97,62,71,26,1731,121,247,87,70,135,55,50,74,9,840,26,43,14,10,14,5,8,24,0,151,3,0,4,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,0,1443,2769,770,690,1062,630,245,431,103,8134
POA3015,3,12,21,49,13,117,3,50,8,271,32,83,90,125,76,120,26,59,13,627,324,765,265,195,288,122,70,92,30,2150,698,1049,224,166,379,147,60,82,36,2829,453,628,220,132,308,115,97,81,43,2074,182,348,135,88,203,51,79,75,19,1186,18,54,18,10,29,12,17,18,5,168,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1715,2947,984,759,1288,681,347,453,153,9319
POA3016,0,14,20,97,18,147,8,55,7,364,31,95,69,125,80,126,11,38,14,591,154,389,135,95,140,85,20,40,13,1078,417,590,122,87,197,96,27,35,28,1602,595,760,171,123,308,111,38,60,49,2223,304,506,114,80,232,66,34,55,19,1409,71,125,25,17,48,17,8,14,7,329,5,11,0,0,5,4,0,0,0,29,0,0,0,0,0,0,0,0,3,3,1586,2485,652,631,1026,658,150,294,137,7619
POA3018,0,3,16,49,13,76,3,44,0,203,18,56,53,69,52,87,29,36,10,413,158,403,200,130,191,95,61,57,21,1315,273,528,163,101,228,111,78,61,29,1570,262,323,181,124,249,76,76,76,19,1391,123,188,133,83,163,56,79,69,10,910,25,46,27,27,39,11,11,22,5,199,0,0,3,0,4,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,856,1551,775,578,944,505,346,367,98,6025
POA3019,0,3,10,15,0,40,3,17,3,94,11,53,40,72,44,98,49,87,9,468,99,256,164,128,152,95,84,158,40,1179,77,167,105,89,87,41,76,117,21,773,43,48,78,60,47,35,114,119,14,568,32,26,52,36,29,17,63,100,10,363,0,3,0,4,3,5,9,12,5,36,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,262,558,451,405,363,346,391,610,104,3489
POA3020,15,17,44,82,29,250,10,142,11,608,69,203,236,331,199,330,164,386,58,1962,369,1027,771,566,711,419,503,775,158,5295,366,726,568,391,506,263,483,583,120,4001,259,392,422,335,397,213,519,587,90,3203,132,210,266,193,247,88,384,428,52,1997,27,40,45,31,46,32,56,77,14,356,3,3,3,0,0,0,4,4,5,24,0,0,0,0,0,0,0,0,0,4,1237,2607,2349,1929,2138,1599,2115,2970,502,17452
POA3021,14,10,67,89,28,270,17,161,19,678,82,226,367,330,223,487,203,457,74,2458,338,801,905,664,685,449,732,844,158,5580,273,514,616,439,463,228,590,719,120,3969,224,236,536,400,345,208,680,876,95,3595,152,225,348,277,304,140,437,673,56,2612,24,54,66,41,71,24,72,126,16,489,3,6,3,3,4,5,0,3,3,34,0,0,0,0,0,0,3,0,0,4,1109,2078,2907,2242,2126,1808,2743,3861,546,19421
POA3022,0,0,0,5,0,11,0,12,0,31,3,13,14,11,13,17,12,29,4,121,41,90,70,53,58,12,47,47,19,435,25,67,38,42,35,22,27,42,3,306,12,28,26,23,26,14,36,31,6,203,7,17,10,19,11,6,28,24,0,125,0,3,4,0,3,3,11,3,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,94,216,167,157,154,86,156,186,39,1253
POA3023,27,14,105,160,63,537,28,233,19,1183,111,275,326,382,282,498,204,297,57,2431,601,1429,949,649,1110,564,683,525,166,6671,1104,1724,1034,734,1319,566,831,762,206,8275,646,860,710,604,862,357,790,772,99,5692,264,302,382,320,407,179,505,532,54,2948,34,56,43,38,63,25,70,82,6,414,3,5,3,3,3,0,3,6,6,31,0,0,0,0,0,0,0,0,3,7,2786,4676,3553,2887,4103,2712,3115,3219,604,27657
POA3024,8,12,59,49,32,187,17,97,7,458,38,56,143,150,108,168,84,148,11,900,276,607,480,397,522,285,371,257,53,3244,330,533,378,371,521,207,331,212,38,2932,184,220,236,222,344,159,261,229,33,1894,76,134,125,117,158,62,141,137,20,965,26,25,24,11,31,13,28,22,0,182,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,935,1592,1440,1327,1714,1078,1234,1098,167,10588
POA3025,0,0,16,20,10,90,4,29,5,173,16,51,73,64,47,80,21,31,12,392,166,367,223,112,178,100,79,94,23,1343,211,305,166,109,163,93,82,63,24,1216,117,127,144,81,169,67,95,83,16,892,51,68,62,47,83,31,76,80,8,493,16,18,11,13,11,5,14,18,3,107,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,577,935,694,442,663,455,368,407,91,4640
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,3,0,12,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,29
POA3027,0,3,5,17,3,20,6,12,3,72,16,19,22,34,39,40,14,25,5,213,153,435,129,80,204,114,65,79,36,1293,175,409,98,94,152,88,51,38,19,1124,66,117,54,41,60,29,38,39,3,445,22,27,13,14,31,12,27,17,5,169,5,4,5,0,5,0,4,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,1016,325,273,495,305,201,213,69,3339
POA3028,7,14,66,47,30,199,18,134,9,514,54,133,227,207,139,233,112,194,31,1333,298,809,591,365,515,279,333,344,69,3598,335,642,387,276,450,178,291,256,65,2892,285,378,370,340,534,200,380,353,50,2895,194,254,265,175,303,117,291,272,29,1903,16,39,31,25,41,22,43,48,12,273,0,8,0,3,4,0,3,3,3,23,0,0,0,0,0,0,3,0,0,4,1178,2269,1948,1450,2015,1227,1474,1618,269,13439
POA3029,18,25,195,187,72,749,59,350,26,1681,134,299,569,520,419,747,411,513,89,3696,1089,2588,1679,1653,1933,1070,1679,1122,282,13110,1167,2309,1371,1302,1715,667,1366,902,194,10988,803,1060,943,885,1293,459,1140,741,138,7459,393,566,491,455,788,274,674,508,63,4213,62,69,78,68,121,58,93,120,20,693,4,3,3,3,3,3,4,7,3,33,0,0,0,0,0,0,3,0,3,6,3666,6919,5328,5071,6351,4029,5425,4266,823,41886
POA3030,34,51,180,280,96,762,51,371,36,1851,154,361,631,533,483,776,288,446,68,3744,1296,2932,1630,1174,1811,1017,933,869,232,11891,2154,3472,1571,1191,2042,891,960,855,248,13385,1407,1669,1157,958,1649,619,1013,836,152,9466,646,751,587,436,807,337,653,547,84,4845,122,140,80,56,132,58,93,113,22,814,11,5,5,0,6,3,3,14,3,54,0,7,3,0,0,0,0,3,0,18,5816,9387,5845,4630,7030,4469,3994,4047,853,46067
POA3031,0,6,7,49,8,85,0,26,3,187,37,195,62,229,133,181,19,80,19,953,442,1803,256,309,451,228,59,126,57,3737,455,1044,138,158,296,96,54,84,35,2370,269,516,86,115,194,58,57,71,22,1395,125,306,60,56,114,40,41,64,13,825,25,67,0,19,18,0,4,16,0,148,0,0,0,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1356,3947,616,942,1224,695,235,471,143,9626
POA3032,5,7,16,111,19,202,3,65,9,433,82,271,134,347,233,332,34,143,28,1612,608,1863,458,550,682,365,116,284,92,5026,703,1333,289,243,443,202,119,149,63,3541,587,841,252,219,440,190,130,150,47,2858,305,545,126,125,271,108,106,138,20,1754,53,103,28,29,43,27,22,44,9,355,8,6,0,0,0,3,0,7,3,34,0,3,0,0,0,0,0,0,0,6,2355,4985,1308,1627,2131,1433,532,982,266,15613
POA3033,0,14,29,32,14,144,4,29,3,268,31,71,91,83,70,145,20,38,4,554,137,442,189,109,182,87,68,68,22,1305,288,406,182,133,254,108,91,86,31,1571,250,319,204,143,317,105,86,86,24,1544,100,187,118,81,177,76,86,87,18,932,36,48,38,23,72,19,18,26,11,284,4,11,4,0,4,4,0,3,3,37,0,0,0,0,0,0,0,0,0,0,847,1489,853,598,1098,686,371,425,122,6493
POA3034,0,10,12,22,12,83,3,23,7,169,16,62,60,64,66,100,16,32,8,420,110,331,161,86,162,89,35,61,20,1065,182,284,155,78,200,78,59,74,28,1135,156,205,139,79,201,93,87,85,26,1075,93,146,77,53,121,56,63,94,18,712,22,28,29,10,31,13,17,31,7,197,5,7,0,0,3,0,3,0,3,30,0,0,0,0,0,0,0,0,0,0,589,1069,639,402,793,520,283,391,117,4798
POA3036,0,5,12,30,5,67,3,32,3,157,14,40,46,57,34,66,11,17,4,287,47,139,64,32,59,38,8,27,9,412,98,135,69,31,99,46,16,35,8,542,165,168,84,47,139,70,42,36,11,758,110,114,66,40,100,41,28,25,9,540,27,42,22,6,42,8,7,6,8,174,3,4,3,0,3,0,3,0,3,21,0,0,0,0,0,0,0,0,0,3,476,651,359,233,482,336,130,177,56,2890
POA3037,20,21,134,184,61,623,27,248,25,1354,102,248,378,318,317,531,146,282,53,2372,516,1065,829,507,883,430,491,408,109,5236,877,1275,954,559,1171,527,578,561,128,6624,648,653,746,548,1008,422,708,621,96,5455,257,291,349,248,410,192,401,414,34,2595,37,36,42,31,44,36,43,70,9,352,0,0,0,0,3,0,3,8,3,18,0,0,0,0,0,0,0,0,0,0,2467,3598,3434,2396,3888,2753,2396,2613,454,24008
POA3038,11,17,64,129,30,309,7,136,15,722,66,243,254,223,215,373,74,130,28,1612,238,601,415,198,370,191,166,164,44,2400,355,449,345,174,422,146,178,177,39,2293,513,549,451,285,713,310,305,253,46,3439,342,353,361,193,464,229,281,286,48,2560,46,60,38,19,51,47,52,58,10,376,3,0,4,0,0,3,0,3,3,23,0,0,0,0,0,0,0,0,0,0,1582,2282,1941,1236,2269,1615,1069,1207,227,13425
POA3039,4,12,16,53,24,131,6,25,4,275,40,145,90,158,91,154,17,72,16,784,274,749,211,188,275,130,40,85,29,1968,403,685,119,89,241,93,30,46,24,1730,384,500,139,108,259,97,47,38,15,1585,183,351,75,76,193,57,19,46,6,1013,28,74,19,12,30,13,11,24,7,219,8,3,0,0,3,3,3,7,0,27,0,0,0,0,0,0,0,0,6,5,1321,2505,683,675,1119,672,182,335,105,7599
POA3040,13,19,32,157,49,292,16,99,4,682,48,227,159,263,191,320,36,124,18,1387,401,1232,342,311,436,220,81,170,63,3254,569,962,251,171,442,175,65,84,52,2774,713,949,255,230,557,196,62,115,55,3129,407,660,170,138,390,130,74,77,27,2080,68,140,61,19,78,32,23,37,10,457,6,21,5,0,4,3,6,7,0,47,0,3,0,0,0,0,0,0,3,9,2221,4204,1272,1296,2151,1371,366,711,238,13824
POA3041,0,11,21,58,22,150,3,43,4,320,28,86,103,130,73,122,8,45,10,612,135,413,157,117,166,91,32,59,19,1200,288,462,157,110,229,98,33,52,22,1444,336,443,147,102,258,111,46,65,17,1516,174,296,91,69,225,67,41,42,15,1012,38,60,20,13,47,20,11,16,6,223,0,5,0,0,5,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,999,1768,694,606,1031,654,178,321,94,6338
POA3042,6,0,28,40,21,107,10,46,9,263,19,80,97,103,97,152,27,46,12,629,209,497,320,196,245,153,65,89,36,1814,351,464,234,131,322,137,86,106,37,1871,272,331,219,164,322,130,107,106,38,1682,137,196,120,97,234,84,97,82,19,1063,16,39,20,18,49,24,26,30,3,220,5,3,3,0,4,5,3,3,3,25,0,0,0,0,0,0,0,0,0,0,1013,1611,1041,748,1299,787,409,515,154,7578
POA3043,3,3,17,42,14,144,13,53,5,292,33,66,128,114,76,142,41,80,20,693,180,458,358,200,328,165,135,141,44,2009,238,309,255,195,354,138,169,147,31,1829,180,206,202,179,323,103,182,177,21,1575,125,159,129,119,231,91,140,150,23,1169,27,41,39,37,50,22,38,54,7,312,3,5,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,3,3,794,1253,1128,874,1372,812,719,795,156,7899
POA3044,0,10,30,79,21,201,7,77,6,434,48,145,152,203,153,270,31,113,32,1152,404,1173,482,318,519,245,124,198,64,3527,577,1192,361,218,524,206,101,131,34,3349,464,712,358,246,565,184,128,173,36,2864,187,353,194,142,283,95,101,111,24,1499,24,62,39,42,47,19,18,31,13,296,3,7,3,0,5,0,3,6,0,34,0,0,0,0,0,0,0,0,0,3,1705,3666,1631,1251,2119,1224,511,841,209,13153
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,4,4,3,3,4,0,30
POA3046,5,13,62,59,13,207,8,104,10,482,43,130,237,217,169,281,94,270,28,1470,436,1257,811,516,590,324,313,482,88,4808,452,894,490,323,501,210,216,269,62,3414,318,452,393,272,464,164,224,271,29,2582,138,243,228,166,274,94,144,171,30,1494,27,37,35,20,33,25,41,47,11,270,4,0,0,9,3,0,0,9,5,36,0,3,0,0,0,0,0,0,0,9,1422,3023,2255,1589,2051,1303,1049,1611,255,14560
POA3047,6,3,20,24,13,89,7,32,9,208,32,59,127,126,68,129,74,142,26,785,120,240,327,305,181,114,237,266,54,1829,69,138,197,187,115,66,163,161,25,1118,65,80,149,150,98,53,209,198,25,1027,31,54,82,85,51,38,137,144,5,626,3,9,12,13,12,9,19,22,7,99,0,0,3,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,328,582,909,887,539,504,840,964,155,5709
POA3048,5,0,32,29,10,130,6,48,11,279,31,48,89,133,89,144,56,82,17,689,80,195,225,169,154,119,126,156,48,1268,63,140,170,147,117,56,156,157,35,1037,81,86,154,165,124,78,243,190,22,1143,47,41,87,69,76,35,142,107,16,619,4,3,14,9,12,3,14,18,0,77,4,3,0,0,3,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,313,522,776,713,593,558,746,761,149,5126
POA3049,0,5,21,25,10,114,15,33,4,238,16,46,84,73,73,97,38,56,15,478,65,231,169,91,159,71,56,69,15,933,117,165,143,97,158,49,77,62,19,888,143,159,156,98,230,93,107,91,16,1087,106,94,105,98,186,60,71,83,10,812,12,32,19,11,24,16,20,11,5,152,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,459,726,700,483,837,500,389,412,93,4596
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,3,4,0,0,0,0,24
POA3051,3,18,3,82,13,69,0,19,0,201,47,277,60,250,119,205,17,69,10,1061,289,1363,197,255,332,183,35,121,42,2818,243,615,94,94,128,49,38,43,24,1324,163,326,50,50,98,40,24,38,17,806,77,189,27,36,66,22,16,33,7,475,16,72,7,6,19,9,3,7,0,142,4,12,0,0,3,0,0,0,3,21,3,3,0,0,0,0,0,0,0,6,841,2875,439,772,766,575,132,339,111,6856
POA3052,3,12,0,28,13,28,0,8,0,88,16,155,28,132,71,79,9,37,9,539,101,598,69,87,121,63,18,52,14,1120,62,219,19,23,37,14,4,8,6,393,65,133,13,10,38,17,0,9,9,293,48,97,6,19,24,9,5,5,9,226,15,54,6,3,14,7,0,4,0,103,0,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,312,1275,150,304,319,209,34,119,50,2779
POA3053,0,29,4,57,17,84,3,30,9,235,50,302,79,354,166,230,26,101,14,1323,288,1354,201,290,281,174,33,115,40,2772,164,448,71,61,94,27,17,42,12,938,103,220,25,42,80,24,23,29,15,547,73,160,22,23,50,13,19,25,3,380,32,65,13,10,15,4,4,0,3,135,4,13,0,0,9,0,0,7,0,30,0,0,0,0,0,0,0,0,0,0,713,2583,420,836,705,550,120,348,86,6359
POA3054,0,7,4,18,8,26,3,9,0,86,28,154,33,143,87,109,10,27,3,602,209,970,107,181,226,132,22,34,42,1923,190,487,45,36,97,37,12,14,7,929,147,334,30,38,69,41,10,16,6,705,104,263,21,25,67,24,9,8,10,523,48,134,8,12,24,4,0,3,7,244,3,20,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,4,728,2372,260,462,586,380,73,118,77,5039
POA3055,3,14,6,30,6,69,5,32,0,173,43,147,86,196,113,156,19,79,11,846,272,1029,335,294,325,203,64,152,47,2727,288,734,164,113,234,74,54,72,32,1766,208,439,114,97,216,55,42,43,21,1243,101,274,60,53,107,30,31,45,15,717,18,59,15,11,30,5,9,15,4,164,3,7,0,0,0,0,0,5,3,16,0,0,0,0,0,0,0,0,0,0,933,2696,786,795,1031,597,222,446,135,7648
POA3056,5,8,10,80,23,86,5,41,7,261,81,329,146,440,190,313,34,151,24,1711,685,2528,589,569,702,388,78,251,100,5890,595,1637,263,178,356,122,49,79,37,3308,363,785,145,130,239,73,58,78,28,1901,166,464,78,82,149,52,52,64,10,1115,33,94,13,19,33,19,10,21,4,248,6,14,3,0,0,0,3,0,3,29,0,3,0,0,0,0,0,0,0,3,1926,5857,1243,1509,1692,1055,285,682,218,14465
POA3057,0,3,6,30,3,32,0,18,0,94,34,150,64,197,108,140,15,60,13,778,367,1409,284,284,324,210,42,113,51,3090,330,732,128,77,199,77,23,38,16,1629,158,366,67,57,125,48,10,31,11,876,83,182,30,33,62,17,20,17,9,449,11,55,7,5,13,3,7,12,3,116,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,995,2902,579,689,845,526,117,288,95,7036
POA3058,5,17,34,78,25,187,11,81,4,440,70,246,190,284,195,349,41,195,19,1591,524,1801,591,487,619,378,167,332,100,4987,746,1748,431,298,548,218,139,158,65,4358,501,1074,322,286,502,200,134,183,48,3250,227,487,211,152,277,105,130,153,29,1762,40,68,41,29,39,29,34,46,7,338,0,4,6,0,6,0,0,6,3,31,0,4,0,0,3,0,0,0,0,12,2126,5447,1827,1614,2214,1459,651,1148,275,16767
POA3059,10,6,43,52,33,212,12,82,13,465,47,135,148,125,115,218,42,79,25,932,226,425,270,131,267,177,89,82,35,1687,274,301,214,105,253,91,100,100,31,1467,310,260,283,145,397,161,155,154,44,1911,183,161,163,77,232,108,105,108,28,1161,42,32,27,13,31,15,17,31,3,209,0,5,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,1091,1318,1160,645,1329,976,524,637,178,7857
POA3060,0,6,24,19,3,67,0,45,0,170,15,66,103,80,37,97,29,82,11,518,107,328,246,179,145,126,136,139,36,1447,133,317,172,159,147,63,111,102,23,1232,113,138,129,109,135,76,101,119,18,933,48,80,63,62,90,36,78,88,10,545,0,9,5,5,10,3,13,13,5,62,3,0,0,0,0,0,0,7,6,18,0,0,0,0,0,0,0,0,4,9,422,944,742,603,566,472,464,602,116,4937
POA3061,0,0,9,6,0,29,0,13,3,61,0,11,36,38,21,27,14,16,11,181,32,48,73,50,63,38,58,49,8,410,19,35,72,50,21,22,27,52,6,301,18,25,58,39,19,13,54,56,7,290,7,8,28,8,8,17,29,37,7,144,4,3,10,3,7,0,10,11,0,44,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,83,130,275,196,142,141,189,237,47,1438
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,3,0,0,8,0,3,0,21,0,4,0,0,0,4,0,0,0,21,5,11,7,3,0,0,0,3,0,34,16,9,11,4,12,6,0,3,4,73,21,15,8,4,6,8,14,8,0,74,6,12,4,3,6,4,4,0,0,34,3,4,0,0,0,4,0,0,0,20,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,65,46,41,18,28,38,15,18,9,280
POA3064,22,28,153,169,58,634,37,332,39,1470,144,284,510,494,382,678,279,428,82,3281,798,1488,1477,1090,1267,690,1037,850,177,8875,789,1482,1145,941,1156,503,986,790,140,7937,646,648,906,754,937,415,944,837,104,6193,251,286,352,308,460,176,530,428,51,2835,38,34,48,42,57,27,61,67,6,375,0,0,3,0,0,0,0,4,0,14,3,0,0,0,0,0,0,0,0,3,2698,4246,4599,3799,4316,3117,3878,3728,600,30981
