POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA3350,15,29,161,310,48,667,20,323,23,1597,148,378,528,693,275,534,80,348,41,3026,529,1850,967,704,659,495,201,401,73,5877,784,1788,741,556,762,337,217,365,83,5623,875,1463,665,653,864,396,266,467,86,5746,580,1135,445,455,674,317,252,365,47,4277,117,208,95,75,106,85,76,94,18,871,20,27,3,6,15,4,13,7,3,102,0,0,0,0,0,0,0,0,0,12,3069,6882,3613,3453,3404,2836,1121,2374,381,27140
POA3351,10,3,45,27,9,80,0,54,5,226,14,23,76,33,26,45,12,44,6,277,65,74,131,54,65,38,43,54,3,531,118,137,149,82,101,65,56,70,16,803,135,156,154,113,138,61,98,114,27,997,106,112,113,74,84,49,99,97,16,754,53,17,12,10,16,13,18,16,5,164,10,4,0,0,0,0,0,4,0,23,3,0,0,0,0,0,0,3,0,8,520,529,686,401,433,357,331,452,71,3775
POA3352,17,7,85,79,17,175,0,106,9,490,28,40,125,73,57,101,17,79,7,524,121,234,216,116,143,89,71,126,13,1128,261,359,308,174,248,94,119,122,26,1708,330,353,269,180,310,111,161,150,37,1897,247,241,204,133,185,78,131,154,25,1394,126,81,31,25,45,17,28,28,12,402,25,4,3,0,3,5,0,7,6,48,7,0,0,0,0,0,0,0,0,20,1159,1322,1231,774,1012,662,536,771,128,7604
POA3355,3,3,35,40,7,118,6,52,11,267,19,51,117,69,48,82,14,81,10,490,69,154,215,125,108,104,62,124,12,972,87,168,119,98,91,79,59,124,13,857,105,165,125,112,166,62,95,161,18,1014,65,141,84,86,115,64,84,127,5,772,25,33,23,12,31,9,18,31,4,177,7,0,0,3,0,0,0,0,6,31,0,0,3,0,0,0,0,0,0,5,387,717,715,546,571,523,339,705,79,4590
POA3356,14,10,61,43,8,171,6,105,9,421,39,69,181,179,81,182,29,119,18,895,128,288,383,215,196,172,93,197,22,1698,118,184,195,196,177,109,115,166,25,1285,103,134,175,172,155,131,132,208,22,1237,78,84,100,126,141,75,101,141,11,845,12,19,27,13,21,12,24,28,6,167,3,3,0,0,3,0,3,4,3,20,0,0,0,0,0,0,0,0,0,8,496,787,1116,943,785,852,506,973,123,6586
POA3357,0,3,14,15,3,34,0,22,0,92,7,12,21,26,10,12,7,14,0,114,25,58,48,17,29,12,4,12,0,210,64,147,48,38,54,16,11,13,4,387,80,114,50,51,60,21,24,25,3,424,54,115,43,22,40,16,14,17,5,316,6,15,9,11,11,3,7,8,3,67,3,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,237,477,227,172,215,116,62,105,18,1623
POA3360,0,0,0,3,0,3,0,5,0,11,0,0,0,0,4,0,0,4,0,13,0,4,7,0,5,3,0,10,0,35,16,12,8,0,10,3,8,6,3,61,10,15,6,17,6,3,3,4,0,66,15,4,13,8,4,5,7,12,3,73,11,3,0,0,0,0,0,0,3,20,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,56,37,40,36,32,21,21,34,14,283
POA3361,0,0,3,0,0,6,3,4,0,18,3,0,6,4,0,3,0,0,0,18,5,0,0,0,4,9,3,5,0,21,12,6,7,3,6,6,7,6,3,45,15,10,10,3,0,7,3,5,3,54,29,6,0,7,4,5,5,7,0,60,11,0,0,3,0,0,3,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,23,29,23,18,31,21,27,7,240
POA3363,0,0,13,12,0,21,0,5,3,51,12,6,26,18,5,7,7,16,0,108,17,29,64,32,24,16,16,17,0,223,35,41,51,23,46,16,8,44,3,265,32,45,42,29,46,29,33,42,3,303,48,53,47,33,36,15,20,24,7,284,12,9,5,3,7,0,3,6,3,60,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,163,194,256,154,162,105,87,162,23,1298
POA3364,0,0,10,10,0,18,0,7,0,50,4,8,17,3,4,4,3,6,0,50,15,24,20,9,12,3,12,15,0,110,50,34,33,14,25,14,14,20,0,202,52,45,25,18,35,15,12,27,7,231,66,45,30,15,30,9,22,24,3,245,68,23,3,4,13,0,0,9,0,122,5,0,3,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,259,175,144,76,111,62,67,110,14,1018
