POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3000,3640,7189,0,3,22,89,5,32,678,2177,708,2300,21,69,75,223,62,183,150,475,860,2769,0,3,23,70,3,15,118,268,143,352,10,39,149,328,121,252,276,622,420,970,883,1858,5804,12790
POA3002,749,1450,0,0,18,70,0,5,141,480,156,553,9,29,24,81,67,212,102,324,262,875,0,0,3,6,0,0,23,55,23,59,0,6,13,23,26,56,38,78,62,140,29,59,1107,2532
POA3003,678,1333,0,7,19,75,0,0,190,678,207,761,9,38,21,70,21,71,54,182,263,941,0,0,7,25,0,0,21,57,33,85,3,5,12,27,36,68,46,104,76,186,71,146,1087,2606
POA3004,1510,2936,0,8,17,81,0,3,298,970,319,1065,15,58,46,137,48,145,110,339,428,1406,0,0,7,30,3,9,54,116,68,153,11,30,46,97,64,120,118,245,188,399,95,189,2223,4932
POA3005,60,107,0,0,0,4,0,0,25,75,20,79,0,0,0,8,3,4,6,11,29,95,0,0,0,0,0,0,3,5,3,5,0,0,3,3,8,8,4,17,7,23,4,12,99,232
POA3006,2666,5224,0,4,17,69,8,18,507,1626,533,1718,12,58,67,202,93,269,170,529,701,2241,0,0,16,43,0,0,100,222,114,264,15,51,86,185,95,189,204,426,315,692,283,605,3965,8766
POA3008,1518,2981,0,4,17,74,3,17,464,1479,490,1570,16,46,38,111,75,237,127,394,619,1970,0,0,3,17,0,0,57,126,60,138,3,12,66,138,69,143,136,292,195,431,122,249,2452,5628
POA3010,5,8,0,0,0,0,0,0,3,14,3,14,0,0,0,7,0,3,3,9,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33
POA3011,2162,4310,8,27,92,424,18,82,1244,4428,1364,4957,63,271,124,429,253,804,437,1505,1799,6464,4,30,33,102,10,45,231,553,276,732,22,64,95,214,280,597,387,879,669,1612,203,431,4832,12819
POA3012,2386,4798,28,179,184,862,29,125,1889,6954,2131,8119,108,458,198,696,352,1153,660,2308,2796,10419,11,42,60,222,22,94,377,968,468,1332,56,193,129,307,438,975,622,1473,1094,2806,202,436,6479,18461
POA3013,1510,2988,8,48,144,629,12,51,1275,4743,1442,5475,73,312,132,455,216,711,427,1478,1867,6951,4,9,37,118,11,47,143,353,196,528,18,60,57,126,218,487,297,680,490,1209,87,196,3952,11341
POA3015,1617,3207,21,123,156,681,21,105,1603,6032,1802,6938,90,364,174,605,307,980,564,1944,2372,8876,5,25,42,126,3,12,196,502,245,663,38,121,76,164,282,606,397,884,640,1553,92,187,4719,13830
POA3016,1376,2715,16,59,241,1071,28,127,1097,4233,1378,5489,148,603,318,1113,301,928,761,2648,2139,8141,3,14,49,151,7,27,177,445,236,631,35,107,88,191,176,380,298,676,535,1307,70,145,4119,12306
POA3018,1411,2808,13,67,111,520,17,68,833,3158,979,3820,66,279,123,433,286,914,474,1629,1453,5447,3,11,26,72,5,22,160,424,195,532,24,75,59,132,228,499,310,702,506,1229,72,145,3438,9623
POA3019,563,1167,20,146,112,548,28,151,520,2072,679,2903,52,220,74,267,156,521,281,1015,960,3920,15,93,51,215,12,34,165,485,242,830,34,122,54,148,214,491,304,763,550,1592,95,211,2177,6887
POA3020,3414,6989,105,620,426,2045,120,603,2614,10075,3270,13348,293,1321,385,1370,1078,3579,1756,6275,5025,19623,48,251,176,669,75,291,785,2229,1087,3433,144,501,220,533,986,2264,1350,3300,2438,6734,383,869,11258,34215
POA3021,4137,8475,117,690,540,2663,184,861,2889,11236,3725,15459,401,1777,443,1605,1572,5235,2424,8622,6149,24076,57,280,305,1192,117,454,1088,3114,1569,5046,178,635,311,732,1342,3075,1831,4442,3397,9487,381,853,14062,42889
POA3022,239,481,5,27,28,137,6,24,182,703,214,894,11,56,18,65,54,190,84,310,304,1203,0,12,15,45,6,20,55,150,73,229,13,38,13,26,73,170,96,236,165,463,21,48,733,2191
POA3023,3888,7896,185,1121,1017,4842,248,1158,5364,21115,6820,28232,538,2359,724,2568,1422,4690,2681,9616,9504,37848,57,268,270,1075,79,300,1043,3048,1451,4685,164,569,287,700,882,2045,1341,3307,2791,7998,249,547,16430,54291
POA3024,1623,3274,62,382,294,1452,94,443,2220,8537,2673,10808,131,569,168,584,397,1312,692,2469,3369,13277,30,174,115,425,57,192,560,1677,763,2468,48,167,87,202,328,737,467,1102,1227,3572,81,174,6298,20292
