POA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
POA3000,4,125,0,128,..,910,21,937,4,939,..,325,23,346,4,354,..,195,11,208,3,208,..,256,95,351,3,355,..,35,3,36,0,36,..,176,24,199,0,198,..,692,57,744,9,754,..,9649,1801,11450,76,11524,..,27,8,34,2280,2314,4646,9675,1805,11480,2357,18480,3675,..,..,..,..,3675,..,11,0,11,0,11,..,126,18,147,0,151,..,0,0,0,0,0,..,934,147,1081,8,1091,..,5662,1122,6781,30,6812,..,277,134,406,4,413,..,6871,1399,8274,41,8314,..,12,0,12,0,12,..,11,0,11,0,11,..,102,4,109,6,114,..,38,3,38,0,38,..,43,0,46,0,46,..,45,0,42,0,42,..,326,6,333,0,339,..,19,0,24,0,24,..,57,0,57,0,57,..,25,0,25,0,25,..,119,8,132,0,131,..,600,18,618,3,616,..,99,7,107,0,108,..,150,88,234,3,236,..,457,255,710
POA3002,0,0,0,0,..,6,0,6,0,6,..,25,0,25,0,25,..,0,0,0,0,0,..,4,3,7,0,7,..,3,0,3,0,3,..,8,3,13,0,13,..,30,8,36,0,38,..,291,37,322,0,325,..,0,0,0,250,251,1775,293,37,325,247,2348,1933,..,..,..,..,1933,..,0,0,0,0,0,..,9,0,13,0,13,..,0,0,0,0,0,..,33,0,33,0,35,..,40,9,45,0,45,..,4,0,3,0,3,..,73,13,84,0,86,..,3,0,3,0,3,..,3,0,3,0,3,..,24,0,24,0,24,..,10,0,10,0,10,..,25,3,28,0,28,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,34,0,32,0,33,..,9,3,14,0,14,..,5,3,12
POA3003,0,15,0,12,..,51,0,49,0,55,..,56,7,59,0,59,..,21,3,24,0,24,..,26,3,28,0,28,..,8,0,8,0,8,..,24,0,23,0,23,..,93,5,100,0,99,..,911,149,1063,11,1074,..,4,0,3,590,592,1323,918,151,1068,601,2989,1177,..,..,..,..,1177,..,0,0,0,0,0,..,19,3,21,0,21,..,0,0,0,0,0,..,80,19,100,0,97,..,278,39,317,3,316,..,10,3,7,0,7,..,360,59,423,7,424,..,10,0,10,0,7,..,4,0,4,0,4,..,14,0,14,0,14,..,3,0,3,0,3,..,6,0,5,0,5,..,7,0,7,0,7,..,34,0,34,0,34,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,3,14,0,14,..,59,3,62,0,62,..,35,3,40,0,40,..,33,15,45,0,48,..,64,36,104
POA3004,0,12,0,12,..,76,0,75,0,75,..,82,0,88,0,88,..,19,0,18,0,18,..,21,0,21,0,21,..,10,0,10,0,10,..,14,0,15,0,15,..,125,10,132,0,137,..,1216,107,1316,8,1325,..,6,0,6,559,565,2640,1223,107,1322,566,4528,2634,..,..,..,..,2634,..,0,0,0,0,0,..,29,3,31,0,31,..,0,0,0,0,0,..,125,8,125,0,125,..,417,76,495,3,499,..,16,4,24,0,24,..,553,89,646,8,649,..,10,0,10,0,10,..,4,0,4,0,4,..,39,0,42,0,46,..,29,0,29,0,29,..,26,0,26,0,26,..,8,0,9,0,9,..,64,0,69,0,69,..,3,0,4,0,4,..,14,0,13,0,13,..,4,0,4,0,4,..,36,0,36,0,36,..,130,4,137,0,135,..,47,0,47,0,46,..,37,14,43,0,47,..,33,3,44
POA3005,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,8,0,8,..,73,14,89,0,89,..,0,0,0,87,87,102,73,14,89,87,275,106,..,..,..,..,106,..,0,0,0,0,0,..,0,3,6,0,6,..,0,0,0,0,0,..,7,0,7,0,7,..,27,6,35,0,35,..,4,0,3,0,3,..,38,6,41,0,41,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,4,0,4,..,5,3,8
POA3006,0,27,0,27,..,304,7,304,3,305,..,243,23,268,0,266,..,45,0,45,0,42,..,41,5,45,0,45,..,11,3,19,0,19,..,75,3,78,0,76,..,237,21,255,3,264,..,3572,441,4013,30,4040,..,8,3,12,1245,1262,4162,3583,441,4025,1275,9465,3593,..,..,..,..,3593,..,6,0,6,0,6,..,92,24,109,0,115,..,0,0,0,0,0,..,309,36,345,0,341,..,1415,265,1677,11,1684,..,116,25,145,0,145,..,1838,324,2163,8,2170,..,12,0,12,0,12,..,4,0,4,0,4,..,62,0,68,0,68,..,35,0,35,0,36,..,44,4,48,0,48,..,19,3,24,0,24,..,173,6,183,0,183,..,12,0,17,0,17,..,13,0,16,0,16,..,17,0,17,0,17,..,60,0,60,0,60,..,297,16,310,0,310,..,121,9,127,0,126,..,78,27,109,3,114,..,157,87,245
POA3008,0,9,0,9,..,81,7,85,0,85,..,74,4,76,5,81,..,105,3,107,0,107,..,18,6,25,0,25,..,16,0,17,0,17,..,48,8,55,0,55,..,300,29,332,5,339,..,2362,367,2727,27,2752,..,10,7,22,639,660,1969,2372,374,2742,664,5379,1589,..,..,..,..,1589,..,4,0,4,0,4,..,57,20,74,0,75,..,0,0,0,0,0,..,157,20,178,0,179,..,909,212,1116,7,1127,..,42,15,56,0,56,..,1103,242,1353,8,1358,..,4,0,4,0,4,..,6,0,6,0,6,..,32,3,36,0,36,..,21,0,24,0,24,..,39,0,39,0,39,..,23,7,29,0,29,..,208,15,227,0,223,..,7,0,8,0,8,..,3,0,3,0,3,..,11,0,11,0,11,..,41,3,42,0,42,..,297,21,322,0,319,..,60,3,64,0,64,..,29,17,42,0,49,..,97,49,145
POA3010,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,151,0,151,0,151,..,0,0,0,34,34,539,151,0,151,34,724,670,..,..,..,..,670,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,51,0,53,0,53,..,3,0,3,0,3,..,62,0,66,0,66,..,0,0,0,0,0,..,6,0,6,0,6,..,11,0,12,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,5,0,5,0,5,..,3,0,3,0,3,..,8,0,6
POA3011,3,24,0,24,..,167,15,182,0,184,..,105,17,118,0,120,..,54,0,54,0,55,..,26,11,32,0,32,..,39,3,39,0,45,..,731,272,1005,7,1005,..,632,90,720,18,736,..,3728,758,4484,45,4533,..,25,7,34,986,1025,5537,3755,762,4519,1035,11093,5328,..,..,..,..,5328,..,0,0,0,0,0,..,40,9,46,0,46,..,0,0,0,0,0,..,152,82,231,0,231,..,300,84,383,0,385,..,42,31,71,0,71,..,495,192,683,0,684,..,43,15,60,0,65,..,7,0,8,0,8,..,38,0,38,0,38,..,31,4,39,0,39,..,140,70,212,0,212,..,75,21,92,0,92,..,97,6,105,0,108,..,21,3,23,0,28,..,33,3,32,0,32,..,44,22,62,5,69,..,170,40,216,0,216,..,443,98,535,6,547,..,101,45,141,0,141,..,42,10,52,0,52,..,19,3,18
POA3012,0,7,0,7,..,136,8,144,0,144,..,158,23,181,0,181,..,41,7,48,0,48,..,24,0,24,0,24,..,42,7,53,0,53,..,1063,359,1420,12,1427,..,827,104,927,18,942,..,4567,910,5484,43,5521,..,42,13,50,897,951,6846,4612,924,5532,938,13315,6706,..,..,..,..,6706,..,3,0,3,0,6,..,108,25,127,4,131,..,0,0,0,0,0,..,245,118,364,4,369,..,255,101,362,4,364,..,33,22,49,0,49,..,532,243,776,9,783,..,85,24,111,0,111,..,13,0,13,0,13,..,24,0,26,0,30,..,28,0,34,3,34,..,180,68,251,3,254,..,96,26,123,0,120,..,99,15,116,0,118,..,65,6,69,0,69,..,16,0,16,0,16,..,57,11,70,0,70,..,135,15,151,0,151,..,470,75,546,0,546,..,233,81,313,3,313,..,33,5,38,0,38,..,24,13,34
