POA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
POA3000,0,0,0,3,7,8,19,9,3,4,3,10,4,10,0,74,0,0,0,3,10,17,28,26,11,5,13,19,10,27,7,171,0,0,0,0,0,9,72,156,41,55,73,115,225,168,164,1080,0,0,0,3,0,4,3,0,0,0,3,3,0,0,0,26,0,0,0,5,0,7,3,11,0,0,5,3,5,8,8,56,0,6,26,49,35,38,56,60,20,17,26,37,73,65,25,543,0,0,0,3,8,23,33,30,19,16,15,19,39,31,16,243,0,0,0,0,33,27,23,72,39,29,43,51,83,71,22,495,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,3,7,16,31,42,113,232,353,109,202,276,440,774,507,309,3406,9,56,106,202,313,708,2071,3644,1306,1948,2691,3879,5410,3776,1846,27959
POA3002,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,21,0,0,0,3,7,7,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,33,30,28,25,21,7,12,7,14,15,11,10,16,243,0,0,3,6,3,7,5,10,3,0,3,4,4,5,5,61,0,0,0,0,11,7,0,4,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,5,14,27,22,28,13,14,5,10,27,17,16,220,11,41,94,83,128,172,149,140,57,50,52,66,91,71,76,1273
POA3003,0,0,0,0,0,0,5,6,5,0,0,0,0,0,0,15,0,0,0,0,0,3,0,6,0,0,0,0,0,0,5,16,0,0,0,0,0,6,12,17,3,3,8,12,20,4,3,83,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,13,12,7,22,17,19,4,7,3,10,21,11,12,148,0,0,0,0,3,8,0,4,0,0,3,3,6,3,0,29,0,0,0,0,13,12,7,3,3,0,3,3,3,0,12,61,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,24,31,36,20,25,29,48,99,43,52,430,0,18,34,52,85,194,276,375,131,180,163,267,398,237,209,2621
POA3004,0,0,0,3,11,18,18,8,4,3,3,0,0,0,5,67,0,0,0,8,3,11,10,10,3,3,0,3,3,0,3,60,0,0,0,0,3,3,9,15,0,3,3,3,10,0,7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,24,45,64,26,38,33,52,33,26,28,28,56,26,27,498,0,0,0,3,6,13,15,6,3,0,13,6,12,7,5,97,0,0,0,0,15,4,3,6,6,0,4,0,0,0,4,48,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,5,33,27,25,28,61,86,82,29,45,46,32,96,52,25,672,18,115,130,180,181,354,614,709,225,232,272,277,438,247,185,4178
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,4,5,3,33,0,3,3,3,10,19,41,40,9,7,17,17,26,10,18,223
POA3006,0,0,0,8,12,5,13,20,0,0,9,3,4,7,0,92,0,0,0,0,9,24,19,9,3,5,10,0,5,4,0,95,0,0,0,3,8,8,26,30,13,13,6,23,15,19,10,164,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,15,0,0,0,3,3,3,0,6,0,0,4,0,0,4,3,27,0,15,29,61,47,55,77,83,49,51,52,63,81,34,24,724,0,0,0,5,7,6,19,26,12,3,14,27,18,13,5,159,0,0,0,0,40,19,11,22,3,9,6,12,4,5,3,144,0,0,0,0,4,0,8,5,0,0,0,0,0,0,0,17,0,12,16,34,63,125,182,203,45,108,143,211,305,209,115,1784,3,67,103,195,338,691,1441,1953,555,728,872,1154,1343,879,480,10815
POA3008,0,0,0,0,0,3,13,4,0,0,3,0,3,6,0,38,0,0,0,0,3,11,4,3,0,0,4,0,0,3,3,31,0,0,0,0,3,4,16,6,8,8,10,10,11,7,9,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,4,4,0,0,3,0,0,0,0,25,0,10,26,24,31,26,26,33,16,10,18,21,27,18,11,293,0,0,0,0,0,3,10,10,4,3,10,12,11,12,0,74,0,0,0,0,20,15,9,20,4,3,8,8,12,15,3,101,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,3,10,23,19,47,84,106,43,57,59,88,122,70,63,795,0,31,79,100,157,311,687,1011,358,455,532,733,878,638,330,6295
POA3010,0,0,0,0,0,0,8,9,3,0,3,0,0,4,0,25,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,6,7,0,4,0,8,3,4,70,0,0,0,0,0,4,10,7,0,0,0,0,7,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,4,3,3,9,15,0,71,0,0,3,3,0,8,114,63,16,24,27,52,91,104,10,511
POA3011,0,0,0,0,5,10,20,6,0,0,3,0,0,0,0,45,0,0,0,0,0,7,7,18,0,13,6,8,18,14,3,102,0,0,0,0,10,15,25,20,0,6,3,6,7,0,3,97,0,0,9,79,21,18,4,5,0,0,0,0,0,0,6,133,0,0,3,17,3,5,0,3,0,3,3,3,0,0,0,38,3,16,43,75,52,80,88,67,16,22,22,21,11,9,9,545,0,0,0,0,13,14,13,14,5,6,3,9,9,6,3,102,0,0,0,6,499,447,162,208,29,69,93,93,66,44,68,1789,0,0,0,0,0,3,5,3,0,0,0,0,0,3,0,12,0,9,32,112,136,170,230,311,66,101,119,145,153,87,55,1733,8,106,351,520,939,1140,1081,1461,278,474,613,658,682,402,298,8998
POA3012,0,0,0,0,11,12,10,8,0,3,0,3,0,0,4,54,0,0,0,10,6,22,8,21,3,9,4,3,12,7,11,114,0,0,0,0,3,15,17,33,0,7,3,0,6,6,9,98,0,0,7,84,20,14,9,3,0,0,0,0,0,0,0,137,0,0,0,25,12,7,7,3,0,0,0,0,0,0,0,49,4,24,63,99,68,56,97,82,28,14,19,13,13,4,32,613,0,0,0,4,10,16,17,18,3,4,4,5,3,6,7,103,0,4,0,4,644,760,244,252,41,57,76,81,66,30,114,2372,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,22,0,25,42,179,151,268,352,407,77,98,134,173,147,74,83,2209,4,215,454,762,1186,1596,1426,1707,350,439,518,556,547,338,489,10585
