POA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
POA3000,3,0,4,4,9,6,3,55,0,8,15,4,3,0,8,22,7,13,30,40,49,29,10,245,0,0,0,0,3,10,43,41,9,17,20,47,68,85,74,414,0,0,0,0,8,16,158,237,74,105,154,167,217,245,159,1532,0,0,0,8,0,3,4,4,0,0,0,0,0,0,0,19,0,0,4,20,36,86,295,413,141,249,270,443,582,472,170,3170,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,12,0,3,3,3,3,3,0,3,0,3,0,0,3,0,7,35,0,0,3,19,32,35,58,67,32,30,33,39,54,32,21,464,0,0,0,0,4,0,5,6,4,5,4,6,10,4,0,52,0,0,0,0,5,35,30,44,10,24,43,38,60,47,10,350,3,3,3,0,4,8,3,7,0,0,0,5,8,0,0,39,0,0,0,0,11,20,100,105,48,54,61,113,108,103,32,746
POA3002,0,3,0,0,9,0,0,29,0,4,11,3,0,0,0,0,3,0,3,0,0,0,6,35,0,0,0,0,0,0,3,4,0,0,0,3,3,0,0,16,0,0,0,0,0,3,3,3,4,0,0,0,3,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,5,9,12,17,5,0,0,3,3,3,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,4,0,0,0,0,3,0,0,0,18,4,0,5,3,17,27,22,24,15,8,7,11,9,9,6,149,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,4,4,7,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,6,7,4,7,0,0,0,3,3,0,37
POA3003,0,3,0,3,3,0,0,19,0,8,5,4,0,0,0,4,0,10,9,14,14,4,5,66,0,0,0,0,0,7,13,5,3,4,3,4,8,0,10,64,0,0,0,0,0,0,11,47,9,25,13,29,38,38,45,249,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,3,18,31,51,5,7,15,22,16,17,4,204,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,8,18,29,10,8,11,11,7,11,0,11,143,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,4,11,10,3,3,0,0,6,7,4,4,62,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,11,0,0,0,3,0,0,18,9,3,4,4,7,4,3,3,63
POA3004,16,11,12,3,6,18,0,94,0,7,11,9,0,0,0,3,3,0,6,9,4,6,4,70,0,0,0,0,0,10,12,10,6,0,10,8,18,3,8,84,0,0,0,0,0,4,27,18,3,5,10,3,5,4,5,84,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,0,0,0,8,14,27,70,46,6,13,10,13,12,14,10,232,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,14,26,28,53,47,14,20,26,32,20,11,6,304,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,4,14,5,9,6,4,3,3,4,4,6,68,4,13,9,3,3,4,3,3,0,0,3,0,3,0,0,51,0,0,0,0,4,9,9,23,0,3,3,0,3,3,3,64
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,3,3,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
POA3006,17,14,8,14,27,5,4,117,0,16,15,9,0,3,14,23,4,18,33,29,33,21,8,223,0,0,0,0,4,8,28,15,9,17,16,29,32,35,31,222,0,0,0,0,3,17,60,117,33,26,37,55,45,59,44,489,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,19,0,0,0,16,32,74,161,189,39,32,47,54,70,48,25,778,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,3,0,0,0,4,4,3,0,0,3,0,3,30,0,3,0,14,41,35,70,98,32,65,52,57,58,43,20,584,0,0,0,0,0,3,3,3,3,3,0,3,10,5,3,40,0,0,0,0,12,34,21,44,10,15,14,10,13,22,13,207,0,3,4,0,5,4,3,0,0,0,0,6,4,3,0,38,0,0,0,4,7,25,55,60,12,23,14,19,32,8,5,255
POA3008,0,7,0,3,0,0,0,23,0,7,13,9,0,0,0,3,7,12,12,9,13,8,6,98,0,0,0,0,3,5,8,0,0,6,3,5,17,9,10,73,0,0,0,0,0,11,54,47,13,24,26,41,45,42,31,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,16,25,57,52,11,12,23,25,14,23,9,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,3,0,3,18,0,0,0,8,18,13,29,41,21,17,15,13,15,12,14,220,0,0,0,0,0,0,5,3,0,0,0,5,0,5,0,20,0,0,0,5,5,24,8,12,10,7,0,4,7,14,3,99,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,20,0,0,0,0,7,4,14,13,10,0,4,10,5,6,3,79
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,3,0,3,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,4,5,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,8,3,0,0,0,4,22,22,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,0,3,3,7,7,0,38
POA3011,5,0,0,0,3,3,3,72,3,40,78,24,3,3,3,0,0,8,7,3,3,0,13,180,0,0,0,0,0,5,18,17,3,0,6,3,3,3,4,68,0,0,0,0,3,3,16,14,7,3,0,0,9,7,3,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,3,33,26,40,32,8,12,12,19,31,29,12,259,0,6,16,3,3,0,0,0,0,0,0,0,0,0,3,42,0,3,7,0,0,3,3,0,3,0,0,0,3,3,0,24,0,0,0,13,47,61,107,95,28,33,34,28,29,3,15,496,0,0,0,0,0,0,7,24,10,22,14,18,17,5,3,123,0,0,0,3,27,67,30,30,11,19,23,25,26,14,12,274,0,3,3,3,22,5,0,0,0,0,0,0,0,3,0,47,0,0,0,6,3,12,20,12,3,3,7,4,5,0,0,71
POA3012,7,0,0,0,3,0,3,71,0,65,159,87,10,4,7,0,0,4,10,8,0,0,30,380,0,3,0,0,3,6,14,9,0,0,10,6,0,5,5,54,0,0,0,0,0,0,14,24,3,0,0,3,3,0,5,66,0,0,0,15,17,13,3,0,0,0,0,0,0,3,9,58,0,0,4,0,20,25,46,38,10,3,23,15,15,4,19,213,0,18,26,18,4,3,0,0,0,0,0,0,0,0,9,69,0,7,3,3,3,4,6,3,0,0,0,0,0,0,0,29,0,0,3,21,43,57,157,104,37,47,15,13,22,12,29,568,0,0,0,0,0,0,13,39,17,21,19,27,29,8,15,188,0,0,0,7,54,107,56,44,3,13,24,15,22,0,13,363,0,8,8,6,24,6,4,0,0,4,0,0,0,0,0,71,0,0,0,3,4,11,25,4,0,3,0,0,0,3,3,60
