POA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA3000,83,89,85,91,59,50,3,44,14,514,118,107,235,214,71,90,12,103,17,957,72,47,242,144,85,89,7,58,13,752,6,0,14,18,10,13,0,16,0,75,21,14,19,25,19,10,3,18,3,142,26,38,16,34,17,18,3,19,5,169,26,32,21,44,17,13,6,30,22,203,1509,4940,1126,1548,1274,948,125,876,186,12538
POA3002,34,48,7,19,12,10,0,6,3,133,23,32,10,33,18,4,0,3,0,122,28,15,32,13,19,11,0,7,3,124,0,3,0,0,3,3,0,0,0,13,8,10,0,7,11,3,0,0,0,35,3,11,6,0,0,0,0,0,0,28,13,12,3,0,5,8,0,4,0,48,480,1372,94,148,250,107,6,41,32,2540
POA3003,25,22,24,10,22,17,0,3,3,119,32,30,45,32,26,17,5,13,0,209,20,19,53,36,29,11,10,12,0,194,3,0,0,3,6,3,0,3,0,14,9,7,3,9,3,3,0,0,0,36,3,5,3,3,3,0,0,3,0,19,3,14,0,0,0,0,0,3,6,35,352,1124,208,211,288,145,35,106,42,2498
POA3004,51,63,18,13,41,28,0,3,5,231,80,76,26,57,43,34,0,3,4,327,53,52,106,40,65,22,12,23,3,374,6,3,0,10,6,3,0,0,0,25,18,18,3,12,19,7,7,0,3,82,17,27,0,0,0,0,0,0,0,50,21,29,7,6,11,15,0,0,8,89,901,1996,269,279,522,256,31,88,75,4414
POA3005,6,9,0,0,3,0,0,0,0,15,0,8,0,0,0,4,0,0,0,15,4,6,7,3,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,49,82,11,18,22,12,3,4,3,203
POA3006,94,109,49,70,50,35,9,17,7,426,111,116,98,109,84,63,3,23,10,626,114,55,230,104,86,58,17,35,12,721,7,5,8,13,8,0,3,0,0,47,21,17,7,25,19,11,0,7,0,115,22,43,12,6,11,0,0,7,4,106,9,27,9,16,13,8,0,9,22,112,1510,3797,640,744,999,548,78,288,164,8758
POA3008,57,58,16,24,18,24,4,9,7,225,69,62,43,48,52,26,3,21,8,329,72,46,86,28,39,40,11,15,8,351,8,3,0,9,3,6,3,0,0,29,19,14,9,9,17,12,3,10,0,91,16,32,4,16,10,6,0,0,5,86,14,20,14,10,14,5,0,8,4,84,852,2144,287,282,488,289,42,126,77,4590
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,3,0,22,0,0,0,6,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,111,0,24,19,3,0,12,3,198
POA3011,59,111,77,73,56,34,20,38,4,466,99,105,107,155,120,56,28,66,11,745,105,70,330,144,97,73,71,79,17,990,7,3,6,8,13,23,4,19,0,86,11,17,18,34,27,15,12,16,0,141,11,21,12,12,9,8,7,12,4,92,12,25,14,12,11,9,19,14,18,136,1122,3262,807,853,937,561,276,559,132,8513
POA3012,89,120,93,75,92,60,30,32,10,607,138,148,146,200,157,76,45,68,9,984,152,105,530,227,194,122,119,151,25,1614,6,8,5,22,11,9,13,14,0,96,22,23,12,39,29,20,11,21,0,171,12,17,9,9,11,10,5,5,3,87,11,26,23,25,14,21,16,33,32,193,1329,3328,1065,996,1181,623,359,594,141,9623
POA3013,80,85,46,50,62,28,4,10,4,362,86,112,58,93,74,52,7,14,5,500,120,80,349,100,93,52,62,73,13,925,10,4,9,11,7,3,5,11,0,55,18,19,8,20,18,16,3,13,0,121,7,23,4,8,10,4,4,3,0,64,14,21,11,4,6,8,0,12,4,80,1186,2542,617,495,680,304,119,205,73,6221
POA3015,71,127,43,43,57,28,9,10,4,398,121,126,68,110,128,50,23,13,6,650,165,78,509,129,149,78,81,95,20,1301,10,4,3,9,17,6,0,3,0,50,20,13,12,24,30,10,13,12,0,137,13,25,3,8,11,0,3,9,0,69,16,23,17,13,22,5,7,8,14,127,1384,2707,789,546,846,324,164,209,100,7062
POA3016,91,133,32,42,68,29,0,3,3,405,104,88,40,57,93,37,0,14,3,443,148,50,305,84,98,48,32,51,18,833,3,3,3,5,12,8,4,3,0,36,21,16,9,15,26,13,0,0,0,103,12,15,4,4,3,3,0,6,0,56,13,24,13,15,9,5,7,10,9,103,1285,2325,506,374,644,273,68,137,92,5693
POA3018,53,75,42,44,48,20,7,12,0,292,73,99,52,67,90,43,14,14,3,456,121,57,429,100,121,58,73,85,20,1062,4,5,0,3,13,5,3,7,0,40,25,9,16,16,32,23,12,8,4,138,4,10,3,3,13,5,0,4,0,44,7,21,11,9,14,8,6,6,15,100,667,1431,639,387,559,251,148,170,63,4324
POA3019,11,15,26,22,18,9,21,10,4,135,21,27,46,48,23,23,19,27,3,241,33,21,112,71,46,27,45,51,5,403,5,0,3,7,0,3,3,11,0,30,4,3,9,15,9,4,10,6,3,54,3,3,6,7,4,4,12,6,0,43,7,10,9,12,0,6,16,21,14,87,174,518,278,276,252,181,178,237,50,2147
POA3020,67,96,94,111,119,61,75,88,11,730,96,129,199,245,171,87,98,142,21,1194,165,99,854,379,220,143,301,331,48,2540,13,4,5,28,25,18,23,29,8,159,13,13,28,68,42,29,36,43,9,278,10,22,24,25,25,12,20,24,0,158,22,25,70,47,33,23,46,99,59,425,823,2385,1576,1311,1281,717,791,1085,234,10198
POA3021,103,92,133,114,128,51,82,75,12,796,107,119,241,319,181,110,142,179,23,1419,136,94,1026,479,240,191,407,446,53,3063,8,6,16,44,39,23,37,40,3,224,19,8,35,92,51,33,47,57,9,358,12,18,22,16,14,11,40,27,3,169,24,34,82,63,60,44,98,119,68,591,709,1866,1892,1537,1252,744,1125,1307,237,10658
POA3022,14,13,7,3,10,5,3,6,0,60,8,9,15,31,23,6,7,4,0,106,11,8,84,34,23,14,35,31,3,245,0,0,0,3,5,0,0,3,0,14,3,3,0,7,0,0,3,3,0,32,0,0,0,0,0,0,0,0,0,3,0,5,4,11,3,0,7,5,3,42,72,194,127,120,91,36,73,73,13,802
POA3023,170,174,169,184,226,111,87,87,17,1219,265,258,246,413,349,178,157,115,31,2014,385,167,1646,575,496,283,533,471,83,4637,29,15,24,32,53,40,44,43,3,276,46,33,43,118,112,61,75,83,17,578,28,48,33,19,37,12,24,17,3,228,43,66,63,80,45,54,76,83,60,571,1943,4277,2623,2032,2526,1207,1328,1189,318,17438
POA3024,60,72,46,68,72,36,32,31,3,420,118,112,91,246,180,81,62,45,10,948,187,100,771,339,284,181,276,242,29,2409,9,4,14,22,28,15,11,18,0,124,18,18,24,44,40,20,26,20,3,207,7,3,8,12,8,9,14,8,5,65,13,7,25,27,31,25,32,27,21,205,665,1437,1132,1009,1027,506,548,462,101,6888
POA3025,35,29,24,24,30,20,6,9,3,180,38,54,37,65,60,21,10,10,3,310,74,40,367,91,71,55,62,55,8,826,4,3,3,6,8,7,3,7,0,49,9,14,14,26,15,11,11,5,0,97,8,3,7,4,6,0,7,3,4,40,4,10,22,15,9,11,11,18,10,102,386,864,547,318,380,195,139,148,49,3033
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
POA3027,18,21,15,24,30,16,10,11,0,139,34,29,31,42,31,22,14,5,3,215,26,21,109,38,45,14,31,32,4,335,0,0,0,3,4,3,3,3,0,19,3,0,3,8,0,3,5,3,0,33,6,11,6,4,3,12,0,3,5,51,6,5,7,0,8,3,9,0,12,51,358,962,262,226,366,206,113,107,51,2644
POA3028,63,111,103,89,95,34,33,40,9,591,118,121,143,219,176,78,53,59,24,991,166,102,958,316,274,137,278,285,43,2556,3,5,16,18,25,19,15,12,4,126,16,12,30,55,51,28,32,23,5,254,20,20,17,13,11,12,12,12,3,123,21,28,31,35,37,26,48,44,30,300,822,2060,1502,1042,1132,524,593,668,166,8514
POA3029,224,269,310,312,273,117,206,106,24,1846,349,356,443,900,574,251,383,205,36,3512,474,295,2421,1001,775,408,944,765,111,7192,30,15,27,61,87,51,52,67,0,391,68,38,56,185,141,69,127,78,9,759,48,69,37,50,65,37,55,45,9,414,54,75,115,93,82,59,138,93,100,810,2648,6370,4152,3890,3965,1892,2688,1996,488,28089
POA3030,365,438,307,288,344,147,128,87,34,2128,507,464,422,721,670,275,186,188,46,3473,813,368,2807,989,906,485,784,746,117,8016,35,20,39,59,87,63,51,67,5,418,92,71,65,133,171,90,119,96,18,850,60,92,49,46,71,25,36,35,13,438,85,83,102,102,112,82,110,87,91,855,4296,8579,4509,3387,4364,2029,1795,1714,508,31172
POA3031,60,107,39,36,62,30,3,10,0,341,86,116,62,107,91,49,13,27,8,552,81,66,205,139,118,59,41,55,18,786,3,3,3,18,17,12,3,6,0,68,9,20,15,19,19,7,0,13,0,100,4,24,4,10,6,3,5,4,3,62,12,14,18,11,12,8,10,19,19,120,1143,3712,508,652,918,383,119,230,102,7769
POA3032,119,183,75,90,104,61,17,35,13,702,161,173,106,207,182,93,27,45,9,995,206,125,547,234,221,119,87,135,25,1696,9,9,18,19,28,20,9,8,3,119,28,30,14,43,64,38,10,17,7,244,21,38,11,25,16,10,4,7,3,124,14,50,23,19,20,24,11,19,28,208,1896,4637,1037,1099,1446,737,233,463,175,11729
POA3033,50,83,35,37,55,30,20,11,6,327,69,76,59,69,90,37,14,18,5,442,110,41,475,114,119,67,69,71,16,1080,8,3,7,14,23,5,3,9,3,60,14,10,12,23,35,11,5,3,0,115,3,18,6,7,7,0,0,5,4,47,5,13,18,13,24,17,10,16,9,128,608,1348,673,403,593,267,168,171,71,4307
POA3034,31,47,21,33,39,6,10,3,7,199,47,39,38,53,68,33,15,20,0,314,88,38,322,80,87,50,53,66,12,786,7,3,3,9,13,3,3,3,0,45,8,7,8,14,24,18,4,8,0,98,9,11,0,3,11,3,4,3,0,40,8,18,14,17,9,14,11,8,21,114,406,967,496,272,465,217,116,138,61,3142
POA3036,22,36,15,14,36,11,0,4,0,139,49,40,14,15,51,21,5,3,3,202,74,20,229,35,58,35,33,37,10,530,5,0,3,3,8,4,0,3,0,28,3,8,5,6,6,9,3,3,0,52,4,7,3,0,5,4,3,0,0,31,5,12,3,7,10,11,5,3,9,67,319,588,289,137,260,135,51,74,28,1878
POA3037,164,173,141,134,205,74,80,59,17,1051,231,190,232,341,373,166,109,101,15,1746,418,184,1786,548,469,290,475,484,73,4736,23,16,12,40,47,46,22,21,0,235,45,30,51,100,123,61,53,47,5,508,20,32,13,23,38,15,20,13,5,175,27,41,62,62,71,57,47,49,45,455,1655,3270,2592,1671,2276,1048,1005,985,249,14764
POA3038,93,131,91,69,124,60,25,20,10,624,137,152,94,154,186,86,40,50,8,906,252,92,1066,228,249,142,213,227,36,2504,11,8,9,24,38,18,9,12,0,128,34,12,20,63,69,41,18,29,4,290,19,26,15,6,24,12,8,3,4,126,39,50,32,33,44,38,22,39,26,328,1075,2026,1475,769,1174,572,410,466,129,8087
