POA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA3000,0,0,13,17,0,0,0,0,0,37,0,0,15,3,0,3,0,0,0,26,0,0,7,10,0,0,0,0,0,19,0,0,3,7,0,0,0,0,0,14,0,0,51,102,20,19,4,0,0,198,0,0,0,3,3,0,0,0,0,8,0,0,0,10,0,0,0,0,0,14,0,0,3,3,4,0,0,0,0,10,0,4,47,125,15,4,3,0,0,195,0,0,0,10,3,4,0,0,3,22,0,0,0,8,3,5,3,0,0,21,0,4,239,121,10,10,0,0,0,388,0,0,6,18,8,3,0,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,32,48,7,9,0,0,0,88,0,0,115,395,15,4,3,0,0,531,0,0,201,490,15,3,0,0,0,711,0,0,0,6,0,0,0,0,0,7,0,0,3,10,0,0,0,0,0,18,0,8,31,52,9,12,5,0,0,110
POA3002,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,10,0,0,8,56,7,22,6,0,0,90,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,11,3,0,4,9,3,0,0,0,0,19,0,0,3,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,9,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,20,4,0,0,0,0,35
POA3003,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,37,8,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,3,0,0,0,40,0,0,0,6,0,0,0,0,0,9,0,0,0,3,3,0,0,0,0,11,0,0,8,12,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,27,0,0,0,0,0,39,0,3,8,39,7,0,0,0,0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,3,9,3,0,0,0,0,13
POA3004,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,25,74,25,8,9,0,0,154,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,22,6,5,0,0,0,44,0,0,0,7,3,0,6,10,0,27,0,0,0,12,0,3,7,3,0,30,0,0,8,23,0,3,3,0,0,38,0,0,3,12,4,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,23,3,6,4,0,0,34,0,0,3,22,0,4,0,0,0,32,0,0,0,37,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,26,9,12,7,0,0,61
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
POA3006,0,0,0,12,0,0,3,0,0,20,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,5,3,0,4,0,0,11,0,3,50,162,24,22,3,0,0,275,0,0,0,4,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,13,85,15,7,0,0,0,130,0,0,0,9,0,5,0,3,0,17,0,0,6,18,4,5,4,0,0,40,0,3,40,85,6,3,3,0,0,142,0,0,3,25,7,0,3,0,0,36,0,0,0,7,0,0,0,0,0,9,0,0,0,31,3,3,0,0,0,39,0,3,21,67,5,5,0,0,0,108,4,0,16,83,7,0,0,0,0,111,0,0,0,3,0,0,0,0,0,7,0,0,0,5,3,0,0,0,0,14,3,0,14,42,3,3,5,0,0,69
POA3008,0,0,0,8,0,0,0,0,0,10,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,11,0,0,13,53,20,16,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,7,40,5,4,3,0,0,58,0,0,0,12,0,3,0,0,0,12,0,0,0,3,3,0,3,0,0,9,3,0,6,29,0,3,0,0,0,44,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,3,0,0,0,16,0,5,0,0,0,16,0,0,13,38,4,3,0,0,0,59,0,0,10,34,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,12,3,6,7,18,0,3,4,0,0,38
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,22
POA3011,0,0,4,11,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,15,69,0,0,0,0,0,88,0,0,0,3,3,0,0,0,0,11,0,13,22,146,27,18,11,0,0,241,0,0,0,3,0,0,0,0,0,4,0,0,3,13,0,0,0,0,0,19,3,0,3,7,3,0,0,0,0,18,0,8,14,97,18,19,11,5,0,169,0,0,0,7,0,4,6,8,5,23,0,0,0,11,4,0,3,0,0,23,3,0,13,30,0,5,3,0,0,49,0,0,0,16,5,0,0,0,0,18,0,0,0,3,4,9,3,7,0,28,3,0,5,32,0,0,0,0,3,46,0,0,5,23,0,0,0,0,0,26,0,0,9,43,3,6,0,0,0,65,0,3,0,3,19,14,22,15,0,75,0,0,0,9,4,3,0,0,0,16,4,0,7,43,5,3,0,0,0,54
POA3012,0,3,0,15,0,0,0,0,0,15,0,0,0,4,3,0,0,0,0,9,0,0,19,64,0,3,3,0,0,91,0,0,0,4,0,8,0,0,0,21,3,9,28,158,27,24,16,4,0,270,0,0,0,0,0,4,0,5,0,10,3,7,3,28,0,0,0,0,0,44,0,0,0,4,3,0,0,0,0,10,0,4,15,104,33,32,24,11,3,220,0,0,0,12,6,10,4,11,0,45,0,0,3,12,10,0,0,10,0,26,0,0,0,25,4,3,0,0,0,30,0,0,0,27,3,3,3,0,0,34,0,0,0,3,5,6,3,8,0,29,0,0,7,19,10,3,0,3,0,43,0,0,0,19,0,0,0,0,0,24,0,3,10,37,10,3,0,0,0,64,0,0,0,3,21,20,16,9,0,72,0,0,0,5,5,4,3,0,0,29,0,4,3,31,4,3,0,0,0,43
