POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA3000,10,62,79,54,82,68,29,32,3,429,40,84,158,49,92,122,36,56,156,796,416,1943,2885,1229,2680,3721,1238,1674,267,16052
POA3002,3,8,9,13,12,7,14,8,3,65,0,10,6,5,9,26,20,32,11,115,110,249,237,245,421,639,381,695,44,3025
POA3003,8,3,12,12,16,13,6,7,0,77,4,0,10,8,23,15,8,15,17,104,92,260,376,236,550,698,316,466,40,3038
POA3004,4,12,11,9,16,21,14,12,0,99,17,26,19,15,29,59,22,59,31,279,174,383,345,424,887,1397,616,1059,66,5334
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,9,16,15,38,12,40,72,26,39,3,258
POA3006,4,31,34,32,46,52,28,34,0,265,10,47,48,26,72,92,19,53,79,449,274,807,1022,716,2094,2832,1212,1703,148,10800
POA3008,5,8,20,7,24,28,8,27,0,131,14,25,19,12,32,50,13,40,53,251,184,382,479,398,893,1851,520,856,83,5641
POA3010,0,3,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,7,12,71,332,62,20,12,18,4,36,148,698
POA3011,8,48,43,38,97,48,20,34,4,337,15,59,57,40,72,72,36,46,95,497,335,1154,1432,1150,2248,2177,1071,1381,196,11141
POA3012,9,51,57,42,108,72,47,47,3,435,9,58,92,51,132,133,26,54,135,687,405,1215,1594,1408,2826,2681,1259,1548,247,13180
POA3013,11,25,24,24,42,65,29,35,0,251,9,26,19,24,46,51,11,45,28,258,301,718,729,855,1409,1737,931,1387,72,8134
POA3015,12,49,32,17,47,55,29,41,0,273,9,20,32,34,43,81,39,51,56,360,338,857,880,934,1538,1979,1095,1573,132,9319
POA3016,11,35,16,30,35,31,22,41,0,219,10,29,24,16,26,59,16,61,47,289,252,922,775,872,1054,1463,745,1430,100,7619
POA3018,7,20,20,21,47,31,16,23,0,188,9,25,23,30,42,63,21,32,42,282,193,623,590,633,1110,1326,614,836,94,6025
