POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3000,28,67,7,9,25,58,33,68,140,291,191,347,15984,32809,12,26,16331,33473,0,0,0,0,52,54,9,25,62,82,221,432,16671,34119,3190,..,19861,34119
POA3002,155,366,104,248,285,733,394,978,165,282,651,1072,802,1399,0,0,1616,2743,0,0,0,0,0,0,3,8,3,8,6,7,2173,4103,448,..,2617,4103
POA3003,92,220,187,440,304,797,489,1232,144,297,248,578,1112,2400,0,0,1504,3276,0,0,0,0,0,0,3,6,3,6,3,9,2089,4750,268,..,2356,4750
POA3004,15,32,0,0,7,27,7,27,44,76,198,352,4059,7526,4,5,4298,7949,0,0,0,0,0,0,0,0,0,0,11,15,4337,8024,868,..,5205,8024
POA3005,4,6,0,0,0,0,0,0,0,0,0,0,167,374,0,0,167,374,0,0,0,0,0,0,0,0,0,0,0,0,169,382,32,..,206,382
POA3006,16,31,13,36,142,313,158,344,32,76,270,535,7835,15367,0,0,8141,15974,0,0,0,3,0,0,11,16,11,22,8,3,8328,16370,1784,..,10112,16370
POA3008,3,10,0,3,108,293,105,292,0,9,82,185,4281,9032,3,9,4371,9238,0,0,5,7,0,0,0,0,5,7,18,39,4497,9582,918,..,5422,9582
POA3010,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,9,27,12,31,0,..,12,31
POA3011,3519,9251,468,1014,934,2275,1396,3294,1362,2929,750,1440,1295,2270,12,32,3422,6671,0,0,0,0,0,0,58,140,63,140,51,74,8451,19439,886,..,9339,19439
POA3012,5446,15220,1067,2105,1287,3395,2348,5502,1166,2129,534,1010,197,409,17,43,1922,3588,0,5,0,4,0,0,35,78,32,79,57,106,9811,24499,1004,..,10814,24499
POA3013,4050,10829,346,655,611,1555,953,2214,325,555,158,241,49,83,0,4,527,873,0,0,0,0,0,0,55,121,55,121,7,10,5591,14047,502,..,6098,14047
POA3015,4042,11102,701,1367,1197,3169,1897,4539,425,729,5,11,25,37,0,0,456,784,0,0,0,3,3,6,33,76,38,83,35,81,6462,16593,634,..,7095,16593
POA3016,3152,8969,603,1251,1059,2876,1665,4127,558,855,85,133,144,251,0,0,789,1238,27,34,14,21,3,3,13,25,57,79,23,46,5687,14465,618,..,6305,14465
POA3018,3103,7932,929,1669,673,1696,1602,3367,210,334,64,73,128,221,0,0,403,627,0,0,0,0,0,0,11,25,11,25,13,16,5129,11969,554,..,5683,11969
