POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA3000,6,5,0,0,15,10,0,28,0,0,0,0,0,0,3,7,9,3,0,0,14,9,4,25,9,4,0,0,12,9,7,33,31,8,6,3,54,56,31,140,40,8,3,5,61,88,39,191,3465,817,398,865,5541,5926,4524,15984,0,3,0,0,4,3,4,12,3540,836,406,870,5656,6079,4597,16331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,52,0,0,0,0,3,0,3,9,3,0,0,0,3,54,3,62,42,8,7,9,70,90,59,221,3603,858,412,886,5761,6243,4670,16671
POA3002,58,38,4,3,106,44,3,155,35,17,4,0,58,24,24,104,105,81,21,3,216,42,30,285,136,103,27,3,269,67,51,394,61,9,3,0,72,78,19,165,194,51,15,9,264,321,61,651,295,65,11,18,389,339,74,802,0,0,0,0,0,0,0,0,547,116,32,25,724,738,147,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,0,0,0,3,3,0,6,741,265,67,34,1097,859,211,2173
POA3003,23,18,11,0,52,29,16,92,56,35,11,5,110,38,43,187,92,60,20,9,178,58,74,304,144,102,29,9,286,92,109,489,51,17,6,0,70,41,28,144,95,28,6,7,139,63,45,248,358,101,28,51,540,337,245,1112,0,0,0,0,0,0,0,0,506,148,42,57,753,437,314,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,3,673,264,79,70,1082,560,442,2089
POA3004,4,7,0,0,9,8,0,15,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,7,3,0,0,0,4,0,3,7,20,0,0,3,26,12,4,44,61,18,5,0,81,90,22,198,1417,405,171,90,2083,1614,362,4059,3,0,0,0,3,0,0,4,1496,427,178,95,2187,1719,397,4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,1506,431,183,95,2208,1726,394,4337
POA3005,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,26,12,4,97,51,22,167,0,0,0,0,0,0,0,0,55,26,12,4,97,51,22,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,26,12,4,97,51,23,169
POA3006,6,3,0,0,10,3,0,16,3,4,0,0,8,6,0,13,40,17,3,0,62,39,48,142,41,23,5,0,69,42,49,158,8,7,3,3,19,3,13,32,91,23,5,3,132,80,59,270,2497,646,293,273,3712,2754,1373,7835,0,0,0,0,0,0,0,0,2598,672,302,285,3856,2841,1441,8141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,11,0,0,0,0,9,3,0,11,0,0,0,0,0,8,0,8,2652,698,316,287,3943,2891,1493,8328
POA3008,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,35,10,5,69,17,18,108,18,35,11,5,72,17,18,105,0,0,0,0,0,0,0,0,26,11,4,0,43,20,22,82,1448,564,175,118,2305,1326,646,4281,0,0,0,0,0,0,0,3,1480,579,180,120,2354,1353,666,4371,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,0,0,11,5,0,18,1499,616,195,124,2432,1385,686,4497
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,9,3,8,0,0,12,0,0,12
POA3011,875,1066,352,79,2371,721,433,3519,113,92,43,11,259,162,50,468,280,198,84,26,592,197,145,934,398,297,122,39,851,362,187,1396,294,254,93,34,675,526,167,1362,198,83,35,24,336,318,98,750,311,75,31,32,456,662,178,1295,0,3,0,0,7,10,0,12,801,416,164,85,1472,1507,448,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,4,0,27,22,12,58,13,11,4,0,27,18,12,63,7,3,0,0,13,32,10,51,2096,1791,644,201,4738,2636,1080,8451
POA3012,1221,2010,685,99,4018,1055,381,5446,229,146,114,18,512,484,75,1067,360,371,131,32,900,223,168,1287,596,519,243,50,1407,702,238,2348,264,148,74,24,514,555,99,1166,146,53,30,11,241,222,72,534,57,23,22,7,103,64,28,197,6,0,3,0,11,8,0,17,466,230,132,46,871,850,195,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,0,16,12,3,35,11,6,3,0,21,9,3,32,16,4,3,0,22,30,7,57,2297,2766,1065,202,6331,2653,828,9811
