POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3216,93,24,353,151,103,112,31,85,12,964,0,4,3,7,4,0,0,0,0,22,33,61,26,41,43,21,25,15,3,265,39,42,63,47,32,31,14,42,48,364,2137,5926,2914,2298,2009,1217,557,962,217,18231
POA3217,19,5,56,26,15,16,8,3,5,160,0,0,0,0,0,0,0,0,0,3,3,3,3,7,6,0,0,3,0,29,3,9,15,4,3,3,0,4,5,56,313,754,508,357,273,154,72,116,35,2587
POA3218,30,10,112,45,38,22,8,17,0,280,0,0,0,0,0,0,0,0,0,6,8,25,8,6,8,4,4,0,0,70,16,13,11,8,9,10,11,15,16,110,635,1709,760,609,523,254,157,240,53,4939
POA3219,43,9,157,71,24,40,17,41,0,409,0,0,0,3,0,0,0,3,0,6,13,20,5,12,12,0,4,4,0,66,5,16,37,13,18,15,28,37,24,194,486,1261,1055,900,541,367,248,449,86,5405
POA3220,29,11,102,37,27,18,5,19,3,247,3,3,0,0,0,0,0,0,0,4,16,24,6,6,15,10,3,4,4,92,3,17,12,13,12,4,3,10,19,87,951,2424,662,617,630,314,118,188,72,5973
POA3221,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,6,67,81,38,23,32,18,3,10,3,284
POA3222,16,12,114,56,24,27,12,28,3,286,0,0,0,0,0,3,0,0,0,0,3,15,13,10,4,4,7,3,0,53,12,9,18,8,11,12,9,14,15,115,504,1041,888,625,461,236,166,271,66,4266
POA3223,12,3,28,12,9,12,6,7,0,83,0,0,0,0,0,0,0,0,0,3,3,7,7,3,5,0,4,0,0,24,6,5,10,6,3,13,6,9,6,67,199,392,296,205,186,105,72,99,23,1580
POA3224,22,4,120,52,33,24,13,29,0,316,0,0,0,0,0,0,0,0,0,3,4,6,8,5,4,3,4,9,3,55,9,7,25,18,10,17,11,11,13,125,446,914,879,658,500,260,202,311,55,4228
POA3225,4,0,16,5,3,0,0,6,0,41,0,0,0,0,0,3,0,0,0,4,3,6,0,0,7,0,0,0,0,26,3,0,3,3,0,0,0,0,4,20,188,415,134,96,115,54,17,47,25,1087
POA3226,20,10,86,44,28,34,3,11,3,241,0,0,0,0,0,0,0,0,0,3,9,22,8,6,16,8,0,3,0,66,14,8,23,14,8,3,0,5,10,92,596,1629,868,620,459,254,101,193,61,4774
POA3227,6,5,28,11,3,3,0,0,0,60,0,0,0,0,0,0,0,0,0,6,5,12,4,8,3,3,0,0,0,38,9,3,7,4,0,3,0,3,0,32,279,638,257,142,145,90,19,47,27,1634
POA3228,26,17,104,38,39,32,6,15,4,294,0,3,0,0,0,0,0,0,0,4,10,31,11,18,11,13,3,0,3,101,12,17,11,9,11,9,4,9,21,121,1006,2286,973,693,636,372,108,258,94,6438
POA3230,3,0,22,3,3,0,0,6,0,43,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,16,3,0,8,0,3,4,0,3,0,22,124,287,154,91,91,46,21,37,20,868
