POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3286,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,17,16,9,15,4,4,31,0,151
POA3287,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,13,38,21,16,11,14,0,12,20,4,131
POA3289,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,4,24,76,45,20,16,17,13,7,19,7,225
POA3292,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,4,7,4,0,3,3,3,43
POA3293,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,43,10,3,11,6,3,0,9,0,86
POA3294,0,0,9,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,4,15,124,75,40,30,28,16,3,16,8,334
POA3300,17,8,85,42,21,20,4,28,0,217,0,0,0,0,0,0,0,3,0,7,3,10,9,3,7,0,3,3,0,37,7,10,14,12,8,7,10,12,13,93,389,699,534,392,280,186,127,197,35,2834
POA3301,7,0,4,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,0,0,0,10,133,98,37,34,42,16,18,36,4,417
POA3302,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,22,10,14,4,4,6,3,0,85
POA3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,27,12,15,14,3,0,10,6,0,86
POA3304,4,0,10,7,0,4,0,8,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,10,0,4,3,0,3,18,7,3,52,127,81,104,89,53,31,70,61,10,633
POA3305,19,8,77,32,24,23,13,33,3,238,0,0,0,0,0,0,0,5,0,7,0,7,3,3,3,0,3,0,0,32,14,9,15,12,5,13,34,31,11,142,360,741,711,438,294,129,288,283,45,3284
POA3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,0,0,0,3,3,27
POA3310,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,13,12,11,3,0,3,8,0,68
POA3311,9,0,8,6,3,0,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,3,3,3,20,49,69,51,50,26,16,23,42,3,339
POA3312,3,0,3,3,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,3,0,14,102,39,21,27,18,9,11,31,3,261
POA3314,6,0,3,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,6,80,43,20,18,11,5,4,19,4,194
POA3315,8,0,10,5,4,4,0,3,0,31,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,13,0,3,3,0,0,0,7,0,32,147,74,60,44,35,18,16,35,3,440
POA3317,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,7,4,4,0,3,11,0,61
POA3318,6,0,3,0,3,3,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,9,91,61,37,41,28,20,12,32,0,326
POA3319,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,32,19,9,14,0,0,3,11,0,89
POA3321,0,0,11,7,3,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,0,22,110,123,126,48,62,19,35,41,5,573
POA3322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,7,10,9,4,0,7,0,3,52
POA3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,3,0,0,0,0,0,31
POA3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,40,12,7,8,4,5,6,19,0,116
POA3325,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,17,20,7,5,0,3,7,0,96
POA3328,10,0,14,5,3,4,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,11,5,7,3,0,0,0,4,4,6,34,77,131,137,77,47,25,31,48,11,586
POA3329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,26,19,15,18,10,3,6,3,3,103
POA3330,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,14,0,6,4,0,0,3,9,3,41
POA3331,13,0,32,17,12,19,4,12,0,118,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,4,3,0,0,25,7,5,16,8,10,4,0,5,8,68,220,406,452,264,213,117,88,131,31,1926
POA3332,0,0,3,3,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,5,34,50,76,32,37,12,22,29,3,299
POA3333,4,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0,3,0,18,60,47,41,20,25,11,16,23,3,246
POA3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,35,19,14,11,3,7,15,9,134
POA3335,18,4,42,14,24,13,8,7,9,134,0,0,0,0,0,0,0,0,0,3,3,3,0,10,3,5,0,3,0,29,9,3,5,9,4,3,9,11,18,66,190,450,327,215,314,118,135,114,54,1909
POA3337,57,14,177,84,90,62,42,68,5,601,0,0,3,0,3,0,8,3,3,23,10,12,14,21,19,4,15,9,5,116,22,7,61,44,35,32,52,43,62,361,832,1421,1839,1394,1167,570,798,647,171,8841
POA3338,36,8,116,61,37,44,36,43,4,380,0,0,0,0,0,0,0,4,0,3,9,16,8,15,18,5,25,8,3,108,11,16,35,20,21,23,35,32,23,220,577,1088,1137,864,848,366,474,430,102,5876
POA3340,34,12,89,43,44,35,27,25,3,302,0,0,0,0,3,0,0,0,0,5,8,16,12,18,8,3,19,3,3,85,19,11,32,19,22,9,13,29,17,185,753,1397,1207,743,742,319,384,356,92,5991
POA3341,3,0,8,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,3,0,0,3,3,3,0,26,72,118,115,49,61,20,42,48,9,545
POA3342,6,0,13,4,8,8,3,6,0,46,0,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,0,13,0,3,3,3,4,0,4,7,0,28,131,237,185,120,129,49,52,55,19,972
POA3345,3,0,7,0,3,3,4,6,0,20,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,10,62,83,72,47,44,21,14,25,3,371
POA3350,95,27,378,167,123,118,32,97,7,1042,0,0,0,3,0,3,0,0,0,18,47,72,31,41,44,6,14,21,7,272,39,44,73,40,29,42,32,43,46,399,2278,6408,2850,2341,1994,1107,507,891,239,18614
POA3351,13,0,37,24,15,11,3,11,3,113,0,0,0,0,4,0,0,0,0,6,8,8,7,3,4,4,4,0,0,41,6,9,21,8,7,4,15,15,12,102,357,481,522,306,249,135,137,178,41,2396
POA3352,32,7,71,27,32,23,9,29,0,236,0,3,0,0,0,3,0,0,0,7,11,17,9,8,6,0,7,5,0,65,30,19,43,16,24,23,19,18,16,191,754,1233,941,547,571,221,268,301,73,4902
POA3355,16,4,64,27,20,19,9,26,0,187,0,0,0,0,0,0,0,4,0,7,5,12,3,4,10,3,4,3,0,47,3,3,12,12,11,18,11,25,22,122,244,660,523,372,309,192,131,252,44,2733
POA3356,23,8,119,51,22,47,22,34,4,331,0,0,0,0,0,0,0,3,0,5,6,6,5,4,10,0,3,7,0,47,5,3,20,13,5,18,15,26,16,122,307,710,835,650,429,314,212,352,62,3871
POA3357,3,0,18,4,8,7,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,0,14,5,3,6,8,3,7,0,3,3,33,180,460,179,124,127,39,30,42,14,1194
POA3360,0,0,7,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,34,35,26,26,18,3,11,15,8,181
POA3361,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39,23,24,14,8,12,6,9,3,132
POA3363,8,0,24,6,10,7,7,4,0,70,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,18,0,0,7,5,0,0,3,10,3,34,105,178,195,111,109,45,37,63,15,865
POA3364,3,0,8,4,3,0,0,4,0,30,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,11,3,4,3,0,3,6,3,0,34,149,162,104,48,63,21,40,50,4,655
POA3370,6,0,14,3,0,0,0,10,0,29,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,7,0,0,3,3,4,0,0,5,3,23,53,98,86,57,38,24,16,41,9,428
POA3371,0,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,23,29,32,27,21,12,14,15,3,184
POA3373,0,0,7,6,8,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,4,0,3,4,3,0,3,0,4,29,108,83,64,83,43,19,35,51,11,503
POA3374,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11,28,30,28,23,9,6,4,7,3,129
POA3375,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,26,16,4,3,0,0,0,0,0,57
POA3377,14,3,57,30,11,20,3,21,3,165,0,0,0,0,0,0,0,3,0,6,3,4,3,11,3,0,4,7,0,39,16,11,14,14,6,17,5,32,6,116,298,473,343,468,162,110,96,221,35,2219
POA3378,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,3,4,0,0,0,5,0,56
POA3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,30,11,14,16,3,0,12,0,167
POA3380,17,0,40,22,3,9,5,18,0,110,0,0,0,0,0,0,0,0,0,3,0,5,0,3,3,0,3,0,0,16,5,10,7,10,8,10,0,20,9,80,168,271,227,291,101,87,67,158,22,1393
POA3381,6,0,13,3,4,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,6,100,103,50,62,30,24,6,25,3,399
POA3384,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,3,16,35,20,17,19,15,3,10,13,4,138
POA3385,0,3,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,14,48,20,23,24,9,5,10,19,0,154
POA3387,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,6,6,15,6,0,3,16,0,85
POA3388,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,48,41,14,10,11,3,3,3,0,138
POA3390,4,0,0,6,3,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,3,0,12,51,50,27,39,19,7,10,14,5,226
POA3391,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,5,3,0,0,8,0,41
POA3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,32,16,12,16,9,5,6,13,0,115
POA3393,4,0,6,5,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,0,3,9,0,3,0,6,0,30,116,141,104,120,44,31,19,45,15,628
POA3395,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,9,35,5,9,5,3,3,3,3,3,77
POA3396,4,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,35,48,17,30,9,3,11,18,0,176
POA3400,34,10,121,49,37,42,12,26,0,325,0,0,0,0,0,0,0,4,0,3,5,3,3,10,3,7,0,5,0,34,10,5,27,14,10,17,10,14,19,123,515,1109,688,563,442,276,161,212,50,4017
POA3401,8,0,17,4,10,15,3,7,0,64,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,0,0,12,13,0,10,4,3,3,0,5,3,51,343,312,246,142,146,62,62,80,23,1412
POA3407,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,50,14,11,14,7,4,10,8,0,118
POA3409,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,74,60,42,31,16,11,7,18,6,260
POA3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,13,15,3,14,0,0,6,10,3,60
POA3413,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,14,3,3,3,0,3,4,0,61
POA3414,3,0,8,6,0,0,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,3,9,68,92,60,54,33,14,37,25,3,382
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,19
POA3418,9,0,8,3,6,3,0,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,7,0,5,0,3,4,10,4,38,164,134,116,83,75,30,36,77,7,713
POA3419,0,0,6,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,9,57,59,25,24,14,10,12,23,0,233
POA3420,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,0,3,4,0,3,7,0,69
POA3423,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,10,13,7,3,4,12,0,79
POA3424,4,0,3,4,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,47,11,24,13,4,9,17,0,165
POA3427,5,0,15,6,5,5,0,9,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,8,3,4,4,14,4,3,6,0,54,113,172,186,106,145,57,48,59,17,896
POA3428,0,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,12,27,37,47,16,15,16,12,8,6,183
POA3429,57,15,221,110,102,100,43,61,3,717,0,0,0,0,0,0,3,6,0,13,15,28,20,35,41,14,18,13,5,177,27,24,46,26,35,23,35,26,27,271,1349,2598,2289,1559,1505,726,606,586,130,11345
POA3430,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,8,17,9,22,9,4,7,8,11,5,82
POA3431,7,3,25,5,10,5,0,9,0,66,0,0,0,0,0,0,0,0,0,0,9,4,5,0,4,0,0,0,0,19,3,4,10,0,9,0,0,3,0,32,188,379,303,191,174,49,49,65,12,1416
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,15,8,6,8,8,0,4,7,0,54
POA3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,21,5,10,3,6,9,0,74
POA3434,3,0,22,5,15,11,3,13,0,76,0,0,0,0,0,0,0,0,0,0,8,4,0,5,4,3,3,0,0,32,3,4,15,7,4,6,5,13,7,66,210,345,345,188,175,94,86,101,23,1568
POA3435,11,3,8,9,6,12,3,5,0,56,0,0,0,0,0,0,0,0,0,0,4,9,3,0,4,0,0,0,0,22,3,3,7,6,7,5,0,8,3,43,134,222,190,99,90,48,42,68,18,903
POA3437,16,10,58,18,19,17,11,14,0,150,0,0,0,0,0,0,0,0,0,0,12,20,4,11,12,3,0,3,0,61,6,9,13,6,8,8,7,10,3,65,547,1095,662,377,433,182,93,133,35,3545
POA3438,4,0,12,10,3,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,0,3,0,0,18,4,0,0,0,3,4,0,3,0,18,151,224,128,96,98,43,31,27,6,809
POA3440,0,0,11,0,3,5,0,3,0,22,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,19,3,9,3,3,3,0,0,0,3,21,120,276,116,68,61,32,13,26,8,718
POA3441,3,0,3,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,3,11,7,3,3,3,0,3,7,33,102,197,51,45,42,27,6,11,11,493
POA3442,16,5,33,19,4,11,3,3,0,92,0,0,0,0,0,0,0,0,0,3,11,12,6,10,4,0,0,0,0,49,9,16,11,13,8,3,3,11,12,66,430,878,365,300,228,125,51,94,36,2512
POA3444,11,3,57,20,17,15,6,26,0,160,0,0,0,0,0,0,0,4,0,4,13,25,9,10,3,3,0,8,0,68,9,12,21,15,4,10,3,17,9,96,447,744,469,340,259,129,104,210,39,2734
POA3446,0,0,10,3,0,0,0,8,0,21,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,7,0,3,3,3,3,4,0,3,0,19,52,94,66,43,26,16,17,30,4,345
POA3447,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,45,31,20,17,3,3,7,0,141
POA3448,3,3,7,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,0,0,3,3,0,3,0,0,13,58,66,33,36,32,11,16,21,4,277
POA3450,8,4,30,9,3,6,3,17,0,80,0,0,0,0,0,0,0,0,0,0,6,22,0,3,0,0,0,0,0,45,12,7,4,11,9,6,3,12,3,64,233,733,233,236,152,83,43,131,20,1862
POA3451,5,3,26,10,5,10,4,13,3,70,0,0,0,0,0,0,0,0,0,3,3,10,0,7,3,3,0,4,0,30,10,4,7,3,8,3,4,14,3,54,195,463,277,207,120,68,54,106,22,1517
POA3453,0,0,5,3,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,10,4,0,3,0,0,0,3,5,0,16,95,174,87,50,41,24,29,39,12,547
POA3458,4,3,6,3,3,0,3,4,0,30,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,3,5,19,106,191,66,83,49,17,27,39,17,598
POA3460,13,0,37,10,3,3,0,11,0,72,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,0,0,16,3,4,6,3,0,3,5,5,4,33,113,195,114,116,63,41,22,60,7,726
POA3461,13,4,27,14,4,9,4,14,0,82,0,0,0,0,0,0,0,0,0,0,4,6,0,5,4,0,0,4,0,32,3,6,4,0,4,3,3,11,3,43,236,370,191,171,116,56,31,104,21,1291
POA3462,5,0,3,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,9,44,80,62,50,32,16,14,21,3,320
POA3463,4,0,8,3,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,3,3,5,3,0,4,4,5,0,30,145,171,99,67,58,36,20,50,10,660
POA3464,3,0,9,0,0,5,0,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,3,0,4,0,19,39,41,62,35,24,21,10,33,3,276
POA3465,15,0,73,16,7,18,4,22,3,168,0,0,0,0,0,0,0,0,0,4,3,7,4,7,0,0,4,3,0,27,21,7,19,14,5,12,6,22,8,111,259,351,434,315,146,128,88,199,26,1943
POA3467,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,31,44,36,35,13,11,14,30,3,221
POA3468,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,7,7,9,9,4,0,9,9,0,53
POA3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,18,3,15,4,0,3,0,0,63
POA3472,0,0,4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,5,8,0,17,37,43,40,38,20,11,11,26,3,225
POA3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,27,6,0,6,0,0,3,6,3,56
POA3477,0,0,0,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,11,91,40,21,26,21,3,15,19,0,238
POA3478,10,0,11,6,3,0,3,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,0,3,0,0,9,5,35,110,103,80,78,38,22,16,62,12,522
POA3480,4,0,9,4,0,5,0,9,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,3,3,0,3,5,0,18,105,96,58,55,43,22,25,35,3,439
POA3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,3,5,0,3,3,3,0,0,26
POA3483,7,0,5,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,68,66,37,15,18,9,15,17,3,241
POA3485,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,30,4,5,9,3,3,3,6,0,66
POA3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,4,3,0,0,0,0,22
POA3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,3,0,4,0,25
POA3489,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,3,0,19
