POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA3000,430,165,36,23,37,34,22,735,7,7,0,3,3,0,0,23,60,13,3,0,4,0,0,81,60,28,10,3,6,10,7,129,3,3,0,0,0,0,0,3,570,212,46,32,58,44,32,982,50,32,15,22,55,75,47,301,0,3,0,3,0,3,0,18,3,5,3,0,0,0,0,20,4,3,0,0,3,8,0,28,0,0,0,0,0,3,0,8,62,51,25,24,68,92,47,369,632,263,70,53,124,132,77,1351
POA3002,31,12,3,7,6,3,3,65,12,0,3,0,0,3,0,22,20,13,3,0,4,3,4,43,66,30,14,12,18,8,9,150,0,0,0,0,0,0,0,0,121,54,28,21,26,15,13,275,0,0,0,0,3,0,0,6,4,5,0,0,0,0,0,8,0,0,0,0,0,0,0,3,4,7,3,0,3,3,0,24,0,0,0,0,0,0,0,3,12,12,5,3,3,7,5,44,128,68,32,18,30,23,18,321
POA3003,59,38,8,11,15,10,10,151,15,10,6,0,0,3,0,40,23,9,10,4,3,3,0,56,54,37,22,9,10,9,0,141,3,0,0,0,0,0,0,3,154,94,44,30,27,27,9,387,6,3,3,3,6,0,4,30,0,0,3,0,0,0,0,3,0,0,0,3,3,3,0,8,5,5,0,4,3,0,0,19,0,0,0,3,0,0,0,5,11,14,4,8,13,5,7,66,170,106,51,43,44,28,15,453
POA3004,135,76,24,9,15,16,5,285,21,9,0,0,0,3,0,34,25,15,0,0,3,3,4,51,50,33,13,11,16,3,11,141,0,0,0,0,0,0,0,0,229,130,38,20,39,31,27,507,15,10,11,7,19,20,9,86,4,0,0,0,0,3,0,15,0,3,0,0,0,0,0,13,5,5,0,3,4,3,8,35,0,0,0,0,0,0,0,0,20,19,15,11,26,23,21,136,252,152,55,37,64,50,42,648
POA3005,14,3,0,0,3,0,0,26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0,24,9,0,0,3,4,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,11,0,0,3,4,0,43
POA3006,304,84,20,11,25,17,13,478,16,8,0,0,3,4,0,34,50,7,4,6,9,3,3,87,80,18,9,0,17,10,4,145,4,0,3,0,0,0,0,3,460,122,34,19,51,36,23,747,25,27,10,10,23,30,24,153,0,3,7,3,4,5,0,17,7,4,0,0,0,3,0,16,7,11,4,7,17,13,3,68,0,0,0,0,0,0,0,3,39,42,21,24,43,49,28,251,502,165,52,42,97,85,51,996
POA3008,329,69,27,11,16,14,11,475,14,7,3,0,4,0,0,26,47,7,0,0,3,0,0,64,39,19,9,3,10,9,3,86,0,0,0,0,0,0,0,0,420,100,32,17,26,28,20,652,18,9,3,12,20,23,16,95,0,0,3,0,3,0,0,16,3,0,0,0,0,0,0,9,8,5,0,0,3,4,3,20,0,0,0,0,0,0,0,3,31,16,4,15,31,31,22,144,453,122,38,30,55,55,41,792
POA3010,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,12
POA3011,426,248,74,56,78,78,51,1009,121,59,15,15,13,4,10,239,125,68,27,8,14,7,3,249,435,253,88,40,63,26,11,921,5,0,0,0,0,0,0,11,1111,625,208,115,171,124,79,2434,40,47,47,28,41,32,19,252,17,20,15,5,10,0,3,58,11,11,0,0,5,4,0,34,37,40,22,21,22,23,10,162,4,12,3,0,3,3,3,23,102,119,89,55,80,59,35,536,1211,751,292,169,248,183,107,2971
POA3012,579,381,188,112,169,132,71,1637,213,156,41,20,32,9,8,487,192,121,49,16,30,16,3,429,666,460,159,96,117,57,29,1570,11,3,3,0,6,0,0,29,1660,1118,439,254,353,218,111,4149,78,100,67,37,67,60,38,451,37,36,20,4,18,7,9,128,16,22,11,9,18,8,3,83,49,85,53,35,42,14,11,290,5,3,6,3,8,0,0,29,182,253,151,85,152,98,63,980,1842,1368,593,340,507,314,173,5134
